nct	leaf_group	mechanism	reducible_to_non_overlapping_set	registered_enrollment	enrollment_type	selected_cohorts_job2	sum_selected_denominators_job2	excess_job2	source_file
NCT00371345	0	M1_POOLED_PLUS_COMPONENTS + M3_TITLE_VARIANT_DUPLICATE + M7_NON_COHORT_GROUPS	YES	92	ACTUAL	9	150	58	LEAF-QB-group0.tsv
NCT01088984	0	M1_POOLED_PLUS_COMPONENTS	YES	43	ACTUAL	3	86	43	LEAF-QB-group0.tsv
NCT00243074	0	M3_TITLE_VARIANT_DUPLICATE	YES	54	ACTUAL	2	94	40	LEAF-QB-group0.tsv
NCT00633594	0	M2_CROSS_AXIS_PARTITION	YES	39	ACTUAL	4	78	39	LEAF-QB-group0.tsv
NCT01227889	0	M5_SEQUENTIAL_REENTRY	YES	251	ACTUAL	3	287	36	LEAF-QB-group0.tsv
NCT00400803	0	M7_NON_COHORT_GROUPS	YES	38	ACTUAL	4	70	32	LEAF-QB-group0.tsv
NCT00606008	0	M1_POOLED_PLUS_COMPONENTS	YES	30	ACTUAL	3	60	30	LEAF-QB-group0.tsv
NCT01077518	0	M5_SEQUENTIAL_REENTRY	YES	346	ACTUAL	3	376	30	LEAF-QB-group0.tsv
NCT00623766	0	M3_TITLE_VARIANT_DUPLICATE	YES	99	ACTUAL	3	123	24	LEAF-QB-group0.tsv
NCT01199055	0	M1_POOLED_PLUS_COMPONENTS	YES	16	ACTUAL	5	39	23	LEAF-QB-group0.tsv
NCT01055067	0	M8_ANALYSIS_POPULATION_NESTING	YES	27	ACTUAL	2	48	21	LEAF-QB-group0.tsv
NCT01199068	0	M1_POOLED_PLUS_COMPONENTS	YES	15	ACTUAL	5	34	19	LEAF-QB-group0.tsv
NCT00598975	0	M1_POOLED_PLUS_COMPONENTS	YES	18	ACTUAL	3	36	18	LEAF-QB-group0.tsv
NCT00792467	0	M8_ANALYSIS_POPULATION_NESTING	YES	24	ACTUAL	2	40	16	LEAF-QB-group0.tsv
NCT00918203	0	M5_SEQUENTIAL_REENTRY	YES	137	ACTUAL	3	148	11	LEAF-QB-group0.tsv
NCT00700258	0	M5_SEQUENTIAL_REENTRY	UNRESOLVED	1520	ACTUAL	5	1528	8	LEAF-QB-group0.tsv
NCT00756509	0	M6_REGISTRY_INCONSISTENCY	NO	34	ACTUAL	1	41	7	LEAF-QB-group0.tsv
NCT00885755	0	M8_ANALYSIS_POPULATION_NESTING + M3_TITLE_VARIANT_DUPLICATE	YES	33	ACTUAL	2	39	6	LEAF-QB-group0.tsv
NCT00928642	0	M3_TITLE_VARIANT_DUPLICATE	YES	8	ACTUAL	2	14	6	LEAF-QB-group0.tsv
NCT01223027	0	M6_REGISTRY_INCONSISTENCY	NO	564	ACTUAL	2	570	6	LEAF-QB-group0.tsv
NCT01232296	0	M6_REGISTRY_INCONSISTENCY	NO	162	ACTUAL	2	165	3	LEAF-QB-group0.tsv
NCT00229723	0	M6_REGISTRY_INCONSISTENCY	NO	224	ACTUAL	7	226	2	LEAF-QB-group0.tsv
NCT01023308	0	M6_REGISTRY_INCONSISTENCY	NO	767	ACTUAL	2	768	1	LEAF-QB-group0.tsv
NCT01271725	1	SEQUENTIAL_PHASE	YES	74	ACTUAL	2	113	39	LEAF-QB-group1.tsv
NCT01289041	1	POOLED_WITH_COMPONENTS	YES	70	ACTUAL	3	140	70	LEAF-QB-group1.tsv
NCT01324830	1	POOLED_WITH_COMPONENTS;DENOM_VARIES_BY_MEASURE	YES	69	ACTUAL	22	207	138	LEAF-QB-group1.tsv
NCT01325428	1	SEQUENTIAL_PHASE	YES	26	ACTUAL	2	36	10	LEAF-QB-group1.tsv
NCT01336634	1	CROSSOVER_OR_SWITCH	YES	177	ACTUAL	4	191	14	LEAF-QB-group1.tsv
NCT01420081	1	POOLED_WITH_COMPONENTS	YES	67	ACTUAL	5	91	24	LEAF-QB-group1.tsv
NCT01465659	1	POOLED_WITH_COMPONENTS	YES	29	ACTUAL	2	39	10	LEAF-QB-group1.tsv
NCT01491672	1	POOLED_WITH_COMPONENTS	YES	134	ACTUAL	4	268	134	LEAF-QB-group1.tsv
NCT01494506	1	COMPARISON_SET_REUSE	YES	417	ACTUAL	4	536	119	LEAF-QB-group1.tsv
NCT01519414	1	CROSSOVER_OR_SWITCH	YES	78	ACTUAL	3	90	12	LEAF-QB-group1.tsv
NCT01572038	1	MULTI_AXIS_PARTITION	YES	1436	ACTUAL	6	3587	2151	LEAF-QB-group1.tsv
NCT01577758	1	REGISTRY_INCONSISTENCY	NO_OVERLAP	41	ACTUAL	2	42	1	LEAF-QB-group1.tsv
NCT01595009	1	SEQUENTIAL_PHASE	YES	246	ACTUAL	4	261	15	LEAF-QB-group1.tsv
NCT01597388	1	DENOM_VARIES_BY_MEASURE;REGISTRY_INCONSISTENCY	NO_OVERLAP	99	ACTUAL	9	100	1	LEAF-QB-group1.tsv
NCT01602315	1	POOLED_WITH_COMPONENTS;DUPLICATE_COHORT_IDENTITY;CROSSOVER_OR_SWITCH	PARTIAL	179	ACTUAL	10	408	229	LEAF-QB-group1.tsv
NCT01615029	1	POOLED_WITH_COMPONENTS	YES	45	ACTUAL	6	58	13	LEAF-QB-group1.tsv
NCT01621490	1	MULTI_AXIS_PARTITION;POOLED_WITH_COMPONENTS	YES	170	ACTUAL	22	680	510	LEAF-QB-group1.tsv
NCT01655693	1	POOLED_WITH_COMPONENTS	YES	397	ACTUAL	4	660	263	LEAF-QB-group1.tsv
NCT01661270	1	DENOM_VARIES_BY_MEASURE;REGISTRY_INCONSISTENCY	NO_OVERLAP	332	ACTUAL	2	342	10	LEAF-QB-group1.tsv
NCT01677741	1	POOLED_WITH_COMPONENTS;NESTED_SUBSET	YES	85	ACTUAL	10	184	99	LEAF-QB-group1.tsv
NCT01677858	1	POOLED_WITH_COMPONENTS	YES	116	ACTUAL	6	220	104	LEAF-QB-group1.tsv
NCT01693562	1	NESTED_SUBSET;POOLED_WITH_COMPONENTS	YES	1022	ACTUAL	9	1060	38	LEAF-QB-group1.tsv
NCT01696032	1	CROSSOVER_OR_SWITCH	YES	120	ACTUAL	5	147	27	LEAF-QB-group1.tsv
NCT01698918	1	DUPLICATE_COHORT_IDENTITY;SEQUENTIAL_PHASE	YES	202	ACTUAL	3	454	252	LEAF-QB-group1.tsv
NCT01704287	1	CROSSOVER_OR_SWITCH	YES	540	ACTUAL	5	638	98	LEAF-QB-group1.tsv
NCT01708161	1	POOLED_WITH_COMPONENTS;DUPLICATE_COHORT_IDENTITY;REGISTRY_INCONSISTENCY	PARTIAL	47	ACTUAL	7	115	68	LEAF-QB-group1.tsv
NCT01816594	1	MULTI_AXIS_PARTITION	YES	50	ACTUAL	6	100	50	LEAF-QB-group1.tsv
NCT01852292	1	REGISTRY_INCONSISTENCY	NO_OVERLAP	157	ACTUAL	2	158	1	LEAF-QB-group1.tsv
NCT01900652	1	NESTED_SUBSET	YES	111	ACTUAL	4	163	52	LEAF-QB-group1.tsv
NCT01909453	1	POOLED_WITH_COMPONENTS	YES	921	ACTUAL	6	1201	280	LEAF-QB-group1.tsv
NCT01915498	1	POOLED_WITH_COMPONENTS	YES	345	ACTUAL	15	558	213	LEAF-QB-group1.tsv
NCT01928394	1	POOLED_WITH_COMPONENTS	YES	1163	ACTUAL	25	1533	370	LEAF-QB-group1.tsv
NCT01981850	1	DUPLICATE_COHORT_IDENTITY	YES	125	ACTUAL	11	151	26	LEAF-QB-group1.tsv
NCT01993719	1	SEQUENTIAL_PHASE;REGISTRY_INCONSISTENCY	UNRESOLVED	33	ACTUAL	4	37	4	LEAF-QB-group1.tsv
NCT02020577	1	POOLED_WITH_COMPONENTS	YES	58	ACTUAL	3	116	58	LEAF-QB-group1.tsv
NCT02027428	1	POOLED_WITH_COMPONENTS;SEQUENTIAL_PHASE	YES	427	ACTUAL	3	622	195	LEAF-QB-group1.tsv
NCT02031458	1	POOLED_WITH_COMPONENTS	YES	667	ACTUAL	4	1179	512	LEAF-QB-group1.tsv
NCT02047344	1	MULTI_AXIS_PARTITION	YES	31	ACTUAL	5	52	21	LEAF-QB-group1.tsv
NCT02048371	1	CROSSOVER_OR_SWITCH	YES	131	ACTUAL	9	157	26	LEAF-QB-group1.tsv
NCT02150967	1	DUPLICATE_COHORT_IDENTITY	YES	143	ACTUAL	2	216	73	LEAF-QB-group1.tsv
NCT02159066	1	SEQUENTIAL_PHASE	PARTIAL	158	ACTUAL	6	216	58	LEAF-QB-group1.tsv
NCT02185690	1	MULTI_AXIS_PARTITION	YES	13	ACTUAL	4	24	11	LEAF-QB-group1.tsv
NCT02202746	1	POOLED_WITH_COMPONENTS	YES	178	ACTUAL	3	346	168	LEAF-QB-group1.tsv
NCT02228096	1	DUPLICATE_COHORT_IDENTITY;NESTED_SUBSET	YES	75	ACTUAL	3	104	29	LEAF-QB-group1.tsv
NCT02296125	1	PARTIAL_POPULATION_OVERLAP	UNRESOLVED	674	ACTUAL	4	692	18	LEAF-QB-group1.tsv
NCT02319044	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	267	ACTUAL	4	514	247	LEAF-QB-group2.tsv
NCT02335983	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	107	ACTUAL	8	171	64	LEAF-QB-group2.tsv
NCT02337829	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	48	ACTUAL	6	94	46	LEAF-QB-group2.tsv
NCT02347917	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	28	ACTUAL	6	82	54	LEAF-QB-group2.tsv
NCT02370238	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	194	ACTUAL	4	222	28	LEAF-QB-group2.tsv
NCT02391116	2	CROSSCUT_PARTITIONS - two or more complete partitions of one population on different axes, all selected	YES	67	ACTUAL	8	201	134	LEAF-QB-group2.tsv
NCT02399085	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	81	ACTUAL	2	160	79	LEAF-QB-group2.tsv
NCT02404441	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	319	ACTUAL	14	696	377	LEAF-QB-group2.tsv
NCT02411591	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	66	ACTUAL	4	132	66	LEAF-QB-group2.tsv
NCT02414139	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	373	ACTUAL	12	533	160	LEAF-QB-group2.tsv
NCT02432846	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	88	ACTUAL	6	140	52	LEAF-QB-group2.tsv
NCT02451930	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	71	ACTUAL	3	132	61	LEAF-QB-group2.tsv
NCT02494570	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	34	ACTUAL	2	62	28	LEAF-QB-group2.tsv
NCT02500121	2	DOCUMENTED_REALLOCATION - the record states participants were re-randomised or crossed over and analysed under more than one group	YES	108	ACTUAL	3	112	4	LEAF-QB-group2.tsv
NCT02513472	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	258	ACTUAL	3	334	76	LEAF-QB-group2.tsv
NCT02527434	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	64	ACTUAL	8	85	21	LEAF-QB-group2.tsv
NCT02551991	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	56	ACTUAL	6	88	32	LEAF-QB-group2.tsv
NCT02564900	2	REGISTRY_INCONSISTENCY - cohorts that are mutually exclusive as recorded whose denominators nonetheless exceed the ACTUAL enrollment field, with no overlap mechanism in the record	NO	292	ACTUAL	15	304	12	LEAF-QB-group2.tsv
NCT02570308	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	146	ACTUAL	3	273	127	LEAF-QB-group2.tsv
NCT02592707	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	40	ACTUAL	5	80	40	LEAF-QB-group2.tsv
NCT02599402	2	CROSSCUT_PARTITIONS - two or more complete partitions of one population on different axes, all selected	YES	533	ACTUAL	9	1640	1107	LEAF-QB-group2.tsv
NCT02606461	2	DOCUMENTED_REALLOCATION - the record states participants were re-randomised or crossed over and analysed under more than one group	YES	342	ACTUAL	6	429	87	LEAF-QB-group2.tsv
NCT02616393	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	36	ACTUAL	4	52	16	LEAF-QB-group2.tsv
NCT02625623	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	371	ACTUAL	3	556	185	LEAF-QB-group2.tsv
NCT02674568	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	342	ACTUAL	2	525	183	LEAF-QB-group2.tsv
NCT02708680	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	89	ACTUAL	4	162	73	LEAF-QB-group2.tsv
NCT02711956	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	75	ACTUAL	4	140	65	LEAF-QB-group2.tsv
NCT02735980	2	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	YES	133	ACTUAL	6	266	133	LEAF-QB-group2.tsv
NCT02748564	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	10	ACTUAL	4	20	10	LEAF-QB-group2.tsv
NCT02750514	2	DOCUMENTED_REALLOCATION - the record states participants were re-randomised or crossed over and analysed under more than one group	NO	295	ACTUAL	5	309	14	LEAF-QB-group2.tsv
NCT02754141	2	DOCUMENTED_REALLOCATION for part of the excess, REGISTRY_INCONSISTENCY for the remainder	PARTIAL	235	ACTUAL	24	290	55	LEAF-QB-group2.tsv
NCT02759835	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	37	ACTUAL	4	73	36	LEAF-QB-group2.tsv
NCT02762981	2	CROSSCUT_PARTITIONS - two or more complete partitions of one population on different axes, all selected	YES	85	ACTUAL	4	105	20	LEAF-QB-group2.tsv
NCT02844439	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	40	ACTUAL	3	75	35	LEAF-QB-group2.tsv
NCT02848651	2	CROSSCUT_PARTITIONS - two or more complete partitions of one population on different axes, all selected	YES	153	ACTUAL	7	509	356	LEAF-QB-group2.tsv
NCT02872116	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	NO	2031	ACTUAL	4	2394	363	LEAF-QB-group2.tsv
NCT02872714	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	263	ACTUAL	8	700	437	LEAF-QB-group2.tsv
NCT02895360	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	43	ACTUAL	5	59	16	LEAF-QB-group2.tsv
NCT02910583	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	323	ACTUAL	7	608	285	LEAF-QB-group2.tsv
NCT02924376	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	147	ACTUAL	5	236	89	LEAF-QB-group2.tsv
NCT02935634	2	REGISTRY_INCONSISTENCY - cohorts that are mutually exclusive as recorded whose denominators nonetheless exceed the ACTUAL enrollment field, with no overlap mechanism in the record	NO	190	ACTUAL	12	195	5	LEAF-QB-group2.tsv
NCT02963493	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	157	ACTUAL	3	331	174	LEAF-QB-group2.tsv
NCT02983799	2	NESTED_SUBGROUP - subgroup or restricted-analysis-population cohorts selected alongside the parent cohort that contains them	YES	272	ACTUAL	9	423	151	LEAF-QB-group2.tsv
NCT02984995	2	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	YES	37	ACTUAL	3	54	17	LEAF-QB-group2.tsv
NCT02996110	2	DOCUMENTED_REALLOCATION - the record states participants were re-randomised or crossed over and analysed under more than one group	NO	182	ACTUAL	5	212	30	LEAF-QB-group2.tsv
NCT03001882	3	DUPLICATE_TITLE_VARIANT+POOLED_UNFLAGGED+CROSS_AXIS_DUPLICATE	YES	230	ACTUAL	10	531	301	LEAF-QB-group3.tsv
NCT03006926	3	DUPLICATE_TITLE_VARIANT	YES	104	ACTUAL	2	200	96	LEAF-QB-group3.tsv
NCT03074318	3	DUPLICATE_TITLE_VARIANT+POOLED_UNFLAGGED	YES	35	ACTUAL	9	91	56	LEAF-QB-group3.tsv
NCT03096847	3	POOLED_EXPLICIT	YES	502	ACTUAL	4	974	472	LEAF-QB-group3.tsv
NCT03126110	3	DUPLICATE_TITLE_VARIANT	YES	145	ACTUAL	18	151	6	LEAF-QB-group3.tsv
NCT03176238	3	POOLED_EXPLICIT	YES	235	ACTUAL	3	470	235	LEAF-QB-group3.tsv
NCT03176277	3	POOLED_EXPLICIT	YES	42	ACTUAL	5	62	20	LEAF-QB-group3.tsv
NCT03195491	3	POOLED_UNFLAGGED	YES	400	ACTUAL	3	800	400	LEAF-QB-group3.tsv
NCT03200717	3	POOLED_EXPLICIT	YES	62	ACTUAL	3	124	62	LEAF-QB-group3.tsv
NCT03248492	3	NESTED_SUBSET+DUPLICATE_TITLE_VARIANT	YES	253	ACTUAL	5	613	360	LEAF-QB-group3.tsv
NCT03269136	3	POOLED_UNFLAGGED	YES	101	ACTUAL	21	174	73	LEAF-QB-group3.tsv
NCT03274804	3	DUPLICATE_TITLE_VARIANT	YES	20	ACTUAL	2	38	18	LEAF-QB-group3.tsv
NCT03284957	3	POOLED_UNFLAGGED	YES	136	ACTUAL	18	225	89	LEAF-QB-group3.tsv
NCT03329690	3	POOLED_UNFLAGGED	YES	233	ACTUAL	6	293	60	LEAF-QB-group3.tsv
NCT03363893	3	DUPLICATE_TITLE_VARIANT+CROSSOVER_DOUBLE_COUNT	PARTIAL	124	ACTUAL	22	161	37	LEAF-QB-group3.tsv
NCT03400176	3	POOLED_EXPLICIT	YES	39	ACTUAL	9	78	39	LEAF-QB-group3.tsv
NCT03410108	3	NESTED_SUBSET	YES	104	ACTUAL	2	151	47	LEAF-QB-group3.tsv
NCT03410693	3	NESTED_SUBSET	YES	175	ACTUAL	4	300	125	LEAF-QB-group3.tsv
NCT03446040	3	CROSSOVER_DOUBLE_COUNT	UNRESOLVED	92	ACTUAL	3	95	3	LEAF-QB-group3.tsv
NCT03468426	3	POOLED_UNFLAGGED	YES	252	ACTUAL	9	476	224	LEAF-QB-group3.tsv
NCT03480646	3	DUPLICATE_TITLE_VARIANT+NESTED_SUBSET	YES	175	ACTUAL	12	268	93	LEAF-QB-group3.tsv
NCT03481556	3	DUPLICATE_TITLE_VARIANT	YES	56	ACTUAL	8	112	56	LEAF-QB-group3.tsv
NCT03512353	3	CROSS_AXIS_DUPLICATE	YES	7	ACTUAL	3	12	5	LEAF-QB-group3.tsv
NCT03523572	3	DUPLICATE_TITLE_VARIANT	YES	86	ACTUAL	6	90	4	LEAF-QB-group3.tsv
NCT03729596	3	DUPLICATE_TITLE_VARIANT	YES	143	ACTUAL	11	184	41	LEAF-QB-group3.tsv
NCT03773107	3	DUPLICATE_TITLE_VARIANT	YES	12	ACTUAL	5	20	8	LEAF-QB-group3.tsv
NCT03773302	3	NONCOHORT_METHOD_LABEL	YES	48	ACTUAL	6	174	126	LEAF-QB-group3.tsv
NCT03774082	3	POOLED_EXPLICIT	YES	46	ACTUAL	4	90	44	LEAF-QB-group3.tsv
NCT03776812	3	NESTED_SUBSET	YES	178	ACTUAL	4	199	21	LEAF-QB-group3.tsv
NCT03778229	3	DUPLICATE_TITLE_VARIANT+NESTED_SUBSET	YES	367	ACTUAL	6	642	275	LEAF-QB-group3.tsv
NCT04033432	3	DUPLICATE_TITLE_VARIANT+NESTED_SUBSET	YES	14	ACTUAL	2	17	3	LEAF-QB-group3.tsv
NCT04033991	3	MULTILINE_DOUBLE_COUNT	UNRESOLVED	684	ACTUAL	2	743	59	LEAF-QB-group3.tsv
NCT04194944	3	NESTED_SUBSET	YES	261	ACTUAL	3	344	83	LEAF-QB-group3.tsv
NCT04216316	3	POOLED_UNFLAGGED	YES	12	ACTUAL	3	22	10	LEAF-QB-group3.tsv
NCT04280081	3	DUPLICATE_TITLE_VARIANT+NESTED_SUBSET	YES	77	ACTUAL	9	207	130	LEAF-QB-group3.tsv
NCT04282109	3	CROSS_AXIS_DUPLICATE	YES	141	ACTUAL	16	564	423	LEAF-QB-group3.tsv
NCT04287868	3	POOLED_EXPLICIT+NESTED_SUBSET	YES	51	ACTUAL	4	124	73	LEAF-QB-group3.tsv
NCT04363801	3	NESTED_SUBSET	YES	247	ACTUAL	9	368	121	LEAF-QB-group3.tsv
NCT04436107	3	POOLED_UNFLAGGED+CROSS_AXIS_DUPLICATE	YES	66	ACTUAL	14	226	160	LEAF-QB-group3.tsv
NCT04577963	3	NESTED_SUBSET	YES	52	ACTUAL	5	58	6	LEAF-QB-group3.tsv
NCT04677595	3	CROSS_AXIS_DUPLICATE	YES	36	ACTUAL	6	70	34	LEAF-QB-group3.tsv
NCT04680052	3	NESTED_SUBSET	YES	654	ACTUAL	6	1202	548	LEAF-QB-group3.tsv
NCT04750824	3	NESTED_SUBSET	YES	110	ACTUAL	4	162	52	LEAF-QB-group3.tsv
NCT04895735	3	DUPLICATE_TITLE_VARIANT	YES	45	ACTUAL	5	64	19	LEAF-QB-group3.tsv
NCT05228470	3	POOLED_UNFLAGGED	YES	39	ACTUAL	3	76	37	LEAF-QB-group3.tsv
