nct	group_norm	leaf_group	classification	distinguishing_basis	would_change_selection	source_file
NCT00668148	synovial sarcoma	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00668148	total	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00676663	exemestane 25 mg + entinostat 5 mg	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00676663	exemestane 25 mg + placebo	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00689936	lenalidomide and dexamethasone rd18	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00689936	lenalidomide and low-dose dexamethasone (rd)	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00689936	melphalan + prednisone + thalidomide (mpt)	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00705016	cetuximab+5-fu+cisplatin	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00705016	cilengitide 2000 mg once weekly+cetuximab+5-fu+cisplatin	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00705016	cilengitide 2000 mg twice weekly+cetuximab+5-fu+cisplatin	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00721513	tpfchemotherapy + concomitant cetuximab & rt	0	BASIS_EXISTS	assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00728949	imc-a12 (cixutumumab)	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00728949	imc-a12 (cixutumumab) + antiestrogen therapy	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00753675	arm a vandetanib 300 mg	0	BASIS_EXISTS	title;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00753675	arm b vandetanib 100mg + gemcitab	0	BASIS_EXISTS	title;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00753675	arm c placebo+ gemcitabine	0	BASIS_EXISTS	title;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00789373	pemetrexed + cisplatin followed by placebo	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 150 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 200 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 250 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 300 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 350 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule a. volasertib 400 mg+ldac	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 150 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 200 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 350 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 400 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 450 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 500 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	phase i schedule b. volasertib 550 mg	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	total phase i combined. schedule a	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00804856	total phase i combined. schedule b	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00806156	mitt population	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00806156	nktr-102 q14d	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00806156	platinum-refractory population	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00806156	prior pld population	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00827359	treatment	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00838539	neratinib 120 mg + temsirolimus	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00838539	neratinib 160 mg + temsirolimus	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00838539	neratinib 200 mg + temsirolimus	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00838539	neratinib 240 mg + temsirolimus	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00839332	phase 2: gemcitabine	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00839332	phase 2: ly2603618 + gemcitabine	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00876395	everolimus + paclitaxel + trastuzumab	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00876395	placebo + paclitaxel + trastuzumab	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00883779	erlotinib	0	BASIS_EXISTS	title	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00883779	placebo	0	BASIS_EXISTS	title	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00885755	group a: trastuzumab+taxane /capecitabine (6 weeks)	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00886782	bms-863233 100 mg	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00886782	bms-863233 25 mg	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00886782	bms-863233 50 mg	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 20mg with vinorelbine i.v	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 20mg with vinorelbine per os	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 40mg with vinorelbine i.v	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 40mg with vinorelbine per os	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 50mg with vinorelbine i.v	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00906698	afatinib 50mg with vinorelbine per os	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00931606	placebo	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00931606	sotatercept 0.1 mg/kg	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00931606	sotatercept 0.3 mg/kg	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00931606	sotatercept 0.5 mg/kg	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00931918	rchop	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00931918	vc-rchop	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00934856	overall mbc participants	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00946153	phase 1: group 1: lenvatinib: 12 mg	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00946153	phase 1: group 2: lenvatinib: 12 mg	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00946153	phase 1: group 2: lenvatinib: 8 mg	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00946153	phase 1: group1: lenvatinib: 16 mg	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00946153	phase 2 : lenvatinib :12 mg	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00971867	paclitaxel	0	BASIS_EXISTS	assessment_criteria;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00993499	afa30+sir01	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00993499	afa30+sir03	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00993499	afa30+sir05	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00993499	afa30+sir10	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00993499	afa40+sir01	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00993499	afa40+sir05	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT01007942	everolimus + vinorelbine + trastuzumab	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT01007942	placebo + vinorelbine + trastuzumab	0	BASIS_EXISTS	title;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT01030536	chronic lymphocytic leukemia	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01030536	diffuse large b cell lymphoma	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01030536	follicular lymphoma	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01030536	mantle cell lymphoma	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01059630	bendamustine alone	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01059630	obinutuzumab + bendamustine	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01077713	bevacizumab + gemcitabine	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01077713	bevacizumab + gemcitabine + cisplatin	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT01102426	dexamethasone	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT01102426	plitidepsin+dexamethasone	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT01115803	arm a - 100 mg ly2584702 bid + 150 mg erlotinib qd	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
