job2_artifact	job2_key	job2_value_summary	corrected_b_disposition	corrected_b_key	reason
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group b dl1||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group b dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group b dl2||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group b dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group b dl3||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group b dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group b expansion||om1	type=SECONDARY;denom=2;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group b expansion	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group c dl1||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group c dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group c dl2||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group c dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group c dl3||om1	type=SECONDARY;denom=4;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group c dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group c expansion||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group c expansion	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group a dl1||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group a dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group a dl2||om1	type=SECONDARY;denom=6;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group a dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group a dl3||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group a dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group b dl1||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group b dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group b dl2||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group b dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group b dl3||om1	type=SECONDARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group b dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group c dl1||om1	type=SECONDARY;denom=4;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group c dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group c dl2||om1	type=SECONDARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group c dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp2a ctls (alascer) - group c dl3||om1	type=SECONDARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp2a ctls (alascer) - group c dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00063154||pertuzumab||om0	type=PRIMARY;denom=35;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00063154||pertuzumab	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00064350||placebo||om0	type=PRIMARY;denom=31;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00064350||placebo	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00064350||sorafenib||om0	type=PRIMARY;denom=50;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00064350||sorafenib	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00065182||iv docetaxel||om3	type=SECONDARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00065182||iv docetaxel	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00065182||iv topotecan + iv docetaxel||om3	type=SECONDARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00065182||iv topotecan + iv docetaxel	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069095||folfox-4+bv/xelox+bv||om11	type=SECONDARY;denom=699;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069095||folfox-4+bv/xelox+bv	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069095||folfox-4+p/xelox+p||om11	type=SECONDARY;denom=701;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069095||folfox-4+p/xelox+p	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069095||folfox-4/folfox-4+p/folfox-4+bv||om10	type=SECONDARY;denom=937;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069095||folfox-4/folfox-4+p/folfox-4+bv	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069095||xelox/xelox+p/xelox+bv||om10	type=SECONDARY;denom=967;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069095||xelox/xelox+p/xelox+bv	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069108||folfox-4||om5	type=SECONDARY;denom=314;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069108||folfox-4	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00069108||xelox||om5	type=SECONDARY;denom=313;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00069108||xelox	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00073307||placebo||om3	type=SECONDARY;denom=337;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00073307||placebo	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00073307||sorafenib (nexavar, bay43-9006)||om3	type=SECONDARY;denom=335;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00073307||sorafenib (nexavar, bay43-9006)	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00073749||inotuzumab ozogamicin 1.8 mg/m^2: lead-in + expanded cohorts||om9	type=SECONDARY;denom=22;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00073749||inotuzumab ozogamicin 1.8 mg/m^2: lead-in + expanded cohorts	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00073957||yttrium y 90 ibritumomab tiuxetan and rituximab||om0	type=PRIMARY;denom=25;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00073957||yttrium y 90 ibritumomab tiuxetan and rituximab	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00075218||placebo double-blind treatment||om6	type=SECONDARY;denom=118;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00075218||placebo double-blind treatment	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00075218||sunitinib double-blind treatment||om6	type=SECONDARY;denom=243;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00075218||sunitinib double-blind treatment	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00075504||stratum a normal liver function triapine, gemcitabine||om0	type=PRIMARY;denom=23;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00075504||stratum a normal liver function triapine, gemcitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00075504||stratum b abnormal liver function triapine, gemcitabine||om0	type=PRIMARY;denom=10;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00075504||stratum b abnormal liver function triapine, gemcitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00077376||trastuzumab/ixabepilone/carboplatin||om0	type=PRIMARY;denom=39;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00077376||trastuzumab/ixabepilone/carboplatin	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00077857||1250 mg/m^2 capecitabine + docetaxel||om1	type=SECONDARY;denom=235;resolved_by=f	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00077857||1250 mg/m^2 capecitabine + docetaxel	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00077857||825 mg/m^2 capecitabine + docetaxel||om1	type=SECONDARY;denom=235;resolved_by=f	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00077857||825 mg/m^2 capecitabine + docetaxel	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00080301||capecitabine||om1	type=SECONDARY;denom=377;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00080301||capecitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00080301||ixabepilone + capecitabine||om1	type=SECONDARY;denom=375;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00080301||ixabepilone + capecitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00082433||capecitabine||om1	type=SECONDARY;denom=462;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00082433||capecitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00082433||ixabepilone + capecitabine||om1	type=SECONDARY;denom=462;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00082433||ixabepilone + capecitabine	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00085410||arm i||om0	type=PRIMARY;denom=20;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00085410||arm i	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00085631||overall study||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00085631||overall study	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00086957||dose level 2 - docetaxel 60 mg/m^2||om3	type=SECONDARY;denom=29;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00086957||dose level 2 - docetaxel 60 mg/m^2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00087139||ixabepilone - no prior chemo||om1	type=SECONDARY;denom=22;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00087139||ixabepilone - no prior chemo	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00087139||ixabepilone - prior taxane||om1	type=SECONDARY;denom=25;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00087139||ixabepilone - prior taxane	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00087139||ixabepilone - two prior chemo||om1	type=SECONDARY;denom=24;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00087139||ixabepilone - two prior chemo	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00088530||comparator group||om3	type=SECONDARY;denom=70;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00088530||comparator group	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00088530||experimental group||om3	type=SECONDARY;denom=70;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00088530||experimental group	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00089635||panitumumab||om3	type=SECONDARY;denom=7;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00089635||panitumumab	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00089999||lapatinib 1500 mg qd||om0	type=PRIMARY;denom=69;resolved_by=f	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00089999||lapatinib 1500 mg qd	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00089999||lapatinib 500 mg bid||om0	type=PRIMARY;denom=69;resolved_by=f	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00089999||lapatinib 500 mg bid	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00090363||placebo||om3	type=SECONDARY;denom=51;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00090363||placebo	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00090363||zd4054 10 mg||om3	type=SECONDARY;denom=44;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00090363||zd4054 10 mg	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00090363||zd4054 15 mg||om3	type=SECONDARY;denom=41;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00090363||zd4054 15 mg	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
