nct	canonical_payload	results_group_id	n_distinct_titles	titles
NCT00410124	ctg_placebo_onc_1999_2009.txt	OG000	3	day 1|day 15|rad001 +bsc
NCT00410124	ctg_placebo_onc_1999_2009.txt	OG001	2	day 15|placebo + bsc
NCT00974311	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|placebo: db phase
NCT00411749	ctg_placebo_onc_1999_2009.txt	OG000	2	v501|v501-hpv 6
NCT00411749	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|v501-hpv 11
NCT00472303	ctg_placebo_onc_1999_2009.txt	OG000	6	morphine controlled release|morphine controlled release (titration phase)|tapentadol extended release|tapentadol prolonged release|tapentadol prolonged release (maintenance phase)|tapentadol prolonged release (titration phase)
NCT00472303	ctg_placebo_onc_1999_2009.txt	OG001	5	matching placebo after tapentadol in the titration phase|matching placebo after tapentadol in titration phase|morphine controlled release|morphine controlled release (maintenance phase)|morphine controlled release titration phase
NCT00472303	ctg_placebo_onc_1999_2009.txt	OG002	4	matching placebo after tapentadol in the titration phase|matching placebo after tapentadol in titration phase|morphine controlled release|tapentadol prolonged release (maintenance phase)
NCT01989572	ctg_placebo_onc_1999_2009.txt	OG000	3	arm i (gm-csf, peptide vaccine)|gm-csf|peptide vaccination
NCT01989572	ctg_placebo_onc_1999_2009.txt	OG001	3	arm ii (gm-csf placebo, peptide vaccine)|gm-csf placebo|peptide placebo
NCT00048581	ctg_placebo_onc_1999_2009.txt	OG000	5	abatacept (aba)|all treated db participants|all treated participants|ol: aba|open-label aba
NCT00048581	ctg_placebo_onc_1999_2009.txt	OG001	2	ol: pla|placebo (pla)
NCT00666978	ctg_placebo_onc_1999_2009.txt	OG000	2	all study participants|bupropion arm
NCT00771810	ctg_placebo_onc_1999_2009.txt	OG002	2	txa127 300 ug/kg|txa127 300ug/kg
NCT00327444	ctg_placebo_onc_1999_2009.txt	OG000	2	double blind (db) period|placebo
NCT00327444	ctg_placebo_onc_1999_2009.txt	OG001	2	aflibercept|open-label (ol) period
NCT00876395	ctg_placebo_onc_1999_2009.txt	OG000	4	everolimus|everolimus + paclitaxel + trastuzumab|everolimus + trastuzumab|everolimus 10 mg/day
NCT00876395	ctg_placebo_onc_1999_2009.txt	OG001	3	everolimus 5 mg/day|everolimus placebo|placebo + paclitaxel + trastuzumab
NCT00090220	ctg_placebo_onc_1999_2009.txt	OG000	3	qhpv in base study|qhpv in base study: all participants|qhpv in base study: participants
NCT00090220	ctg_placebo_onc_1999_2009.txt	OG001	5	base study: placebo|placebo in base study|placebo in the base study|qhpv in base study: participants 24 to 34 years old|qhpv in base study: participants 24 to 35 years old
NCT00790400	ctg_placebo_onc_1999_2009.txt	OG001	2	everolimus (core and/or extension period)|placebo randomized (core period)
NCT00961896	ctg_placebo_onc_1999_2009.txt	OG000	2	lde225 (applied in parallel with vehicle) [part i]|lde225 0.25% [part ii]
NCT00961896	ctg_placebo_onc_1999_2009.txt	OG001	2	lde225 0.75% [part ii]|vehicle cream (applied in parallel with lde225 [part i]
NCT00330382	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i (bowman-birk inhibitor concentrate)|combined bowman-birk inhibitor concentrate and placebo groups
NCT00754845	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i|letrozole
NCT00754845	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii|placebo
NCT00536939	ctg_placebo_onc_1999_2009.txt	OG000	2	enzastaurin + bevacizumab + paclitaxel|enzastaurin + paclitaxel + bevacizumab
NCT00618618	ctg_placebo_onc_1999_2009.txt	OG002	2	0deoxycholic acid injection 0.4 ml/1.0 cm|deoxycholic acid injection 0.4 ml/1.0 cm
NCT00466440	ctg_placebo_onc_1999_2009.txt	OG000	4	docetaxel 75 mg/m^2 alone|enzastaurin 500 mg qd alone|part 1: docetaxel + prednisone + enzastaurin|part 2: docetaxel + prednisone + enzastaurin
NCT00466440	ctg_placebo_onc_1999_2009.txt	OG001	4	enzastaurin 500 mg qd + docetaxel 75 mg/m^2 + prednisone|enzastaurin 500 mg qd+docetaxel 75 mg/m^2+prednisone (part 1)|part 2: docetaxel + prednisone + enzastaurin|part 2: docetaxel + prednisone + placebo
NCT00466440	ctg_placebo_onc_1999_2009.txt	OG002	2	enzastaurin 500 mg qd+docetaxel 75 mg/m^2+prednisone (part 2)|part 2: docetaxel + prednisone + placebo
NCT00186901	ctg_placebo_onc_1999_2009.txt	OG000	7	9 to 13 years|apa 1 - aa genotype|bsm - bb genotype|male|placebo|placebo - (qct)|white
NCT00186901	ctg_placebo_onc_1999_2009.txt	OG001	7	13 to 18 years|apa 1 - aa genotype|bsm - bb genotype|female|non-white|placebo - (dxa)|supplement
NCT00186901	ctg_placebo_onc_1999_2009.txt	OG002	4	18 to 22 years|apa 1 - aa genotype|bsm - bb genotype|supplement - (qct)
NCT00186901	ctg_placebo_onc_1999_2009.txt	OG003	2	above 22 years|supplement - (dxa)
NCT00534209	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i|arm i: allogeneic b7.1/hla-a1
NCT00805194	ctg_placebo_onc_1999_2009.txt	OG000	3	nintedanib plus docetaxel|nitedanib 200 mg bid plus docetaxel|nitedanib plus docetaxel
NCT00805194	ctg_placebo_onc_1999_2009.txt	OG001	2	nintedanib 150 bid mg plus docetaxel|placebo plus docetaxel
NCT00567190	ctg_placebo_onc_1999_2009.txt	OG000	2	pertuzumab + trastuzumab + docetaxel|placebo + trastuzumab + docetaxel
NCT00567190	ctg_placebo_onc_1999_2009.txt	OG001	2	pertuzumab + trastuzumab + docetaxel|placebo + trastuzumab + docetaxel
NCT00118040	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i (300mg genistein)|arm iv (300mg genistein + 600mg genistein)
NCT00118040	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii (600mg genistein)|arm iii (placebo)
NCT00118040	ctg_placebo_onc_1999_2009.txt	OG002	2	arm i (300mg genistein)|arm iii (placebo)
NCT00118040	ctg_placebo_onc_1999_2009.txt	OG003	2	arm ii (600mg genistein)|arm iv (300mg genistein + 600mg genistein)
NCT00601172	ctg_placebo_onc_1999_2009.txt	OG000	2	casopitant 90 mg|placebo
NCT00046891	ctg_placebo_onc_1999_2009.txt	OG000	4	ginkgo biloba|ginko bibola|solve problems|stay focused
NCT00046891	ctg_placebo_onc_1999_2009.txt	OG001	3	placebo|plan ahead|think clearly
NCT00046891	ctg_placebo_onc_1999_2009.txt	OG002	2	balance checkbook|make decisions
NCT00092534	ctg_placebo_onc_1999_2009.txt	OG000	2	base study group 1: qhpv vaccine|ltfu: cohort 1
NCT00462280	ctg_placebo_onc_1999_2009.txt	OG000	2	lovastatin|two matched nevi group - lovastatin
NCT00462280	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|two matched nevi group - placebo
NCT00031551	ctg_placebo_onc_1999_2009.txt	OG000	4	main study participants|main study: etanercept mouthwash|pilot study|pilot study: baseline scores
NCT00031551	ctg_placebo_onc_1999_2009.txt	OG001	2	main study: placebo mouthwash|pilot study: day 9 after ct scores
NCT00510068	ctg_placebo_onc_1999_2009.txt	OG001	2	everolimus 5 mg/day|placebo
NCT00925600	ctg_placebo_onc_1999_2009.txt	OG000	2	placebo|placebo - left eye
NCT00925600	ctg_placebo_onc_1999_2009.txt	OG001	2	denosumab|placebo - right eye
NCT00706121	ctg_placebo_onc_1999_2009.txt	OG000	3	active selenium|active vitamin e|vitamin e
NCT00706121	ctg_placebo_onc_1999_2009.txt	OG001	3	selenium|selenium placebo|vitamin e placebo
NCT00021541	ctg_placebo_onc_1999_2009.txt	OG000	2	phase a - tipifarnib|tipifarnib & placebo
NCT00879333	ctg_placebo_onc_1999_2009.txt	OG001	3	everolimus 5 mg/day|everolimus 5mg/day|placebo
NCT00412061	ctg_placebo_onc_1999_2009.txt	OG000	2	everolimus open label arm|octreotide+ everolimus
NCT00412061	ctg_placebo_onc_1999_2009.txt	OG001	2	octreotide+ placebo|octreotide+ placebo followed by open label arm
NCT00943826	ctg_placebo_onc_1999_2009.txt	OG000	2	bevacizumab + rt + temozolomide|bevacizumab + rt +temozolomide
NCT00379353	ctg_placebo_onc_1999_2009.txt	OG000	2	group 1: thalidomide|thalidomide (baseline)
NCT00379353	ctg_placebo_onc_1999_2009.txt	OG001	2	group 2: placebo|thalidomide (day 15)
NCT00379353	ctg_placebo_onc_1999_2009.txt	OG002	2	placebo (baseline)|thalidomide (day 29)
NCT00379353	ctg_placebo_onc_1999_2009.txt	OG003	2	placebo (baseline)|placebo (day 15)
NCT00294047	ctg_placebo_onc_1999_2009.txt	OG001	2	aluminium hydroxide|aluminium hydroxide group
NCT00467844	ctg_placebo_onc_1999_2009.txt	OG000	2	gtx -024|gtx-024 1 mg
NCT00467844	ctg_placebo_onc_1999_2009.txt	OG001	2	gtx-024|gtx-024 3 mg
NCT00467844	ctg_placebo_onc_1999_2009.txt	OG002	2	3 mg of placebo|placebo
NCT00753714	ctg_placebo_onc_1999_2009.txt	OG000	2	zd6474 ( (vandetanib),gemcitabine|zd6474 (vandetanib),gemcitabine
NCT00391118	ctg_placebo_onc_1999_2009.txt	OG000	2	part 1 - modified regimen a|part 2 - regimen a
NCT00391118	ctg_placebo_onc_1999_2009.txt	OG001	2	part 2 - regimen a|part 2 - regimen b
NCT00091169	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i|levocarnitine
NCT00091169	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii|placebo
NCT00216060	ctg_placebo_onc_1999_2009.txt	OG000	2	risedronate|risedronate arm
NCT00216060	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|placebo arm
NCT00806819	ctg_placebo_onc_1999_2009.txt	OG001	2	nintedanib 150 mg bid plus pemetrexed|placebo plus pemetrexed
NCT00900627	ctg_placebo_onc_1999_2009.txt	OG000	2	azd8931 160 mg bd|azd8931 40mg bd + paclitaxel
NCT00900627	ctg_placebo_onc_1999_2009.txt	OG001	2	azd8931 120 mg bd|placebo + paclitaxel
NCT00841204	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i|sulindac
NCT00841204	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii|placebo
NCT00085644	ctg_placebo_onc_1999_2009.txt	OG000	2	adalimumab|any adalimumab
NCT00714233	ctg_placebo_onc_1999_2009.txt	OG000	2	lifestyle program|metformin
NCT00714233	ctg_placebo_onc_1999_2009.txt	OG002	2	lifestle|lifestyle counseling
NCT00533429	ctg_placebo_onc_1999_2009.txt	OG000	2	enzastaurin + pemetrexed + carboplatin + bevacizumab|pemetrexed + carboplatin + bevacizumab + enzastaurin
NCT00702949	ctg_placebo_onc_1999_2009.txt	OG000	2	pregabalin150|pregabalin75
NCT00702949	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|pregabalin150
NCT00973856	ctg_placebo_onc_1999_2009.txt	OG000	2	purell left hand/ placebo right hand|purell vf481
NCT00843167	ctg_placebo_onc_1999_2009.txt	OG000	2	benign tissue; ki-67|sulforaphane supplement
NCT00843167	ctg_placebo_onc_1999_2009.txt	OG001	3	dcis tissue; ki-67|placebo|treatment
NCT00451555	ctg_placebo_onc_1999_2009.txt	OG000	2	enzastaurin + fulvestrant bid + qd|enzastaurin + fulvestrant qd + bid
NCT00451555	ctg_placebo_onc_1999_2009.txt	OG003	2	fulvestrant + placebo|placebo + fulvestrant bid
NCT00296036	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i: (urea/lactic acid +vit b6)|urea/lactic acid cream
NCT00296036	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii: (urea/lactic acid + placebo)|placebo cream
NCT00825227	ctg_placebo_onc_1999_2009.txt	OG000	2	patient responses to 150 mg/day armodafinil|placebo
NCT00825227	ctg_placebo_onc_1999_2009.txt	OG001	2	armodafinil 150 mg/day|patient responses to placebo
NCT00434161	ctg_placebo_onc_1999_2009.txt	OG000	3	palifermin (palifermin before only and, before and after)|palifermin before only|placebo
NCT00434161	ctg_placebo_onc_1999_2009.txt	OG001	2	palifermin|placebo
NCT00502307	ctg_placebo_onc_1999_2009.txt	OG000	4	investigator assessment|investigator assessment (tivozanib)|open-label period: tivozanib (av-951)|tivozanib 1.5 mg
NCT00502307	ctg_placebo_onc_1999_2009.txt	OG001	3	double-blind period: tivozanib (av-951)|independent radiology reviewer assessment|investigator assessment (placebo)
NCT00502307	ctg_placebo_onc_1999_2009.txt	OG002	3	double-blind period: placebo|independent radiology reviewer (tivozanib)|independent radiology reviewer assessment (tivozanib)
NCT00502307	ctg_placebo_onc_1999_2009.txt	OG003	2	independent radiology reviewer (placebo)|independent radiology reviewer assessment (placebo)
NCT00414648	ctg_placebo_onc_1999_2009.txt	OG000	3	active agent (sirolimus)|sirolimus|sirolimus treatment arm
NCT00414648	ctg_placebo_onc_1999_2009.txt	OG001	3	placebo|placebo arm|placebo treatment arm
NCT00960440	ctg_placebo_onc_1999_2009.txt	OG002	2	placebo|placebo, then cp-690,550 5 mg
NCT00332202	ctg_placebo_onc_1999_2009.txt	OG000	4	enzastaurin: arm a - experimental|enzastaurin: arm a - experimental with germinal-center b-cells|enzastaurin: arm a with pkc-β2 cytoplasm (high expression)|total enzastaurin population
NCT00332202	ctg_placebo_onc_1999_2009.txt	OG001	3	enzastaurin: arm a - experimental non-germinal-center b-cells|enzastaurin: arm a with pkc-β2 cytoplasm (low expression)|placebo: arm b - control
NCT00332202	ctg_placebo_onc_1999_2009.txt	OG002	2	placebo: arm b - control with germinal-center b-cells|placebo: arm b with pkc-β2 cytoplasm (high expression)
NCT00332202	ctg_placebo_onc_1999_2009.txt	OG003	2	placebo arm b- control with non-germinal-center b-cells|placebo: arm b with pkc-β2 cytoplasm (low expression)
NCT00496626	ctg_placebo_onc_1999_2009.txt	OG000	2	vaccine (gardasil®) group|vaccine (gardasil®) group (day 1)
NCT00496626	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo group|placebo group (day 1)
NCT00843635	ctg_placebo_onc_1999_2009.txt	OG000	3	arm a (tadalafil 10mg) + arm b (tadalafil 20mg)|arm a - 10mg|arm a - tadalafil 10mg
NCT01216176	ctg_placebo_onc_1999_2009.txt	OG000	2	phase 1 - cohort a|phase 2 - cohort b [anastrozole + azd0530]
NCT00791154	ctg_placebo_onc_1999_2009.txt	OG000	2	phase 1: amg 479/carboplatin+etoposide|phase 2 ganitumab
NCT00791154	ctg_placebo_onc_1999_2009.txt	OG001	2	phase 1: amg 479/cisplatin+etoposide|phase 2 placebo
NCT00791154	ctg_placebo_onc_1999_2009.txt	OG004	2	phase 2 ganitumab|phase 2 rilotumumab
NCT00791154	ctg_placebo_onc_1999_2009.txt	OG005	2	phase 2 placebo|phase 2 rilotumumab
NCT00290251	ctg_placebo_onc_1999_2009.txt	OG000	2	ulipristal acetate -10 and 20mg|ulipristal acetate -20mg
NCT00290251	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|ulipristal acetate - 10 mg
NCT00255125	ctg_placebo_onc_1999_2009.txt	OG000	2	arm placebo|arm soy supplement
NCT00255125	ctg_placebo_onc_1999_2009.txt	OG001	2	arm placebo|arm soy supplement
NCT00463580	ctg_placebo_onc_1999_2009.txt	OG000	3	all participants|crp greater than 5 mg/l|infliximab
NCT00463580	ctg_placebo_onc_1999_2009.txt	OG001	3	baseline hs-crp of >1 mg/l|crp less than or equal to 5 mg/l|placebo
NCT00687297	ctg_placebo_onc_1999_2009.txt	OG000	2	all randomized patients|randomized to vandetanib maintenance
NCT00445887	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i (levenorgestrel)|grade 1 ctcae v 3.0 arm i (levonorgestrel)
NCT00445887	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii (placebo)|grade 2 ctcae v 3.0 arm 1 (levonorgestrel)
NCT00290758	ctg_placebo_onc_1999_2009.txt	OG000	2	arm a (genistein)|arm i (genistein)
NCT00290758	ctg_placebo_onc_1999_2009.txt	OG001	2	arm b (placebo)|arm ii (placebo)
NCT00472108	ctg_placebo_onc_1999_2009.txt	OG000	3	photodynamic therapy (pdt) metvix cream 160 milligram/gram (mg/g)|photodynamic therapy (pdt) with metvix cream 160 milligram/gram (mg/g)|photodynamic therapy (pdt) with metvix cream 160 milligrams/gram (mg/g)
NCT00472108	ctg_placebo_onc_1999_2009.txt	OG001	2	photodynamic therapy (pdt) placebo cream|photodynamic therapy (pdt) with placebo cream
NCT00849667	ctg_placebo_onc_1999_2009.txt	OG000	2	1.25 mg/kg farletuzumab plus taxane and carboplatin|all participants: farletuzumab
NCT00849667	ctg_placebo_onc_1999_2009.txt	OG001	2	2.5 mg/kg farletuzumab plus taxane and carboplatin|placebo plus taxane and carboplatin
NCT00602030	ctg_placebo_onc_1999_2009.txt	OG000	3	double-blind phase: erlotinib + placebo|lead-in phase: erlotinib + entinostat|lead-in phase: erlotinib + entinostat 5 mg
NCT00602030	ctg_placebo_onc_1999_2009.txt	OG001	2	double-blind phase: erlotinib + entinostat 10 mg|lead-in phase: erlotinib + entinostat 10 mg
NCT00538681	ctg_placebo_onc_1999_2009.txt	OG000	2	part 1- cohort 1|part 2- enzastaurin
NCT00538681	ctg_placebo_onc_1999_2009.txt	OG001	2	part 1- cohort 2|part 2- placebo
NCT00334282	ctg_placebo_onc_1999_2009.txt	OG000	2	pazopanib|pazopanib 800 mg
NCT00103610	ctg_placebo_onc_1999_2009.txt	OG000	2	g-csf + plerixafor|g-csf plus plerixafor
NCT00727194	ctg_placebo_onc_1999_2009.txt	OG000	2	eculizumab|eculizumab period 1
NCT00727194	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo|placebo period 1
NCT00727194	ctg_placebo_onc_1999_2009.txt	OG002	2	eculizumab both periods|eculizumab period 2
NCT00727194	ctg_placebo_onc_1999_2009.txt	OG003	2	placebo both periods|placebo period 2
NCT00092547	ctg_placebo_onc_1999_2009.txt	OG000	2	qhpv vaccine in base study|qhpv vaccine in extension study
NCT00092547	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo in base study|qhpv vaccine in extension study
NCT00789373	ctg_placebo_onc_1999_2009.txt	OG000	2	pemetrexed + cisplatin followed by maintenance pemetrexed|pemetrexed plus cisplatin followed by maintenance pemetrexed
NCT00789373	ctg_placebo_onc_1999_2009.txt	OG001	2	pemetrexed + cisplatin followed by placebo|pemetrexed plus cisplatin followed by placebo
NCT00612586	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo + 5fu/lv + bev|placebo + 5fu/lv +bev
NCT00709995	ctg_placebo_onc_1999_2009.txt	OG000	2	enzastaurin + sunitinib|modified regimen a (cohort 1)
NCT00709995	ctg_placebo_onc_1999_2009.txt	OG001	2	regimen a (cohort 2)|sunitinib + placebo
NCT00692770	ctg_placebo_onc_1999_2009.txt	OG000	4	afp high expression group|ang-2 high expression group|met high expression group|sorafenib (nexavar, bay43-9006)
NCT00692770	ctg_placebo_onc_1999_2009.txt	OG001	4	afp low expression group|ang-2 low expression group|met low expression group|placebo
NCT00983580	ctg_placebo_onc_1999_2009.txt	OG000	2	all patients|arm i (acetylsalicylic acid and eflornithine)
NCT00096356	ctg_placebo_onc_1999_2009.txt	OG000	2	arm 1 - coq10 & vitamin e|arm 1- coq10 & vitamin e
NCT00480025	ctg_placebo_onc_1999_2009.txt	OG000	3	gsk1572932 ct group|gsk1572932 group|gsk1572932 no-ct group
NCT00480025	ctg_placebo_onc_1999_2009.txt	OG001	3	placebo ct group|placebo group|placebo no-ct group
NCT00257608	ctg_placebo_onc_1999_2009.txt	OG000	2	bevacizumab + placebo|carboplatin + paclitaxel
NCT00257608	ctg_placebo_onc_1999_2009.txt	OG001	2	bevacizumab + erlotinib|carboplatin + gemcitabine
NCT00621946	ctg_placebo_onc_1999_2009.txt	OG001	2	matching placebo|placebo
NCT00630552	ctg_placebo_onc_1999_2009.txt	OG000	2	phase 1b amg 655 3mg/kg|phase 2 amg 655
NCT00630552	ctg_placebo_onc_1999_2009.txt	OG001	2	phase 1b amg 655 10mg/kg|phase 2 amg 479
NCT00630552	ctg_placebo_onc_1999_2009.txt	OG002	2	phase 2 amg 655|phase 2 amg 655-placebo
NCT00289341	ctg_placebo_onc_1999_2009.txt	OG000	3	dendritic cells pulsed with lncap (dc/lncap)|median difference, post-pre vaccination|pre-vs post-vaccination psa slope
NCT00796445	ctg_placebo_onc_1999_2009.txt	OG003	2	gs+ placebo sub-group|gs- mage-a3 sub-group
NCT00796445	ctg_placebo_onc_1999_2009.txt	OG004	2	gs+ placebo sub-group|gs- mage-a3 sub-group
NCT01007942	ctg_placebo_onc_1999_2009.txt	OG000	3	everolimus|everolimus + vinorelbine + trastuzumab|everolimus 2.5 mg
NCT01007942	ctg_placebo_onc_1999_2009.txt	OG001	3	everolimus|everolimus placebo|placebo + vinorelbine + trastuzumab
NCT00535769	ctg_placebo_onc_1999_2009.txt	OG000	2	control: electronic monitor+ no text message|usefulness of text messaging system
NCT00740116	ctg_placebo_onc_1999_2009.txt	OG000	2	the placebo group|tranexamic group
NCT00740116	ctg_placebo_onc_1999_2009.txt	OG001	2	placebo group|the tranexamic acid group
NCT00169104	ctg_placebo_onc_1999_2009.txt	OG000	2	all patients|g-csf arm
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG000	2	olanzapine (drug/placebo)-drug|olanzapine, to be followed by normal saline
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG001	2	normal saline, following olanzapine|olanzapine (drug/placebo)-placebo
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG002	2	normal saline, to be followed by olanzapine|olanzapine (placebo/drug)-placebo
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG003	2	olanzapine (placebo/drug)-drug|olanzapine, following normal saline
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG004	2	normal saline, to be followed by ziprasidone|ziprasidone (placebo/drug)-placebo
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG005	2	ziprasidone (placebo/drug)-drug|ziprasidone, following normal saline
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG006	2	ziprasidone (drug/placebo)-drug|ziprasidone, to be followed by normal saline
NCT00910988	ctg_placebo_onc_1999_2009.txt	OG007	2	normal saline, following ziprasidone|ziprasidone (drug/placebo)-placebo
NCT00676663	ctg_placebo_onc_1999_2009.txt	OG000	2	exemestane 25 mg + placebo|exemestane 25 mg + placebo (ep)
NCT00676663	ctg_placebo_onc_1999_2009.txt	OG001	2	exemestane 25 mg + entinostat 5 mg|exemestane 25 mg + entinostat 5 mg (ee)
NCT00445601	ctg_placebo_onc_1999_2009.txt	OG000	2	arm i|arm i: gemcitabine
NCT00445601	ctg_placebo_onc_1999_2009.txt	OG001	2	arm ii|arm ii: placebo
NCT00789828	ctg_placebo_onc_1999_2009.txt	OG001	2	everolimus (extension period)|placebo (core period)
NCT00438464	ctg_placebo_onc_1999_2009.txt	OG000	7	arm i (finasteride)|finasteride arm within gg3|finasteride arm within gg4|gg3, within finasteride arm|gg3, within placebo arm|within gg3, finasteride arm|within gg3, placebo arm
NCT00438464	ctg_placebo_onc_1999_2009.txt	OG001	7	arm ii (placebo)|gg4, within finasteride arm|gg4, within placebo arm|placebo arm within gg3|placebo arm within gg4|within gg4, finasteride arm|within gg4, placebo arm
NCT00320255	ctg_placebo_onc_1999_2009.txt	OG005	2	cohort 2: apixaban, 5 mg|cohort 2: apixiban, 5 mg
NCT01056341	ctg_placebo_onc_2010_2013.txt	OG001	2	propranolol 1mg/kg/d 3 months|propranolol 3mg/kg/d 6 months
NCT01351805	ctg_placebo_onc_2010_2013.txt	OG000	2	active n-3 fa|active vitamin d
NCT01351805	ctg_placebo_onc_2010_2013.txt	OG001	2	placebo n-3 fa|placebo vitamin d
NCT01351805	ctg_placebo_onc_2010_2013.txt	OG002	2	active n-3 fa|active vitamin d
NCT01351805	ctg_placebo_onc_2010_2013.txt	OG003	2	placebo n-3 fa|placebo vitamin d
