cohort_key	nct	results_group_title_norm	n_observations	observation_ids	om_indices	distinct_om_types	distinct_titles	distinct_time_frames	distinct_constructs	distinct_criteria	distinct_criteria_versions	distinct_population_descriptions	distinct_param_types	distinct_units	distinct_denominator_values	distinct_denominator_states	n_usable_for_proportion	duplicate_encoding_candidate	unresolved_states	selection_status	resolution_note
NCT00054353||related donor	NCT00054353	related donor	1	NCT00054353#om7#OG000	7	SECONDARY	1	1	1	1	1	1	1	1	12	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00054353||unrelated donor	NCT00054353	unrelated donor	1	NCT00054353#om7#OG001	7	SECONDARY	1	1	1	1	1	1	1	1	4	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00058552||pertuzumab 1050 mg	NCT00058552	pertuzumab 1050 mg	1	NCT00058552#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	62	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00058552||pertuzumab 420 mg	NCT00058552	pertuzumab 420 mg	1	NCT00058552#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	55	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062751||let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	NCT00062751	let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	2	NCT00062751#om0#OG002|NCT00062751#om1#OG002	0|1	PRIMARY|SECONDARY	2	2	2	1	1	2	1	1	0	REPORTED_ZERO	0	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062751||let 2.5 mg plus 10 mg daily cci-779	NCT00062751	let 2.5 mg plus 10 mg daily cci-779	2	NCT00062751#om0#OG000|NCT00062751#om1#OG000	0|1	PRIMARY|SECONDARY	2	2	2	1	1	2	1	1	0	REPORTED_ZERO	0	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062751||let 2.5 mg plus 25mg daily cci-779	NCT00062751	let 2.5 mg plus 25mg daily cci-779	2	NCT00062751#om0#OG003|NCT00062751#om1#OG003	0|1	PRIMARY|SECONDARY	2	2	2	1	1	2	1	1	0	REPORTED_ZERO	0	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062751||let 2.5 mg plus 30 mg intermittent cci-779	NCT00062751	let 2.5 mg plus 30 mg intermittent cci-779	2	NCT00062751#om0#OG001|NCT00062751#om1#OG001	0|1	PRIMARY|SECONDARY	2	2	2	1	1	2	1	1	0	REPORTED_ZERO	0	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062751||let 2.5 mg plus 75 mg intermittent cci-779	NCT00062751	let 2.5 mg plus 75 mg intermittent cci-779	2	NCT00062751#om0#OG004|NCT00062751#om1#OG004	0|1	PRIMARY|SECONDARY	2	2	2	1	1	2	1	1	0	REPORTED_ZERO	0	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group a dl1	NCT00062868	lmp1/2 ctls (alci) - group a dl1	1	NCT00062868#om1#OG009	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group a dl2	NCT00062868	lmp1/2 ctls (alci) - group a dl2	1	NCT00062868#om1#OG010	1	SECONDARY	1	1	1	1	1	1	1	1	4	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group a dl3	NCT00062868	lmp1/2 ctls (alci) - group a dl3	1	NCT00062868#om1#OG011	1	SECONDARY	1	1	1	1	1	1	1	1	5	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group a expansion	NCT00062868	lmp1/2 ctls (alci) - group a expansion	1	NCT00062868#om1#OG018	1	SECONDARY	1	1	1	1	1	1	1	1	15	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group b dl1	NCT00062868	lmp1/2 ctls (alci) - group b dl1	1	NCT00062868#om1#OG012	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group b dl2	NCT00062868	lmp1/2 ctls (alci) - group b dl2	1	NCT00062868#om1#OG013	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group b dl3	NCT00062868	lmp1/2 ctls (alci) - group b dl3	1	NCT00062868#om1#OG014	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group b expansion	NCT00062868	lmp1/2 ctls (alci) - group b expansion	1	NCT00062868#om1#OG019	1	SECONDARY	1	1	1	1	1	1	1	1	2	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group c dl1	NCT00062868	lmp1/2 ctls (alci) - group c dl1	1	NCT00062868#om1#OG015	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group c dl2	NCT00062868	lmp1/2 ctls (alci) - group c dl2	1	NCT00062868#om1#OG016	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group c dl3	NCT00062868	lmp1/2 ctls (alci) - group c dl3	1	NCT00062868#om1#OG017	1	SECONDARY	1	1	1	1	1	1	1	1	4	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp1/2 ctls (alci) - group c expansion	NCT00062868	lmp1/2 ctls (alci) - group c expansion	1	NCT00062868#om1#OG020	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group a dl1	NCT00062868	lmp2a ctls (alascer) - group a dl1	1	NCT00062868#om1#OG000	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group a dl2	NCT00062868	lmp2a ctls (alascer) - group a dl2	1	NCT00062868#om1#OG001	1	SECONDARY	1	1	1	1	1	1	1	1	6	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group a dl3	NCT00062868	lmp2a ctls (alascer) - group a dl3	1	NCT00062868#om1#OG002	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group b dl1	NCT00062868	lmp2a ctls (alascer) - group b dl1	1	NCT00062868#om1#OG003	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group b dl2	NCT00062868	lmp2a ctls (alascer) - group b dl2	1	NCT00062868#om1#OG004	1	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group b dl3	NCT00062868	lmp2a ctls (alascer) - group b dl3	1	NCT00062868#om1#OG005	1	SECONDARY	1	1	1	1	1	1	1	1	0	REPORTED_ZERO	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group c dl1	NCT00062868	lmp2a ctls (alascer) - group c dl1	1	NCT00062868#om1#OG006	1	SECONDARY	1	1	1	1	1	1	1	1	4	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group c dl2	NCT00062868	lmp2a ctls (alascer) - group c dl2	1	NCT00062868#om1#OG007	1	SECONDARY	1	1	1	1	1	1	1	1	0	REPORTED_ZERO	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00062868||lmp2a ctls (alascer) - group c dl3	NCT00062868	lmp2a ctls (alascer) - group c dl3	1	NCT00062868#om1#OG008	1	SECONDARY	1	1	1	1	1	1	1	1	0	REPORTED_ZERO	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00063154||pertuzumab	NCT00063154	pertuzumab	2	NCT00063154#om0#OG000|NCT00063154#om1#OG000	0|1	PRIMARY|SECONDARY	2	1	1	1	1	1	1	2	35|38	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00064350||placebo	NCT00064350	placebo	2	NCT00064350#om0#OG001|NCT00064350#om3#OG001	0|3	PRIMARY|SECONDARY	2	2	2	1	1	1	1	2	31	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00064350||sorafenib	NCT00064350	sorafenib	2	NCT00064350#om0#OG000|NCT00064350#om3#OG000	0|3	PRIMARY|SECONDARY	2	2	2	1	1	1	1	2	50	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00065182||iv docetaxel	NCT00065182	iv docetaxel	1	NCT00065182#om3#OG001	3	SECONDARY	1	1	1	1	1	1	1	1	0	REPORTED_ZERO	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00065182||iv topotecan + iv docetaxel	NCT00065182	iv topotecan + iv docetaxel	1	NCT00065182#om3#OG000	3	SECONDARY	1	1	1	1	1	1	1	1	0	REPORTED_ZERO	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069095||folfox-4+bv/xelox+bv	NCT00069095	folfox-4+bv/xelox+bv	2	NCT00069095#om11#OG001|NCT00069095#om19#OG001	11|19	SECONDARY	2	1	2	1	1	1	2	2	699	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069095||folfox-4+p/xelox+p	NCT00069095	folfox-4+p/xelox+p	2	NCT00069095#om11#OG000|NCT00069095#om19#OG000	11|19	SECONDARY	2	1	2	1	1	1	2	2	701	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069095||folfox-4/folfox-4+p/folfox-4+bv	NCT00069095	folfox-4/folfox-4+p/folfox-4+bv	2	NCT00069095#om10#OG000|NCT00069095#om18#OG000	10|18	SECONDARY	2	1	2	1	1	1	2	2	937	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069095||xelox/xelox+p/xelox+bv	NCT00069095	xelox/xelox+p/xelox+bv	2	NCT00069095#om10#OG001|NCT00069095#om18#OG001	10|18	SECONDARY	2	1	2	1	1	1	2	2	967	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069108||folfox-4	NCT00069108	folfox-4	2	NCT00069108#om4#OG001|NCT00069108#om5#OG001	4|5	SECONDARY	2	1	1	1	1	1	1	1	314	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00069108||xelox	NCT00069108	xelox	2	NCT00069108#om4#OG000|NCT00069108#om5#OG000	4|5	SECONDARY	2	1	1	1	1	1	1	1	313	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00073307||placebo	NCT00073307	placebo	1	NCT00073307#om3#OG001	3	SECONDARY	1	1	1	1	1	1	1	1	337	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00073307||sorafenib (nexavar, bay43-9006)	NCT00073307	sorafenib (nexavar, bay43-9006)	1	NCT00073307#om3#OG000	3	SECONDARY	1	1	1	1	1	1	1	1	335	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00073749||inotuzumab ozogamicin 1.8 mg/m^2: lead-in + expanded cohorts	NCT00073749	inotuzumab ozogamicin 1.8 mg/m^2: lead-in + expanded cohorts	4	NCT00073749#om8#OG000|NCT00073749#om9#OG000|NCT00073749#om11#OG000|NCT00073749#om12#OG000	8|9|11|12	SECONDARY|OTHER_PRE_SPECIFIED	4	3	3	1	1	4	2	4	30|22|35|48	PRESENT	4	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00073957||yttrium y 90 ibritumomab tiuxetan and rituximab	NCT00073957	yttrium y 90 ibritumomab tiuxetan and rituximab	1	NCT00073957#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	25	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00075218||placebo double-blind treatment	NCT00075218	placebo double-blind treatment	1	NCT00075218#om6#OG001	6	SECONDARY	1	1	1	1	1	1	1	1	118	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00075218||sunitinib double-blind treatment	NCT00075218	sunitinib double-blind treatment	1	NCT00075218#om6#OG000	6	SECONDARY	1	1	1	1	1	1	1	1	243	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00075504||stratum a normal liver function triapine, gemcitabine	NCT00075504	stratum a normal liver function triapine, gemcitabine	1	NCT00075504#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	23	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00075504||stratum b abnormal liver function triapine, gemcitabine	NCT00075504	stratum b abnormal liver function triapine, gemcitabine	1	NCT00075504#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	10	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00077376||trastuzumab/ixabepilone/carboplatin	NCT00077376	trastuzumab/ixabepilone/carboplatin	2	NCT00077376#om0#OG000|NCT00077376#om1#OG000	0|1	PRIMARY|SECONDARY	2	1	1	1	1	2	1	1	39|59	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00077857||1250 mg/m^2 capecitabine + docetaxel	NCT00077857	1250 mg/m^2 capecitabine + docetaxel	3	NCT00077857#om1#OG000|NCT00077857#om2#OG000|NCT00077857#om3#OG000	1|2|3	SECONDARY	3	3	3	2	1	1	2	2	235	PRESENT	3	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
