nct	relation_type	parent_cohort_key	parent_denominator	component_cohort_keys	component_denominators	component_sum	registered_enrollment	enrollment_type	arithmetic_note	source_pointer
NCT01055067	POOLED_PARENT_WITH_COMPONENTS	NCT01055067||total	27	NCT01055067||stage 1: arq 197 360 mg bid	21	21	27	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01055067
NCT01078662	POOLED_PARENT_WITH_COMPONENTS	NCT01078662||all patients	298/266	NCT01078662||breast cancer|NCT01078662||ovarian cancer|NCT01078662||pancreatic cancer|NCT01078662||prostate cancer|NCT01078662||other cancers	62/58|193/167|23|8/7|12/11	298	298	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01078662
NCT01088984	POOLED_PARENT_WITH_COMPONENTS	NCT01088984||total	43	NCT01088984||phase 2: bendamustine 120 mg/m^2|NCT01088984||phase 1: bendamustine 90 or 120 mg/m^2	32|11	43	43	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01088984
NCT01199055	POOLED_PARENT_WITH_COMPONENTS	NCT01199055||overall	14	NCT01199055||cs-7017 0.25 mg bid; initial portion|NCT01199055||cs-7017 0.50 mg bid; initial portion|NCT01199055||cs-7017 0.50 mg bid; additional portion|NCT01199055||cs71017 0.5 mg bid; initial and additional portion	3|3|8|11	25	16	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01199055
NCT01199068	POOLED_PARENT_WITH_COMPONENTS	NCT01199068||overall	12	NCT01199068||cs-7017 0.25 mg bid; initial portion|NCT01199068||cs-7017 0.50 mg bid; initial portion|NCT01199068||cs-7017 0.50 mg bid; additional portion|NCT01199068||cs-7017 0.50 mg bid; initial + additional portions	2|3|7|10	22	15	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01199068
NCT01289041	POOLED_PARENT_WITH_COMPONENTS	NCT01289041||all patients	70	NCT01289041||activated pl3k|NCT01289041||non-activated pl3k	49|21	70	70	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01289041
NCT01324830	POOLED_PARENT_WITH_COMPONENTS	NCT01324830||total patients	69	NCT01324830||schedule a bi 847325 6 mg (a1)|NCT01324830||schedule a bi 847325 9 mg (a2)|NCT01324830||schedule a bi 847325 13 mg (a3)|NCT01324830||schedule a bi 847325 19 mg (a4)|NCT01324830||schedule a bi 847325 26 mg (a5)|NCT01324830||schedule a bi 847325 33 mg (a6)|NCT01324830||schedule a bi 847325 46 mg (a7)|NCT01324830||schedule a bi 847325 63 mg (a8)|NCT01324830||schedule a bi 847325 86 mg (a9)|NCT01324830||schedule a bi 847325 120 mg (a10)|NCT01324830||schedule a bi 847325 160 mg (a11)|NCT01324830||schedule b bi 847325 6 mg (b1)|NCT01324830||schedule b bi 847325 12 mg (b2)|NCT01324830||schedule b bi 847325 23 mg (b3)|NCT01324830||schedule b bi 847325 46 mg (b4)|NCT01324830||schedule b bi 847325 90 mg (b5)|NCT01324830||schedule b bi 847325 180 mg (b6)|NCT01324830||schedule b bi 847325 130 mg (b7)|NCT01324830||schedule b bi 847325 150 mg (b8)|NCT01324830||schedule a total (total a)|NCT01324830||schedule b total (total b)	3|2/3|3|3|7|7|3|3|5|6|4|1|1|1|1|3/1|3|6|6|47|22	137	69	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01324830
NCT01491672	POOLED_PARENT_WITH_COMPONENTS	NCT01491672||all participants	134	NCT01491672||prior sunitinib|NCT01491672||other prior vascular endothelial growth factor (vegf)|NCT01491672||prior cytokines	58|62|14	134	134	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01491672
NCT01602315	POOLED_PARENT_WITH_COMPONENTS	NCT01602315||all patients	106/45	NCT01602315||arm 1 - byl719+cetuximab (randomized)|NCT01602315||arm 2 - monotherapy cetuximab (randomized)|NCT01602315||arm 3 - byl719+cetuximab|NCT01602315||arm a - 300mg byl719+cetuximab|NCT01602315||arm a - 400mg byl719+cetuximab|NCT01602315||arm b - byl719 + cetuximab, oral suspension|NCT01602315||arm c - byl719+cetuximab, dispersible tablets|NCT01602315||arm 2b - byl719+cetuximab	71|35|29|16|5|18|6|16	196	179	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01602315
NCT01602315	POOLED_PARENT_WITH_COMPONENTS	NCT01602315||all patients (phase ii)	106	NCT01602315||arm 1 - byl719+cetuximab (randomized)|NCT01602315||arm 2 - monotherapy cetuximab (randomized)|NCT01602315||arm 3 - byl719+cetuximab|NCT01602315||arm a - 300mg byl719+cetuximab|NCT01602315||arm a - 400mg byl719+cetuximab|NCT01602315||arm b - byl719 + cetuximab, oral suspension|NCT01602315||arm c - byl719+cetuximab, dispersible tablets|NCT01602315||arm 2b - byl719+cetuximab	71|35|29|16|5|18|6|16	196	179	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01602315
NCT01621490	POOLED_PARENT_WITH_COMPONENTS	NCT01621490||total	140	NCT01621490||n3 60m naive|NCT01621490||n3 60m prog|NCT01621490||n1 60m+i3 90m|NCT01621490||n1 30m + i3 30m non-bm|NCT01621490||n3 30m non-bm|NCT01621490||n1 30m + i3 30m bm|NCT01621490||n3 30m bm|NCT01621490||n3 60m naive, w4|NCT01621490||n3 60m prog, w4|NCT01621490||n1 60m + i3 90m, w2|NCT01621490||n1 60m + i3 90m, w4|NCT01621490||n1 60m + i3 90m, wu|NCT01621490||n3 30m non-bm, w2|NCT01621490||n1 30m + i3 30m bm, w2|NCT01621490||n3 30m bm, w2|NCT01621490||n3 60m, w4|NCT01621490||n3 30m, w2|NCT01621490||n1 + i3, w2|NCT01621490||n1 + i3 w2, non-bm|NCT01621490||n3 naive, non-bm|NCT01621490||n1 + i3 non-bm	41|44|27|25/22|11|10|10|39|36|11|10|6|9|4|3|75|12|37|33|48|49	540	170	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01621490
NCT01708161	POOLED_PARENT_WITH_COMPONENTS	NCT01708161||all patients - phase	23	NCT01708161||hr+bc - phase ii|NCT01708161||ovarian - phase ii|NCT01708161||byl 200mg + amg 12mg/kg|NCT01708161||byl 300mg + amg 12mg/kg|NCT01708161||byl 350mg + amg 12mg/kg	16|6|4|10/33|10	46	47	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01708161
NCT01708161	POOLED_PARENT_WITH_COMPONENTS	NCT01708161||all patients - phase ii	23	NCT01708161||hr+bc - phase ii|NCT01708161||ovarian - phase ii|NCT01708161||byl 200mg + amg 12mg/kg|NCT01708161||byl 300mg + amg 12mg/kg|NCT01708161||byl 350mg + amg 12mg/kg	16|6|4|10/33|10	46	47	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT01708161
NCT02020577	POOLED_PARENT_WITH_COMPONENTS	NCT02020577||all patients	58	NCT02020577||afatinib 30mg+cetuximab 250 mg/m2|NCT02020577||afatinib 40mg+cetuximab 250 mg/m2	3|55	58	58	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT02020577
NCT02027428	POOLED_PARENT_WITH_COMPONENTS	NCT02027428||all participants - induction	420	NCT02027428||nab-paclitaxel + bsc: induction + maintenance|NCT02027428||bsc: induction + maintenance	136|66	202	427	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02027428
NCT02202746	POOLED_PARENT_WITH_COMPONENTS	NCT02202746||all patients	173	NCT02202746||lucitanib (co-3810) 10 mg qd|NCT02202746||lucitanib (co-3810) 15 mg qd	106|67	173	178	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02202746
NCT02319044	POOLED_PARENT_WITH_COMPONENTS	NCT02319044||total	257	NCT02319044||medi4736 + tremelimumab|NCT02319044||medi4736|NCT02319044||tremelimumab	130/129|65|63	258	267	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02319044
NCT02337829	POOLED_PARENT_WITH_COMPONENTS	NCT02337829||total relapse/refractory subjects	31	NCT02337829||acalabrutinib 100 mg bid relapse/refractory|NCT02337829||acalabrutinib 200 mg qd relapse/refractory|NCT02337829||acalabrutinib 100 mg bid treatment naive|NCT02337829||acalabrutinib 200 mg qd treatment naive	18|13|6|10	47	48	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02337829
NCT02337829	POOLED_PARENT_WITH_COMPONENTS	NCT02337829||total treatment naive subjects	16	NCT02337829||acalabrutinib 100 mg bid relapse/refractory|NCT02337829||acalabrutinib 200 mg qd relapse/refractory|NCT02337829||acalabrutinib 100 mg bid treatment naive|NCT02337829||acalabrutinib 200 mg qd treatment naive	18|13|6|10	47	48	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02337829
NCT02411591	POOLED_PARENT_WITH_COMPONENTS	NCT02411591||total enrolled participants (necitumumab + abemaciclib)	66	NCT02411591||cohort 1 (necitumumab 800 mg + abemaciclib 100 mg)|NCT02411591||cohort 2 (necitumumab 800 mg + abemaciclib 150 mg)|NCT02411591||cohort 3 (necitumumab 800 mg + abemaciclib 200 mg)	3|57|6	66	66	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02411591
NCT02513472	POOLED_PARENT_WITH_COMPONENTS	NCT02513472||overall: eribulin mesylate + pembrolizumab	167/74	NCT02513472||stratum 1: eribulin mesylate + pembrolizumab|NCT02513472||stratum 2: eribulin mesylate + pembrolizumab	66/29|101/45	167	258	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02513472
NCT02592707	POOLED_PARENT_WITH_COMPONENTS	NCT02592707||all participants	40	NCT02592707||part a: 177lu-ipn01072 4.5 gbq|NCT02592707||part b cohort 1: 177lu-ipn01072 6 gbq|NCT02592707||part b cohort 3: 177lu-ipn01072 4.5 gbq|NCT02592707||part b cohort 6: 177lu-ipn01072 4.5 gbq	15|6|9|10	40	40	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02592707
NCT02599402	POOLED_PARENT_WITH_COMPONENTS	NCT02599402||total	533	NCT02599402||ecog ps0-1|NCT02599402||ecog ps2|NCT02599402||brain metastasis|NCT02599402||mucosal|NCT02599402||ocular/uveal|NCT02599402||cutaneous|NCT02599402||acral|NCT02599402||other	477|55|42|32|64|365|10|62	1107	533	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02599402
NCT02616393	POOLED_PARENT_WITH_COMPONENTS	NCT02616393||overall bm	16	NCT02616393||cohort a (bm)|NCT02616393||cohort c (bm-ip)|NCT02616393||cohort b (lm)	13|3|20	36	36	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02616393
NCT02759835	POOLED_PARENT_WITH_COMPONENTS	NCT02759835||all participants in cohorts 1, 2, and 3	36	NCT02759835||tyrosine kinase inhibitor naïve epidermal growth factor receptor *mutated non small cell lung cancer|NCT02759835||egfr mutated nsclc progressed on prior 1st/2nd generation egfr tki therapy &acquired t790m mutation|NCT02759835||epidermal growth factor receptor mutated non small cell lung cancer progressed on osimertinib	25|9|3	37	37	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02759835
NCT02844439	POOLED_PARENT_WITH_COMPONENTS	NCT02844439||total	40	NCT02844439||sub-population a|NCT02844439||sub-population b	24|11	35	40	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02844439
NCT02928224	POOLED_PARENT_WITH_COMPONENTS	NCT02928224||combined safety lead-in	36	NCT02928224||phase 3: triplet arm|NCT02928224||phase 3:control arm|NCT02928224||phase 3: doublet arm	111|107|113	331	702	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02928224
NCT02984995	POOLED_PARENT_WITH_COMPONENTS	NCT02984995||total	27	NCT02984995||initial dose 30 mg/day quizartinib|NCT02984995||initial dose 20 mg/day quizartinib	24|3	27	37	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT02984995
NCT03096847	POOLED_PARENT_WITH_COMPONENTS	NCT03096847||total	487	NCT03096847||ribociclib + letrozole cohort a|NCT03096847||ribociclib + letrozole cohort b1|NCT03096847||ribociclib + letrozole cohort b2	307|26|154	487	502	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT03096847
NCT03176238	POOLED_PARENT_WITH_COMPONENTS	NCT03176238||total	235	NCT03176238||asian everolimus + exemestane|NCT03176238||non-asian everolimus + exemestane	199|36	235	235	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2010_2013.txt::NCT03176238
NCT03176277	POOLED_PARENT_WITH_COMPONENTS	NCT03176277||total	20	NCT03176277||ono-7475 3mg|NCT03176277||ono-7475 6mg|NCT03176277||ono-7475 10 mg|NCT03176277||ono-7475 6mg + venetoclax (part d)	10|3|7|22	42	42	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT03176277
NCT03200717	POOLED_PARENT_WITH_COMPONENTS	NCT03200717||all participants	62	NCT03200717||pazopanib- 2nd line|NCT03200717||pazopanib- 3rd line	47|15	62	62	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2014_2017.txt::NCT03200717
NCT03400176	POOLED_PARENT_WITH_COMPONENTS	NCT03400176||all patients expansion	24	NCT03400176||vay736 3mg/kg q2w arm a + ibrutinib 420mg|NCT03400176||vay736 3mg/kg q2w arm b + ibrutinib 280mg|NCT03400176||vay736 3mg/kg q2w arm b + ibrutinib 420mg|NCT03400176||vay736 0.3mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 1mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 3mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 9mg/kg q2w + ibrutinib 420mg	19|1|4|4|3|4|4	39	39	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2018_2021.txt::NCT03400176
NCT03400176	POOLED_PARENT_WITH_COMPONENTS	NCT03400176||all patients escalation	15	NCT03400176||vay736 3mg/kg q2w arm a + ibrutinib 420mg|NCT03400176||vay736 3mg/kg q2w arm b + ibrutinib 280mg|NCT03400176||vay736 3mg/kg q2w arm b + ibrutinib 420mg|NCT03400176||vay736 0.3mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 1mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 3mg/kg q2w + ibrutinib 420mg|NCT03400176||vay736 9mg/kg q2w + ibrutinib 420mg	19|1|4|4|3|4|4	39	39	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2018_2021.txt::NCT03400176
NCT03774082	POOLED_PARENT_WITH_COMPONENTS	NCT03774082||all participants	45	NCT03774082||≥ 12y - < 18y rux 10mg bid (group 1)|NCT03774082||≥ 6y - < 12y rux 5mg bid (group 2)|NCT03774082||≥ 2y - < 6y rux 4mg/m2 bid (group 3)	22|16|7	45	46	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2018_2021.txt::NCT03774082
NCT04035486	POOLED_PARENT_WITH_COMPONENTS	NCT04035486||overall safety run-in participants	30	NCT04035486||randomized: azd9291 + chemo|NCT04035486||randomized: azd9291	279|278	557	587	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2018_2021.txt::NCT04035486
NCT04287868	POOLED_PARENT_WITH_COMPONENTS	NCT04287868||all participants	50	NCT04287868||participants with human papillomavirus 16 (hpv16+) tumors|NCT04287868||human papillomavirus 16 tumors (hpv-16+), immune checkpoint blockade (icb) - naive|NCT04287868||human papillomavirus 16 tumors (hpv-16+), immune checkpoint blockade (icb) - resistant	37|8|29	74	51	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_2018_2021.txt::NCT04287868
