nct	om_title	group_title	evaluable_n	era	family	n_arms_registered	n_results_groups_in_om	arm_set_type_state	registry_arm_types_in_record_verbatim	arm_link_state	arm_link_relation	arm_link_source	arm_link_source_locator	n_candidate_arms	candidate_arm_indices	candidate_arm_labels	candidate_arm_types_verbatim	bound_arm_index	bound_arm_label	bound_arm_registered_type_verbatim	downgraded_candidate_arm_index	downgraded_candidate_arm_label	downgraded_candidate_registered_type_verbatim	contrary_description_locator	contrary_description_evidence_excerpt	comparator_role	comparator_role_basis	comparator_role_identity_assumption	group_text_comparator_wording_unverified	source_join_verification	registry_type_statement	registry_type_statement_assumption	contested_flags	leaf_claim_state	leaf_claim_arm_label	leaf_claim_locator	leaf_claim_verification	leaf_claim_verification_before_downgrade	leaf_narrative_transformed_excerpt_not_parsed	leaf_excerpt_transform	leaf_excerpt_original_chars	leaf_excerpt_at_400_char_cap	sole_arm_multi_results_group_flag	v1_arm_link_state	v1_arm_link_evidence_code	v1_confirmed_registry_arm_label	v1_control_status	job3_control_status	disposition_vs_v1	group_description_transformed_excerpt	group_description_transform	group_description_original_chars
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 1 Milligram	3	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 29; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 29	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-1 milligram solution for infusion after dilution intravenously as one single dose within a 14-day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	140
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 3 Milligram	3	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 33; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 33	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-3 milligram solution for infusion after dilution intravenously as one single dose within a 14-day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	140
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 9 Milligram	6	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 37; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 37	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-9 milligram solution for infusion after dilution intravenously as one or two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	202
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 25 Milligram	5	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 32; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 32	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-25 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	196
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 50 Milligram	3	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 35; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 35	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-50 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	196
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 100 Milligram	3	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 30; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 30	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-100 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	197
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 200 Milligram	6	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 31; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 31	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-200 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	197
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 400 Milligram	3	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 34; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 34	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-400 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	197
NCT01296932	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	BI 836826 800 Milligram	4	2010_2013	bor	1	9	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 36; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Patients with relapsed CLL	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Patients with relapsed CLL	LEAF-OUT/LEAF-QD-group0.tsv:line 36	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	158	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Patients with relapsed CLL	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients were administered BI 836826-800 milligram solution for infusion after dilution intravenously as two doses within the first cycle followed by single doses within all following 14-day cycles	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	197
NCT01124734	Clinical Response to High-Dose Interleukin-2 (H-D IL-2) Followed by Low Dose Temozolomide	Course 1 Cycle 1	17	2010_2013	bor	1	2	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 27; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Course 1 Cycle 1 and Cycle 2	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Course 1 Cycle 1 and Cycle 2	LEAF-OUT/LEAF-QD-group0.tsv:line 27	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[0].description enumerates both group titles verbatim as its two labelled sub-cycles ('Course 1 Cycle 1:' / 'Course 1 Cycle 2:'), with matching regimens	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	161	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Course 1 Cycle 1 and Cycle 2	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	This study is a single arm study. All participants received the same treatment regimen.  Participants were given High-Dose Interleukin-2 (HD IL-2) 600,000 IU/kg, up to 14 doses at 8 hour intervals.  Interleukin-2: up to a maximum of 14 doses at 600,000 IU/kg	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	258
NCT01124734	Clinical Response to High-Dose Interleukin-2 (H-D IL-2) Followed by Low Dose Temozolomide	Course 1 Cycle 2	16	2010_2013	bor	1	2	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 28; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Course 1 Cycle 1 and Cycle 2	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Course 1 Cycle 1 and Cycle 2	LEAF-OUT/LEAF-QD-group0.tsv:line 28	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[0].description enumerates both group titles verbatim as its two labelled sub-cycles ('Course 1 Cycle 1:' / 'Course 1 Cycle 2:'), with matching regimens	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	161	NO	YES	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Course 1 Cycle 1 and Cycle 2	NOT_CONTROL_CONFIRMED	NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Patients will be given High-Dose Interleukin-2 (HD IL-2) 600,000 IU/kg, up to 14 doses at 8 hour intervals. On the day after discharge, patients will be given oral temozolomide at 75 mg/m2 daily for 21 days.  Interleukin-2: up to a maximum of 14 doses at 600,000 IU/kg  Temozolomide: Patients would receive temozolomide at 75 mg/m2 after discharge from receipt of the second cycle of high dose IL-2. 	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	522
NCT02472964	Primary Endpoint : Compare Best Overall Response Rate (ORR) (According to Response Evaluation Criteria in Solid Tumor [RECIST] 1.1 Criteria) at Week 24 of MYL-1401O Plus Taxane Versus Herceptin® Plus Taxane in the ITT1 Population	Herceptin© + Taxane	215	2010_2013	bor	2	2	MIXED_ARM_TYPES	ACTIVE_COMPARATOR | EXPERIMENTAL	SOURCE_FIELD_MATCH	TWO_AGREEING_FIELD_MATCHES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[0].label and protocolSection.armsInterventionsModule.armGroups[0].description	1	0	Herceptin© + Taxane	ACTIVE_COMPARATOR	0	Herceptin© + Taxane	ACTIVE_COMPARATOR						COMPARATOR_TYPE_INFERRED_VIA_SOURCE_FIELD_MATCH	arm 0 bound by TWO_AGREEING_FIELD_MATCHES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT; registered type ACTIVE_COMPARATOR carried verbatim. The comparator TYPE is INFERRED THROUGH a computed correspondence between two source text fields; the registry does not state that this results group IS that arm, so this is not an independently validated clinical comparator	ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED		NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_ACTIVE_COMPARATOR	ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	Herceptin© + Taxane	CONTROL_ACTIVE_COMPARATOR_CONFIRMED	CONTROL_ACTIVE_COMPARATOR	UNCHANGED_CLASS:COMPARATOR_TYPE_INFERRED	Part 1: Herceptin© (trastuzumab) intravenously+ paclitaxel 80 mg/m2 weekly intravenously or docetaxel 75 mg/m2 intravenously once every three weeks (investigators choice) for 8 cycles then evaluate for primary endpoint.  Part 2: If SD or PR, CR at cycle 9 (week 24) proceed to Herceptin© (trastuzumab) alone once every 3 weeks until DP or subject withdrawal .	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	359
