nct	om_title	group_title	v2_arm_link_state	v3_arm_link_state	v2_comparator_role	v3_comparator_role	v2_registry_type_statement	v3_registry_type_statement	v2_registry_type_statement_assumption	v3_registry_type_statement_assumption	v3_comparator_role_identity_assumption	v3_group_text_comparator_wording_unverified	v3_source_join_verification	v2_bound_arm_index	v3_bound_arm_index	v3_downgraded_candidate_arm_index	vocabulary_only_changed_columns	substantively_changed_columns	row_disposition
NCT00600340	Unconfirmed Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Unconfirmed Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Unconfirmed Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Unconfirmed Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00601003	Best Radiological Response in Participants Using the RECIST Criteria	Nifurtimox	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00654238	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	Sorafenib	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00756509	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	Nilotinib	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00836888	Best Overall Response	ONO-4538 10mg/kg Cohorts	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00836888	Best Overall Response	ONO-4538 1mg/kg Cohorts	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00836888	Best Overall Response	ONO-4538 20mg/kg Cohorts	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00836888	Best Overall Response	ONO-4538 3mg/kg Cohorts	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	Alemtuzumab and Rituximab	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	Alemtuzumab and Rituximab	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 1 - Dose Level 1	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 2 - Dose Level 0	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 3 - Dose Level 1	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 4 - Dose Level 2	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 5 - Dose Level 1	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS+ Group	SOURCE_CONFIRMED	SOURCE_FIELD_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL		ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_state;arm_link_relation	registry_type_statement_assumption	SUBSTANTIVE
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS- Group	SOURCE_CONFIRMED	SOURCE_FIELD_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL		ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	1	1		arm_link_state;arm_link_relation	registry_type_statement_assumption	SUBSTANTIVE
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS-unknown Group	SOURCE_CONFIRMED	SOURCE_FIELD_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL		ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	2	2		arm_link_state;arm_link_relation	registry_type_statement_assumption	SUBSTANTIVE
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 1: Lenvatinib: 12 mg	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 2: Lenvatinib: 12 mg	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 2: Lenvatinib: 8 mg	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group1: Lenvatinib: 16 mg	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT01124734	Clinical Response to High-Dose Interleukin-2 (H-D IL-2) Followed by Low Dose Temozolomide	Course 1 Cycle 1	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
