component	component_grain	component_record_key	integration_row_key	disposition	reason
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Unconfirmed Best Overall Response (PP Population)|Bevacizumab Plus Paclitaxel	NCT00600340|OM6|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om6#OG000	NCT00600340|OM6|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM6|OG001	NCT00600340|OM6|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Unconfirmed Best Overall Response (PP Population)|Bevacizumab Plus Capecitabine	NCT00600340|OM6|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om6#OG001	NCT00600340|OM6|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00601003|OM1|OG000	NCT00601003|OM1|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00601003|Best Radiological Response in Participants Using the RECIST Criteria|Nifurtimox	NCT00601003|OM1|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00601003#om1#OG000	NCT00601003|OM1|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00654238|OM0|OG000	NCT00654238|OM0|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00654238|To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.|Sorafenib	NCT00654238|OM0|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00654238#om0#OG000	NCT00654238|OM0|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00756509|OM0|OG000	NCT00756509|OM0|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00756509|Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.|Nilotinib	NCT00756509|OM0|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00756509#om0#OG000	NCT00756509|OM0|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00836888|OM4|OG000	NCT00836888|OM4|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00836888|Best Overall Response|ONO-4538 1mg/kg Cohorts	NCT00836888|OM4|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00836888#om4#OG000	NCT00836888|OM4|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00836888|OM4|OG001	NCT00836888|OM4|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00836888|Best Overall Response|ONO-4538 3mg/kg Cohorts	NCT00836888|OM4|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00836888#om4#OG001	NCT00836888|OM4|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00836888|OM4|OG002	NCT00836888|OM4|OG002	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00836888|Best Overall Response|ONO-4538 10mg/kg Cohorts	NCT00836888|OM4|OG002	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00836888#om4#OG002	NCT00836888|OM4|OG002	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00836888|OM4|OG003	NCT00836888|OM4|OG003	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00836888|Best Overall Response|ONO-4538 20mg/kg Cohorts	NCT00836888|OM4|OG003	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00836888#om4#OG003	NCT00836888|OM4|OG003	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00858117|OM3|OG000	NCT00858117|OM3|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00858117|Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination|Alemtuzumab and Rituximab	NCT00858117|OM3|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00858117#om3#OG000	NCT00858117|OM3|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00858117|OM4|OG000	NCT00858117|OM4|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00858117|Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans|Alemtuzumab and Rituximab	NCT00858117|OM4|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00858117#om4#OG000	NCT00858117|OM4|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00876993|OM1|OG000	NCT00876993|OM1|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00876993|Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.|Cohort 1 - Dose Level 1	NCT00876993|OM1|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00876993#om1#OG000	NCT00876993|OM1|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00876993|OM1|OG001	NCT00876993|OM1|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00876993|Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.|Cohort 2 - Dose Level 0	NCT00876993|OM1|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00876993#om1#OG001	NCT00876993|OM1|OG001	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00876993|OM1|OG002	NCT00876993|OM1|OG002	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00876993|Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.|Cohort 3 - Dose Level 1	NCT00876993|OM1|OG002	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00876993#om1#OG002	NCT00876993|OM1|OG002	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00876993|OM1|OG003	NCT00876993|OM1|OG003	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00876993|Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.|Cohort 4 - Dose Level 2	NCT00876993|OM1|OG003	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00876993#om1#OG003	NCT00876993|OM1|OG003	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00876993|OM1|OG004	NCT00876993|OM1|OG004	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00876993|Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.|Cohort 5 - Dose Level 1	NCT00876993|OM1|OG004	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00876993#om1#OG004	NCT00876993|OM1|OG004	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00942162|OM7|OG000	NCT00942162|OM7|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00942162|Best Overall Response (BOR) by GS|GSK2132231A GS+ Group	NCT00942162|OM7|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00942162#om7#OG000	NCT00942162|OM7|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00942162|OM7|OG001	NCT00942162|OM7|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00942162|Best Overall Response (BOR) by GS|GSK2132231A GS- Group	NCT00942162|OM7|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00942162#om7#OG001	NCT00942162|OM7|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00942162|OM7|OG002	NCT00942162|OM7|OG002	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00942162|Best Overall Response (BOR) by GS|GSK2132231A GS-unknown Group	NCT00942162|OM7|OG002	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00942162#om7#OG002	NCT00942162|OM7|OG002	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00946153|OM2|OG000	NCT00946153|OM2|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
