nct_id	payload_shard	om_index	om_title	group_id	group_title	class_index	class_title	category_index	category_title	category_value_raw	category_value_is_integer	category_value_int	producer_label_assigned	producer_kept	reported_denominator_participants	denominator_units_available	source_pointer
NCT00858117	ctg_results_bor_1999_2009	4	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	OG000	Alemtuzumab and Rituximab	0		0	Complete Remission	7	yes	7	CR	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[4] :: classes[0] :: categories[0] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	4	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	OG000	Alemtuzumab and Rituximab	0		1	Partial Remission	14	yes	14	PR	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[4] :: classes[0] :: categories[1] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	4	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	OG000	Alemtuzumab and Rituximab	0		2	Stable Disease	9	yes	9	SD	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[4] :: classes[0] :: categories[2] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	4	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	OG000	Alemtuzumab and Rituximab	0		3	Progressive Disease	0	yes	0	PD	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[4] :: classes[0] :: categories[3] :: groups[OG000]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG000	Cohort 1 - Dose Level 1	0		0	Complete Response	0	yes	0	CR	yes	4	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[0] :: groups[OG000]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG000	Cohort 1 - Dose Level 1	0		1	Partial Response	1	yes	1	PR	yes	4	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[1] :: groups[OG000]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG000	Cohort 1 - Dose Level 1	0		2	Stable Disease	3	yes	3	SD	yes	4	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[2] :: groups[OG000]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG000	Cohort 1 - Dose Level 1	0		3	Progressive Disease	0	yes	0	PD	yes	4	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[3] :: groups[OG000]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG001	Cohort 2 - Dose Level 0	0		0	Complete Response	0	yes	0	CR	yes	6	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[0] :: groups[OG001]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG001	Cohort 2 - Dose Level 0	0		1	Partial Response	1	yes	1	PR	yes	6	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[1] :: groups[OG001]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG001	Cohort 2 - Dose Level 0	0		2	Stable Disease	3	yes	3	SD	yes	6	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[2] :: groups[OG001]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG001	Cohort 2 - Dose Level 0	0		3	Progressive Disease	2	yes	2	PD	yes	6	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[3] :: groups[OG001]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG002	Cohort 3 - Dose Level 1	0		0	Complete Response	0	yes	0	CR	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[0] :: groups[OG002]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG002	Cohort 3 - Dose Level 1	0		1	Partial Response	1	yes	1	PR	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[1] :: groups[OG002]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG002	Cohort 3 - Dose Level 1	0		2	Stable Disease	0	yes	0	SD	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[2] :: groups[OG002]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG002	Cohort 3 - Dose Level 1	0		3	Progressive Disease	2	yes	2	PD	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[3] :: groups[OG002]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG003	Cohort 4 - Dose Level 2	0		0	Complete Response	1	yes	1	CR	yes	5	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[0] :: groups[OG003]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG003	Cohort 4 - Dose Level 2	0		1	Partial Response	3	yes	3	PR	yes	5	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[1] :: groups[OG003]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG003	Cohort 4 - Dose Level 2	0		2	Stable Disease	1	yes	1	SD	yes	5	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[2] :: groups[OG003]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG003	Cohort 4 - Dose Level 2	0		3	Progressive Disease	0	yes	0	PD	yes	5	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[3] :: groups[OG003]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG004	Cohort 5 - Dose Level 1	0		0	Complete Response	0	yes	0	CR	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[0] :: groups[OG004]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG004	Cohort 5 - Dose Level 1	0		1	Partial Response	0	yes	0	PR	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[1] :: groups[OG004]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG004	Cohort 5 - Dose Level 1	0		2	Stable Disease	3	yes	3	SD	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[2] :: groups[OG004]
NCT00876993	ctg_results_bor_1999_2009	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG004	Cohort 5 - Dose Level 1	0		3	Progressive Disease	0	yes	0	PD	yes	3	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: classes[0] :: categories[3] :: groups[OG004]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	0	Complete Response	0	yes	0	CR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[0] :: categories[0] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	1	Partial response	16	yes	16	PR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[0] :: categories[1] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	2	Stable Disease	22	yes	22	SD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[0] :: categories[2] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	3	Progressive Disease	1	yes	1	PD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[0] :: categories[3] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	4	Not Evaluable for Response	5	yes	5	NONE	no	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[0] :: categories[4] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	0	Complete Response	0	yes	0	CR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[1] :: categories[0] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	1	Partial response	2	yes	2	PR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[1] :: categories[1] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	2	Stable Disease	1	yes	1	SD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[1] :: categories[2] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	3	Progressive Disease	1	yes	1	PD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[1] :: categories[3] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	4	Not Evaluable for Response	2	yes	2	NONE	no	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[1] :: categories[4] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	0	Complete Response	0	yes	0	CR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[2] :: categories[0] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	1	Partial response	1	yes	1	PR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[2] :: categories[1] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	2	Stable Disease	2	yes	2	SD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[2] :: categories[2] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	3	Progressive Disease	0	yes	0	PD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[2] :: categories[3] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	4	Not Evaluable for Response	0	yes	0	NONE	no	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[2] :: categories[4] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	0	Complete Response	0	yes	0	CR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[3] :: categories[0] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	1	Partial response	0	yes	0	PR	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[3] :: categories[1] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	2	Stable Disease	0	yes	0	SD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[3] :: categories[2] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	3	Progressive Disease	1	yes	1	PD	yes	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[3] :: categories[3] :: groups[OG000]
NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	4	Not Evaluable for Response	1	yes	1	NONE	no	55	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: classes[3] :: categories[4] :: groups[OG000]
NCT00756509	ctg_results_bor_1999_2009	0	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	OG000	Nilotinib	0		0	Complete Response (CR)	0	yes	0	CR	yes	41	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00756509] :: outcomeMeasures[0] :: classes[0] :: categories[0] :: groups[OG000]
NCT00756509	ctg_results_bor_1999_2009	0	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	OG000	Nilotinib	0		1	Partial Response (PR)	14	yes	14	PR	yes	41	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00756509] :: outcomeMeasures[0] :: classes[0] :: categories[1] :: groups[OG000]
NCT00756509	ctg_results_bor_1999_2009	0	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	OG000	Nilotinib	0		2	Stable Disease (SD)	21	yes	21	SD	yes	41	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00756509] :: outcomeMeasures[0] :: classes[0] :: categories[2] :: groups[OG000]
NCT00756509	ctg_results_bor_1999_2009	0	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	OG000	Nilotinib	0		3	Progressive Disease (PD)	6	yes	6	PD	yes	41	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00756509] :: outcomeMeasures[0] :: classes[0] :: categories[3] :: groups[OG000]
