category_title_verbatim	records	distinct_nct	producer_labels_assigned	records_kept_by_producer	records_dropped_by_producer	response_assessment_category_title_flag	non_evaluable_title_flag	folded	note
NE	70	8	NONE	0	70	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial response	67	22	PR	67	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete response	61	20	CR	61	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Missing	57	9	NONE	0	57	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-CR/Non-PD (NCRNPD)	54	2	NONE	0	54	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not evaluable	50	11	NONE	0	50	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial response (PR)	36	9	PR	36	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete response (CR)	35	8	CR	35	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete remission	31	3	CR	31	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial remission	31	3	PR	31	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive disease (PD)	30	9	PD	30	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable disease (SD)	30	9	SD	30	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-CR/Non-PD	26	6	NONE	0	26	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Evaluable (NE)	26	10	NONE	0	26	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete Response (irCR)	24	1	CR	24	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Response (irPR)	24	1	PR	24	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease (irPD)	24	1	PD	24	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease (irSD)	24	1	SD	24	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete remission unconfirmed	20	1	CR	20	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease (PD) as per clinical assessment	16	1	PD	16	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease (PD) as per tumor assessment	16	1	PD	16	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
UE	15	3	NONE	0	15	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Very Good Partial Response (VGPR)	15	3	NONE	0	15	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Done	14	3	NONE	0	14	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stringent Complete Response (sCR)	13	2	NONE	0	13	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease or Non-CR/Non-PD	11	1	SD	11	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete remission with incomplete marrow recovery	9	1	CR	9	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-evaluable	9	6	NONE	0	9	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not evaluable, unknown, or missing	9	1	NONE	0	9	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CR+PR	8	1	CR	8	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CRh	8	1	NONE	0	8	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CRi	8	1	NONE	0	8	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CRmrd-	8	1	NONE	0	8	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Died Before Evaluation	8	1	NONE	0	8	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
MLFS	8	1	NONE	0	8	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unable to access	8	1	NONE	0	8	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not evaluable (NE)	7	3	NONE	0	7	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Done (ND)	6	2	NONE	0	6	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Evaluated	6	1	NONE	0	6	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not applicable	6	1	NONE	0	6	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non CR/Non PD	5	1	NONE	0	5	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unknown Response	5	1	NONE	0	5	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-complete Response/ Non-progressive Disease	4	1	NONE	0	4	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Evaluable for Response	4	1	NONE	0	4	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not done	4	2	NONE	0	4	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not evaluated (NE)	4	1	NONE	0	4	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unable to Determine	4	1	NONE	0	4	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unevaluable (UE)	4	2	NONE	0	4	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete Remission	3	2	CR	3	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Minimal Response (MR)	3	2	NONE	0	3	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-CR / Non-PD	3	1	NONE	0	3	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not evaluable/Not done	3	1	NONE	0	3	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Remission	3	2	PR	3	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
SD ≥6 weeks	3	1	SD	3	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
SD/ PR	3	1	SD	3	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease (SD)/Non-CR/Non-PD	3	1	SD	3	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unevaluable	3	2	NONE	0	3	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unevaluable (iUE)	3	2	NONE	0	3	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CR Complete Response/Remission	2	1	CR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CR with incomplete hematological recovery (CRi)	2	1	CR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CR with partial hematological recovery (CRh)	2	1	CR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete remission (CR)	2	1	CR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete response (iCR)	2	1	CR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Disease Progression	2	1	PD	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Minor Response	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Missing or not evaluable	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Morphologic leukemia-free state (MLFS)	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
NA (Not applicable)	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
NE (Not evaluable)	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
NE Not Evaluable	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
No BOR Available	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
No Post-Baseline Tumor Assessment Collected	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non evaluable	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-CR/Non-PD (NN)	2	1	NONE	0	2	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-CR/Non-PR	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-Evaluable	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Non-complete response/ Non-progressive disease	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Noncomplete response/non progressive disease	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Assessed	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not applicable (NA)	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not specified/ Not evaluable	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
PD Progressive Disease	2	1	PD	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
PR Partial Response/Remission	2	1	PR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Complete Response	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial remission (PR)	2	1	PR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial response (iPR)	2	1	PR	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive disease (iPD)	2	1	PD	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
SD Stable Disease	2	1	SD	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable disease (iSD)	2	1	SD	2	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
missing RECIST result	2	1	NONE	0	2	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
no restaging	2	1	NONE	0	2	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete Response (iCR)	1	1	CR	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
IN	1	1	NONE	0	1	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
MR	1	1	NONE	0	1	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Near Complete Response (nCR)	1	1	NONE	0	1	yes	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
No Response	1	1	NONE	0	1	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
No response	1	1	NONE	0	1	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Assessed (NA)	1	1	NONE	0	1	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not asssessable	1	1	NONE	0	1	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Off treatment before 8-wk scan	1	1	NONE	0	1	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Response (iPR)	1	1	PR	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease (iPD)	1	1	PD	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease (iSD)	1	1	SD	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable disease (SD) < 6 months	1	1	SD	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable disease (SD) >= 6 months	1	1	SD	1	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unable to Evaluate (UE)	1	1	NONE	0	1	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Unknown (UNK)	1	1	NONE	0	1	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
