nct	om_title	group_title	evaluable_n	era	family	n_arms_registered	n_results_groups_in_om	arm_set_type_state	registry_arm_types_in_record	arm_link_state	arm_link_evidence_code	arm_link_source	confirmed_registry_arm_label	confirmed_registry_arm_type	candidate_registry_arm_labels	candidate_registry_arm_types	candidate_evidence	control_status	control_basis	contested_flag	sole_arm_multi_results_group_flag	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	disposition_vs_job3	group_description
NCT00654238	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	Sorafenib	1	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	1	EXPERIMENTAL			armGroups[0].description ('This is a single arm study.') is the verbatim opening of the group description; armGroups[0].interventionNames 'Drug: sorafenib' equals group_title; armGroups cardinality = 1	NOT_CONTROL_CONFIRMED	confirmed arm '1' type=EXPERIMENTAL		NO	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	UNCHANGED_CLASS	This is a single arm study.  sorafenib: 400mg PO BID daily
NCT00756509	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	Nilotinib	41	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LABEL_CASE_AND_WHITESPACE_ONLY	LABEL_IN_THIS_PRODUCER	nilotinib	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'nilotinib' type=EXPERIMENTAL		NO	NORMALIZED	nilotinib	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Participants who received 400 mg bid of nilotinib
NCT01648764	Number of Participants With Best Overall Response (BOR)	40 mg LY - Arm A Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	40 milligrams (mg) LY2334737 (LY) administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	50 mg LY - Arm A Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	50 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	60 mg LY - Arm A Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	60 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	70 mg LY - Arm A Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	70 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	80 mg LY - Arm A Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	80 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	90 mg LY - Arm A Dose Escalation	2	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	90 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	100 mg LY - Arm A Dose Escalation	5	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	100 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	40 mg LY - Arm B Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	40 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	50 mg LY - Arm B Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	50 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	60 mg LY - Arm B Dose Escalation	5	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	60 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	70 mg LY - Arm B Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	70 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	80 mg LY - Arm B Dose Escalation	3	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	80 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	90 mg LY - Arm B Dose Escalation	4	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm B	EXPERIMENTAL			group_title contains the token 'Arm B' matching armGroups[1].label 'LY2334737 - Arm B', AND armGroups[1].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm B' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	90 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT01648764	Number of Participants With Best Overall Response (BOR)	90 mg LY - Arm A Dose Confirmation	10	1999_2009	bor	2	14	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	LY2334737 - Arm A	EXPERIMENTAL			group_title contains the token 'Arm A' matching armGroups[0].label 'LY2334737 - Arm A', AND armGroups[0].description dosing schedule is reproduced verbatim in the group description	NOT_CONTROL_CONFIRMED	confirmed arm 'LY2334737 - Arm A' type=EXPERIMENTAL		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	90 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.
NCT00301067	Tumor Response	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	20	1999_2009	bor	4	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED_TYPE_ONLY	LEAF_ARM_IDENTITY_NOT_BOUND_ARM_SET_TYPE_INVARIANT	DELIVERED_LEAF:LEAF-QD-group0.tsv					group_title token enumeration 'Cohort 1-3+Expansion' vs the four armGroups[].label ('Cohort 1/2/3 - ...','Expansion - ...'); group description calcitriol dose set {0.2,0.3,0.5} = union of armGroups[0..3].description doses	NOT_CONTROL_BY_ARM_SET_TYPE_INVARIANT	arm identity not resolved; all 4 registered arm(s) typed ['EXPERIMENTAL'] in this cache		NO	NONE			UNKNOWN	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Temozolomide dose of 150 mg/m2 will be administered orally on days 2-8 and 16-22 every cycle where 1 cycle equals 28 days.  Calcitriol dose of 0.2, 0.3, or 0.5 mcg/kg will be administered orally on days 1 and 15 every cycle where 1 cycle equals 28 days.  Calcitriol: The patient will receive calcitriol in capsule form by mouth on Days 1 and 15 of every cycle  Temozolomide: The patient will receive 
NCT00183820	Tumor Response	Paclitaxel, Gemcitabine, and Oxaliplatin	29	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LABEL_CASE_AND_WHITESPACE_ONLY	LABEL_IN_THIS_PRODUCER	paclitaxel, gemcitabine, and oxaliplatin	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'paclitaxel, gemcitabine, and oxaliplatin' type=EXPERIMENTAL		NO	NORMALIZED	paclitaxel, gemcitabine, and oxaliplatin	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	paclitaxel, gemcitabine, and oxaliplatin:  1. Paclitaxel 170 mg/m2 IV d 1 14 days 2. Gemcitabine 800 mg/m2 IV d 1 14 days 3. Oxaliplatin 100 mg/m2 IV d 1 14 days
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm A	15	1999_2009	bor	0	2	NO_ARMS_REGISTERED_IN_THIS_CACHE		UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE	DELIVERED_LEAF:LEAF-QD-group0.tsv					none - protocolSection.armsInterventionsModule is the empty object {}	UNKNOWN_IN_THIS_CACHE	zero registered arm groups in this cache: control status is UNKNOWN, not NOT_CONTROL		NO	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL->UNKNOWN	Pemetrexed on day 1 and bortezomib days 1, 4, 8, and 11 every 21 days
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm B	12	1999_2009	bor	0	2	NO_ARMS_REGISTERED_IN_THIS_CACHE		UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE	DELIVERED_LEAF:LEAF-QD-group0.tsv					none - protocolSection.armsInterventionsModule is the empty object {}	UNKNOWN_IN_THIS_CACHE	zero registered arm groups in this cache: control status is UNKNOWN, not NOT_CONTROL		NO	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	CHANGED_CLASS:NOT_CONTROL->UNKNOWN	Pemetrexed on day 1 and bortezomib days 1 and 8 every 21 days
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 1: Lenvatinib: 12 mg	5	1999_2009	bor	1	4	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Lenvatinib	EXPERIMENTAL			armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('Lenvatinib')	NOT_CONTROL_CONFIRMED	confirmed arm 'Lenvatinib' type=EXPERIMENTAL		YES	CONTAINMENT	Lenvatinib	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Participants with CP scores of 5 or 6 received a starting dose of 12 mg (three 4 mg tablets) lenvatinib orally QD in a 28-day treatment cycle in the dose-escalation scheme (group 1) on an empty stomach or at least 1 hour after eating until the tolerated dose was achieved.
