nct	group_norm	n_competing_at_step_f	competing_om_indices	selected_om_index_by_rule_f	classification	basis_tier	distinguishing_fields	would_change_selection	would_change_to_om	competing_measure_metadata	source_payload
NCT00371345	her2/neu-amplified tumor, 70 mg twice daily (bid) dasatinib	3	0|1|17	0	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants || om1:Percentage of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/percentage of participant || om17:Best Overall Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants	ctg_results_bor_1999_2009.txt
NCT00398567	part 2 - expanded mtd cohort	2	1|4	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria	no (smallest index already the ORR-concept measure)		om1:Objective Response Rate (ORR) | tf=From first dose date to progression or last t | pop=The evaluable population was defined as the s | NUMBER/percentage of participant || om4:Clinical Benefit Rate (CBR) | tf=From first dose date to progression or last t | pop=The evaluable population was defined as the s | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00407563	bevacizumab and abraxane	2	1|4	1	BASIS_EXISTS	B_TIMEFRAME	timeFrame;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om1:Best Overall Response | tf=Radiologic imaging was repeated after every 3 | pop= | NUMBER/Participants || om4:Best Overall Response at Six Months | tf=Assessed over 6 months of study treatment | pop=The 2 tailed, 95% confidence interval of the  | NUMBER/percentage of patients	ctg_results_bor_1999_2009.txt
NCT00424047	lenalidomide plus dexamethasone	2	3|4	3	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om3:Summary of Myeloma Response Rates Based on Best Response Assessment | tf=Randomization to 03 August 2005; up to 24 mon | pop=Intent to Treat Population includes all parti | NUMBER/percentage of participant || om4:Myeloma Response Rates Based on the Reviewers Best Response Assessment (Later Cu | tf=Randomization to data cut-off of 02 Mar 2008; | pop=Intent to Treat Population includes all parti | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00424047	placebo plus dexamethasone	2	3|4	3	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om3:Summary of Myeloma Response Rates Based on Best Response Assessment | tf=Randomization to 03 August 2005; up to 24 mon | pop=Intent to Treat Population includes all parti | NUMBER/percentage of participant || om4:Myeloma Response Rates Based on the Reviewers Best Response Assessment (Later Cu | tf=Randomization to data cut-off of 02 Mar 2008; | pop=Intent to Treat Population includes all parti | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00437268	enzastaurin+irinotecan+cetuximab	2	1|4	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om1:Percentage of Participants With Complete Response (CR) or Partial Response (PR)  | tf=Baseline to measured progressive disease up t | pop=Protocol qualified population: All randomized | NUMBER/percentage of participant || om4:Percentage of Participants With a Complete Response (CR), Partial Response (PR)  | tf=Baseline to disease progression (up to 13.2 m | pop=Protocol qualified population: All randomized | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00437268	irinotecan+cetuximab	2	1|4	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om1:Percentage of Participants With Complete Response (CR) or Partial Response (PR)  | tf=Baseline to measured progressive disease up t | pop=Protocol qualified population: All randomized | NUMBER/percentage of participant || om4:Percentage of Participants With a Complete Response (CR), Partial Response (PR)  | tf=Baseline to disease progression (up to 13.2 m | pop=Protocol qualified population: All randomized | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00444535	lapatinib + bevacizumab	2	2|3	2	BASIS_EXISTS	E_TITLE_SUBSTANTIVE	title	no (smallest index already the ORR-concept measure)		om2:Overall Tumor Response Rate Per Investigator Assessment (RECIST) | tf=This endpoint was defined in the original pro | pop=ITT Population. | NUMBER/Percentage of participant || om3:Investigator-Assessed Clinical Benefit Response Rate (%) (RECIST) | tf=This endpoint was defined in the original pro | pop=ITT Population. | NUMBER/Percentage of participant	ctg_results_bor_1999_2009.txt
NCT00447057	pemetrexed (nonsquamous)	2	1|2	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	2	om1:Percentage of Participants With Best Response of Stable Disease (SD), Partial Re | tf=Baseline to measured PD. Maximum follow-up wa | pop=Includes nonsquamous population only. | NUMBER/percentage of participant || om2:Percentage of Participants With Best Response of Complete Response (CR) or Parti | tf=Baseline to measured progressive disease. Max | pop=Includes nonsquamous population only. | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00447057	pemetrexed + erlotinib (nonsquamous)	2	1|2	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	2	om1:Percentage of Participants With Best Response of Stable Disease (SD), Partial Re | tf=Baseline to measured PD. Maximum follow-up wa | pop=Includes nonsquamous population only. | NUMBER/percentage of participant || om2:Percentage of Participants With Best Response of Complete Response (CR) or Parti | tf=Baseline to measured progressive disease. Max | pop=Includes nonsquamous population only. | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00448279	chemotherapy + trastuzumab	2	4|5	4	BASIS_EXISTS	C_ASSESSMENT_CRITERIA	assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)		om4:Percentage of Participants by Best Overall Response (BOR) | tf=BL and every 8 weeks thereafter | pop=ITT population | NUMBER/percentage of participant || om5:Percentage of Participants With a Best Overall Response of CR or PR | tf=BL and every 8 weeks thereafter | pop=ITT population | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00448279	chemotherapy alone	2	4|5	4	BASIS_EXISTS	C_ASSESSMENT_CRITERIA	assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)		om4:Percentage of Participants by Best Overall Response (BOR) | tf=BL and every 8 weeks thereafter | pop=ITT population | NUMBER/percentage of participant || om5:Percentage of Participants With a Best Overall Response of CR or PR | tf=BL and every 8 weeks thereafter | pop=ITT population | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00452673	100 mg dasatinib + 1000 mg/m^2capecitabine	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om2:Number of Participants With Overall Response to Tumor - Efficacy Evaluable Popul | tf=Day 1 to 30 days post last dose | pop=All participants with at least one measurable | NUMBER/participants || om3:Objective Response Rate (ORR) and Disease Control Rate - Efficacy Evaluable Popu | tf=Day 1 up to 30 days post last dose | pop=n=number of participants with ORR: 2, 1, 0, 6 | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00452673	50 mg dasatinib + 825 mg/m^2capecitabine	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om2:Number of Participants With Overall Response to Tumor - Efficacy Evaluable Popul | tf=Day 1 to 30 days post last dose | pop=All participants with at least one measurable | NUMBER/participants || om3:Objective Response Rate (ORR) and Disease Control Rate - Efficacy Evaluable Popu | tf=Day 1 up to 30 days post last dose | pop=n=number of participants with ORR: 2, 1, 0, 6 | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00452673	70 mg dasatinib + 1000 mg/m^2capecitabine	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om2:Number of Participants With Overall Response to Tumor - Efficacy Evaluable Popul | tf=Day 1 to 30 days post last dose | pop=All participants with at least one measurable | NUMBER/participants || om3:Objective Response Rate (ORR) and Disease Control Rate - Efficacy Evaluable Popu | tf=Day 1 up to 30 days post last dose | pop=n=number of participants with ORR: 2, 1, 0, 6 | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00452673	70 mg dasatinib + 825 mg/m^2capecitabine	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om2:Number of Participants With Overall Response to Tumor - Efficacy Evaluable Popul | tf=Day 1 to 30 days post last dose | pop=All participants with at least one measurable | NUMBER/participants || om3:Objective Response Rate (ORR) and Disease Control Rate - Efficacy Evaluable Popu | tf=Day 1 up to 30 days post last dose | pop=n=number of participants with ORR: 2, 1, 0, 6 | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00460798	sunitinib	2	0|1	0	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With Categorical Best Overall Response | tf=Start of Treatment up through 12 Months or Ea | pop=Full Analysis Set (FAS) = All participants wh | NUMBER/Participants || om1:Number of Participants With Objective Response | tf=12 Months or Early Discontinuation | pop=FAS | NUMBER/Participants	ctg_results_bor_1999_2009.txt
NCT00473590	bort + bv	2	0|1	0	BASIS_EXISTS	F_UNIT_DUPLICATE	paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With an Overall Response | tf=From randomization to the end of study (clini | pop=Randomized Patients | NUMBER/participants || om1:Percentage of Participants With an Overall Response | tf=From randomization to the end of study (clini | pop=Randomized Patients | NUMBER/Percentage of Participant	ctg_results_bor_1999_2009.txt
NCT00473590	bort + p	2	0|1	0	BASIS_EXISTS	F_UNIT_DUPLICATE	paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With an Overall Response | tf=From randomization to the end of study (clini | pop=Randomized Patients | NUMBER/participants || om1:Percentage of Participants With an Overall Response | tf=From randomization to the end of study (clini | pop=Randomized Patients | NUMBER/Percentage of Participant	ctg_results_bor_1999_2009.txt
