nct	group_norm	payload	results_group_id	om_type	participants_denom	n_competing	om_indices	constructs	assessment_criteria	classification	distinguishing_fields	selected_om_index	selected_title	would_change_selection	alternative_if_construct_rule_added	competing_titles	competing_timeframes	competing_population_descriptions	competing_paramtypes	competing_units	notes
NCT03744468	phase 2 (safety lead-in): cohort a: alcestobart 300 mg + tislelizumab	ctg_results_bor_2018_2021	OG000	SECONDARY	4	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 2 (safety lead-in): cohort a: alcestobart 600 mg + tislelizumab	ctg_results_bor_2018_2021	OG001	SECONDARY	6	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 2 (safety lead-in): cohort a: alcestobart 1200 mg + tislelizumab	ctg_results_bor_2018_2021	OG002	SECONDARY	6	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 2 (safety lead-in): cohort b: alcestobart 300 mg + surzebiclimab + tislelizumab	ctg_results_bor_2018_2021	OG003	SECONDARY	3	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 2 (safety lead-in): cohort b: alcestobart 600 mg + surzebiclimab + tislelizumab	ctg_results_bor_2018_2021	OG004	SECONDARY	6	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 2 (safety lead-in): cohort b: alcestobart 900 mg + surzebiclimab + tislelizumab	ctg_results_bor_2018_2021	OG005	SECONDARY	6	2	9;11	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	9	Phase 2 (Safety Lead- In): Overall Response Rate (ORR)	NO		Phase 2 (Safety Lead- In): Overall Response Rate (ORR) ||| Phase 2 (Safety Lead-In): Disease Control Rate (DCR)	Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months ||| Maximum time on study: Cohort A: up to 22.1 months; Cohort B: up to 21.5 months	Analysis was performed on efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT04720417	treatment (defactinib, vs-6766)	ctg_results_bor_2018_2021	OG000	PRIMARY	12	2	0;1	BOR_DISTRIBUTION;DCR	RECIST_unversioned;RECIST_unversioned	BASIS_EXISTS	construct=BOR_DISTRIBUTION|DCR; populationDescription	0	Best Overall Response	UNDETERMINED(no ORR-type candidate)		Best Overall Response ||| Disease Control Rate	From baseline through last follow-up visit (up to 24 months per participant) ||| From baseline through last follow-up visit (up to 24 months per participant)	No subjects met this criteria. The trial was closed before the anticipated accrual of 18 patients, but of the 12 patients that were treated the best overall response rate was 0% as no patient achieved CR or PR. All subjects died or relapsed disease/progression and did not complete. ||| The trial was closed before the anticipated accrual of 18 patients, but of the 12 patients that were treated the disease control rate was 50% (6 patients with SD).	COUNT_OF_PARTICIPANTS;COUNT_OF_PARTICIPANTS	participants;participants	
NCT03629925	sintilimab+ gemcitabine plus platinum	ctg_placebo_onc_2018_2021	OG000	SECONDARY	179	2	2;4	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	2	ORR(Objective Response Rate)	NO		ORR(Objective Response Rate) ||| DCR (Disease Control Rate)	Through Database Cutoff Date of 25 March 2020 (up to approximately 18 months) ||| Through Database Cutoff Date of 25 March 2020 (up to approximately 18 months)	(empty) ||| (empty)	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03629925	placebo+gemcitabine plus platinum	ctg_placebo_onc_2018_2021	OG001	SECONDARY	178	2	2;4	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	2	ORR(Objective Response Rate)	NO		ORR(Objective Response Rate) ||| DCR (Disease Control Rate)	Through Database Cutoff Date of 25 March 2020 (up to approximately 18 months) ||| Through Database Cutoff Date of 25 March 2020 (up to approximately 18 months)	(empty) ||| (empty)	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03671330	premenopausal cohort - ribociclib	ctg_placebo_onc_2018_2021	OG000	SECONDARY	79	2	5;6	ORR;CBR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|CBR	5	Pre and Postmenopausal Cohorts: Overall Response Rate (ORR)	NO		Pre and Postmenopausal Cohorts: Overall Response Rate (ORR) ||| Pre and Postmenopausal Cohorts: Clinical Benefit Rate (CBR)	Up to approximately 80 months ||| Up to approximately 80 months	Full Analysis Set (FAS), except the PK Cohort. ||| Full Analysis Set (FAS), except the PK Cohort.	NUMBER;NUMBER	percentage (%) of responders;percentage (%) of responders	
NCT03671330	premenopausal cohort - placebo	ctg_placebo_onc_2018_2021	OG001	SECONDARY	77	2	5;6	ORR;CBR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|CBR	5	Pre and Postmenopausal Cohorts: Overall Response Rate (ORR)	NO		Pre and Postmenopausal Cohorts: Overall Response Rate (ORR) ||| Pre and Postmenopausal Cohorts: Clinical Benefit Rate (CBR)	Up to approximately 80 months ||| Up to approximately 80 months	Full Analysis Set (FAS), except the PK Cohort. ||| Full Analysis Set (FAS), except the PK Cohort.	NUMBER;NUMBER	percentage (%) of responders;percentage (%) of responders	
NCT03671330	postmenopausal cohort - ribociclib	ctg_placebo_onc_2018_2021	OG002	SECONDARY	77	2	5;6	ORR;CBR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|CBR	5	Pre and Postmenopausal Cohorts: Overall Response Rate (ORR)	NO		Pre and Postmenopausal Cohorts: Overall Response Rate (ORR) ||| Pre and Postmenopausal Cohorts: Clinical Benefit Rate (CBR)	Up to approximately 80 months ||| Up to approximately 80 months	Full Analysis Set (FAS), except the PK Cohort. ||| Full Analysis Set (FAS), except the PK Cohort.	NUMBER;NUMBER	percentage (%) of responders;percentage (%) of responders	
NCT03671330	postmenopausal cohort - placebo	ctg_placebo_onc_2018_2021	OG003	SECONDARY	77	2	5;6	ORR;CBR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|CBR	5	Pre and Postmenopausal Cohorts: Overall Response Rate (ORR)	NO		Pre and Postmenopausal Cohorts: Overall Response Rate (ORR) ||| Pre and Postmenopausal Cohorts: Clinical Benefit Rate (CBR)	Up to approximately 80 months ||| Up to approximately 80 months	Full Analysis Set (FAS), except the PK Cohort. ||| Full Analysis Set (FAS), except the PK Cohort.	NUMBER;NUMBER	percentage (%) of responders;percentage (%) of responders	
NCT04194775	nofazinlimab + lenvatinib	ctg_placebo_onc_2018_2021	OG000	SECONDARY	353	2	1;7	ORR;DCR	RECIST1.1;RECIST_unversioned	BASIS_EXISTS	construct=ORR|DCR; assessmentCriteria=RECIST1.1|RECIST_unversioned	1	Objective Response Rate (ORR) Assessed by Blinded Independent Central Review Committee(BICR)	NO		Objective Response Rate (ORR) Assessed by Blinded Independent Central Review Committee(BICR) ||| Disease Control Rate (DCR) Evaluated by Blinded Independent Central Review Committee(BICR) Based on Response Evaluation Criteria in Solid Tumors(RECIST) v1.1	From enrollment to end of follow-up, a median of 42.5 months ||| From enrollment to end of follow-up, a median of 42.5 months	Analysis population consisted of all randomized participants ||| Analysis population consisted of all randomized participants	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT04194775	placebo + lenvatinib	ctg_placebo_onc_2018_2021	OG001	SECONDARY	181	2	1;7	ORR;DCR	RECIST1.1;RECIST_unversioned	BASIS_EXISTS	construct=ORR|DCR; assessmentCriteria=RECIST1.1|RECIST_unversioned	1	Objective Response Rate (ORR) Assessed by Blinded Independent Central Review Committee(BICR)	NO		Objective Response Rate (ORR) Assessed by Blinded Independent Central Review Committee(BICR) ||| Disease Control Rate (DCR) Evaluated by Blinded Independent Central Review Committee(BICR) Based on Response Evaluation Criteria in Solid Tumors(RECIST) v1.1	From enrollment to end of follow-up, a median of 42.5 months ||| From enrollment to end of follow-up, a median of 42.5 months	Analysis population consisted of all randomized participants ||| Analysis population consisted of all randomized participants	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03581786	placebo combine with chemotherapy	ctg_placebo_onc_2018_2021	OG000	SECONDARY	143	2	8;14	ORR;ORR	RECIST1.1;irRECIST	BASIS_EXISTS	assessmentCriteria=RECIST1.1|irRECIST	8	IRC-assessed ORR According to RECIST v1.1	DEPENDS(no preregistered ordering for this field)		IRC-assessed ORR According to RECIST v1.1 ||| ORR IRC-assessed Per irRECIST	From date of randomization, until disease progression , loss of clinical benefit ,withdrawal of consent, death, or study termination by the Sponsor, whichever occurs first. Up to 2 approximately years ||| From date of randomization, until disease progression , loss of clinical benefit ,withdrawal of consent, death, or study termination by the Sponsor, whichever occurs first. Up to 2 approximately years	(empty) ||| (empty)	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03581786	toripalimab injection(js001 )combine with chemotherapy	ctg_placebo_onc_2018_2021	OG001	SECONDARY	146	2	8;14	ORR;ORR	RECIST1.1;irRECIST	BASIS_EXISTS	assessmentCriteria=RECIST1.1|irRECIST	8	IRC-assessed ORR According to RECIST v1.1	DEPENDS(no preregistered ordering for this field)		IRC-assessed ORR According to RECIST v1.1 ||| ORR IRC-assessed Per irRECIST	From date of randomization, until disease progression , loss of clinical benefit ,withdrawal of consent, death, or study termination by the Sponsor, whichever occurs first. Up to 2 approximately years ||| From date of randomization, until disease progression , loss of clinical benefit ,withdrawal of consent, death, or study termination by the Sponsor, whichever occurs first. Up to 2 approximately years	(empty) ||| (empty)	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT04607668	trilaciclib + folfoxiri/bevacizumab	ctg_placebo_onc_2018_2021	OG000	SECONDARY	137	3	9;10;11	BOR_DISTRIBUTION;ORR;DURATION_OF_RESPONSE	RECIST1.1;RECIST1.1;none	BASIS_EXISTS	construct=BOR_DISTRIBUTION|ORR|DURATION_OF_RESPONSE; assessmentCriteria=RECIST1.1|RECIST1.1|none; timeFrame; unitOfMeasure=percentage of participants|percentage of participants|months; paramType=NUMBER|NUMBER|MEDIAN	9	Best Overall Response (BOR)	YES	om 10: Objective Response Rate (ORR)	Best Overall Response (BOR) ||| Objective Response Rate (ORR) ||| Duration of Objective Response (DOR)	Through Induction Period - on average 24 weeks (up to 12 cycles) of FOLFOXIRI/bevacizumab ||| Assessed from the day of the first dose of the study drug, through 30 days after the last dose of the study drug, up to 115 weeks ||| Assessed from the day of the first dose of the study drug, through 30 days after the last dose of the study drug, up to 115 weeks	The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan. ||| The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan. ||| The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan.	NUMBER;NUMBER;MEDIAN	percentage of participants;percentage of participants;months	
NCT04607668	placebo + folfoxiri/bevacizumab	ctg_placebo_onc_2018_2021	OG001	SECONDARY	140	3	9;10;11	BOR_DISTRIBUTION;ORR;DURATION_OF_RESPONSE	RECIST1.1;RECIST1.1;none	BASIS_EXISTS	construct=BOR_DISTRIBUTION|ORR|DURATION_OF_RESPONSE; assessmentCriteria=RECIST1.1|RECIST1.1|none; timeFrame; unitOfMeasure=percentage of participants|percentage of participants|months; paramType=NUMBER|NUMBER|MEDIAN	9	Best Overall Response (BOR)	YES	om 10: Objective Response Rate (ORR)	Best Overall Response (BOR) ||| Objective Response Rate (ORR) ||| Duration of Objective Response (DOR)	Through Induction Period - on average 24 weeks (up to 12 cycles) of FOLFOXIRI/bevacizumab ||| Assessed from the day of the first dose of the study drug, through 30 days after the last dose of the study drug, up to 115 weeks ||| Assessed from the day of the first dose of the study drug, through 30 days after the last dose of the study drug, up to 115 weeks	The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan. ||| The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan. ||| The Response Evaluable (RE) population included those patients in the mITT population who received at least 1 dose of any study drug and had measurable (target) tumor lesion(s) at the baseline tumor assessment. The patients also had at least 1 post-baseline tumor assessment, discontinued treatment because of clinical progression prior to their first post-baseline tumor scan, or died due to disease progression prior to their first post-baseline tumor scan.	NUMBER;NUMBER;MEDIAN	percentage of participants;percentage of participants;months	
NCT03602859	paclitaxel + carboplatin + dostarlimab pbo +/- bev, then niraparib+dostarlimab pbo +/- bev (arm2)	ctg_placebo_onc_2018_2021	OG000	SECONDARY	385	2	6;8	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	6	Objective Response Rate (ORR)	NO		Objective Response Rate (ORR) ||| Disease Control Rate (DCR)	Up to approximately 316 weeks ||| Up to approximately 316 weeks	The Intent-to-Treat (ITT) population included all randomized participants. As pre-specified in the protocol, the comparison of data was performed only between Arm 2 and Arm 3. ||| The Intent-to-Treat (ITT) population included all randomized participants. As pre-specified in the protocol, the comparison of data was performed only between Arm 2 and Arm 3.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03602859	paclitaxel + carboplatin + dostarlimab +/- bev, then niraparib+dostarlimab +/- bev (arm3)	ctg_placebo_onc_2018_2021	OG001	SECONDARY	753	2	6;8	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	6	Objective Response Rate (ORR)	NO		Objective Response Rate (ORR) ||| Disease Control Rate (DCR)	Up to approximately 316 weeks ||| Up to approximately 316 weeks	The Intent-to-Treat (ITT) population included all randomized participants. As pre-specified in the protocol, the comparison of data was performed only between Arm 2 and Arm 3. ||| The Intent-to-Treat (ITT) population included all randomized participants. As pre-specified in the protocol, the comparison of data was performed only between Arm 2 and Arm 3.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT04060862	phase iii: ipatasertib + palbociclib +fulvestrant	ctg_placebo_onc_2018_2021	OG000	SECONDARY	0	3	6;7;8	ORR;DURATION_OF_RESPONSE;CBR	RECIST1.1;RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DURATION_OF_RESPONSE|CBR; timeFrame	6	Phase III: Objective Response Rate (ORR) as Determined by the Investigator According to RECIST v1.1	NO		Phase III: Objective Response Rate (ORR) as Determined by the Investigator According to RECIST v1.1 ||| Phase III: Duration of Objective Response (DOR) as Determined by the Investigator According to RECIST v1.1 ||| Phase III: Clinical Benefit Rate (CBR) as Determined by the Investigator According to RECIST v1.1	From randomization in Phase III up to approximately 36 months ||| From randomization in Phase III until the first occurrence of disease progression or death from any cause, whichever occurs first, up to approximately 36 months ||| From randomization in Phase III until the first occurrence of disease progression or death from any cause, whichever occurs first, up to approximately 36 months	The study was terminated before initiation of Phase III as per sponsor's decision; hence this outcome measure was not assessed or analyzed, and no data collected. ||| The study was terminated before initiation of Phase III as per sponsor's decision; hence this outcome measure was not assessed or analyzed, and no data collected. ||| The study was terminated before initiation of Phase III as per sponsor's decision; hence this outcome measure was not assessed or analyzed, and no data collected.	None;None;None	;;	Participants denominator = 0 for this group
