row_type	nct	mechanism	reducible	registered_enrollment	enrollment_type	selected_cohorts	sum_selected_denominators	excess	reduced_set_sum	om_index	group_id	group_title	denominator	cohort_role	payload	note
COHORT	NCT00804856									3	OG006	Total Phase I Combined. Schedule A.	32	POOLED_TOTAL	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG014	Total Phase I Combined. Schedule B.	56	POOLED_TOTAL	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG017	Total Phase II Combined. Schedule A and C.	87	POOLED_TOTAL	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
TRIAL	NCT00191152	M5_SEQUENTIAL_REENTRY	YES	475	ACTUAL	4	633	158	475							{OM7/OG000 Gemcitabine Plus Docetaxel 239; OM7/OG001 Docetaxel Plus Capecitabine 236} = 475 = registered enrollment
COHORT	NCT00191152									7	OG001	Docetaxel Plus Capecitabine	236	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00191152									7	OG000	Gemcitabine Plus Docetaxel	239	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00191152									8	OG000	Capecitabine	77	SEQUENTIAL_REENTRY	ctg_results_bor_1999_2009	
COHORT	NCT00191152									8	OG001	Gemcitabine	81	SEQUENTIAL_REENTRY	ctg_results_bor_1999_2009	
TRIAL	NCT01089413	M1_POOLED_PLUS_COMPONENTS	YES	201	ACTUAL	4	356	155	178							{OM2/OG000 Age <70 107; OG001 Age 70-80 58; OG002 Age >80 13} = 178 (registered enrollment 201)
COHORT	NCT01089413									2	OG001	Bevacizumab: Age 70-80 Years	58	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01089413									2	OG000	Bevacizumab: Age <70 Years	107	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01089413									2	OG002	Bevacizumab: Age >80 Years	13	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01089413									2	OG003	Bevacizumab: Overall	178	POOLED_TOTAL	ctg_results_bor_2010_2013	
TRIAL	NCT01084863	M4_ASSESSOR_DUPLICATE	YES	143	ACTUAL	4	286	143	143							{OM4/OG000 CT-P6 & Paclitaxel ITRC 76; OM4/OG001 Herceptin & Paclitaxel ITRC 67} = 143 = registered enrollment
COHORT	NCT01084863									4	OG000	CT-P6 & Paclitaxel ITRC	76	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01084863									4	OG002	CT-P6 & Paclitaxel Investigator	76	DUPLICATE_ASSESSOR	ctg_results_bor_2010_2013	
COHORT	NCT01084863									4	OG001	Herceptin & Paclitaxel ITRC	67	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01084863									4	OG003	Herceptin & Paclitaxel Investigator	67	DUPLICATE_ASSESSOR	ctg_results_bor_2010_2013	
TRIAL	NCT00146172	M3_TITLE_VARIANT_DUPLICATE + M1_POOLED_PLUS_COMPONENTS	YES	73	ACTUAL	6	198	125	39							{OM1/OG002 All Subjects 60} = 60 (or the strata {25,14}=39, which do not exhaust it)
COHORT	NCT00146172									1	OG002	All Subjects	60	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00146172									1	OG000	Breast Cancer Cohort	25	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00146172									1	OG001	Lung Cancer Cohort	14	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00146172									4	OG002	All Solid Tumors	60	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
COHORT	NCT00146172									4	OG000	Breast Cancer	25	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
COHORT	NCT00146172									4	OG001	Lung Cancer	14	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
TRIAL	NCT00790400	M5_SEQUENTIAL_REENTRY	YES	118	ACTUAL	3	230	112	118							{OM0/OG000 Everolimus Randomized (Core Period) 79; OM0/OG001 Placebo Randomized (Core Period) 39} = 118 = registered enrollment
COHORT	NCT00790400									0	OG002	Everolimus (Core and/or Extension Period)	112	SEQUENTIAL_REENTRY	ctg_placebo_onc_1999_2009	
COHORT	NCT00790400									0	OG000	Everolimus Randomized (Core Period)	79	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00790400									0	OG001	Placebo Randomized (Core Period)	39	COMPONENT	ctg_placebo_onc_1999_2009	
TRIAL	NCT00668148	M1_POOLED_PLUS_COMPONENTS	YES	113	ACTUAL	6	222	109	111							{OM2/OG000 18; OG001 17; OG002 22; OG003 37; OG004 17} = 111
COHORT	NCT00668148									2	OG003	Adipocytic Sarcoma	37	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00668148									2	OG000	Ewing's Sarcoma/PNET	18	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00668148									2	OG002	Leiomyosarcoma	22	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00668148									2	OG001	Rhabdomyosarcoma	17	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00668148									2	OG004	Synovial Sarcoma	17	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00668148									2	OG005	Total	111	POOLED_TOTAL	ctg_results_bor_1999_2009	
TRIAL	NCT01251536	M1_POOLED_PLUS_COMPONENTS	YES	108	ACTUAL	4	216	108	108							{OM7/OG000 Arm A 8; OG001 Arm B 93; OG002 Not Allocated 7} = 108 = registered enrollment
COHORT	NCT01251536									7	OG000	Arm A - Dose Escalation of Cetuximab	8	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01251536									7	OG001	Arm B - Standard Dose of Cetuximab	93	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01251536									7	OG003	ITT / Safety Set	108	POOLED_TOTAL	ctg_results_bor_2010_2013	
COHORT	NCT01251536									7	OG002	Not Allocated	7	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT00152477	M1_POOLED_PLUS_COMPONENTS	YES	165	ACTUAL	4	262	97	156							{OM0/OG000 CP 50; OM0/OG002 CDP791 10mg 53; OM0/OG003 CDP791 20mg 53} = 156
COHORT	NCT00152477									0	OG000	Carboplatin/Paclitaxel (Randomized Part II SjS)	50	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00152477									0	OG001	Carboplatin/Paclitaxel/CDP791 (Randomized Part II SjS)	106	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00152477									0	OG002	Carboplatin/Paclitaxel/CDP791 10mg (Randomized Part II SS)	53	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00152477									0	OG003	Carboplatin/Paclitaxel/CDP791 20mg (Randomized Part II SjS)	53	COMPONENT	ctg_results_bor_1999_2009	
TRIAL	NCT01063907	M1_POOLED_PLUS_COMPONENTS	YES	95	ACTUAL	6	190	95	95							{OM0/OG001 3; OG002 3; OG003 3; OG004 6; OG005 Phase 2 80} = 95 = registered enrollment
COHORT	NCT01063907									0	OG000	Phase 1 & 2: KW-2478 175 mg/m^2 and Bortezomib 1.3mg/m^2	95	POOLED_TOTAL	ctg_results_bor_2010_2013	
COHORT	NCT01063907									0	OG001	Phase 1 Cohort 1: KW-2478 130 mg/m^2 and Bortezomib 1.0mg/m^2	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01063907									0	OG002	Phase 1 Cohort 2: KW-2478 130 mg/m^2 and Bortezomib 1.3mg/m^2	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01063907									0	OG003	Phase 1 Cohort 3: KW-2478 175 mg/m^2 and Bortezomib 1.0mg/m^2	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01063907									0	OG004	Phase 1 Cohort 4: KW-2478 175 mg/m^2 and Bortezomib 1.3mg/m^2	6	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01063907									0	OG005	Phase 2: KW-2478 175 mg/m^2 and Bortezomib 1.3mg/m^2	80	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT00451555	M1_POOLED_PLUS_COMPONENTS	YES	156	ACTUAL	4	246	90	152							{OM0/OG001 Enz+Fulv BID 39; OM0/OG002 Enz+Fulv QD 55; OM0/OG003 Fulvestrant+Placebo 58} = 152
COHORT	NCT00451555									0	OG001	Enzastaurin + Fulvestrant BID	39	COMPONENT	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
COHORT	NCT00451555									0	OG002	Enzastaurin + Fulvestrant QD	55	COMPONENT	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
COHORT	NCT00451555									0	OG000	Enzastaurin + Fulvestrant QD + BID	94	POOLED_TOTAL	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
COHORT	NCT00451555									0	OG003	Fulvestrant + Placebo	58	COMPONENT	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
TRIAL	NCT01217957	M3_TITLE_VARIANT_DUPLICATE + M8_ANALYSIS_POPULATION_NESTING	YES	65	ACTUAL	3	153	88	52							{OM1/OG001 Phase 2: Ixazomib 4.0mg/2.23 + Len + Dex 52} = 52 (registered enrollment 65)
COHORT	NCT01217957									1	OG000	Phase 2: Ixazomib 4.0 mg + Lenalidomide + Dexamethasone	49	NESTED_SUBSET	ctg_results_bor_2010_2013	
COHORT	NCT01217957									1	OG001	Phase 2: Ixazomib 4.0mg/2.23 + Lenalidomide + Dexamethasone	52	KEEP_ITT	ctg_results_bor_2010_2013	
COHORT	NCT01217957									13	OG001	Phase 2: Ixazomib 4.0 mg/2.23 + Lenalidomide + Dexamethasone	52	DUPLICATE_TITLE_VARIANT	ctg_results_bor_2010_2013	
TRIAL	NCT00171834	M1_POOLED_PLUS_COMPONENTS + M3_TITLE_VARIANT_DUPLICATE	YES	89	ACTUAL	8	170	81	85							{OM6/OG000 Patupilone Phase I 50; OM4/OG000 Patupilone 10 mg/m^2 (Phase II) NSCLC Cohort 35} = 85
COHORT	NCT00171834									0	OG003	Patupilone 10.0-11.5 mg/m^2 (Phase I)	12	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									0	OG004	Patupilone 12.0-13.0 mg/m^2 (Phase I)	8	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									0	OG001	Patupilone 7.5-8.0 mg/m^2 (Phase I)	12	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									0	OG002	Patupilone 8.5-9.5 mg/m^2 (Phase I)	12	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									0	OG000	Patupilone ≤7.0 mg/m^2 (Phase I)	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									4	OG000	Patupilone 10 mg/m^2 (Phase II) NSCLC Cohort	35	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00171834									6	OG000	Patupilone (EPO906) Phase I	50	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00171834									6	OG001	Patupilone (EPO906) Phase II	35	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
TRIAL	NCT00462761	M1_POOLED_PLUS_COMPONENTS	YES	76	ACTUAL	13	152	76	76							the twelve OM3 dose-schedule groups (OG000-OG011) = 76 = registered enrollment
COHORT	NCT00462761									3	OG012	All Participants	76	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG000	Quizartinib 12 mg ID	3	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG006	Quizartinib 135 mg ID	5	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG001	Quizartinib 18 mg ID	8	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG010	Quizartinib 200 mg CD	17	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG007	Quizartinib 200 mg ID	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG002	Quizartinib 27 mg ID	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG011	Quizartinib 300 mg CD	8	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG008	Quizartinib 300 mg ID	4	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG003	Quizartinib 40 mg ID	5	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG009	Quizartinib 450 mg ID	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG004	Quizartinib 60 mg ID	5	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00462761									3	OG005	Quizartinib 90 mg ID	3	COMPONENT	ctg_results_bor_1999_2009	
TRIAL	NCT00137449	M1_POOLED_PLUS_COMPONENTS	YES	60	ACTUAL	3	120	60	60							{OM2/OG000 AM 30; OM2/OG001 PM 30} = 60
COHORT	NCT00137449									2	OG000	AM Dose Sunitinib Malate	30	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00137449									2	OG001	PM Dose Sunitinib Malate	30	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00137449									2	OG002	Total (Equals AM Plus PM Dose) Sunitinib Malate	60	POOLED_TOTAL	ctg_results_bor_1999_2009	
TRIAL	NCT00371345	M1_POOLED_PLUS_COMPONENTS + M3_TITLE_VARIANT_DUPLICATE + M7_NON_COHORT_GROUPS	YES	92	ACTUAL	9	150	58	69							{OM0/OG000 15; OM0/OG001 9; OM0/OG002 31; OM0/OG003 14} = 69
COHORT	NCT00371345									0	OG003	ER and/or PgR Positive Tumor, 100 mg BID Dasatinib	14	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									0	OG002	ER and/or PgR Positive Tumor, 70 mg BID Dasatinib	31	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									0	OG001	Her2/Neu-amplified Tumor, 100 mg BID	9	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									0	OG000	Her2/Neu-amplified Tumor, 70 mg Twice Daily (BID) Dasatinib	15	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									1	OG004	All Response-evaluable Participants	69	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00371345									1	OG001	Her2/Neu-amplified Tumor, 100 mg BID Dasatinib	9	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									7	OG001	Participant CA180088-16-88002, ER and/or PgR Group	1	SINGLE_PARTICIPANT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									7	OG000	Participant CA180088-18-88009, HER-2 Group	1	SINGLE_PARTICIPANT	ctg_results_bor_1999_2009	
COHORT	NCT00371345									7	OG002	Participant CA180088-29-88085, ER and/or PgR Group	1	SINGLE_PARTICIPANT	ctg_results_bor_1999_2009	
TRIAL	NCT01088984	M1_POOLED_PLUS_COMPONENTS	YES	43	ACTUAL	3	86	43	43							{OM3/OG000 Phase 1 11; OM1/OG000 Phase 2 32} = 43 = registered enrollment
COHORT	NCT01088984									1	OG000	Phase 2: Bendamustine 120 mg/m^2	32	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01088984									3	OG000	Phase 1: Bendamustine 90 or 120 mg/m^2	11	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01088984									3	OG002	Total	43	POOLED_TOTAL	ctg_results_bor_2010_2013	
TRIAL	NCT00243074	M3_TITLE_VARIANT_DUPLICATE	YES	54	ACTUAL	2	94	40	47							{OM0/OG000 AZD2171 (Cediranib Maleate) 47} = 47
COHORT	NCT00243074									0	OG000	AZD2171 (Cediranib Maleate)	47	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00243074									3	OG000	AZD2171	47	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
TRIAL	NCT00633594	M2_CROSS_AXIS_PARTITION	YES	39	ACTUAL	4	78	39	39							either axis alone: {OM2/OG000 13; OM2/OG001 26} = 39, or {OM3/OG000 10; OM3/OG001 29} = 39
COHORT	NCT00633594									2	OG000	Phase I Participants (10 mg/15 mg Lenalidomide)	13	AXIS1_KEEP	ctg_results_bor_1999_2009	
COHORT	NCT00633594									2	OG001	Phase II Participants (10 mg Lenalidomide)	26	AXIS1_KEEP	ctg_results_bor_1999_2009	
COHORT	NCT00633594									3	OG000	Previously Treated Participants	10	AXIS2_CROSS_AXIS	ctg_results_bor_1999_2009	
COHORT	NCT00633594									3	OG001	Previously Untreated Participants	29	AXIS2_CROSS_AXIS	ctg_results_bor_1999_2009	
TRIAL	NCT01227889	M5_SEQUENTIAL_REENTRY	YES	251	ACTUAL	3	287	36	250							{OM4/OG000 GSK2118436 150 mg BID 187; OM4/OG001 DTIC 1000 mg/m^2 in RP 63} = 250 (registered enrollment 251)
COHORT	NCT01227889									4	OG001	DTIC 1000 mg/m^2 in RP	63	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01227889									4	OG000	GSK2118436 150 mg BID	187	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01227889									8	OG000	GSK25118436 in Crossover Phase	37	SEQUENTIAL_REENTRY	ctg_results_bor_2010_2013	
TRIAL	NCT00400803	M7_NON_COHORT_GROUPS	YES	38	ACTUAL	4	70	32	35							{OM1/OG000 Intent To Treat - Lung Cancer Patients 35} = 35
COHORT	NCT00400803									1	OG000	Intent To Treat - Lung Cancer Patients	35	KEEP_ITT	ctg_results_bor_1999_2009	
COHORT	NCT00400803									1	OG001	Partial Response	19	OUTCOME_STRATUM	ctg_results_bor_1999_2009	
COHORT	NCT00400803									1	OG003	Progressive Disease	6	OUTCOME_STRATUM	ctg_results_bor_1999_2009	
COHORT	NCT00400803									1	OG002	Stable Disease	10	OUTCOME_STRATUM	ctg_results_bor_1999_2009	
TRIAL	NCT00606008	M1_POOLED_PLUS_COMPONENTS	YES	30	ACTUAL	3	60	30	30							{OM1/OG001 AA Cohort Patients 14; OM1/OG002 GB Cohort Patients 16} = 30 = registered enrollment
COHORT	NCT00606008									1	OG001	AA Cohort Patients	14	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00606008									1	OG002	GB Cohort Patients	16	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00606008									1	OG000	Sutent Treatment	30	POOLED_TOTAL	ctg_results_bor_1999_2009	
TRIAL	NCT01077518	M5_SEQUENTIAL_REENTRY	YES	346	ACTUAL	3	376	30	346							{OM2/OG000 Ofa+Benda (Arm A) 173; OM2/OG001 Benda (Arm B) 173} = 346 = registered enrollment
COHORT	NCT01077518									2	OG001	Benda (Arm B)	173	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01077518									2	OG000	Ofa + Benda (Arm A)	173	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01077518									23	OG000	Optional Ofa	30	SEQUENTIAL_REENTRY	ctg_results_bor_2010_2013	
TRIAL	NCT00623766	M3_TITLE_VARIANT_DUPLICATE	YES	99	ACTUAL	3	123	24	72							{OM0/OG000 corticosteroid-free 51; OM0/OG001 corticosteroid-dependent 21} = 72
COHORT	NCT00623766									0	OG001	Ipilimumab, 10 mg/kg IV, in Corticosteroid-dependent Patients	21	COMPONENT	ctg_results_bor_1999_2009	
