nct	payload	payload_line	om_index	om_title	group_id	group_title	n_arms_registered	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	recovered_arm_index	recovered_arm_label	recovered_arm_type	join_field	join_class	control_status_implied	contradiction_flag	note	source_pointer
NCT00600340	ctg_results_bor_1999_2009.txt	638	6	Unconfirmed Best Overall Response (PP Population)	OG000	Bevacizumab Plus Paclitaxel	2	NONE			UNKNOWN	0	A Bev+Pac	ACTIVE_COMPARATOR	armGroups[0].description casefold-equals group_title exactly ('Bevacizumab plus Paclitaxel'); corroborated by armGroups[0].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[6] | group OG000
NCT00654238	ctg_results_bor_1999_2009.txt	134	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	1	EXPERIMENTAL	armGroups[0].description ('This is a single arm study.') is the verbatim opening of the group description; armGroups[0].interventionNames 'Drug: sorafenib' equals group_title; armGroups cardinality = 1	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)			ctg_results_bor_1999_2009.txt line 134 | NCT00654238 | outcomeMeasures[0] | group OG000
NCT00836888	ctg_results_bor_1999_2009.txt	612	4	Best Overall Response	OG002	ONO-4538 10mg/kg Cohorts	1	CONTAINMENT	Cohort	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Cohort	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('ONO-4538')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 dose-level results groups collapse onto the single registered arm 'Cohort'; arm type determinate, dose-level identity is not registered	ctg_results_bor_1999_2009.txt line 612 | NCT00836888 | outcomeMeasures[4] | group OG002
NCT00836888	ctg_results_bor_1999_2009.txt	612	4	Best Overall Response	OG000	ONO-4538 1mg/kg Cohorts	1	CONTAINMENT	Cohort	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Cohort	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('ONO-4538')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 dose-level results groups collapse onto the single registered arm 'Cohort'; arm type determinate, dose-level identity is not registered	ctg_results_bor_1999_2009.txt line 612 | NCT00836888 | outcomeMeasures[4] | group OG000
NCT00836888	ctg_results_bor_1999_2009.txt	612	4	Best Overall Response	OG003	ONO-4538 20mg/kg Cohorts	1	CONTAINMENT	Cohort	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Cohort	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('ONO-4538')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 dose-level results groups collapse onto the single registered arm 'Cohort'; arm type determinate, dose-level identity is not registered	ctg_results_bor_1999_2009.txt line 612 | NCT00836888 | outcomeMeasures[4] | group OG003
NCT00836888	ctg_results_bor_1999_2009.txt	612	4	Best Overall Response	OG001	ONO-4538 3mg/kg Cohorts	1	CONTAINMENT	Cohort	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Cohort	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('ONO-4538')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 dose-level results groups collapse onto the single registered arm 'Cohort'; arm type determinate, dose-level identity is not registered	ctg_results_bor_1999_2009.txt line 612 | NCT00836888 | outcomeMeasures[4] | group OG001
NCT00876993	ctg_results_bor_1999_2009.txt	38	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG000	Cohort 1 - Dose Level 1	5	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	1	Dose Level 1	EXPERIMENTAL	armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		dose equality independently confirms the label containment Job 3 rated weak	ctg_results_bor_1999_2009.txt line 38 | NCT00876993 | outcomeMeasures[1] | group OG000
NCT00876993	ctg_results_bor_1999_2009.txt	38	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG001	Cohort 2 - Dose Level 0	5	CONTAINMENT	Dose Level 0	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Dose Level 0	EXPERIMENTAL	armGroups[0].label is the verbatim trailing substring of group_title AND armGroups[0].description temozolomide dose equals the group description dose	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		dose equality independently confirms the label containment Job 3 rated weak	ctg_results_bor_1999_2009.txt line 38 | NCT00876993 | outcomeMeasures[1] | group OG001
NCT00876993	ctg_results_bor_1999_2009.txt	38	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG002	Cohort 3 - Dose Level 1	5	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	1	Dose Level 1	EXPERIMENTAL	armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		dose equality independently confirms the label containment Job 3 rated weak	ctg_results_bor_1999_2009.txt line 38 | NCT00876993 | outcomeMeasures[1] | group OG002
NCT00876993	ctg_results_bor_1999_2009.txt	38	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG003	Cohort 4 - Dose Level 2	5	CONTAINMENT	Dose Level 2	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	2	Dose Level 2	EXPERIMENTAL	armGroups[2].label is the verbatim trailing substring of group_title AND armGroups[2].description temozolomide dose equals the group description dose	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		dose equality independently confirms the label containment Job 3 rated weak	ctg_results_bor_1999_2009.txt line 38 | NCT00876993 | outcomeMeasures[1] | group OG003
NCT00876993	ctg_results_bor_1999_2009.txt	38	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	OG004	Cohort 5 - Dose Level 1	5	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	1	Dose Level 1	EXPERIMENTAL	armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		dose equality independently confirms the label containment Job 3 rated weak	ctg_results_bor_1999_2009.txt line 38 | NCT00876993 | outcomeMeasures[1] | group OG004
NCT00946153	ctg_results_bor_1999_2009.txt	256	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	OG000	Phase 1: Group 1: Lenvatinib: 12 mg	1	CONTAINMENT	Lenvatinib	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Lenvatinib	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('Lenvatinib')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 Phase-1 dose groups collapse onto the single registered arm	ctg_results_bor_1999_2009.txt line 256 | NCT00946153 | outcomeMeasures[2] | group OG000
NCT00946153	ctg_results_bor_1999_2009.txt	256	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	OG003	Phase 1: Group 2: Lenvatinib: 12 mg	1	CONTAINMENT	Lenvatinib	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Lenvatinib	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('Lenvatinib')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 Phase-1 dose groups collapse onto the single registered arm	ctg_results_bor_1999_2009.txt line 256 | NCT00946153 | outcomeMeasures[2] | group OG003
NCT00946153	ctg_results_bor_1999_2009.txt	256	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	OG002	Phase 1: Group 2: Lenvatinib: 8 mg	1	CONTAINMENT	Lenvatinib	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Lenvatinib	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('Lenvatinib')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 Phase-1 dose groups collapse onto the single registered arm	ctg_results_bor_1999_2009.txt line 256 | NCT00946153 | outcomeMeasures[2] | group OG002
NCT00946153	ctg_results_bor_1999_2009.txt	256	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	OG001	Phase 1: Group1: Lenvatinib: 16 mg	1	CONTAINMENT	Lenvatinib	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Lenvatinib	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('Lenvatinib')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		4 Phase-1 dose groups collapse onto the single registered arm	ctg_results_bor_1999_2009.txt line 256 | NCT00946153 | outcomeMeasures[2] | group OG001
NCT01124734	ctg_results_bor_2010_2013.txt	257	0	Clinical Response to High-Dose Interleukin-2 (H-D IL-2) Followed by Low Dose Temozolomide	OG000	Course 1 Cycle 1	1	CONTAINMENT	Course 1 Cycle 1 and Cycle 2	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	0	Course 1 Cycle 1 and Cycle 2	EXPERIMENTAL	armGroups[0].description enumerates both group titles verbatim as its two labelled sub-cycles ('Course 1 Cycle 1:' / 'Course 1 Cycle 2:'), with matching regimens	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)	FLAG: Job 3 gave the two rows of this one single-arm trial different control_status (UNKNOWN_WEAK_MATCH_ONLY vs NOT_CONTROL_SINGLE_ARM_TRIAL) purely as a substring-match artifact; both are the same registered arm	both results groups are periods of the one registered arm 'Course 1 Cycle 1 and Cycle 2'	ctg_results_bor_2010_2013.txt line 257 | NCT01124734 | outcomeMeasures[0] | group OG000
NCT01124734	ctg_results_bor_2010_2013.txt	257	0	Clinical Response to High-Dose Interleukin-2 (H-D IL-2) Followed by Low Dose Temozolomide	OG001	Course 1 Cycle 2	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Course 1 Cycle 1 and Cycle 2	EXPERIMENTAL	armGroups[0].description enumerates both group titles verbatim as its two labelled sub-cycles ('Course 1 Cycle 1:' / 'Course 1 Cycle 2:'), with matching regimens	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)	FLAG: Job 3 gave the two rows of this one single-arm trial different control_status (UNKNOWN_WEAK_MATCH_ONLY vs NOT_CONTROL_SINGLE_ARM_TRIAL) purely as a substring-match artifact; both are the same registered arm	both results groups are periods of the one registered arm 'Course 1 Cycle 1 and Cycle 2'	ctg_results_bor_2010_2013.txt line 257 | NCT01124734 | outcomeMeasures[0] | group OG001
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG000	BI 836826 1 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG000
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG005	BI 836826 100 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG005
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG006	BI 836826 200 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG006
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG003	BI 836826 25 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG003
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG001	BI 836826 3 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG001
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG007	BI 836826 400 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG007
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG004	BI 836826 50 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG004
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG008	BI 836826 800 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG008
NCT01296932	ctg_results_bor_2010_2013.txt	174	4	Best Overall Response According to 'International Workshop on Chronic Lymphocytic Leukemia' (IWCLL) Criteria	OG002	BI 836826 9 Milligram	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	Patients with relapsed CLL	EXPERIMENTAL	armGroups cardinality = 1 (protocolSection.armsInterventionsModule.armGroups) + armGroups[0].interventionNames drug token present in group title ('BI 836826')	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		9 dose groups collapse onto the single registered arm 'Patients with relapsed CLL'	ctg_results_bor_2010_2013.txt line 174 | NCT01296932 | outcomeMeasures[4] | group OG002
NCT01325207	ctg_results_bor_2010_2013.txt	163	1	Best Response to IT Trastuzumab: Radiological, Cytological and Clinical in Treatment With Intrathecal Trastuzumab for Patients With Leptomeningeal Metastases in HER2+ Breast Cancer.	OG001	Cohort 5 + Phase II - Intrathecal Trastuzumab- 80 mg	1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	0	intravenous trastuzumab infusions	EXPERIMENTAL	armGroups cardinality = 1, so the single registered arm is the only armGroupType available	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		CAVEAT: armGroups[0].label/description say INTRAVENOUS trastuzumab while both results groups say INTRATHECAL; arm TYPE is determinate by cardinality but the arm text is not usable as group-level evidence	ctg_results_bor_2010_2013.txt line 163 | NCT01325207 | outcomeMeasures[1] | group OG001
