nct	group_norm	group_title_source	results_group_id	payload	n_candidates	outcome_indices	selected_index	outcome_type	participants_denominator	classification	primary_basis	all_bases	distinguishing_field	values_by_index	titles_by_index	reported_cells_differ	would_change_selection	would_change_to_index
NCT02525536	trebananib 10 mg/kg	Trebananib 10 mg/kg	9:OG001,10:OG001	ctg_results_bor_1999_2009.txt	2	9,10	9	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|POPULATION|STRUCTURE	title (endpoint construct named)	[9] BOR || [10] ORR	[9] Number of Participants With Best Overall Response || [10] Percentage of Participants With Objective Response	True	YES	10
NCT02525536	trebananib 3 mg/kg	Trebananib 3 mg/kg	9:OG000,10:OG000	ctg_results_bor_1999_2009.txt	2	9,10	9	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|POPULATION|STRUCTURE	title (endpoint construct named)	[9] BOR || [10] ORR	[9] Number of Participants With Best Overall Response || [10] Percentage of Participants With Objective Response	True	YES	10
NCT02525536	trebananib 30 mg/kg	Trebananib 30 mg/kg	9:OG002,10:OG002	ctg_results_bor_1999_2009.txt	2	9,10	9	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|POPULATION|STRUCTURE	title (endpoint construct named)	[9] BOR || [10] ORR	[9] Number of Participants With Best Overall Response || [10] Percentage of Participants With Objective Response	True	YES	10
NCT02528357	part 1: gsk3174998 0.003 mg/kg	Part 1: GSK3174998 0.003 mg/kg	30:OG000,33:OG000	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	1	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 0.01 mg/kg	Part 1: GSK3174998 0.01 mg/kg	30:OG001,33:OG001	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	1	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 0.03 mg/kg	Part 1: GSK3174998 0.03 mg/kg	30:OG002,33:OG002	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	8	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 0.1 mg/kg	Part 1: GSK3174998 0.1 mg/kg	30:OG003,33:OG003	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	10	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 0.3 mg/kg	Part 1: GSK3174998 0.3 mg/kg	30:OG004,33:OG004	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	10	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 1.0 mg/kg	Part 1: GSK3174998 1.0 mg/kg	30:OG005,33:OG005	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	4	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 10.0 mg/kg	Part 1: GSK3174998 10.0 mg/kg	30:OG007,33:OG007	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	4	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 1: gsk3174998 3.0 mg/kg	Part 1: GSK3174998 3.0 mg/kg	30:OG006,33:OG006	ctg_results_bor_2014_2017.txt	2	30,33	30	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA	title (endpoint construct named)	[30] ORR || [33] DCR	[30] Part 1: Objective Response Rate (ORR) || [33] Part 1: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 0.003 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 0.003 mg/kg + Pembrolizumab 200 mg	31:OG000,34:OG000	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	5	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 0.01 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 0.01 mg/kg + Pembrolizumab 200 mg	31:OG001,34:OG001	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 0.03 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 0.03 mg/kg + Pembrolizumab 200 mg	31:OG002,34:OG002	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	10	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 0.1 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 0.1 mg/kg + Pembrolizumab 200 mg	31:OG003,34:OG003	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	12	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 0.3 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 0.3 mg/kg + Pembrolizumab 200 mg	31:OG004,34:OG004	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	13	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 1.0 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 1.0 mg/kg + Pembrolizumab 200 mg	31:OG005,34:OG005	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	12	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 10.0 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 10.0 mg/kg + Pembrolizumab 200 mg	31:OG007,34:OG007	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	4	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02528357	part 2a: gsk3174998 3.0 mg/kg + pembrolizumab 200 mg	Part 2A: GSK3174998 3.0 mg/kg + Pembrolizumab 200 mg	31:OG006,34:OG006	ctg_results_bor_2014_2017.txt	2	31,34	31	SECONDARY	12	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[31] ORR || [34] DCR	[31] Part 2A: Objective Response Rate (ORR) || [34] Part 2A: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2b: melanoma cohort	Part 2B: Melanoma Cohort	32:OG000,35:OG000	ctg_results_bor_2014_2017.txt	2	32,35	32	SECONDARY	9	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[32] ORR || [35] DCR	[32] Part 2B: Objective Response Rate (ORR) || [35] Part 2B: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2b: nsclc cohort	Part 2B: NSCLC Cohort	32:OG002,35:OG002	ctg_results_bor_2014_2017.txt	2	32,35	32	SECONDARY	5	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[32] ORR || [35] DCR	[32] Part 2B: Objective Response Rate (ORR) || [35] Part 2B: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02528357	part 2b: soft tissue sarcoma cohort	Part 2B: Soft Tissue Sarcoma Cohort	32:OG001,35:OG001	ctg_results_bor_2014_2017.txt	2	32,35	32	SECONDARY	8	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[32] ORR || [35] DCR	[32] Part 2B: Objective Response Rate (ORR) || [35] Part 2B: Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02536742	experimental	Experimental	1:OG000,2:OG000	ctg_results_bor_2014_2017.txt	2	1,2	1	SECONDARY	122	BASIS_EXISTS	ASSESSMENT_CRITERIA	ASSESSMENT_CRITERIA|STRUCTURE	title+description (named criteria set/version)	[1] RECIST(unversioned) || [2] (none named)	[1] Best Overall Response || [2] Best Overall Response of Complete Response (CR) or Partial Response (PR) or Stable Disease (SD)	True	NOT_DETERMINED	
NCT02540291	e7046 125 mg	E7046 125 mg	3:OG000,6:OG000	ctg_results_bor_2014_2017.txt	2	3,6	3	SECONDARY	8	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|TIME_FRAME	title (endpoint construct named)	[3] ORR || [6] DCR	[3] Objective Response Rate (ORR) || [6] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02540291	e7046 250 mg	E7046 250 mg	3:OG001,6:OG001	ctg_results_bor_2014_2017.txt	2	3,6	3	SECONDARY	8	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|TIME_FRAME	title (endpoint construct named)	[3] ORR || [6] DCR	[3] Objective Response Rate (ORR) || [6] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02540291	e7046 500 mg	E7046 500 mg	3:OG002,6:OG002	ctg_results_bor_2014_2017.txt	2	3,6	3	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|TIME_FRAME	title (endpoint construct named)	[3] ORR || [6] DCR	[3] Objective Response Rate (ORR) || [6] Disease Control Rate (DCR)	False	NOT_DETERMINED	
NCT02540291	e7046 750 mg	E7046 750 mg	3:OG003,6:OG003	ctg_results_bor_2014_2017.txt	2	3,6	3	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|TIME_FRAME	title (endpoint construct named)	[3] ORR || [6] DCR	[3] Objective Response Rate (ORR) || [6] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02545075	dacarbazine (250 mg/m2)	Dacarbazine (250 mg/m2)	4:OG001,5:OG001	ctg_results_bor_2014_2017.txt	2	4,5	4	SECONDARY	60	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[4] DCR || [5] ORR	[4] Disease Control Rate ( DCR ) || [5] Best Overall Response Rate ( BORR )	True	YES	5
NCT02545075	ipilimumab (3 mg/kg)	Ipilimumab (3 mg/kg)	4:OG000,5:OG000	ctg_results_bor_2014_2017.txt	2	4,5	4	SECONDARY	122	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[4] DCR || [5] ORR	[4] Disease Control Rate ( DCR ) || [5] Best Overall Response Rate ( BORR )	True	YES	5
NCT02549937	dose-escalation phase: surufatinib 100 mg	Dose-Escalation Phase: Surufatinib 100 mg	8:OG001,9:OG001	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-escalation phase: surufatinib 200 mg	Dose-Escalation Phase: Surufatinib 200 mg	8:OG002,9:OG002	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	3	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-escalation phase: surufatinib 300 mg	Dose-Escalation Phase: Surufatinib 300 mg	8:OG003,9:OG003	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	8	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-escalation phase: surufatinib 400 mg	Dose-Escalation Phase: Surufatinib 400 mg	8:OG004,9:OG004	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	11	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-escalation phase: surufatinib 50 mg	Dose-Escalation Phase: Surufatinib 50 mg	8:OG000,9:OG000	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	3	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-expansion phase: arm a: btc	Dose-Expansion Phase: Arm A: BTC	8:OG005,9:OG005	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	27	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-expansion phase: arm b: pnet	Dose-Expansion Phase: Arm B: pNET	8:OG006,9:OG006	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	16	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-expansion phase: arm c: epnet	Dose-Expansion Phase: Arm C: epNET	8:OG007,9:OG007	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	16	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02549937	dose-expansion phase: arm d: sts	Dose-Expansion Phase: Arm D: STS	8:OG008,9:OG008	ctg_results_bor_2014_2017.txt	2	8,9	8	SECONDARY	30	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT	title (endpoint construct named)	[8] ORR || [9] DCR	[8] Dose-Escalation and Dose-Expansion Phase: Objective Response Rate (ORR) || [9] Dose-Escalation and Dose-Expansion Phase: Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	cohort -1: pooled	Cohort -1: Pooled	2:OG005,4:OG005	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	32	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	dose expansion: cohort -1	Dose Expansion: Cohort -1	2:OG004,4:OG004	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	25	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	dose exploration: cohort -1	Dose Exploration: Cohort -1	2:OG001,4:OG001	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	dose exploration: cohort -2b	Dose Exploration: Cohort -2B	2:OG002,4:OG002	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	10	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	dose exploration: cohort -3	Dose Exploration: Cohort -3	2:OG003,4:OG003	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02551991	dose exploration: cohort 1	Dose Exploration: Cohort 1	2:OG000,4:OG000	ctg_results_bor_2014_2017.txt	2	2,4	2	SECONDARY	7	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT|TIME_FRAME	title (endpoint construct named)	[2] BOR || [4] DCR	[2] Best Overall Response (BOR) || [4] Disease Control Rate (DCR)	True	NOT_DETERMINED	
NCT02562378	cohort 1, trastuzumab + doxorubicin (45 mg/m2)	Cohort 1, Trastuzumab + Doxorubicin (45 mg/m2)	2:OG000,3:OG000	ctg_results_bor_2014_2017.txt	2	2,3	2	SECONDARY	3	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|PARAM_UNIT|POPULATION|STRUCTURE	title (endpoint construct named)	[2] ORR || [3] BOR	[2] Overall Response Rate || [3] Best Overall Response	True	NOT_DETERMINED	
NCT02562378	cohort 2, trastuzumab + doxorubicin (50 mg/m2)	Cohort 2, Trastuzumab + Doxorubicin (50 mg/m2)	2:OG001,3:OG001	ctg_results_bor_2014_2017.txt	2	2,3	2	SECONDARY	3	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|ASSESSMENT_CRITERIA|PARAM_UNIT|POPULATION|STRUCTURE	title (endpoint construct named)	[2] ORR || [3] BOR	[2] Overall Response Rate || [3] Best Overall Response	True	NOT_DETERMINED	
