nct_id	payload_file	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	n_classes_in_om	classes_contributing	reported_denominator_participants	denoms_units_all	class_all_categories_sum	class_full_category_vector	matched_categories_this_class	matched_sum_this_class	dropped_categories_this_class	dropped_sum_this_class	stored_cells_producer	stored_evaluable_n	corrected_denominator	corrected_matched_cells_all_contributing_classes	residual_denominator_minus_matched	class_survived_labels	content_lost_from_this_class	recoverable	verdict	source_pointer
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG003	Part A - TMT 0.04 mg/kg/Day	0	<untitled>	1	0	16	Participants=16	16	Complete response (CR)=0 | Partial response (PR)=0 | Stable disease (SD)=4 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=2 | Missing=10	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=0 | Stable disease (SD)[SD]=4 | Progressive disease (PD)[PD]=0	4	Non-CR/Non-PD=0 | Unknown=2 | Missing=10	12	CR=0,PR=0,SD=4,PD=0	4	16	CR=0,PR=0,SD=4,PD=0	12	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=2 ;; dropped category Missing=10	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG003]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG004	Part B - Neuroblastoma	0	<untitled>	1	0	11	Participants=11	11	Complete response (CR)=0 | Partial response (PR)=1 | Stable disease (SD)=1 | Progressive disease (PD)=5 | Non-CR/Non-PD=0 | Unknown=1 | Missing=3	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=1 | Stable disease (SD)[SD]=1 | Progressive disease (PD)[PD]=5	7	Non-CR/Non-PD=0 | Unknown=1 | Missing=3	4	CR=0,PR=1,SD=1,PD=5	7	11	CR=0,PR=1,SD=1,PD=5	4	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=1 ;; dropped category Missing=3	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG004]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG006	Part B - NF-1 With PN	0	<untitled>	1	0	10	Participants=10	10	Complete response (CR)=0 | Partial response (PR)=0 | Stable disease (SD)=8 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=0 | Missing=2	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=0 | Stable disease (SD)[SD]=8 | Progressive disease (PD)[PD]=0	8	Non-CR/Non-PD=0 | Unknown=0 | Missing=2	2	CR=0,PR=0,SD=8,PD=0	8	10	CR=0,PR=0,SD=8,PD=0	2	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=2	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG006]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG010	Part C - TMT 0.032 mg/kg/Day + 100% DRB RP2D	0	<untitled>	1	0	6	Participants=6	6	Complete response (CR)=2 | Partial response (PR)=2 | Stable disease (SD)=1 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=0 | Missing=1	Complete response (CR)[CR]=2 | Partial response (PR)[PR]=2 | Stable disease (SD)[SD]=1 | Progressive disease (PD)[PD]=0	5	Non-CR/Non-PD=0 | Unknown=0 | Missing=1	1	CR=2,PR=2,SD=1,PD=0	5	6	CR=2,PR=2,SD=1,PD=0	1	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG010]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG011	Part D - LGG	0	<untitled>	1	0	20	Participants=20	20	Complete response (CR)=2 | Partial response (PR)=9 | Stable disease (SD)=8 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=1 | Missing=0	Complete response (CR)[CR]=2 | Partial response (PR)[PR]=9 | Stable disease (SD)[SD]=8 | Progressive disease (PD)[PD]=0	19	Non-CR/Non-PD=0 | Unknown=1 | Missing=0	1	CR=2,PR=9,SD=8,PD=0	19	20	CR=2,PR=9,SD=8,PD=0	1	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=1 ;; dropped category Missing=0	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG011]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG012	Part D - LCH	0	<untitled>	1	0	10	Participants=10	10	Complete response (CR)=3 | Partial response (PR)=3 | Stable disease (SD)=3 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=0 | Missing=1	Complete response (CR)[CR]=3 | Partial response (PR)[PR]=3 | Stable disease (SD)[SD]=3 | Progressive disease (PD)[PD]=0	9	Non-CR/Non-PD=0 | Unknown=0 | Missing=1	1	CR=3,PR=3,SD=3,PD=0	9	10	CR=3,PR=3,SD=3,PD=0	1	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG012]
NCT02150967	ctg_results_bor_2014_2017.txt	11	Retrospective Analysis of Post-second-line Antineoplastic Treatment Outcomes on BOR	OG000	Cohort 1: FGFR2 Fusion/Rearrangements	0	After Second-Line Therapy (Prior to Infigratinib Treatment)	2	0,1	59	Participants=59	59	Complete response=0 | Partial response=0 | Stable disease=19 | Progressive disease=22 | Unknown=18 | Not done=0	Complete response[CR]=0 | Partial response[PR]=0 | Stable disease[SD]=19 | Progressive disease[PD]=22	41	Unknown=18 | Not done=0	18	CR=0,PR=17,SD=31,PD=7	55	59	UNRESOLVED	UNRESOLVED	(none)	Complete response=0 (label CR overwritten by class[1]) ;; Partial response=0 (label PR overwritten by class[1]) ;; Stable disease=19 (label SD overwritten by class[1]) ;; Progressive disease=22 (label PD overwritten by class[1]) ;; dropped category Unknown=18 ;; dropped category Not done=0	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02150967] :: outcomeMeasures[11] :: classes[0] :: groups[OG000]
NCT02150967	ctg_results_bor_2014_2017.txt	11	Retrospective Analysis of Post-second-line Antineoplastic Treatment Outcomes on BOR	OG000	Cohort 1: FGFR2 Fusion/Rearrangements	1	Third or Later-Line Therapy (Infigratinib)	2	0,1	59	Participants=59	59	Complete response=0 | Partial response=17 | Stable disease=31 | Progressive disease=7 | Unknown=0 | Not done=4	Complete response[CR]=0 | Partial response[PR]=17 | Stable disease[SD]=31 | Progressive disease[PD]=7	55	Unknown=0 | Not done=4	4	CR=0,PR=17,SD=31,PD=7	55	59	UNRESOLVED	UNRESOLVED	CR,PD,PR,SD	dropped category Unknown=0 ;; dropped category Not done=4	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02150967] :: outcomeMeasures[11] :: classes[1] :: groups[OG000]
NCT02212015	ctg_results_bor_2014_2017.txt	6	Response Rate (RR)	OG000	Pazopanib + Paclitaxel	0	<untitled>	1	0	26	Participants=26	26	CR=2 | PR=7 | SD=6 | PD=10 | NE=1	CR[CR]=2 | PR[PR]=7 | SD[SD]=6 | PD[PD]=10	25	NE=1	1	CR=2,PR=7,SD=6,PD=10	25	26	CR=2,PR=7,SD=6,PD=10	1	CR,PD,PR,SD	dropped category NE=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02212015] :: outcomeMeasures[6] :: classes[0] :: groups[OG000]
NCT02212015	ctg_results_bor_2014_2017.txt	7	Response Rate (RR), Subgroup1 Analysis	OG000	Pazopanib + Paclitaxel	0	cutaneous angiosarcoma	2	0,1	26	Participants=26	18	CR=2 | PR=6 | SD=4 | PD=6 | NE=0	CR[CR]=2 | PR[PR]=6 | SD[SD]=4 | PD[PD]=6	18	NE=0	0	CR=0,PR=1,SD=2,PD=4	7	26	CR=2,PR=7,SD=6,PD=10	1	(none)	CR=2 (label CR overwritten by class[1]) ;; PR=6 (label PR overwritten by class[1]) ;; SD=4 (label SD overwritten by class[1]) ;; PD=6 (label PD overwritten by class[1]) ;; dropped category NE=0	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02212015] :: outcomeMeasures[7] :: classes[0] :: groups[OG000]
NCT02212015	ctg_results_bor_2014_2017.txt	7	Response Rate (RR), Subgroup1 Analysis	OG000	Pazopanib + Paclitaxel	1	visceral angiosarcoma	2	0,1	26	Participants=26	8	CR=0 | PR=1 | SD=2 | PD=4 | NE=1	CR[CR]=0 | PR[PR]=1 | SD[SD]=2 | PD[PD]=4	7	NE=1	1	CR=0,PR=1,SD=2,PD=4	7	26	CR=2,PR=7,SD=6,PD=10	1	CR,PD,PR,SD	dropped category NE=1	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02212015] :: outcomeMeasures[7] :: classes[1] :: groups[OG000]
NCT02212015	ctg_results_bor_2014_2017.txt	8	Response Rate (RR), Subgroup 2 Analysis	OG000	Pazopanib + Paclitaxel	0	primary angiosarcoma	2	0,1	26	Participants=26	13	CR=0 | PR=5 | SD=3 | PD=5 | NE=0	CR[CR]=0 | PR[PR]=5 | SD[SD]=3 | PD[PD]=5	13	NE=0	0	CR=2,PR=2,SD=3,PD=5	12	26	CR=2,PR=7,SD=6,PD=10	1	(none)	CR=0 (label CR overwritten by class[1]) ;; PR=5 (label PR overwritten by class[1]) ;; SD=3 (label SD overwritten by class[1]) ;; PD=5 (label PD overwritten by class[1]) ;; dropped category NE=0	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02212015] :: outcomeMeasures[8] :: classes[0] :: groups[OG000]
NCT02212015	ctg_results_bor_2014_2017.txt	8	Response Rate (RR), Subgroup 2 Analysis	OG000	Pazopanib + Paclitaxel	1	secondary angiosarcoma	2	0,1	26	Participants=26	13	CR=2 | PR=2 | SD=3 | PD=5 | NE=1	CR[CR]=2 | PR[PR]=2 | SD[SD]=3 | PD[PD]=5	12	NE=1	1	CR=2,PR=2,SD=3,PD=5	12	26	CR=2,PR=7,SD=6,PD=10	1	CR,PD,PR,SD	dropped category NE=1	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02212015] :: outcomeMeasures[8] :: classes[1] :: groups[OG000]
NCT02259582	ctg_results_bor_2014_2017.txt	0	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	OG002	Demcizumab/Demcizumab Arm (Arm 3)	0	<untitled>	1	0	29	Participants=29	29	Complete response (CR)=0 | Partial response (PR)=6 | Stable disease (SD)=15 | Progressive disease (PD)=5 | Not evaluable (NE)=0 | Missing=3	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=6 | Stable disease (SD)[SD]=15 | Progressive disease (PD)[PD]=5	26	Not evaluable (NE)=0 | Missing=3	3	CR=0,PR=6,SD=15,PD=5	26	29	CR=0,PR=6,SD=15,PD=5	3	CR,PD,PR,SD	dropped category Not evaluable (NE)=0 ;; dropped category Missing=3	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02259582] :: outcomeMeasures[0] :: classes[0] :: groups[OG002]
NCT02263508	ctg_results_bor_2014_2017.txt	4	Phase 1b: Best Overall Response (BOR)	OG000	Phase 1b: Talimogene Laherparepvec + Pembrolizumab	0	<untitled>	1	0	21	Participants=21	21	Complete Response (CR)=9 | Partial Response (PR)=4 | Stable Disease (SD)=1 | Progressive Disease (PD)=6 | Unable to Evaluate (UE)=1	Complete Response (CR)[CR]=9 | Partial Response (PR)[PR]=4 | Stable Disease (SD)[SD]=1 | Progressive Disease (PD)[PD]=6	20	Unable to Evaluate (UE)=1	1	CR=9,PR=4,SD=1,PD=6	20	21	CR=9,PR=4,SD=1,PD=6	1	CR,PD,PR,SD	dropped category Unable to Evaluate (UE)=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02263508] :: outcomeMeasures[4] :: classes[0] :: groups[OG000]
NCT02263508	ctg_results_bor_2014_2017.txt	14	Phase 3: Best Overall Response Assessed Using Modified RECIST 1.1	OG000	Phase 3: Placebo + Pembrolizumab	0	<untitled>	1	0	346	Participants=346	346	Complete response (CR)=40 | Partial response (PR)=103 | Stable disease (SD)=30 | Non-CR/Non-PD (NN)=16 | Progressive disease (PD)=120 | Unevaluable (UE)=11 | Missing=26	Complete response (CR)[CR]=40 | Partial response (PR)[PR]=103 | Stable disease (SD)[SD]=30 | Progressive disease (PD)[PD]=120	293	Non-CR/Non-PD (NN)=16 | Unevaluable (UE)=11 | Missing=26	53	CR=40,PR=103,SD=30,PD=120	293	346	CR=40,PR=103,SD=30,PD=120	53	CR,PD,PR,SD	dropped category Non-CR/Non-PD (NN)=16 ;; dropped category Unevaluable (UE)=11 ;; dropped category Missing=26	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02263508] :: outcomeMeasures[14] :: classes[0] :: groups[OG000]
NCT02263508	ctg_results_bor_2014_2017.txt	14	Phase 3: Best Overall Response Assessed Using Modified RECIST 1.1	OG001	Phase 3: Talimogene Laherparepvec + Pembrolizumab	0	<untitled>	1	0	346	Participants=346	346	Complete response (CR)=62 | Partial response (PR)=106 | Stable disease (SD)=28 | Non-CR/Non-PD (NN)=11 | Progressive disease (PD)=106 | Unevaluable (UE)=3 | Missing=30	Complete response (CR)[CR]=62 | Partial response (PR)[PR]=106 | Stable disease (SD)[SD]=28 | Progressive disease (PD)[PD]=106	302	Non-CR/Non-PD (NN)=11 | Unevaluable (UE)=3 | Missing=30	44	CR=62,PR=106,SD=28,PD=106	302	346	CR=62,PR=106,SD=28,PD=106	44	CR,PD,PR,SD	dropped category Non-CR/Non-PD (NN)=11 ;; dropped category Unevaluable (UE)=3 ;; dropped category Missing=30	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02263508] :: outcomeMeasures[14] :: classes[0] :: groups[OG001]
