row_type	nct	mechanism_code	mechanism	enrollment_type	enrollment_is_estimated	registered_enrollment	selected_cohorts	sum_selected_denominators	excess	reducible_to_nonoverlapping	nonoverlapping_set	nonoverlapping_sum	group_title	denominator	om_index	om_type	om_title	timeframe	pooled_label	payload	driver_or_note
COHORT	NCT02335983	M1		ACTUAL	NO	107							NDMM Dose-evaluation: Carfilzomib 56/70 mg/m²	9	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							NDMM Dose-expansion: Carfilzomib 70 mg/m²	9	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
TRIAL	NCT02337829	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	48	6	94	46	YES	{Acalabrutinib 100 mg BID R/R 18, 200 mg QD R/R 13, 100 mg BID TN 6, 200 mg QD TN 10} = 47	47									'Total Relapse/Refractory Subjects' 31 = 18 + 13; 'Total Treatment Naive Subjects' 16 = 6 + 10. All 6 rows are om0, pooled_label=True on both Total rows. || Selected total 94; excess 46 = 94 - 48 = 31 + 16 - 1. The reduced set is 47, one below the registered 48; the record does not say which enrolled subject is absent from the ORR analysis.
COHORT	NCT02337829	M1		ACTUAL	NO	48							Total Relapse/Refractory Subjects	31	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	True	ctg_results_bor_2014_2017	
COHORT	NCT02337829	M1		ACTUAL	NO	48							Acalabrutinib 100 mg BID Relapse/Refractory	18	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02337829	M1		ACTUAL	NO	48							Total Treatment Naive Subjects	16	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	True	ctg_results_bor_2014_2017	
COHORT	NCT02337829	M1		ACTUAL	NO	48							Acalabrutinib 200 mg QD Relapse/Refractory	13	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02337829	M1		ACTUAL	NO	48							Acalabrutinib 200 mg QD Treatment Naive	10	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02337829	M1		ACTUAL	NO	48							Acalabrutinib 100 mg BID Treatment Naive	6	0	PRIMARY	Response Based on Overall Response Rate	Cycle 1 (28 Days) to 6 months	False	ctg_results_bor_2014_2017	
TRIAL	NCT02347917	M4	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	ACTUAL	NO	28	6	82	54	YES	{'MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)' 4, 'MPM: BBI608 + Pem + CDDP (Phase 2 Part)' 24} = 28	28									om5 popDesc: 'mITT ... separately for Phase 1 part (n=4), Phase 2 part (n=24) and Phase 2 part including 1 participant with MPM in Phase 1 part (n=25)'. The 25 rows (om5 and om6) are the same 25 patients under two titles; 'NSCLC: ... (Phase 1 Part)' 3 and 'MPM: ... (Phase 1 Part)' 1 partition the Phase 1 row of 4. || Reduced set equals registered enrollment 28 exactly. Note om6 (RR/DCR) and om5 (BOR) carry different timeframes for the same 25 patients.
COHORT	NCT02347917	M4		ACTUAL	NO	28							MPM: BBI608 + Pem + CDDP (Phase 2 Part Including Participants With MPM in Phase 1 Part)	25	5	SECONDARY	Best Overall Response	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	False	ctg_results_bor_2014_2017	
COHORT	NCT02347917	M4		ACTUAL	NO	28							MPM: BBI608 + Pem + CDDP (Phase 2 Part)	24	5	SECONDARY	Best Overall Response	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	False	ctg_results_bor_2014_2017	
COHORT	NCT02347917	M4		ACTUAL	NO	28							MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	4	5	SECONDARY	Best Overall Response	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	False	ctg_results_bor_2014_2017	
COHORT	NCT02347917	M4		ACTUAL	NO	28							NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	3	5	SECONDARY	Best Overall Response	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	False	ctg_results_bor_2014_2017	
COHORT	NCT02347917	M4		ACTUAL	NO	28							MPM: BBI608 + Pem +CDDP (Phase 1 Part)	1	5	SECONDARY	Best Overall Response	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	False	ctg_results_bor_2014_2017	
COHORT	NCT02347917	M4		ACTUAL	NO	28							MPM: BBI608 + Pem + CDDP (Phase 2 Part Including 1 Participant With MPM in Phase 1 Part)	25	6	SECONDARY	Response Rate (RR) and Disease Control Rate (DCR)	From BBI608 administration to death from any cause, about 17 months	False	ctg_results_bor_2014_2017	
TRIAL	NCT02370238	M4	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	ACTUAL	NO	194	4	222	28	YES	{Group 1 57, Group 2 54} = 111	111									om2 'Objective Response Rate (ORR)' groups 'Paclitaxel+Reparixin (Group 1) - ITT Population' 57 and 'Paclitaxel+Placebo (Group 2)' 54; om4 'Duration of Overall Response (DOR)' groups 'Group 1 - Response Evaluable Population' 57 and 'Group 2 - Response-Evaluable Population' 54. || Same two randomised groups, same denominators, two title spellings. 111 <= 194 registered; the remaining 83 are enrolled patients outside the response-evaluable population.
COHORT	NCT02370238	M4		ACTUAL	NO	194							Paclitaxel+Reparixin (Group 1) - ITT Population	57	2	SECONDARY	Objective Response Rate (ORR)	Baseline up to every 8 weeks until documented disease progression, up to 56 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02370238	M4		ACTUAL	NO	194							Paclitaxel+Placebo (Group 2)	54	2	SECONDARY	Objective Response Rate (ORR)	Baseline up to every 8 weeks until documented disease progression, up to 56 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02370238	M4		ACTUAL	NO	194							Group 1 - Response Evaluable Population	57	4	SECONDARY	Duration of Overall Response (DOR)	Baseline up to every 8 weeks until documented disease progression, up to 557 days	False	ctg_results_bor_2014_2017	
COHORT	NCT02370238	M4		ACTUAL	NO	194							Group 2 - Response-Evaluable Population	54	4	SECONDARY	Duration of Overall Response (DOR)	Baseline up to every 8 weeks until documented disease progression, up to 557 days	False	ctg_results_bor_2014_2017	
TRIAL	NCT02391116	M3	CROSSCUT_PARTITIONS - two or more complete partitions of one population on different axes, all selected	ACTUAL	NO	67	8	201	134	YES	{'Copanlisib (Aliqopa, BAY80-6946)' 67} (om0)	67									om0 total population 67; om1 partitions it by CD79b status (45 + 9 + 13 = 67); om2 partitions the same 67 by DLBCL cell-of-origin subtype (30 + 19 + 15 + 3 = 67). || Three complete partitions of one 67-patient population on three axes. Excess 134 = 2 x 67.
COHORT	NCT02391116	M3		ACTUAL	NO	67							Copanlisib (Aliqopa, BAY80-6946)	67	0	PRIMARY	Objective Response Rate (ORR) in Total Population Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							CD79b Wild-type	45	1	PRIMARY	ORR by CD79b Status Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							CD79b Status Missing	13	1	PRIMARY	ORR by CD79b Status Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							CD79b Mutant	9	1	PRIMARY	ORR by CD79b Status Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							Germinal Center B-cell-like (GCB)	30	2	PRIMARY	ORR by DLBCL/COO Subtype Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							Activated B-cell-like (ABC)	19	2	PRIMARY	ORR by DLBCL/COO Subtype Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							DLBCL/COO Subtype Missing	15	2	PRIMARY	ORR by DLBCL/COO Subtype Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02391116	M3		ACTUAL	NO	67							Unclassifiable	3	2	PRIMARY	ORR by DLBCL/COO Subtype Based on Investigator Assessment	From start of study treatment assessed up to 24 weeks after the last participant fully evaluable for the primary endpoint started treatment (about 12 months)	False	ctg_results_bor_2014_2017	
TRIAL	NCT02399085	M4	TITLE_VARIANT_DUPLICATE - one patient set reported under different results-group titles in different outcome measures, so the title key counts it more than once	ACTUAL	NO	81	2	160	79	YES	{the single FAS of 80}	80									om0 group 'Treatment (MOR00208, Lenalidomide)' 80 and om6 group 'Tafasitamab (MOR00208) + Lenalidomide (LEN)' 80; both popDesc name the same FAS ('all participants who received at least one dose of MOR00208 and at least one dose of LEN'). || Single-arm trial; one 80-patient analysis set counted twice because the results-group title differs between outcome measures. 80 <= 81 registered.
COHORT	NCT02399085	M4		ACTUAL	NO	81							Treatment (MOR00208, Lenalidomide)	80	0	PRIMARY	Number of Participants With Best Objective Response Rate (ORR)	Approximately 4.5 years after first participant enrolled; Approximately 6.5 years after first participant enrolled	False	ctg_results_bor_2014_2017	
COHORT	NCT02399085	M4		ACTUAL	NO	81							Tafasitamab (MOR00208) + Lenalidomide (LEN)	80	6	SECONDARY	Disease Control Rate (DCR) by IRC Evaluation	Approximately 2.5 years after first participant enrolled	False	ctg_results_bor_2014_2017	
TRIAL	NCT02404441	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	319	14	696	377	YES	{'All Phase I Patients' 58, 'All Phase II Patients' 261} = 319	319									Three-level nesting. om2: 'All Phase II Patients' 261 = Melanoma 400 mg/q4w 61 + NSCLC 300 mg/q3w 59 + NSCLC 400 mg/q4w 59 + ATC 400 mg/q4w 42 + TNBC 400 mg/q4w 40. om11: 'All Phase I Patients' 58 = 'All Phase I q2w' 42 + 'All Phase I q4w' 16; 42 = 1mg/kg q2w 16 + 3mg/kg q2w 15 + 10mg/kg q2w 11; 16 = 5mg/kg q4w 10 + 3mg/kg q4w 6. || None of the pooled rows carries a 'total'-vocabulary title, so pooled_label=False on all 14 rows. Reduced set equals registered enrollment 319 exactly.
COHORT	NCT02404441	M1		ACTUAL	NO	319							All Phase II Patients	261	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							Melanoma 400 mg/q4w	61	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							NSCLC 300 mg/q3w	59	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							NSCLC 400 mg/q4w	59	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							ATC 400 mg/q4w	42	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							TNBC 400 mg/q4w	40	2	PRIMARY	Phase ll: Overall Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors (RECIST v1.1)	61 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							All Phase I Patients	58	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							All Phase I q2w	42	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							1mg/kg q2w	16	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							All Phase I q4w	16	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							3mg/kg q2w	15	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							10mg/kg q2w	11	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							5mg/kg q4w	10	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02404441	M1		ACTUAL	NO	319							3mg/kg q4w	6	11	SECONDARY	Phase l: Overall Response Rate (ORR) as Per Investigator Based on RECIST v1.1	27 months	False	ctg_results_bor_2014_2017	
TRIAL	NCT02411591	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	66	4	132	66	YES	{'Total Enrolled Participants (Necitumumab + Abemaciclib)' 66} OR {Cohort 1 3, Cohort 2 57, Cohort 3 6} = 66	66									om7: 'Total Enrolled Participants (Necitumumab + Abemaciclib)' 66 (pooled_label=True) = Cohort 1 3 + Cohort 2 57 + Cohort 3 6. || Excess 66 is exactly the pooled row. Reduced set equals registered enrollment 66.
COHORT	NCT02411591	M1		ACTUAL	NO	66							Total Enrolled Participants (Necitumumab + Abemaciclib)	66	7	SECONDARY	Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD) (Disease Control Rate [DCR])	Baseline to measured progressive disease or start of new anti-cancer therapy (up to 21 months)	True	ctg_results_bor_2014_2017	
COHORT	NCT02411591	M1		ACTUAL	NO	66							Cohort 2 (Necitumumab 800 mg + Abemaciclib 150 mg)	57	7	SECONDARY	Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD) (Disease Control Rate [DCR])	Baseline to measured progressive disease or start of new anti-cancer therapy (up to 21 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02411591	M1		ACTUAL	NO	66							Cohort 3 (Necitumumab 800 mg + Abemaciclib 200 mg)	6	7	SECONDARY	Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD) (Disease Control Rate [DCR])	Baseline to measured progressive disease or start of new anti-cancer therapy (up to 21 months)	False	ctg_results_bor_2014_2017	
COHORT	NCT02411591	M1		ACTUAL	NO	66							Cohort 1 (Necitumumab 800 mg + Abemaciclib 100 mg)	3	7	SECONDARY	Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD) (Disease Control Rate [DCR])	Baseline to measured progressive disease or start of new anti-cancer therapy (up to 21 months)	False	ctg_results_bor_2014_2017	
TRIAL	NCT02414139	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	373	12	533	160	YES	the 10 individual cohorts (1a 69, 1b 42, 2 54, 3 30, 4 69, 5a 15, 5b 28, 6.1 3, 6.2 31, 7 32) = 373	373									All 12 rows are om0. 'Cohort 4 + Cohort 6.2: All Pre-treated Patients With MET Mutation Regardless of MET GCN (2/3L)' 100 = 'Cohort 4' 69 + 'Cohort 6.2 (Expansion of Cohort 4)' 31; 'Cohort 5b + Cohort 7: All Treatment-naive With MET Mutation Regardless of MET GCN (1L)' 60 = 'Cohort 5b' 28 + 'Cohort 7 (Expansion of Cohort 5b)' 32. || Excess 160 = 100 + 60 exactly. The 10 individual cohorts (1a 69, 1b 42, 2 54, 3 30, 4 69, 5a 15, 5b 28, 6.1 3, 6.2 31, 7 32) sum to 373 = registered ACTUAL enrollment.
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 4 + Cohort 6.2: All Pre-treated Patients With MET Mutation Regardless of MET GCN (2/3L)	100	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 1a: Pre-treated Patients With MET GCN ≥ 10 (2/3L)	69	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 4: Pre-treated Patients With MET Mutation Regardless of MET GCN (2/3L)	69	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 5b + Cohort 7: All Treatment-naive With MET Mutation Regardless of MET GCN (1L)	60	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 2: Pre-treated Patients With MET GCN ≥ 4 and < 6 (2/3L)	54	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 1b: Pre-treated Patients With MET GCN ≥ 6 and < 10 (2/3L)	42	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 7 (Expansion of Cohort 5b): Treatment-naïve With MET Mutation Regardless of MET GCN (1L)	32	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 6.2 (Expansion of Cohort 4): Pre-treated Patients With MET Mutation (2L)	31	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 3: Pre-treated Patients With MET GCN < 4 (2/3L)	30	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 5b: Treatment-naïve Patients With MET Mutation Regardless of MET GCN (1L)	28	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 5a: Treatment-naïve Patients With MET GCN ≥10 (1L)	15	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
COHORT	NCT02414139	M1		ACTUAL	NO	373							Cohort 6.1 (Expansion of Cohort 1a): Pre-treated Patients MET GCN ≥ 10 Without MET Mutation (2L)	3	0	PRIMARY	Overall Response Rate (ORR) by Blinded Independent Review Committee (BIRC) Assessment	Up to approximately 5 years	False	ctg_results_bor_2014_2017	
TRIAL	NCT02432846	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	88	6	140	52	YES	{Intuvax+Sunitinib Intermediate-risk 32, High-risk 13, Sunitinib-only Intermediate-risk 19, High-risk 6} = 70	70									om5: 'Intuvax (INN: Ilixadencel) + Sunitinib, Total (Both Strata)' 45 = Intermediate-risk 32 + High-risk 13; 'Sunitinib-only, Total (Both Strata)' 25 = Intermediate-risk 19 + High-risk 6. || Selected total 140; excess 52 = 140 - 88. The four stratum rows sum to 70, i.e. 18 registered patients are outside this ORR analysis, and the two pooled rows add another 70. Both pooled rows carry 'Total' inside a longer title, so pooled_label=False.
COHORT	NCT02432846	M1		ACTUAL	NO	88							Intuvax (INN: Ilixadencel) + Sunitinib, Total (Both Strata)	45	5	SECONDARY	Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.	From start of sunitinib treatment up to 18 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02432846	M1		ACTUAL	NO	88							Intuvax (INN: Ilixadencel) + Sunitinib, Intermediate-risk	32	5	SECONDARY	Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.	From start of sunitinib treatment up to 18 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02432846	M1		ACTUAL	NO	88							Sunitinib-only, Total (Both Strata)	25	5	SECONDARY	Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.	From start of sunitinib treatment up to 18 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02432846	M1		ACTUAL	NO	88							Sunitinib-only, Intermediate-risk	19	5	SECONDARY	Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.	From start of sunitinib treatment up to 18 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02432846	M1		ACTUAL	NO	88							Intuvax (INN: Ilixadencel) + Sunitinib, High-risk	13	5	SECONDARY	Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.	From start of sunitinib treatment up to 18 months	False	ctg_results_bor_2014_2017	
