record_type	nct_id	shard	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	category_index	category_title	category_value	category_is_integer	producer_label	producer_kept	class_all_category_sum	reported_denominator	contributing_class_sum	residual_sum_minus_reported	n_contributing_classes	verdict	note	source_pointer
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0		3	Progressive disease	25	yes	PD	yes	130	130	130	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0] :: categories[3]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0		4	Not evaluable	3	yes		dropped	130	130	130	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0] :: categories[4]
CLASS	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0								117	117	117	0	1	RECOVERABLE	sum of cells 114 != reported denominator 117 (difference -3)	ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0		0	Complete response	2	yes	CR	yes	117	117	117	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0] :: categories[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0		1	Partial response	13	yes	PR	yes	117	117	117	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0] :: categories[1]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0		2	Stable disease	98	yes	SD	yes	117	117	117	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0] :: categories[2]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0		3	Progressive disease	1	yes	PD	yes	117	117	117	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0] :: categories[3]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG000	Axitinib + Sandostatin LAR	0		4	Not evaluable	3	yes		dropped	117	117	117	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG000] :: classes[0] :: categories[4]
CLASS	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0								126	126	126	0	1	RECOVERABLE	sum of cells 125 != reported denominator 126 (difference -1)	ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0		0	Complete response	0	yes	CR	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0] :: categories[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0		1	Partial response	4	yes	PR	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0] :: categories[1]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0		2	Stable disease	109	yes	SD	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0] :: categories[2]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0		3	Progressive disease	12	yes	PD	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0] :: categories[3]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	5	Objective Response Rate (ORR) (Central Blinded Assessment)	OG001	Placebo + Sandostatin LAR	0		4	Not evaluable	1	yes		dropped	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[5] :: groups[OG001] :: classes[0] :: categories[4]
CLASS	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0								71	71	71	0	1	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for SD (last class wins)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		0	CR	0	yes	CR	yes	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		1	PR	3	yes	PR	yes	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[1]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		2	SD	11	yes	SD	overwritten	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[2]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		3	SD/ PR	3	yes	SD	yes	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[3]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		4	PD	51	yes	PD	yes	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[4]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		5	NE	3	yes		dropped	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[5]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		6	Missing	0	yes		dropped	71	71	71	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000] :: classes[0] :: categories[6]
CLASS	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0								50	50	50	0	1	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for SD (last class wins)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		0	CR	1	yes	CR	yes	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		1	PR	0	yes	PR	yes	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[1]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		2	SD	4	yes	SD	overwritten	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[2]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		3	SD/ PR	0	yes	SD	yes	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[3]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		4	PD	44	yes	PD	yes	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[4]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		5	NE	1	yes		dropped	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[5]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		6	Missing	0	yes		dropped	50	50	50	0	1	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001] :: classes[0] :: categories[6]
CLASS	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0								2	2	2	0	1	RECOVERABLE	repeated cross-class assignment (values agreed) for SD	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		0	CR	0	yes	CR	yes	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[0]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		1	PR	0	yes	PR	yes	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[1]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		2	SD	0	yes	SD	overwritten	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[2]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		3	SD/ PR	0	yes	SD	yes	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[3]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		4	PD	2	yes	PD	yes	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[4]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		5	NE	0	yes		dropped	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[5]
CATEGORY	NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		6	Missing	0	yes		dropped	2	2	2	0	1	RECOVERABLE		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002] :: classes[0] :: categories[6]
CLASS	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated							44	55	55	0	4	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for PD,PR,SD (last class wins) ; cells drawn from 4 different classes (Differentiated; Poorly Differenitated; Medullary; Anaplastic)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	0	Complete Response	0	yes	CR	overwritten	44	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0] :: categories[0]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	1	Partial response	16	yes	PR	overwritten	44	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0] :: categories[1]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	2	Stable Disease	22	yes	SD	overwritten	44	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0] :: categories[2]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	3	Progressive Disease	1	yes	PD	overwritten	44	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0] :: categories[3]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	0	Differentiated	4	Not Evaluable for Response	5	yes		dropped	44	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[0] :: categories[4]
CLASS	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated							6	55	55	0	4	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for PD,PR,SD (last class wins) ; cells drawn from 4 different classes (Differentiated; Poorly Differenitated; Medullary; Anaplastic)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	0	Complete Response	0	yes	CR	overwritten	6	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1] :: categories[0]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	1	Partial response	2	yes	PR	overwritten	6	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1] :: categories[1]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	2	Stable Disease	1	yes	SD	overwritten	6	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1] :: categories[2]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	3	Progressive Disease	1	yes	PD	overwritten	6	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1] :: categories[3]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	1	Poorly Differenitated	4	Not Evaluable for Response	2	yes		dropped	6	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[1] :: categories[4]
CLASS	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary							3	55	55	0	4	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for PD,PR,SD (last class wins) ; cells drawn from 4 different classes (Differentiated; Poorly Differenitated; Medullary; Anaplastic)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	0	Complete Response	0	yes	CR	overwritten	3	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2] :: categories[0]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	1	Partial response	1	yes	PR	overwritten	3	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2] :: categories[1]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	2	Stable Disease	2	yes	SD	overwritten	3	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2] :: categories[2]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	3	Progressive Disease	0	yes	PD	overwritten	3	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2] :: categories[3]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	2	Medullary	4	Not Evaluable for Response	0	yes		dropped	3	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[2] :: categories[4]
CLASS	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic							2	55	55	0	4	RECOVERABLE_DENOM_ONLY	cross-class overwrite with conflicting values for PD,PR,SD (last class wins) ; cells drawn from 4 different classes (Differentiated; Poorly Differenitated; Medullary; Anaplastic)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[3]
CATEGORY	NCT00654238	ctg_results_bor_1999_2009	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	OG000	Sorafenib	3	Anaplastic	0	Complete Response	0	yes	CR	yes	2	55	55	0	4	RECOVERABLE_DENOM_ONLY		ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000] :: classes[3] :: categories[0]
