nct	om_index	om_title	group_id	group_title	evaluable_n	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	job3_control_flag	n_arms_registered	recovered_arm_index	recovered_arm_label	recovered_arm_type	join_field	verdict	implied_control_status	relation_to_job3	job3_arm_label_disagrees	note
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG008	Phase I Dose Escalation: MBG453 240mg Q4W ROW	6	NONE			UNKNOWN		10	armGroups[2]	Phase I Dose escalation: MBG453 Q4W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG009	Phase I Dose Escalation: MBG453 800mg Q4W ROW	5	NONE			UNKNOWN		10	armGroups[2]	Phase I Dose escalation: MBG453 Q4W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG010	Phase I Dose Escalation: MBG453 1200mg Q4W ROW	4	NONE			UNKNOWN		10	armGroups[2]	Phase I Dose escalation: MBG453 Q4W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG011	Phase I Dose Escalation: MBG453 1200mg Q4W Japan	6	NONE			UNKNOWN		10	armGroups[3]	Phase I Dose escalation: MBG453 Q4W Japan	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG012	Phase Ib Dose Escalation: MBG453 20mg Q2W + PDR001 80mg Q2W	6	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG013	Phase Ib Dose Escalation: MBG453 80mg Q2W + PDR001 80mg Q2W	12	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG014	Phase Ib Dose Escalation: MBG453 240mg Q2W + PDR001 80mg Q2W	6	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG015	Phase Ib Dose Escalation: MBG453 240mg Q2W + PDR001 240mg Q2W	5	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG016	Phase Ib Dose Escalation: MBG453 800mg Q2W + PDR001 80mg Q2W	4	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG017	Phase Ib Dose Escalation: MBG453 800mg Q2W + PDR001 240mg Q2W	5	NONE			UNKNOWN		10	armGroups[4]	Phase Ib Dose Escalation: MBG453 Q2W + PDR001 Q2W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG018	Phase Ib Dose Escalation: MBG453 80mg Q4W + PDR001 80mg Q4W	6	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG019	Phase Ib Dose Escalation: MBG453 80mg Q4W + PDR001 400mg Q4W	2	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG020	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 80mg Q4W	12	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG021	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 240mg Q4W	5	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG022	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 400mg Q4W	5	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG023	Phase Ib Dose Escalation: MBG453 800mg Q4W + PDR001 400mg Q4W	6	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG024	Phase Ib Dose Escalation: MBG453 1200mg Q4W + PDR001 400mg Q4W	4	NONE			UNKNOWN		10	armGroups[5]	Phase Ib Dose Escalation: MBG453 Q4W + PDR001 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG025	Dose Ranging Part: MBG453 80mg Q4W	11	NONE			UNKNOWN		10	armGroups[7]	Dose Ranging Part: MBG453 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG026	Dose Ranging Part: MBG453 240mg Q4W	15	NONE			UNKNOWN		10	armGroups[7]	Dose Ranging Part: MBG453 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG027	Dose Ranging Part: MBG453 1200mg Q4W	12	NONE			UNKNOWN		10	armGroups[7]	Dose Ranging Part: MBG453 Q4W	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG028	Phase II: MBG453 + PDR001 NSCLC	11	AMBIGUOUS_MULTI			UNKNOWN		10	armGroups[8]	Phase II: MBG453 + PDR001	EXPERIMENTAL	armGroups[8].label 'Phase II: MBG453 + PDR001' is the longest containment match, and the only other Phase II arm armGroups[9] 'Phase II: MBG453' carries description 'This arm was not opened for enrollment.', so it cannot hold participants	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		disease split (melanoma/NSCLC) is a sub-split of one arm; disease attribution not addressed here
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG029	Phase II: MBG453 + PDR001 Melanoma	15	AMBIGUOUS_MULTI			UNKNOWN		10	armGroups[8]	Phase II: MBG453 + PDR001	EXPERIMENTAL	armGroups[8].label 'Phase II: MBG453 + PDR001' is the longest containment match, and the only other Phase II arm armGroups[9] 'Phase II: MBG453' carries description 'This arm was not opened for enrollment.', so it cannot hold participants	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		disease split (melanoma/NSCLC) is a sub-split of one arm; disease attribution not addressed here
NCT02679170	8	Number of Participants According to Treatment Response: ALK Treatment Sub-Study and ROS1 Treatment Sub-Study	OG000	ALK Treatment Sub-study	81	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		1	armGroups[0]	Routine clinical practice group (NSCLC ALK+, ROS1)	ABSENT_FROM_RECORD	only one registered arm (armGroups[0], 1 of 1); group descriptions state treatment with crizotinib in routine clinical practice, matching armGroups[0].interventionNames ['Drug: Crizotinib'] and its description	JOIN_RECOVERABLE	UNKNOWN_ARM_TYPE_ABSENT	REBASED		armGroups[0] has NO 'type' key: armGroupType is absent from the record, so the join does not deliver an arm type
NCT02679170	8	Number of Participants According to Treatment Response: ALK Treatment Sub-Study and ROS1 Treatment Sub-Study	OG001	ROS1 Treatment Sub-study	45	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		1	armGroups[0]	Routine clinical practice group (NSCLC ALK+, ROS1)	ABSENT_FROM_RECORD	only one registered arm (armGroups[0], 1 of 1); group descriptions state treatment with crizotinib in routine clinical practice, matching armGroups[0].interventionNames ['Drug: Crizotinib'] and its description	JOIN_RECOVERABLE	UNKNOWN_ARM_TYPE_ABSENT	REBASED		armGroups[0] has NO 'type' key: armGroupType is absent from the record, so the join does not deliver an arm type
NCT02762981	7	Best Response Rate in Participants With Tumor Glucocorticoid Receptor (GR) Above or Below the Median Overall Level	OG000	GR H-score Above the Overall Median	15	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		1	armGroups[0]	Relacorilant with nab-paclitaxel	EXPERIMENTAL	only one registered arm (armGroups[0], 1 of 1); group description names relacorilant + nab-paclitaxel and the Segment I/II dosing regimens, matching armGroups[0].description	JOIN_RECOVERABLE	NOT_CONTROL	REBASED		groups are biomarker (GR H-score) subgroups nested inside the single arm
NCT02762981	7	Best Response Rate in Participants With Tumor Glucocorticoid Receptor (GR) Above or Below the Median Overall Level	OG001	GR H-score Below the Overall Median	12	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		1	armGroups[0]	Relacorilant with nab-paclitaxel	EXPERIMENTAL	only one registered arm (armGroups[0], 1 of 1); group description names relacorilant + nab-paclitaxel and the Segment I/II dosing regimens, matching armGroups[0].description	JOIN_RECOVERABLE	NOT_CONTROL	REBASED		groups are biomarker (GR H-score) subgroups nested inside the single arm
NCT02825420	4	Best Tumor Response	OG000	Full Analysis Set	202	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		0				armsInterventionsModule.armGroups is EMPTY (0 arms) in this record	GENUINELY_UNJOINABLE	UNKNOWN			there is no registered arm of any kind to join to; no armGroupType exists anywhere in the record
NCT02825420	5	Best Response by Prior Antiangiogenic Treatment	OG000	Prior Use of Antiangiogenics	116	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		0				armsInterventionsModule.armGroups is EMPTY (0 arms) in this record	GENUINELY_UNJOINABLE	UNKNOWN			there is no registered arm of any kind to join to; no armGroupType exists anywhere in the record
NCT02825420	5	Best Response by Prior Antiangiogenic Treatment	OG001	No Prior Use of Antiangiogenics	86	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL		0				armsInterventionsModule.armGroups is EMPTY (0 arms) in this record	GENUINELY_UNJOINABLE	UNKNOWN			there is no registered arm of any kind to join to; no armGroupType exists anywhere in the record
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG000	Phase I: BLZ945 150 mg 7d on/7d Off QD	4	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG001	Phase I: BLZ945 300 mg 7d on/7d Off QD	7	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG002	Phase I: BLZ945 300 mg Q1W QD	5	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG003	Phase I: BLZ945 450 mg Q1W QD	4	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG004	Phase I: BLZ945 600 mg Q1W QD	3	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG005	Phase I: BLZ945 1000 mg Q1W QD	5	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG006	Phase I: BLZ945 1600 mg Q1W QD	3	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG007	Phase I: BLZ945 300 mg 4d on/10d Off QD	8	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG008	Phase I: BLZ945 600 mg 4d on/10d Off QD	7	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG009	Phase I: BLZ945 800 mg 4d on/10d Off QD	5	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG010	Phase I: BLZ945 1200 mg 4d on/10d Off QD	6	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG012	Phase I: BLZ945 600 mg Q1W BID	1	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG013	Phase I: BLZ945 600 mg 4d on/10d Off BID	3	NONE			UNKNOWN		2	armGroups[0]	BLZ945 single agent	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG014	Phase I: BLZ945 150 mg Q1W QD + PDR001 400 mg Q4W	4	NONE			UNKNOWN		2	armGroups[1]	BLZ945 + PDR001	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG015	Phase I: BLZ945 300 mg Q1W QD + PDR001 400 mg Q4W	5	NONE			UNKNOWN		2	armGroups[1]	BLZ945 + PDR001	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
NCT02829723	13	Phase I: Best Overall Response (BOR) With Confirmation Per RECIST v1.1	OG016	Phase I: BLZ945 600 mg Q1W QD + PDR001 400 mg Q4W	7	NONE			UNKNOWN		2	armGroups[1]	BLZ945 + PDR001	EXPERIMENTAL	armGroups[].description: [0]='BLZ945 administered as single agent' vs [1]='BLZ945 administered in combination with PDR001'; the group title/description states presence or absence of PDR001, and only 2 arms are registered	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		dose/schedule/phase splits are sub-splits within the chosen arm
