nct	group_norm	payload	n_competing_at_step_f	om_indices	participants_denoms	selected_om_index	selected_om_title	classification	basis_fields	basis_detail	selection_effect	alt_om_index	alt_om_title	note
NCT01625286	part a schedule 2 360 mg bd	ctg_placebo_onc_2010_2013	2	3|5	5|5	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01625286	part a schedule 2 400 mg bd	ctg_placebo_onc_2010_2013	2	3|5	7|7	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01625286	part a schedule 2 480 mg bd	ctg_placebo_onc_2010_2013	2	3|5	6|6	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01625286	part b azd5363	ctg_placebo_onc_2010_2013	3	3|5|8	54|54|54	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame;populationDescription	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[8] type=SECONDARY title='Durable Response Rate (DRR) - Part B' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part B, ITT analysis set. Not collected in Part A' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01625286	part b placebo	ctg_placebo_onc_2010_2013	3	3|5|8	56|56|56	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame;populationDescription	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[8] type=SECONDARY title='Durable Response Rate (DRR) - Part B' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part B, ITT analysis set. Not collected in Part A' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01633060	bkm120 100mg + fulvestrant	ctg_placebo_onc_2010_2013	2	4|5	289|289	4	Overall Response Rate (ORR) by PIK3CA Mutational Status	BASIS_EXISTS	title/construct;timeFrame	om[4] type=SECONDARY title='Overall Response Rate (ORR) by PIK3CA Mutational Status' timeFrame='Every 6 weeks after randomization up to a maximum of 5 years' populationDescription='Full Analysis Set (FAS), Full Analysis Set (FAS) -ctDNA PIK3CA mutant, Full Analysis Set (FAS) - ctDNA PIK3CA non-mutant based on Primary Analysis.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Clinical Benefit Rate (CBR) by PIK3CA Mutational Status' timeFrame='Week 14, Week 24' populationDescription='Full Analysis Set (FAS), Full Analysis Set (FAS) -ctDNA PIK3CA mutant, Full Analysis Set (FAS) - ctDNA PIK3CA non-mutant based on Primary Analysis.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01633060	placebo + fulvestrant	ctg_placebo_onc_2010_2013	2	4|5	143|143	4	Overall Response Rate (ORR) by PIK3CA Mutational Status	BASIS_EXISTS	title/construct;timeFrame	om[4] type=SECONDARY title='Overall Response Rate (ORR) by PIK3CA Mutational Status' timeFrame='Every 6 weeks after randomization up to a maximum of 5 years' populationDescription='Full Analysis Set (FAS), Full Analysis Set (FAS) -ctDNA PIK3CA mutant, Full Analysis Set (FAS) - ctDNA PIK3CA non-mutant based on Primary Analysis.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Clinical Benefit Rate (CBR) by PIK3CA Mutational Status' timeFrame='Week 14, Week 24' populationDescription='Full Analysis Set (FAS), Full Analysis Set (FAS) -ctDNA PIK3CA mutant, Full Analysis Set (FAS) - ctDNA PIK3CA non-mutant based on Primary Analysis.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01649271	phase ia: afatinib 20mg+trastuzumab 8 mg/kg	ctg_results_bor_2010_2013	2	2|3	6|6	2	Best Overall Response (BOR)	BASIS_EXISTS	title/construct;timeFrame;populationDescription	om[2] type=SECONDARY title='Best Overall Response (BOR)' timeFrame='Post baseline tumour-imaging was performed at every 6 weeks (in the week preceding the start of Cycles 3, 5, 7, 9, 11, etc.) until End of Treatment (EOT); up to 33 months' populationDescription='Treated set\n\nMissing: First image time point not reached before discontinuation.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Objective Response' timeFrame='Post baseline tumour-imaging was performed at every 6 weeks (in the week preceding the start of Cycles 3, 5, 7, 9, 11, etc.) until EOT; up to 33 months' populationDescription='Treated set' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01649271	phase ia: afatinib 30mg+trastuzumab 8 mg/kg	ctg_results_bor_2010_2013	2	2|3	7|7	2	Best Overall Response (BOR)	BASIS_EXISTS	title/construct;timeFrame;populationDescription	om[2] type=SECONDARY title='Best Overall Response (BOR)' timeFrame='Post baseline tumour-imaging was performed at every 6 weeks (in the week preceding the start of Cycles 3, 5, 7, 9, 11, etc.) until End of Treatment (EOT); up to 33 months' populationDescription='Treated set\n\nMissing: First image time point not reached before discontinuation.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Objective Response' timeFrame='Post baseline tumour-imaging was performed at every 6 weeks (in the week preceding the start of Cycles 3, 5, 7, 9, 11, etc.) until EOT; up to 33 months' populationDescription='Treated set' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01658436	bez235 300 mg/400 mg bid	ctg_results_bor_2010_2013	2	1|2	31|31	1	Stage 1- Overall Response Rate (ORR)	BASIS_EXISTS	title/construct;assessment_criteria	"om[1] type=SECONDARY title='Stage 1- Overall Response Rate (ORR)' timeFrame='Baseline, every 8 weeks up to 31 months' populationDescription=""The Full Analysis Set (FAS) comprised of all patients who received at least one dose of study treatment (Stage 1). This set was known as 'Analysis Set Stage 1' "" paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST (unversioned) || om[2] type=SECONDARY title='Stage 1 - Disease Control Rate' timeFrame='Baseline, every 8 weeks up to 31 months' populationDescription=""The Full Analysis Set (FAS) comprised of all patients who received at least one dose of study treatment (Stage 1). This set was known as 'Analysis Set Stage 1' "" paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST 1.1"	NO_CHANGE_SAME_PICK			
NCT01658878	cohort 1 hbv infected	ctg_results_bor_2010_2013	2	8|10	15|15	8	Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1	BASIS_EXISTS	title/construct;title/cohort-qualifier;assessment_criteria;timeFrame;populationDescription	om[8] type=SECONDARY title='Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1' timeFrame='From the start of the study treatment until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants in Cohort 1; uninfected HCC, HCV-infected, and HBV-infected participants reported together as pre-specified.' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=RECIST 1.1 || om[10] type=SECONDARY title='Disease Control Rate (DCR) Assessed by Blinded Independent Central Review (BICR)' timeFrame='From the date of randomization (Cohort 3, 4, 6) or the date of first dose (Cohort 1, 2, 5) until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants for Cohort 1, 2, and 5, and all randomized participants for Cohort 3, 4 and 6. Uninfected HCC, HCV-infected, and HBV-infected participa' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=none	NO_CHANGE_SAME_PICK			
NCT01658878	cohort 1 hcv infected	ctg_results_bor_2010_2013	2	8|10	10|10	8	Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1	BASIS_EXISTS	title/construct;title/cohort-qualifier;assessment_criteria;timeFrame;populationDescription	om[8] type=SECONDARY title='Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1' timeFrame='From the start of the study treatment until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants in Cohort 1; uninfected HCC, HCV-infected, and HBV-infected participants reported together as pre-specified.' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=RECIST 1.1 || om[10] type=SECONDARY title='Disease Control Rate (DCR) Assessed by Blinded Independent Central Review (BICR)' timeFrame='From the date of randomization (Cohort 3, 4, 6) or the date of first dose (Cohort 1, 2, 5) until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants for Cohort 1, 2, and 5, and all randomized participants for Cohort 3, 4 and 6. Uninfected HCC, HCV-infected, and HBV-infected participa' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=none	NO_CHANGE_SAME_PICK			
NCT01658878	cohort 1 uninfected hcc	ctg_results_bor_2010_2013	2	8|10	23|23	8	Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1	BASIS_EXISTS	title/construct;title/cohort-qualifier;assessment_criteria;timeFrame;populationDescription	om[8] type=SECONDARY title='Objective Response Rate (ORR) Assessed by Blinded Independent Central Review (BICR) for Cohort 1' timeFrame='From the start of the study treatment until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants in Cohort 1; uninfected HCC, HCV-infected, and HBV-infected participants reported together as pre-specified.' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=RECIST 1.1 || om[10] type=SECONDARY title='Disease Control Rate (DCR) Assessed by Blinded Independent Central Review (BICR)' timeFrame='From the date of randomization (Cohort 3, 4, 6) or the date of first dose (Cohort 1, 2, 5) until disease progression, or the date of subsequent anti-cancer therapy, whichever occurs first (Up to approximately 144 months)' populationDescription='All treated participants for Cohort 1, 2, and 5, and all randomized participants for Cohort 3, 4 and 6. Uninfected HCC, HCV-infected, and HBV-infected participa' paramType='NUMBER' unitOfMeasure='Percent of Participants' criteria=none	NO_CHANGE_SAME_PICK			
NCT01668017	part 1: pimasertib 30 mg in hcc	ctg_results_bor_2010_2013	2	32|33	4|4	32	Percentage of Subjects With Best Overall Response	BASIS_EXISTS	title/construct;populationDescription	"om[32] type=SECONDARY title='Percentage of Subjects With Best Overall Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription='Efficacy analysis set included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy assess' paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1 || om[33] type=SECONDARY title='Percentage of Subjects With Objective Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription=""Efficacy analysis set' included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy asses"" paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1"	CONDITIONAL			
NCT01668017	part 1: pimasertib 30 mg in solid tumor	ctg_results_bor_2010_2013	2	32|33	3|3	32	Percentage of Subjects With Best Overall Response	BASIS_EXISTS	title/construct;populationDescription	"om[32] type=SECONDARY title='Percentage of Subjects With Best Overall Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription='Efficacy analysis set included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy assess' paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1 || om[33] type=SECONDARY title='Percentage of Subjects With Objective Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription=""Efficacy analysis set' included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy asses"" paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1"	CONDITIONAL			
NCT01668017	part 1: pimasertib 45 mg in hcc	ctg_results_bor_2010_2013	2	32|33	2|2	32	Percentage of Subjects With Best Overall Response	BASIS_EXISTS	title/construct;populationDescription	"om[32] type=SECONDARY title='Percentage of Subjects With Best Overall Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription='Efficacy analysis set included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy assess' paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1 || om[33] type=SECONDARY title='Percentage of Subjects With Objective Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription=""Efficacy analysis set' included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy asses"" paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1"	CONDITIONAL			
NCT01668017	part 1: pimasertib 45 mg in solid tumor	ctg_results_bor_2010_2013	2	32|33	7|7	32	Percentage of Subjects With Best Overall Response	BASIS_EXISTS	title/construct;populationDescription	"om[32] type=SECONDARY title='Percentage of Subjects With Best Overall Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription='Efficacy analysis set included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy assess' paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1 || om[33] type=SECONDARY title='Percentage of Subjects With Objective Response' timeFrame='Day 1 of Cycle 3 and Day 1 of every alternate until end of treatment (up to a maximum of 35.4 weeks)' populationDescription=""Efficacy analysis set' included all subjects who received at least one administration of planned dose of pimasertib and who have had at least one efficacy asses"" paramType='NUMBER' unitOfMeasure='percentage of subjects' criteria=RECIST 1.1"	CONDITIONAL			
