row_type	nct	payload	enrollment_type	registered_enrollment	selected_cohorts	sum_selected_denominators	excess	mechanism	reducible	nonoverlap_n	nonoverlap_sum	om_index	group_title	denominator	pooled_flag	outcome_measure_title	time_frame	cohort_role
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 46 mg (A7)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 6 mg (A1)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 63 mg (A8)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								2	Schedule A BI 847325 9 mg (A2)	3	False	Objective Response	From the start of treatment and the earliest of disease progression, death, or the end of treatment. The data cut-off date is 29-Nov-2013.	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 180 mg (B6)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 90 mg (B5)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 12 mg (B2)	1	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 23 mg (B3)	1	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 46 mg (B4)	1	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 6 mg (B1)	1	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
TRIAL	NCT01325428	ctg_results_bor_2010_2013	ACTUAL	26	2	36	10	SEQUENTIAL_PHASE	YES	1	26							
COHORT	NCT01325428	ctg_results_bor_2010_2013	ACTUAL	26								2	Part A: Afatinib Once Daily (OD).	26	False	Part A: Confirmed Objective Response (OR) Assessed by Response Evaluation Criteria in Solid Tumours Version 1.1 (RECIST 1.1).	This endpoint was recorded from first administration of trial medication until the earliest of disease progression, death or start of next treatment (either Part B combination therapy or new anti-cancer therapy) up to 929 days.	KEEP
COHORT	NCT01325428	ctg_results_bor_2010_2013	ACTUAL	26								3	Part B: Afatinib Once Daily (OD)+V (Vinorelbine).	10	False	Part B: Confirmed Objective Response (OR) Assessed by Response Evaluation Criteria in Solid Tumours Version 1.1 (RECIST 1.1).	This endpoint was recorded from first administration of trial medication in Part B and until the earliest of disease progression, death or start of new anti-cancer therapy up to 929 days.	DROP:SEQUENTIAL_SUBSET
TRIAL	NCT01336634	ctg_results_bor_2010_2013	ACTUAL	177	4	191	14	CROSSOVER_OR_SWITCH	YES	3	171							
COHORT	NCT01336634	ctg_results_bor_2010_2013	ACTUAL	177								0	Cohort A (Dabrafenib Monotherapy)	78	False	Overall Response Rate (ORR)	From study treatment start date until first documented complete response or partial response, assessed up to approximately 50 months	KEEP
COHORT	NCT01336634	ctg_results_bor_2010_2013	ACTUAL	177								0	Cohort B - Double Combination (Dabrafenib+Trametinib) mBRAF V600E: DAB 150MG BID, TRA 2mG QD	57	False	Overall Response Rate (ORR)	From study treatment start date until first documented complete response or partial response, assessed up to approximately 50 months	KEEP
COHORT	NCT01336634	ctg_results_bor_2010_2013	ACTUAL	177								0	Cohort C - Double Combination (Dabrafenib+Trametinib) Naive mBRAF V600E: DAB 150MG BID, TRA 2mG QD	36	False	Overall Response Rate (ORR)	From study treatment start date until first documented complete response or partial response, assessed up to approximately 50 months	KEEP
COHORT	NCT01336634	ctg_results_bor_2010_2013	ACTUAL	177								0	Crossover - Double Combination (Dabrafenib+Trametinib): DAB 150MG BID, TRA 2mG QD	20	False	Overall Response Rate (ORR)	From study treatment start date until first documented complete response or partial response, assessed up to approximately 50 months	DROP:CROSSOVER_SUBSET
TRIAL	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67	5	91	24	POOLED_WITH_COMPONENTS	YES	4	53							
COHORT	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67								3	PF-05212384 (PI3K Basal + Activated)	38	False	Percentage of Participants With Objective Response for PF-05212384	Randomization to objective progression, death or last tumor assessment without progression (up to 12 months)	DROP:POOLED_PARENT
COHORT	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67								3	PF-05212384 (PI3K Activated)	19	False	Percentage of Participants With Objective Response for PF-05212384	Randomization to objective progression, death or last tumor assessment without progression (up to 12 months)	KEEP
COHORT	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67								3	PF-05212384 (PI3K Basal)	19	False	Percentage of Participants With Objective Response for PF-05212384	Randomization to objective progression, death or last tumor assessment without progression (up to 12 months)	KEEP
COHORT	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67								2	PF-04691502 (PI3K Activated)	11	False	Objective Response for PF-04691502	Randomization to objective progression, death or last tumor assessment without progression (up to 12 months)	KEEP
COHORT	NCT01420081	ctg_results_bor_2010_2013	ACTUAL	67								2	PF-04691502 (PI3K Basal)	4	False	Objective Response for PF-04691502	Randomization to objective progression, death or last tumor assessment without progression (up to 12 months)	KEEP
TRIAL	NCT01465659	ctg_results_bor_2010_2013	ACTUAL	29	2	39	10	POOLED_WITH_COMPONENTS	YES	1	29							
COHORT	NCT01465659	ctg_results_bor_2010_2013	ACTUAL	29								6	Cohort 1/Cohort -1/Cohort -2 - Temozolomide and Pazopanib	29	False	Number of Patients Experiencing Response to Treatment or Stable Disease (Disease Control Rate)	After every 2 courses of treatment (8 weeks) for up to 41 cycles where 1 cycle =28 days.	KEEP
COHORT	NCT01465659	ctg_results_bor_2010_2013	ACTUAL	29								1	Phase II -Temozolomide 75 mg/m2 and Pazopanib 400 mg	10	False	Overall Response Rate (ORR) in Patients With Advanced Neuroendocrine Tumors (PNET) Treated With Temozolomide and Pazopanib Combination Treatment at the RP2D in Phase II	After two cycles of treatment (8 weeks)	DROP:COMPONENT_OF_KEPT_POOL
TRIAL	NCT01491672	ctg_results_bor_2010_2013	ACTUAL	134	4	268	134	POOLED_WITH_COMPONENTS	YES	3	134							
COHORT	NCT01491672	ctg_results_bor_2010_2013	ACTUAL	134								3	All Participants	134	True	Clinical Benefit Rate (CBR)	20 months	DROP:POOLED_PARENT
COHORT	NCT01491672	ctg_results_bor_2010_2013	ACTUAL	134								3	Other Prior Vascular Endothelial Growth Factor (VEGF)	62	False	Clinical Benefit Rate (CBR)	20 months	KEEP
COHORT	NCT01491672	ctg_results_bor_2010_2013	ACTUAL	134								3	Prior Sunitinib	58	False	Clinical Benefit Rate (CBR)	20 months	KEEP
COHORT	NCT01491672	ctg_results_bor_2010_2013	ACTUAL	134								3	Prior Cytokines	14	False	Clinical Benefit Rate (CBR)	20 months	KEEP
TRIAL	NCT01494506	ctg_results_bor_2010_2013	ACTUAL	417	4	536	119	COMPARISON_SET_REUSE	YES	3	417							
COHORT	NCT01494506	ctg_results_bor_2010_2013	ACTUAL	417								2	MM-398 Arm A (Mono Therapy Comparison)	151	False	Objective Response Rate	Assessment every 6 weeks after initial response; Day 1 to data cut off of 14 Feb 2014; maximum time on study 25 months.	KEEP
COHORT	NCT01494506	ctg_results_bor_2010_2013	ACTUAL	417								2	5-FU + Leucovorin (Arm B) (Mono Therapy Comparison)	149	False	Objective Response Rate	Assessment every 6 weeks after initial response; Day 1 to data cut off of 14 Feb 2014; maximum time on study 25 months.	KEEP
COHORT	NCT01494506	ctg_results_bor_2010_2013	ACTUAL	417								2	5-FU + Leucovorin (Combo Therapy Comparison)	119	False	Objective Response Rate	Assessment every 6 weeks after initial response; Day 1 to data cut off of 14 Feb 2014; maximum time on study 25 months.	DROP:SAME_ARM_SECOND_COMPARISON
COHORT	NCT01494506	ctg_results_bor_2010_2013	ACTUAL	417								2	MM-398 + 5-FU + Leucovorin(Arm C) Combo Therapy Comparison	117	False	Objective Response Rate	Assessment every 6 weeks after initial response; Day 1 to data cut off of 14 Feb 2014; maximum time on study 25 months.	KEEP
TRIAL	NCT01519414	ctg_placebo_onc_2010_2013	ACTUAL	78	3	90	12	CROSSOVER_OR_SWITCH	YES	2	78							
COHORT	NCT01519414	ctg_accrual_completed_onc_phase2|ctg_placebo_onc_2010_2013	ACTUAL	78								3	Arm I (Tivantinib)	52	False	PSA Response Rate	up to 12 weeks	KEEP
COHORT	NCT01519414	ctg_accrual_completed_onc_phase2|ctg_placebo_onc_2010_2013	ACTUAL	78								3	Arm II (Placebo)	26	False	PSA Response Rate	up to 12 weeks	KEEP
COHORT	NCT01519414	ctg_accrual_completed_onc_phase2|ctg_placebo_onc_2010_2013	ACTUAL	78								3	Crossover From Placebo to Tivantinib	12	False	PSA Response Rate	up to 12 weeks	DROP:CROSSOVER_SUBSET
TRIAL	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436	6	3587	2151	MULTI_AXIS_PARTITION	YES	1	1198							
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								45	Pertuzumab + Trastuzumab + Taxane	1198	False	Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	KEEP
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								47	Age ≤65 Years	968	False	Subgroup Analysis by Age (≤65 vs. >65 Years): Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	DROP:SUBGROUP_PARTITION_OF_KEPT
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								48	Docetaxel	657	False	Subgroup Analysis by Taxane Chemotherapy: Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	DROP:SUBGROUP_PARTITION_OF_KEPT
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								48	Paclitaxel	481	False	Subgroup Analysis by Taxane Chemotherapy: Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	DROP:SUBGROUP_PARTITION_OF_KEPT
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								47	Age >65 Years	230	False	Subgroup Analysis by Age (≤65 vs. >65 Years): Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	DROP:SUBGROUP_PARTITION_OF_KEPT
COHORT	NCT01572038	ctg_results_bor_2010_2013	ACTUAL	1436								48	Nab-Paclitaxel	53	False	Subgroup Analysis by Taxane Chemotherapy: Overall Response Rate (Complete Response or Partial Response) Based on Best Overall Response (Confirmed) as Assessed by the Investigator Using RECIST v1.1	Assessed every 3 cycles (1 cycle is 3 weeks) up to 36 months, and at least every 12 cycles thereafter, until disease progression or death. The median (full range) duration of follow-up was 68.73 (0.03-87.29) months.	DROP:SUBGROUP_PARTITION_OF_KEPT
TRIAL	NCT01577758	ctg_results_bor_2010_2013	ACTUAL	41	2	42	1	REGISTRY_INCONSISTENCY	NO_OVERLAP	2	42							
COHORT	NCT01577758	ctg_results_bor_2010_2013	ACTUAL	41								3	MLN0264 1.8 mg/kg (mCRC Expansion)	24	False	Best Overall Response	At the completion of every second cycle up to 12 cycles (approximately 9 months). Each cycle is a 21 days cycle	KEEP
COHORT	NCT01577758	ctg_results_bor_2010_2013	ACTUAL	41								3	MLN0264 Dose Escalation Phase	18	False	Best Overall Response	At the completion of every second cycle up to 12 cycles (approximately 9 months). Each cycle is a 21 days cycle	KEEP
TRIAL	NCT01595009	ctg_results_bor_2010_2013	ACTUAL	246	4	261	15	SEQUENTIAL_PHASE	YES	2	246							
COHORT	NCT01595009	ctg_results_bor_2010_2013	ACTUAL	246								7	pNET (Core)	126	False	Investigator-assessed Best Overall Response (Core)	from the start of treatment, every 12 weeks for the first year and then every 6 months up to 19 months	KEEP
COHORT	NCT01595009	ctg_results_bor_2010_2013	ACTUAL	246								7	Non-pNET (Core)	120	False	Investigator-assessed Best Overall Response (Core)	from the start of treatment, every 12 weeks for the first year and then every 6 months up to 19 months	KEEP
COHORT	NCT01595009	ctg_results_bor_2010_2013	ACTUAL	246								12	GI NET	11	False	Investigator-assessed Best Overall Response During the Extension Phase (E1)	from the start of treatment, every 12 weeks for the first year and then every 6 months up to 4 years	DROP:EXTENSION_PHASE_SUBSET
COHORT	NCT01595009	ctg_results_bor_2010_2013	ACTUAL	246								12	Lung NET (E1)	4	False	Investigator-assessed Best Overall Response During the Extension Phase (E1)	from the start of treatment, every 12 weeks for the first year and then every 6 months up to 4 years	DROP:EXTENSION_PHASE_SUBSET
TRIAL	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99	9	100	1	DENOM_VARIES_BY_MEASURE;REGISTRY_INCONSISTENCY	NO_OVERLAP	9	100							
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	125 mg BID Intermittent Days 1 and 2 (Fasted)	37	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	75 mg QD Continuous	14	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	50 mg BID Continuous	13	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	100 mg QD Continuous	10	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	125 mg BID Intermittent Days 1 and 2 (Fed)	8	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	35 mg BID Continuous	6	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								28	170 mg BID Intermittent Days 1 and 2 (Fasted)	5	False	Objective Response Rate	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	170 mg BID Intermittent Days 1 and 2 (Fed)	5	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
COHORT	NCT01597388	ctg_results_bor_2010_2013	ACTUAL	99								31	125 mg BID Intermittent Days 1 and 4 (Fasted)	2	False	Clinical Benefit Rate (CBR) at 24 Weeks	Up to 12 months	KEEP
TRIAL	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179	10	408	229	POOLED_WITH_COMPONENTS;DUPLICATE_COHORT_IDENTITY;CROSSOVER_OR_SWITCH	PARTIAL	7	180							
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								8	All Patients	106	True	Phase II: Randomized Best Overall Response as Per RECIST v1.1	approximately 6 months	DROP:POOLED_PARENT/CROSSOVER
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								10	All Patients (Phase II)	106	True	Phase II: Randomized Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	approximately 6 months	DROP:POOLED_PARENT/CROSSOVER
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								8	Arm 1 - BYL719+Cetuximab (Randomized)	71	False	Phase II: Randomized Best Overall Response as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								8	Arm 2 - Monotherapy Cetuximab (Randomized)	35	False	Phase II: Randomized Best Overall Response as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								9	Arm 3 - BYL719+Cetuximab	29	False	Phase II: Non-Randomized Best Overall Response as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								14	Arm B - BYL719 + Cetuximab, Oral Suspension	18	False	For Phase Ib: Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								15	Arm 2B - BYL719+Cetuximab	16	False	Phase II, Scheme 1 (Arm 2B): Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	Approximately 6 months	DROP:POOLED_PARENT/CROSSOVER
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								14	Arm A - 300mg BYL719+Cetuximab	16	False	For Phase Ib: Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								14	Arm C - BYL719+Cetuximab, Dispersible Tablets	6	False	For Phase Ib: Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	approximately 6 months	KEEP
COHORT	NCT01602315	ctg_results_bor_2010_2013	ACTUAL	179								14	Arm A - 400mg BYL719+Cetuximab	5	False	For Phase Ib: Overall Response Rate (ORR) and Disease Control Rate (DCR) as Per RECIST v1.1	approximately 6 months	KEEP
TRIAL	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45	6	58	13	POOLED_WITH_COMPONENTS	YES	2	45							
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								1	Phase 2: 16 mg/kg Daratumumab + Lenalidomide and Dexamethasone	32	False	Phase 2: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	KEEP
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								0	Phase 1: Daratumumab (2-16 mg/kg) + Lenalidomide and Dexamethasone	13	False	Phase 1: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	KEEP
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								0	Phase 1: 8 mg/kg Daratumumab + Lenalidomide and Dexamethasone	4	False	Phase 1: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	DROP:COMPONENT_OF_KEPT_POOL
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								0	Phase 1: 16 mg/kg Daratumumab + Lenalidomide and Dexamethasone	3	False	Phase 1: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	DROP:COMPONENT_OF_KEPT_POOL
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								0	Phase 1: 2 mg/kg Daratumumab + Lenalidomide and Dexamethasone	3	False	Phase 1: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	DROP:COMPONENT_OF_KEPT_POOL
COHORT	NCT01615029	ctg_results_bor_2010_2013	ACTUAL	45								0	Phase 1: 4 mg/kg Daratumumab + Lenalidomide and Dexamethasone	3	False	Phase 1: Percentage of Participants With Overall Response Rate (ORR)	Up to 3 years	DROP:COMPONENT_OF_KEPT_POOL
TRIAL	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170	22	680	510	MULTI_AXIS_PARTITION;POOLED_WITH_COMPONENTS	YES	7	168							
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	Total	140	True	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N3 60M, W4	75	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N1 + I3 NON-BM	49	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N3 NAIVE, NON-BM	48	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								6	N3 60M Prog	44	False	Objective Response Rate (ORR)	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	KEEP
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								6	N3 60M Naive	41	False	Objective Response Rate (ORR)	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	KEEP
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N3 60M NAIVE, W4	39	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N1 + I3, W2	37	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
COHORT	NCT01621490	ctg_results_bor_2010_2013	ACTUAL	170								11	N3 60M PROG, W4	36	False	Objective Response Rate (ORR) by PD-L1 Expression	Approximately every 8 weeks until disease progression and in follow-up if no progression (up to approximately 73 months)	DROP:OTHER_AXIS_PARTITION
