nct	group_title	om_title	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	verdict	join_level	recovered_arm_index	recovered_arm_label	recovered_arm_type	evidence_field	note	implied_control_status	contradicts_job3	source_pointer
NCT03724890	Part B: M3814 150 mg BID +Avelumab 800 mg Q2W + RT	Part B: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Part B: M3814 + Avelumab + Radiotherapy (RT)	EXPERIMENTAL	armGroups[1].label 'Part' token shared with group title prefix; group description names radiotherapy, present only in armGroups[1].interventionNames	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[1] | outcomeMeasures[55] group OG001
NCT03724890	Part B: M3814 200 mg BID + Avelumab 800 mg Q2W + RT	Part B: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Part B: M3814 + Avelumab + Radiotherapy (RT)	EXPERIMENTAL	armGroups[1].label 'Part' token shared with group title prefix; group description names radiotherapy, present only in armGroups[1].interventionNames	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[1] | outcomeMeasures[55] group OG002
NCT03724890	Part B: M3814 250 mg BID + Avelumab 800 mg Q2W + RT	Part B: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Part B: M3814 + Avelumab + Radiotherapy (RT)	EXPERIMENTAL	armGroups[1].label 'Part' token shared with group title prefix; group description names radiotherapy, present only in armGroups[1].interventionNames	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[1] | outcomeMeasures[55] group OG003
NCT03724890	Part Food Effect: M3814 100 mg BID + Avelumab 800 mg Q2W	Part FE: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Part FE: M3814 + Avelumab (fasted/fed state)	EXPERIMENTAL	armGroups[2].label 'Part' token shared with group title prefix; group description names fasted/fed, matching armGroups[2].label '(fasted/fed state)'	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[2] | outcomeMeasures[56] group OG000
NCT03724890	Part Food Effect: M3814 200 mg BID + Avelumab 800 mg Q2W	Part FE: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Part FE: M3814 + Avelumab (fasted/fed state)	EXPERIMENTAL	armGroups[2].label 'Part' token shared with group title prefix; group description names fasted/fed, matching armGroups[2].label '(fasted/fed state)'	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[2] | outcomeMeasures[56] group OG001
NCT03829501	Alomfilimab 0.8 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG000
NCT03829501	Alomfilimab 0.8 mg + Atezolizumab	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Phase 1: Alomfilimab + Atezolizumab Combination Therapy	EXPERIMENTAL	armGroups[1].interventionNames ['Drug: Alomfilimab','Drug: Atezolizumab']; sole Phase 1 combination arm	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed; NOTE 0.8 mg lies below the '2.4 to 80 mg' range stated in armGroups[1].description, so that range statement is imprecise	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[1] | outcomeMeasures[6] group OG006
NCT03829501	Alomfilimab 2.4 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG001
NCT03829501	Alomfilimab 2.4 mg + Atezolizumab	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Phase 1: Alomfilimab + Atezolizumab Combination Therapy	EXPERIMENTAL	armGroups[1].interventionNames ['Drug: Alomfilimab','Drug: Atezolizumab']; sole Phase 1 combination arm	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[1] | outcomeMeasures[6] group OG007
NCT03829501	Alomfilimab 2.4 mg + Atezolizumab in Anti-PD-(L)1 Naïve Pancreatic Cancer	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG011
NCT03829501	Alomfilimab 2.4 mg + Atezolizumab in Anti-PD-(L)1 Naïve Triple Negative BC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG013
NCT03829501	Alomfilimab 2.4 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated Pancreatic Cancer	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG017
NCT03829501	Alomfilimab 2.4 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated Triple Negative BC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG019
NCT03829501	Alomfilimab 24 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG003
NCT03829501	Alomfilimab 24 mg + Atezolizumab	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Phase 1: Alomfilimab + Atezolizumab Combination Therapy	EXPERIMENTAL	armGroups[1].interventionNames ['Drug: Alomfilimab','Drug: Atezolizumab']; sole Phase 1 combination arm	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[1] | outcomeMeasures[6] group OG009
NCT03829501	Alomfilimab 24 mg + Atezolizumab in Anti-PD-(L)1 Naïve HNSCC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG016
NCT03829501	Alomfilimab 24 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated HNSCC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG022
NCT03829501	Alomfilimab 240 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG005
NCT03829501	Alomfilimab 8 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG002
NCT03829501	Alomfilimab 8 mg + Atezolizumab	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Phase 1: Alomfilimab + Atezolizumab Combination Therapy	EXPERIMENTAL	armGroups[1].interventionNames ['Drug: Alomfilimab','Drug: Atezolizumab']; sole Phase 1 combination arm	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[1] | outcomeMeasures[6] group OG008
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Naïve HNSCC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG015
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Naïve Pancreatic Cancer	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG012
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Naïve Triple Negative BC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	2	Phase 2: Alomfilimab + Atezolizumab in Anti-PD-(L)1 Naïve Participants	EXPERIMENTAL	armGroups[2].description names 'Anti-PD-(L)1 naïve' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[2] | outcomeMeasures[6] group OG014
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated HNSCC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG021
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated Pancreatic Cancer	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG018
NCT03829501	Alomfilimab 8 mg + Atezolizumab in Anti-PD-(L)1 Pre-treated Triple Negative BC	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	3	Phase 2: Alomfilimab + Atezolizumab in Pre-treated Participants	EXPERIMENTAL	armGroups[3].description names 'Pre-treated' and pancreatic/TNBC/HNSCC	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[3] | outcomeMeasures[6] group OG020
NCT03829501	Alomfilimab 80 mg	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Phase 1: Alomfilimab Monotherapy	EXPERIMENTAL	armGroups[0].description 'alomfilimab 0.8 to 240 mg as a single agent' covers this dose	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[0] | outcomeMeasures[6] group OG004
NCT03829501	Alomfilimab 80 mg + Atezolizumab	Best Overall Response (BOR) Per RECIST 1.1	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Phase 1: Alomfilimab + Atezolizumab Combination Therapy	EXPERIMENTAL	armGroups[1].interventionNames ['Drug: Alomfilimab','Drug: Atezolizumab']; sole Phase 1 combination arm	all 4 registered arms are EXPERIMENTAL, so arm type is determined even if arm identity were disputed	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03829501 | armGroups[1] | outcomeMeasures[6] group OG010
NCT03854227	Part 2A: [2L+ Non-small Cell Lung Cancer (NSCLC)] PF-06939999 6mg QD	Part 2: Number of Participants With Best Overall Response (BOR) Based on Investigator Assessment (RECIST, Version 1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Non small cell lung cancer monotherapy	EXPERIMENTAL	armGroups[1] tumour-type label matches the group-title tumour type; group description states 6 mg QD with no docetaxel, excluding armGroups[4]/[5] (PF-06939999 + docetaxel)	all 6 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03854227 | armGroups[1] | outcomeMeasures[5] group OG000
NCT03854227	Part 2B: (2L+ Urothelial Carcinoma) PF-06939999 6mg QD	Part 2: Number of Participants With Best Overall Response (BOR) Based on Investigator Assessment (RECIST, Version 1.1)	CONTAINMENT	Urothelial carcinoma	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	2	Urothelial carcinoma	EXPERIMENTAL	armGroups[2] tumour-type label matches the group-title tumour type	all 6 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03854227 | armGroups[2] | outcomeMeasures[5] group OG001
NCT03854227	Part 2C: [2L+ Head and Neck Squamous Cell Carcinoma (HNSCC)] PF-06939999 6mg QD	Part 2: Number of Participants With Best Overall Response (BOR) Based on Investigator Assessment (RECIST, Version 1.1)	CONTAINMENT	Head and neck squamous cell carcinoma	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	3	Head and neck squamous cell carcinoma	EXPERIMENTAL	armGroups[3] tumour-type label matches the group-title tumour type	all 6 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03854227 | armGroups[3] | outcomeMeasures[5] group OG002
NCT03894540	IPN60090 120 mg	Best Overall Response (BOR) in Part A	CONTAINMENT	IPN60090	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	0	IPN60090	EXPERIMENTAL	armGroups[0].description 'Part 1: Dose escalation of IPN60090 ... BID oral dose'; group descriptions state IPN60090 BID monotherapy in Part A with no pembrolizumab/paclitaxel, excluding armGroups[1]/[2], and repeated-cycle dosing excludes the single-dose food-effect armGroups[3]	all 4 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03894540 | armGroups[0] | outcomeMeasures[3] group OG003
NCT03894540	IPN60090 180 mg	Best Overall Response (BOR) in Part A	CONTAINMENT	IPN60090	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	0	IPN60090	EXPERIMENTAL	armGroups[0].description 'Part 1: Dose escalation of IPN60090 ... BID oral dose'; group descriptions state IPN60090 BID monotherapy in Part A with no pembrolizumab/paclitaxel, excluding armGroups[1]/[2], and repeated-cycle dosing excludes the single-dose food-effect armGroups[3]	all 4 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03894540 | armGroups[0] | outcomeMeasures[3] group OG004
NCT03894540	IPN60090 20 mg	Best Overall Response (BOR) in Part A	CONTAINMENT	IPN60090	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	0	IPN60090	EXPERIMENTAL	armGroups[0].description 'Part 1: Dose escalation of IPN60090 ... BID oral dose'; group descriptions state IPN60090 BID monotherapy in Part A with no pembrolizumab/paclitaxel, excluding armGroups[1]/[2], and repeated-cycle dosing excludes the single-dose food-effect armGroups[3]	all 4 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03894540 | armGroups[0] | outcomeMeasures[3] group OG000
NCT03894540	IPN60090 240 mg	Best Overall Response (BOR) in Part A	CONTAINMENT	IPN60090	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	JOIN_RECOVERABLE	ARM_EXACT	0	IPN60090	EXPERIMENTAL	armGroups[0].description 'Part 1: Dose escalation of IPN60090 ... BID oral dose'; group descriptions state IPN60090 BID monotherapy in Part A with no pembrolizumab/paclitaxel, excluding armGroups[1]/[2], and repeated-cycle dosing excludes the single-dose food-effect armGroups[3]	all 4 registered arms are EXPERIMENTAL	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03894540 | armGroups[0] | outcomeMeasures[3] group OG005
