nct	source_payload	source_line	om_index	group_index	group_id	om_title	group_title	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	n_arms_registered	recovered_arm_index	recovered_arm_label	recovered_armGroupType	join_cardinality	field_used	evidence	verdict	control_status_implied	contradiction_or_note
NCT01975519	ctg_results_bor_2010_2013.txt	505	6	1	OG001	Objective Response Rate in Patients With Advanced Soft Tissue Sarcoma by RECIST 1.1	10 mg/kg TRC105 + Pazopanib	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	TRC105 and Pazopanib	EXPERIMENTAL	N:1 (dose/disease cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label tokens vs group_title	"group titles name TRC105 + pazopanib, the sole registered arm; group descriptions restate ""TRC105 in combination with standard dose pazopanib"" from armGroups[0].description."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT01975519	ctg_results_bor_2010_2013.txt	505	6	0	OG000	Objective Response Rate in Patients With Advanced Soft Tissue Sarcoma by RECIST 1.1	8 mg/kg TRC105 + Pazopanib	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	TRC105 and Pazopanib	EXPERIMENTAL	N:1 (dose/disease cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label tokens vs group_title	"group titles name TRC105 + pazopanib, the sole registered arm; group descriptions restate ""TRC105 in combination with standard dose pazopanib"" from armGroups[0].description."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT01975519	ctg_results_bor_2010_2013.txt	505	2	0	OG000	Objective Response Rate in a Cohort of Patients With Angiosarcoma	10 mg/kg TRC105 + Pazopanib With Angiosarcoma	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	TRC105 and Pazopanib	EXPERIMENTAL	N:1 (dose/disease cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label tokens vs group_title	"group titles name TRC105 + pazopanib, the sole registered arm; group descriptions restate ""TRC105 in combination with standard dose pazopanib"" from armGroups[0].description."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02089334	ctg_results_bor_2014_2017.txt	342	4	0	OG000	Best Overall Response as Determined by RECIST v1.1.	125 mg/m^2 RX-0201 + Everolimus (Stage 1)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	RX-0201 plus everolimus (Stage 1 & 2)	EXPERIMENTAL	N:1 (dose/stage cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label, which names both Stage 1 and Stage 2	"armGroups[0].label ""RX-0201 plus everolimus (Stage 1 & 2)"" explicitly spans the Stage 1 dose cohorts and the Stage 2 cohort reported as groups."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02089334	ctg_results_bor_2014_2017.txt	342	4	1	OG001	Best Overall Response as Determined by RECIST v1.1.	200 mg/m^2/Day RX-0201 + Everolimus (Stage 1)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	RX-0201 plus everolimus (Stage 1 & 2)	EXPERIMENTAL	N:1 (dose/stage cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label, which names both Stage 1 and Stage 2	"armGroups[0].label ""RX-0201 plus everolimus (Stage 1 & 2)"" explicitly spans the Stage 1 dose cohorts and the Stage 2 cohort reported as groups."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02089334	ctg_results_bor_2014_2017.txt	342	4	2	OG002	Best Overall Response as Determined by RECIST v1.1.	250 mg/m^2/Day RX-0201 + Everolimus (Stage 1)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	RX-0201 plus everolimus (Stage 1 & 2)	EXPERIMENTAL	N:1 (dose/stage cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label, which names both Stage 1 and Stage 2	"armGroups[0].label ""RX-0201 plus everolimus (Stage 1 & 2)"" explicitly spans the Stage 1 dose cohorts and the Stage 2 cohort reported as groups."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02089334	ctg_results_bor_2014_2017.txt	342	4	3	OG003	Best Overall Response as Determined by RECIST v1.1.	RX-0201 Plus Everolimus (Stage 2)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	RX-0201 plus everolimus (Stage 1 & 2)	EXPERIMENTAL	N:1 (dose/stage cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label, which names both Stage 1 and Stage 2	"armGroups[0].label ""RX-0201 plus everolimus (Stage 1 & 2)"" explicitly spans the Stage 1 dose cohorts and the Stage 2 cohort reported as groups."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02150967	ctg_results_bor_2014_2017.txt	182	11	0	OG000	Retrospective Analysis of Post-second-line Antineoplastic Treatment Outcomes on BOR	Cohort 1: FGFR2 Fusion/Rearrangements	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	BGJ398 (infigratinib)	EXPERIMENTAL	N:1 (cohort within sole arm)	n_arms_registered=1 (cardinality) + group description drug name vs armGroups[0].label	"group description ""Infigratinib 125 mg once daily (3 wk on/1 wk off treatment)"" names the sole registered arm drug BGJ398 (infigratinib)."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02259582	ctg_placebo_onc_2014_2017.txt	62	0	2	OG002	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Demcizumab/Demcizumab Arm (Arm 3)	NONE			UNKNOWN	3	A2	Arm 3 pem, carbo, dem x 4 cycles, dem retreatment	ACTIVE_COMPARATOR	1:1	"ordinal arm token: group_title ""(Arm 3)"" vs armGroups[2].label prefix ""Arm 3""; corroborated by group description"	"group description ""Demcizumab plus pemetrexed and carboplatin (4 cycles) ... demcizumab plus pemetrexed"" matches armGroups[2].description (2 courses of demcizumab)."	JOIN_RECOVERABLE	armGroupType is ACTIVE_COMPARATOR although the arm receives the investigational agent demcizumab	"REGISTRY-TYPING CAVEAT: armGroupType=ACTIVE_COMPARATOR here labels a demcizumab-containing arm. Treating armGroupType=ACTIVE_COMPARATOR as ""is the control"" would mis-assign this group."
NCT02259582	ctg_placebo_onc_2014_2017.txt	62	0	1	OG001	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Demcizumab/Placebo Arm (Arm 2)	NONE			UNKNOWN_AMBIGUOUS_SEQUENCE_LABEL	3	A1	Arm 2 Pem, carbo x 4 cycles, one course of dem	ACTIVE_COMPARATOR	1:1	"ordinal arm token: group_title ""(Arm 2)"" vs armGroups[1].label prefix ""Arm 2""; corroborated by group description"	"group description ""Demcizumab plus pemetrexed and carboplatin (4 cycles) ... placebo plus pemetrexed"" matches armGroups[1].description (one course of demcizumab, then maintenance pemetrexed + placebo)."	JOIN_RECOVERABLE	registered ACTIVE_COMPARATOR; it is NOT the placebo control arm of this trial	"VINDICATES Job 3 caution: the ""/Placebo"" in this group title denotes the maintenance phase, not a placebo control. Reading this group as the placebo arm would be wrong."
NCT02259582	ctg_placebo_onc_2014_2017.txt	62	0	0	OG000	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Placebo/Placebo Arm (Arm 1)	NONE			UNKNOWN_AMBIGUOUS_SEQUENCE_LABEL	3	A0	Arm 1 Pem, carbo, placebo x 4 cycles	PLACEBO_COMPARATOR	1:1	"ordinal arm token asserted by the record itself: group_title ""(Arm 1)"" vs armGroups[0].label prefix ""Arm 1""; corroborated by group description"	"group description ""Placebo plus pemetrexed and carboplatin (4 cycles), pemetrexed (4 cycles), placebo plus pemetrexed"" matches armGroups[0].description (pem/carbo + placebo, pemetrexed maintenance plus placebo)."	JOIN_RECOVERABLE	REGISTERED PLACEBO CONTROL (armGroupType=PLACEBO_COMPARATOR)	RESOLVES, does not contradict: Job 3 recorded UNKNOWN_AMBIGUOUS_SEQUENCE_LABEL. The ordinal token recovers the join and the registry types this arm PLACEBO_COMPARATOR.
NCT02347917	ctg_results_bor_2014_2017.txt	63	5	2	OG002	Best Overall Response	MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	BBI608 puls pemetrexed and cisplatin	EXPERIMENTAL	N:1 (disease/phase-part cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].interventionNames vs group_title tokens	"armGroups[0].interventionNames = [Drug: BBI608, Drug: Pemetrexed, Drug: Cisplatin]; every group title reads ""BBI608 + Pem + CDDP"". Job 3 missed this only because the registered label is misspelled ""puls""."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02347917	ctg_results_bor_2014_2017.txt	63	5	4	OG004	Best Overall Response	MPM: BBI608 + Pem + CDDP (Phase 2 Part Including Participants With MPM in Phase 1 Part)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	BBI608 puls pemetrexed and cisplatin	EXPERIMENTAL	N:1 (disease/phase-part cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].interventionNames vs group_title tokens	"armGroups[0].interventionNames = [Drug: BBI608, Drug: Pemetrexed, Drug: Cisplatin]; every group title reads ""BBI608 + Pem + CDDP"". Job 3 missed this only because the registered label is misspelled ""puls""."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02347917	ctg_results_bor_2014_2017.txt	63	5	3	OG003	Best Overall Response	MPM: BBI608 + Pem + CDDP (Phase 2 Part)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	BBI608 puls pemetrexed and cisplatin	EXPERIMENTAL	N:1 (disease/phase-part cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].interventionNames vs group_title tokens	"armGroups[0].interventionNames = [Drug: BBI608, Drug: Pemetrexed, Drug: Cisplatin]; every group title reads ""BBI608 + Pem + CDDP"". Job 3 missed this only because the registered label is misspelled ""puls""."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02347917	ctg_results_bor_2014_2017.txt	63	5	0	OG000	Best Overall Response	NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	BBI608 puls pemetrexed and cisplatin	EXPERIMENTAL	N:1 (disease/phase-part cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].interventionNames vs group_title tokens	"armGroups[0].interventionNames = [Drug: BBI608, Drug: Pemetrexed, Drug: Cisplatin]; every group title reads ""BBI608 + Pem + CDDP"". Job 3 missed this only because the registered label is misspelled ""puls""."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02383927	ctg_results_bor_2014_2017.txt	506	5	1	OG001	Antitumor Activity - Best Overall Response (BOR)	Cohort 2/Stage 1	CONTAINMENT	Cohort 2	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	2	A1	Cohort 2	EXPERIMENTAL	N:1 (stage within arm)	armGroups[1].label as a prefix of group_title (the record itself names the arm), plus armGroups[1].description for Stage 2	"group_title literally begins ""Cohort 2/""; for Stage 2 the group description ""Subjects with HNSCC with HRAS mutations"" matches armGroups[1].description ""Squamous Head and Neck Cancer"". Both registered arms are EXPERIMENTAL, so the arm type is fixed either way."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL; trial registers no control arm	UPGRADES Job 3 UNKNOWN_WEAK_MATCH_ONLY: the substring is not a coincidence, it is the arm name followed by a stage suffix.
NCT02383927	ctg_results_bor_2014_2017.txt	506	5	2	OG002	Antitumor Activity - Best Overall Response (BOR)	Cohort 2/Stage 2	CONTAINMENT	Cohort 2	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	2	A1	Cohort 2	EXPERIMENTAL	N:1 (stage within arm)	armGroups[1].label as a prefix of group_title (the record itself names the arm), plus armGroups[1].description for Stage 2	"group_title literally begins ""Cohort 2/""; for Stage 2 the group description ""Subjects with HNSCC with HRAS mutations"" matches armGroups[1].description ""Squamous Head and Neck Cancer"". Both registered arms are EXPERIMENTAL, so the arm type is fixed either way."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL; trial registers no control arm	UPGRADES Job 3 UNKNOWN_WEAK_MATCH_ONLY: the substring is not a coincidence, it is the arm name followed by a stage suffix.
NCT02383927	ctg_results_bor_2014_2017.txt	506	5	3	OG003	Antitumor Activity - Best Overall Response (BOR)	Cohort 3	NONE			UNKNOWN	2					"checked armGroups (2 registered: ""Cohort 1"", ""Cohort 2""), their labels, descriptions and interventionNames; group description; no participantFlowModule in the cached record"	"The results section reports a Cohort 3 (""any SCC excluding HNSCC with HRAS mutation"") that was never registered as an arm group. There is no third registered arm to join to, and no field in the cached record asserts a mapping."	GENUINELY_UNJOINABLE	UNKNOWN (unchanged). MUST NOT be read as NOT_CONTROL.	
NCT02421588	ctg_results_bor_2014_2017.txt	311	7	1	OG001	Best Response According to Tumor Marker Evaluation (CA-125)	Control (PLD or Topotecan)	NONE			CONTROL_UNSPECIFIED_BY_GROUP_TEXT	2	A1	Arm B	ACTIVE_COMPARATOR	1:1	armGroups[1].interventionNames	"armGroups[1].interventionNames = [Drug: Pegylated liposomal doxorubicin (PLD), Drug: Topotecan] and .description ""pegylated liposomal doxorubicin OR topotecan"" match the group title ""Control (PLD or Topotecan)"" exactly in content."	JOIN_RECOVERABLE	REGISTERED ACTIVE COMPARATOR (armGroupType=ACTIVE_COMPARATOR)	CONFIRMS and strengthens Job 3 CONTROL_UNSPECIFIED_BY_GROUP_TEXT: the registry types the matched arm ACTIVE_COMPARATOR.
NCT02421588	ctg_results_bor_2014_2017.txt	311	7	0	OG000	Best Response According to Tumor Marker Evaluation (CA-125)	Lurbinectedin	NONE			UNKNOWN	2	A0	Arm A	EXPERIMENTAL	1:1	armGroups[0].interventionNames	"armGroups[0].interventionNames = [Drug: Lurbinectedin (PM01183)]; the group is titled ""Lurbinectedin"". The label ""Arm A"" carries no drug name, which is why title matching failed."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL	RESOLVES Job 3 UNKNOWN for this group.
NCT02421588	ctg_results_bor_2014_2017.txt	311	3	1	OG001	Overall Response Rate (ORR) by Independent Review Committee	Control (PLD or Topotecan)	NONE			CONTROL_UNSPECIFIED_BY_GROUP_TEXT	2	A1	Arm B	ACTIVE_COMPARATOR	1:1	armGroups[1].interventionNames	"armGroups[1].interventionNames = [Drug: Pegylated liposomal doxorubicin (PLD), Drug: Topotecan] and .description ""pegylated liposomal doxorubicin OR topotecan"" match the group title ""Control (PLD or Topotecan)"" exactly in content."	JOIN_RECOVERABLE	REGISTERED ACTIVE COMPARATOR (armGroupType=ACTIVE_COMPARATOR)	CONFIRMS and strengthens Job 3 CONTROL_UNSPECIFIED_BY_GROUP_TEXT: the registry types the matched arm ACTIVE_COMPARATOR.
NCT02421588	ctg_results_bor_2014_2017.txt	311	3	0	OG000	Overall Response Rate (ORR) by Independent Review Committee	Lurbinectedin	NONE			UNKNOWN	2	A0	Arm A	EXPERIMENTAL	1:1	armGroups[0].interventionNames	"armGroups[0].interventionNames = [Drug: Lurbinectedin (PM01183)]; the group is titled ""Lurbinectedin"". The label ""Arm A"" carries no drug name, which is why title matching failed."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL	RESOLVES Job 3 UNKNOWN for this group.
NCT02421588	ctg_results_bor_2014_2017.txt	311	4	1	OG001	Overall Response Rate by Investigator's Assessment	Control (PLD or Topotecan)	NONE			CONTROL_UNSPECIFIED_BY_GROUP_TEXT	2	A1	Arm B	ACTIVE_COMPARATOR	1:1	armGroups[1].interventionNames	"armGroups[1].interventionNames = [Drug: Pegylated liposomal doxorubicin (PLD), Drug: Topotecan] and .description ""pegylated liposomal doxorubicin OR topotecan"" match the group title ""Control (PLD or Topotecan)"" exactly in content."	JOIN_RECOVERABLE	REGISTERED ACTIVE COMPARATOR (armGroupType=ACTIVE_COMPARATOR)	CONFIRMS and strengthens Job 3 CONTROL_UNSPECIFIED_BY_GROUP_TEXT: the registry types the matched arm ACTIVE_COMPARATOR.
NCT02421588	ctg_results_bor_2014_2017.txt	311	4	0	OG000	Overall Response Rate by Investigator's Assessment	Lurbinectedin	NONE			UNKNOWN	2	A0	Arm A	EXPERIMENTAL	1:1	armGroups[0].interventionNames	"armGroups[0].interventionNames = [Drug: Lurbinectedin (PM01183)]; the group is titled ""Lurbinectedin"". The label ""Arm A"" carries no drug name, which is why title matching failed."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL	RESOLVES Job 3 UNKNOWN for this group.
NCT02431260	ctg_results_bor_2014_2017.txt	56	7	0	OG000	Objective Response Rate (ORR)	Part 2 / Treatment Group A: 20 MG BID INCB054329	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	INCB054329 Monotherapy	EXPERIMENTAL	N:1 (treatment group within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label/interventionNames vs group_title drug token	"the sole registered arm is ""INCB054329 Monotherapy""; the group title names 20 mg BID INCB054329."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT02472964	ctg_results_bor_2010_2013.txt	321	0	1	OG001	Primary Endpoint : Compare Best Overall Response Rate (ORR) (According to Response Evaluation Criteria in Solid Tumor [RECIST] 1.1 Criteria) at Week 24 of MYL-1401O Plus Taxane Versus Herceptin® Plus Taxane in the ITT1 Population	MYL-1401O Trastuzumab + Taxane	NONE			UNKNOWN	2	A1	MYL- 1401O + Taxane	EXPERIMENTAL	1:1	armGroups[1].description reproduced near-verbatim in the group description; plus elimination (armGroups[0] already matched EXACT to the other group of the same outcome measure)	"group description ""Part 1:Myl 1401OTrastuzumab Intravenously + paclitaxel 80 mg/m2 weekly ... Part 2: If SD or PR, CR at cycle 9 (week 24) proceed to Myl 1401O(Mylan Trastuzumab) alone every 3 weeks"" is armGroups[1].description with the product name respelled. The only difference from the registered label is the inserted word ""Trastuzumab"" and the space in ""MYL- 1401O""."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL; the comparator in this trial is the Herceptin arm (armGroups[0], ACTIVE_COMPARATOR)	RESOLVES Job 3 UNKNOWN for this group.
NCT02475213	ctg_results_bor_2014_2017.txt	744	11	6	OG006	Best Overall Response (RECIST 1.1)	NSCLC Cohort: PD1/PDL1 Experienced	NONE			UNKNOWN	8	A6	Non-small Cell Cancer (NSCLC) Cohort	EXPERIMENTAL	N:1 (prior-therapy split within arm)	armGroups[6].label acronym vs group_title prefix; armGroups[6].description vs group description	"armGroups[6].label spells out the acronym ""Non-small Cell Cancer (NSCLC) Cohort""; both groups are titled ""NSCLC Cohort: ..."" and their descriptions give the arm dose exactly (enoblituzumab 15 mg/kg IV weekly + pembrolizumab 2 mg/kg q3w). The PD1/PDL1 split is a reporting split, not a registered arm."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL; all 8 registered arms are EXPERIMENTAL	RESOLVES Job 3 UNKNOWN for this group.
NCT02475213	ctg_results_bor_2014_2017.txt	744	11	5	OG005	Best Overall Response (RECIST 1.1)	NSCLC Cohort: PD1/PDL1 Naïve	NONE			UNKNOWN	8	A6	Non-small Cell Cancer (NSCLC) Cohort	EXPERIMENTAL	N:1 (prior-therapy split within arm)	armGroups[6].label acronym vs group_title prefix; armGroups[6].description vs group description	"armGroups[6].label spells out the acronym ""Non-small Cell Cancer (NSCLC) Cohort""; both groups are titled ""NSCLC Cohort: ..."" and their descriptions give the arm dose exactly (enoblituzumab 15 mg/kg IV weekly + pembrolizumab 2 mg/kg q3w). The PD1/PDL1 split is a reporting split, not a registered arm."	JOIN_RECOVERABLE	not a registered comparator: matched arm type EXPERIMENTAL; all 8 registered arms are EXPERIMENTAL	RESOLVES Job 3 UNKNOWN for this group.
