level	nct	payload	payload_line	enrollment	enrollment_type	enrollment_is_estimated	selected_cohorts	sum_selected_denominators	excess	mechanism	reducible_to_non_overlapping_set	non_overlapping_set_sum	non_overlapping_set_source	om_index	group_title	denominator	cohort_role	in_non_overlapping_set	outcome_measure_title	time_frame	note
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								6	Phase 1 - 1.5 mg/m^2 Trabectedin	6	DUPLICATE_TITLE_VARIANT	NO	Partial Response Rate (PR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								6	Phase 2 - 1.0 mg/m^2 Trabectedin	16	DUPLICATE_TITLE_VARIANT	NO	Partial Response Rate (PR)	At 12 weeks	
TRIAL	NCT03096847	ctg_results_bor_2014_2017	162	502	ACTUAL	NO	4	974	472	POOLED_EXPLICIT	YES	487	om0 OG000-OG002 (307+26+154)								"om0 OG003 ""Total"" n=487 is exactly 307+26+154."
COHORT	NCT03096847	ctg_results_bor_2014_2017	162	502	ACTUAL	NO								0	Ribociclib + Letrozole Cohort A	307	COMPONENT_KEPT	YES	Clinical Benefit Rate (CBR) in Women and Men With Hormone Receptor Positiv, HER-2 Negative Breast Cancer Treated With Ribocilib and Letrozole	At 24 weeks after last patient enrolled in trial	
COHORT	NCT03096847	ctg_results_bor_2014_2017	162	502	ACTUAL	NO								0	Ribociclib + Letrozole Cohort B1	26	COMPONENT_KEPT	YES	Clinical Benefit Rate (CBR) in Women and Men With Hormone Receptor Positiv, HER-2 Negative Breast Cancer Treated With Ribocilib and Letrozole	At 24 weeks after last patient enrolled in trial	
COHORT	NCT03096847	ctg_results_bor_2014_2017	162	502	ACTUAL	NO								0	Ribociclib + Letrozole Cohort B2	154	COMPONENT_KEPT	YES	Clinical Benefit Rate (CBR) in Women and Men With Hormone Receptor Positiv, HER-2 Negative Breast Cancer Treated With Ribocilib and Letrozole	At 24 weeks after last patient enrolled in trial	
COHORT	NCT03096847	ctg_results_bor_2014_2017	162	502	ACTUAL	NO								0	Total	487	POOLED_EXPLICIT	NO	Clinical Benefit Rate (CBR) in Women and Men With Hormone Receptor Positiv, HER-2 Negative Breast Cancer Treated With Ribocilib and Letrozole	At 24 weeks after last patient enrolled in trial	
TRIAL	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO	18	151	6	DUPLICATE_TITLE_VARIANT	YES	145	om1 (94) + om2 (51)								Whole excess is one arm written out with doses in om9 and without doses in om2 (both n=6).
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group C2 PD-1/PD-L1 RM: INCAGN01876 300 mg + Ipilimumab 1 mg/kg	8	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group F Biopsy: INCAGN01876 300 mg + Nivolumab 240 mg	2	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group F CC: INCAGN01876 300 mg + Nivolumab 240 mg	18	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group F GC: INCAGN01876 300 mg + Nivolumab 240 mg	16	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group F PD-1/PD-L1 RM: INCAGN01876 300 mg + Nivolumab 240 mg	4	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								1	Phase 2 Group F SCCHN INCAGN01876 300 mg + Nivolumab 240 mg	46	COMPONENT_KEPT	YES	Phase 2: Objective Response Rate (ORR) Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group A: INCAGN01876 1.0 mg/kg Q2W + Nivolumab 240 mg Q2W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group A: INCAGN01876 10.0 mg/kg Q2W + Nivolumab 240 mg Q2W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group A: INCAGN01876 3.0 mg/kg Q2W + Nivolumab 240 mg Q2W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group A: INCAGN01876 5.0 mg/kg Q2W + Nivolumab 240 mg Q2W	5	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group B: INCAGN01876 1.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W	5	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group B: INCAGN01876 3.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group B: INCAGN01876 5.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group C: INCAGN01876 1.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W	4	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group C: INCAGN01876 3.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W	8	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group C: INCAGN01876 5.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W	3	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								2	Phase 1 Group D: INCAGN01876 + Nivolumab + Ipilimumab	6	COMPONENT_KEPT	YES	Phase 1: ORR Per RECIST v1.1	up to approximately 44.7 months	
COHORT	NCT03126110	ctg_results_bor_2014_2017	206	145	ACTUAL	NO								9	Phase 1 Group D: INCAGN01876 1.0 mg/kg + Nivolumab 3 mg/kg + Ipilimumab 1 mg/kg	6	DUPLICATE_TITLE_VARIANT	NO	Phase 1: Disease Control Rate (DCR) Per RECIST v1.1	up to approximately 44.7 months	
TRIAL	NCT03176238	ctg_results_bor_2010_2013	119	235	ACTUAL	NO	3	470	235	POOLED_EXPLICIT	YES	235	om2 OG000-OG001 (199+36)								"om2 OG002 ""Total"" n=235 equals 199+36 and equals registered enrollment."
COHORT	NCT03176238	ctg_results_bor_2010_2013	119	235	ACTUAL	NO								2	Asian Everolimus + Exemestane	199	COMPONENT_KEPT	YES	Percentage of Participants Clinical Benefit Rate	Baseline up to approximately 43 weeks for Asian countires and 32 weeks for Non-Asian countries	
COHORT	NCT03176238	ctg_results_bor_2010_2013	119	235	ACTUAL	NO								2	Non-Asian Everolimus + Exemestane	36	COMPONENT_KEPT	YES	Percentage of Participants Clinical Benefit Rate	Baseline up to approximately 43 weeks for Asian countires and 32 weeks for Non-Asian countries	
COHORT	NCT03176238	ctg_results_bor_2010_2013	119	235	ACTUAL	NO								2	Total	235	POOLED_EXPLICIT	NO	Percentage of Participants Clinical Benefit Rate	Baseline up to approximately 43 weeks for Asian countires and 32 weeks for Non-Asian countries	
TRIAL	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO	5	62	20	POOLED_EXPLICIT	YES	42	om14 OG000-OG002 (10+3+7) + om26 OG000 (22)								"om14 OG003 ""Total"" (n=20, described ""Part A total"") = 10+3+7."
COHORT	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO								14	ONO-7475 10 mg	7	COMPONENT_KEPT	YES	Overall Response Rate and Duration of Response in ONO-7475 Groups (Part A)	From baseline up to maximum of 32 months	
COHORT	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO								14	ONO-7475 3mg	10	COMPONENT_KEPT	YES	Overall Response Rate and Duration of Response in ONO-7475 Groups (Part A)	From baseline up to maximum of 32 months	
COHORT	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO								14	ONO-7475 6mg	3	COMPONENT_KEPT	YES	Overall Response Rate and Duration of Response in ONO-7475 Groups (Part A)	From baseline up to maximum of 32 months	
COHORT	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO								14	Total	20	POOLED_EXPLICIT	NO	Overall Response Rate and Duration of Response in ONO-7475 Groups (Part A)	From baseline up to maximum of 32 months	
COHORT	NCT03176277	ctg_results_bor_2014_2017	354	42	ACTUAL	NO								26	ONO-7475 6mg + Venetoclax (Part D)	22	COMPONENT_KEPT	YES	Overall Response Rate in ONO-7475 + Venetoclax Group (Part D)	From baseline up to maximum of 21 months	
TRIAL	NCT03195491	ctg_results_bor_2014_2017	597	400	ACTUAL	NO	3	800	400	POOLED_UNFLAGGED	YES	400	om7 OG000-OG001 (383+17)								"om7 OG002 ""All Treated Participants"" n=400 = 383+17 = registered enrollment; label is outside the rule pooled vocabulary so it was not flagged."
COHORT	NCT03195491	ctg_results_bor_2014_2017	597	400	ACTUAL	NO								7	All Treated Participants	400	POOLED_UNFLAGGED	NO	Objective Response Rate	From the first dose date up to the date of objectively documented progression or the date of subsequent anti-cancer therapy, whichever occurs first. Up to approximately 36 months	
COHORT	NCT03195491	ctg_results_bor_2014_2017	597	400	ACTUAL	NO								7	HBV Participants	17	COMPONENT_KEPT	YES	Objective Response Rate	From the first dose date up to the date of objectively documented progression or the date of subsequent anti-cancer therapy, whichever occurs first. Up to approximately 36 months	
COHORT	NCT03195491	ctg_results_bor_2014_2017	597	400	ACTUAL	NO								7	Non-HBV Participants	383	COMPONENT_KEPT	YES	Objective Response Rate	From the first dose date up to the date of objectively documented progression or the date of subsequent anti-cancer therapy, whichever occurs first. Up to approximately 36 months	
TRIAL	NCT03200717	ctg_results_bor_2014_2017	728	62	ACTUAL	NO	3	124	62	POOLED_EXPLICIT	YES	62	om1 OG000-OG001 (47+15)								"om1 OG002 ""All Participants"" n=62 = 47+15 = registered enrollment; flagged pooled by the rule but still summed."
COHORT	NCT03200717	ctg_results_bor_2014_2017	728	62	ACTUAL	NO								1	All Participants	62	POOLED_EXPLICIT	NO	Overall Response Rate (ORR) Based on Local Investigator Assessment According to RECIST v1.1	Up to approximately 38 months	
COHORT	NCT03200717	ctg_results_bor_2014_2017	728	62	ACTUAL	NO								1	Pazopanib- 2nd Line	47	COMPONENT_KEPT	YES	Overall Response Rate (ORR) Based on Local Investigator Assessment According to RECIST v1.1	Up to approximately 38 months	
COHORT	NCT03200717	ctg_results_bor_2014_2017	728	62	ACTUAL	NO								1	Pazopanib- 3rd Line	15	COMPONENT_KEPT	YES	Overall Response Rate (ORR) Based on Local Investigator Assessment According to RECIST v1.1	Up to approximately 38 months	
TRIAL	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO	5	613	360	NESTED_SUBSET+DUPLICATE_TITLE_VARIANT	YES	253	om0 OG001 (184) + om3 OG000 (48) + om3 OG001 (21)								"Group descriptions state OG000 (Part 1 or 2a at 5.4 mg/kg, n=180) is contained in OG001 (Part 1 or 2a or 2b at 5.4 mg/kg, n=184). ""Part 1 and Part 2a"" (om0) and ""Part 1 + Part 2a"" (om3) are the same 180 patients under and/+ variants. 184+48+21=253=registered enrollment."
COHORT	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO								0	Part 1 + Part 2a + Part 2b: DS-8201a Low Dose	184	COMPONENT_KEPT	YES	Objective Response Rate as Confirmed by Independent Central Review Following Intravenous Administration of 5.4 mg/kg DS-8201a in Participants With Metastatic Breast Cancer (Enrolled Analysis Set)	at least 6 months after last participant enrolled received first dose up to 19 months (data cut off)	
COHORT	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO								0	Part 1 and Part 2a: DS-8201a Low Dose	180	NESTED_SUBSET	NO	Objective Response Rate as Confirmed by Independent Central Review Following Intravenous Administration of 5.4 mg/kg DS-8201a in Participants With Metastatic Breast Cancer (Enrolled Analysis Set)	at least 6 months after last participant enrolled received first dose up to 19 months (data cut off)	
COHORT	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO								3	Part 1 + Part 2a: DS-8201a Low Dose	180	DUPLICATE_TITLE_VARIANT	NO	Disease Control Rate and Clinical Benefit Rate as Confirmed by Independent Central Review Following Intravenous Administration of DS-8201a in Participants With Metastatic Breast Cancer (Enrolled Analysis Set)	at least 6 months after last participant enrolled received first dose up to 19 months (data cut off)	
COHORT	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO								3	Part 1: DS-8201a High Dose	21	COMPONENT_KEPT	YES	Disease Control Rate and Clinical Benefit Rate as Confirmed by Independent Central Review Following Intravenous Administration of DS-8201a in Participants With Metastatic Breast Cancer (Enrolled Analysis Set)	at least 6 months after last participant enrolled received first dose up to 19 months (data cut off)	
COHORT	NCT03248492	ctg_results_bor_2014_2017	750	253	ACTUAL	NO								3	Part 1: DS-8201a Medium Dose	48	COMPONENT_KEPT	YES	Disease Control Rate and Clinical Benefit Rate as Confirmed by Independent Central Review Following Intravenous Administration of DS-8201a in Participants With Metastatic Breast Cancer (Enrolled Analysis Set)	at least 6 months after last participant enrolled received first dose up to 19 months (data cut off)	
TRIAL	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO	21	174	73	POOLED_UNFLAGGED	YES	101	om7 dose-level groups (86) + om1 OG000 (15)								Three route/part subtotals: Total IV 23 = 2+3+2+3+2+5+6; Total SC 30 = 6+4+4+4+6+6; Part 1.1 Total SC 20 = 7+13. Dose-level groups + Part 2A = 101 = registered enrollment.
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								1	Part 2A: PF-06863135 SC	15	COMPONENT_KEPT	YES	Part 2: Objective Response Rate (ORR) as Per International Myeloma Working Group (IMWG) Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 34.3 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1.1: PF-06863135 Priming Cohort Q1W SC	7	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1.1: PF-06863135 Priming Cohort Q2W SC	13	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1.1: PF-06863135 Total SC	20	POOLED_UNFLAGGED	NO	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 0.1 mcg/kg IV	2	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 0.3 mcg/kg IV	3	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 1 mcg/kg IV	2	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 10 mcg/kg IV	2	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 1000 mcg/kg SC	6	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 130 mcg/kg SC	4	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 215 mcg/kg SC	4	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 3 mcg/kg IV	3	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 30 mcg/kg IV	5	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 360 mcg/kg SC	4	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
COHORT	NCT03269136	ctg_results_bor_2014_2017	824	101	ACTUAL	NO								7	Part 1: PF-06863135 50 mcg/kg IV	6	COMPONENT_KEPT	YES	Part 1: ORR as Per IMWG Criteria	From the first dose of study treatment until the first documented sCR or CR or PR or VGPR or new anti-cancer therapies or death, whichever occurred first (maximum up to 63.31 months)	
