cohort_key	nct	results_group_title_norm	n_observations	observation_ids	om_indices	encoding_identity_status	distinguishing_field_classes	distinction_basis	semantic_duplication_status	semantic_correspondence_evidence	v1_duplicate_encoding_candidate	v1_unresolved_states	v2_unresolved_states	selection_status	resolution_note
NCT00062868||lmp1/2 ctls (alci) - group a dl3	NCT00062868	lmp1/2 ctls (alci) - group a dl3	1	NCT00062868#om1#OG011	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group a expansion	NCT00062868	lmp1/2 ctls (alci) - group a expansion	1	NCT00062868#om1#OG018	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group b dl1	NCT00062868	lmp1/2 ctls (alci) - group b dl1	1	NCT00062868#om1#OG012	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group b dl2	NCT00062868	lmp1/2 ctls (alci) - group b dl2	1	NCT00062868#om1#OG013	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group b dl3	NCT00062868	lmp1/2 ctls (alci) - group b dl3	1	NCT00062868#om1#OG014	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group b expansion	NCT00062868	lmp1/2 ctls (alci) - group b expansion	1	NCT00062868#om1#OG019	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group c dl1	NCT00062868	lmp1/2 ctls (alci) - group c dl1	1	NCT00062868#om1#OG015	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group c dl2	NCT00062868	lmp1/2 ctls (alci) - group c dl2	1	NCT00062868#om1#OG016	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group c dl3	NCT00062868	lmp1/2 ctls (alci) - group c dl3	1	NCT00062868#om1#OG017	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group c expansion	NCT00062868	lmp1/2 ctls (alci) - group c expansion	1	NCT00062868#om1#OG020	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group a dl1	NCT00062868	lmp2a ctls (alascer) - group a dl1	1	NCT00062868#om1#OG000	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group a dl2	NCT00062868	lmp2a ctls (alascer) - group a dl2	1	NCT00062868#om1#OG001	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group a dl3	NCT00062868	lmp2a ctls (alascer) - group a dl3	1	NCT00062868#om1#OG002	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group b dl1	NCT00062868	lmp2a ctls (alascer) - group b dl1	1	NCT00062868#om1#OG003	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group b dl2	NCT00062868	lmp2a ctls (alascer) - group b dl2	1	NCT00062868#om1#OG004	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group b dl3	NCT00062868	lmp2a ctls (alascer) - group b dl3	1	NCT00062868#om1#OG005	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group c dl1	NCT00062868	lmp2a ctls (alascer) - group c dl1	1	NCT00062868#om1#OG006	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group c dl2	NCT00062868	lmp2a ctls (alascer) - group c dl2	1	NCT00062868#om1#OG007	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp2a ctls (alascer) - group c dl3	NCT00062868	lmp2a ctls (alascer) - group c dl3	1	NCT00062868#om1#OG008	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00063154||pertuzumab	NCT00063154	pertuzumab	2	NCT00063154#om0#OG000|NCT00063154#om1#OG000	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|UNIT_OF_MEASURE_TEXT|PARTICIPANTS_DENOMINATOR_VALUE|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
