source_row,cas,source_name,cell_viability_percent,reported_sd_percent,mean_midrank,mean_plus_sd,mean_plus_sd_midrank,rank_denominator,role,active_moiety,chemical_family,reported_ic50_nM,ic50_source_name,catalogue_source_row,catalogue_id,catalogue_source_name,source_target,source_pathway,provider
28,872511-34-7,BGJ398 (NVP-BGJ398|Infigratinib),8.899419409754415,4.695539491570635,10.0,13.59495890132505,8.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,63.3,BGJ398,28,S2183,BGJ398 (NVP-BGJ398|Infigratinib),FGFR,Angiogenesis,Selleck  Chemicals
29,606143-89-9,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",68.55538726514645,2.593219507128495,108.0,71.14860677227495,83.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,29,S7007,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",MEK,MAPK,Selleck  Chemicals
30,9041-93-4,Bleomycin sulfate,63.76202152122265,12.27751451475613,91.0,76.03953603597878,100.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,30,S1214,Bleomycin sulfate,DNA/RNA Synthesis,DNA Damage/DNA Repair,Selleck  Chemicals
31,179324-69-7,Bortezomib (PS-341),13.615285912111077,11.931955331393794,15.0,25.54724124350487,19.0,221,confirmed_proteasome_direct,bortezomib,boronic_acid_ester_lineage,135.0,Bortezomib,31,S1013,Bortezomib (PS-341),Proteasome,Proteases,Selleck  Chemicals
32,380843-75-4,Bosutinib,62.21843537096624,10.939003413873039,87.0,73.15743878483929,90.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,32,S1014,Bosutinib,Bcr-Abl,Protein Tyrosine Kinase,Selleck  Chemicals
33,1197953-54-0,Brigatinib (AP26113),10.098375699524397,5.716040181205781,12.0,15.814415880730177,11.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,1.73,Brigatinib,33,S8229,Brigatinib (AP26113),ALK,Angiogenesis,Selleck  Chemicals
34,55-98-1,Busulfan,112.99404164496332,17.27795916811706,191.0,130.27200081308038,186.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,34,S1692,Busulfan,DNA alkylator,DNA Damage,Selleck  Chemicals
35,183133-96-2,Cabazitaxel,61.302453216114216,2.744146456112702,84.0,64.04659967222692,62.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,35,S3022,Cabazitaxel,Microtubule Associated,Cytoskeletal Signaling,Selleck  Chemicals
36,849217-68-1,"Cabozantinib (XL184, BMS-907351)",50.59011853188162,8.008842249691924,53.0,58.598960781573545,51.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,36,S1119,"Cabozantinib (XL184, BMS-907351)","c-Met,VEGFR",Protein Tyrosine Kinase,Selleck  Chemicals
37,1140909-48-3,Cabozantinib malate (XL184),70.79516725318558,8.82192268113273,117.0,79.61708993431832,111.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,37,S4001,Cabozantinib malate (XL184),"TAM Receptor,VEGFR",Protein Tyrosine Kinase,Selleck  Chemicals
38,154361-50-9,Capecitabine,101.57026158322003,22.684944037198427,175.0,124.25520562041845,180.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,38,S1156,Capecitabine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
39,1029712-80-8,Capmatinib (INCB28060),79.60396333425028,8.108376487077848,137.0,87.71233982132813,125.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,39,S2788,Capmatinib (INCB28060),c-Met,Protein Tyrosine Kinase,Selleck  Chemicals
40,41575-94-4,Carboplatin,104.8969845833557,13.057408081668182,182.0,117.95439266502389,172.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,40,S1215,Carboplatin,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
41,868540-17-4,Carfilzomib (PR-171),23.575521197260922,1.4432177658074252,24.0,25.018738963068348,17.0,221,confirmed_proteasome_direct,carfilzomib,peptide_epoxyketone,,,41,S2853,Carfilzomib (PR-171),Proteasome,Proteases,Selleck  Chemicals
42,154-93-8,Carmustine,87.34135403300596,8.049496271263948,147.0,95.3908503042699,137.5,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,42,S3669,Carmustine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
43,1032900-25-6,Ceritinib (LDK378),76.061114148455,1.2600855351539835,130.0,77.321199683609,105.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,43,S7083,Ceritinib (LDK378),ALK,Protein Tyrosine Kinase,Selleck  Chemicals
44,1380575-43-8,Ceritinib dihydrochloride,5.405013633805911,7.158746808411072,6.0,12.563760442216983,7.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,85.1,Ceritinib,44,S4967,Ceritinib dihydrochloride,ALK,Protein Tyrosine Kinase,Selleck  Chemicals
45,305-03-3,Chloroambucil,67.5631725382084,11.728685223533587,106.0,79.291857761742,110.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,45,S4288,Chloroambucil,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
46,15663-27-1,Cisplatin (NSC 119875),90.76211205858488,25.165186484669537,155.0,115.92729854325441,167.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,46,S1166,Cisplatin (NSC 119875),DNA/RNA Synthesis,DNA Damage/DNA Repair,Selleck  Chemicals
47,4291-63-8,Cladribine,85.00374779261364,15.916049445453703,142.0,100.91979723806735,146.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,47,S1199,Cladribine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
48,123318-82-1,Clofarabine,76.12084407912286,0.16261608628815338,131.0,76.28346016541101,102.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,48,S1218,Clofarabine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
49,934660-93-2,"Cobimetinib (GDC-0973, RG7420)",49.50800736419556,10.829430758642253,51.0,60.33743812283781,54.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,49,S8041,"Cobimetinib (GDC-0973, RG7420)",MEK,MAPK,Selleck  Chemicals
50,18080-67-6,Conoidin A,92.64310930671328,4.218547226385094,160.0,96.86165653309838,140.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,50,S9787,Conoidin A,Others,Others,Selleck  Chemicals
51,670220-88-9,Crenolanib (CP-868596),3.73635867010531,0.7114453775107037,4.0,4.447804047616014,3.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,3352.0,Crenolanib,51,S2730,Crenolanib (CP-868596),PDGFR,Protein Tyrosine Kinase,Selleck  Chemicals
52,877399-52-5,Crizotinib (PF-02341066),-1.6909532097620548,1.544852819737526,1.0,-0.1461003900245288,1.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,208.0,Crizotinib,52,S1068,Crizotinib (PF-02341066),"ALK,c-Met",Protein Tyrosine Kinase,Selleck  Chemicals
53,1415560-69-8,Crizotinib hydrochloride,51.535101485965015,4.821196830154392,55.0,56.35629831611941,47.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,53,S5190,Crizotinib hydrochloride,c-Met,Protein Tyrosine Kinase,Selleck  Chemicals
54,50-18-0,Cyclophosphamide,61.03139827263276,9.989373735206298,82.0,71.02077200783906,81.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,54,S1217,Cyclophosphamide,DNA/RNA Synthesis,DNA Damage/DNA Repair,Selleck  Chemicals
55,6055-19-2,Cyclophosphamide Monohydrate,133.62595759277372,16.810437920038673,206.0,150.4363955128124,204.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,55,S2057,Cyclophosphamide Monohydrate,DNA alkylator,DNA Damage,Selleck  Chemicals
56,147-94-4,Cytarabine,110.74085952899739,10.025897953616528,188.0,120.76675748261391,174.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,56,S1648,Cytarabine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
57,1195765-45-7,Dabrafenib (GSK2118436),166.1695018611919,71.795002096223,218.0,237.96450395741488,220.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,57,S2807,Dabrafenib (GSK2118436),Raf,MAPK,Selleck  Chemicals
58,1195768-06-9,Dabrafenib Mesylate,186.3338965609238,86.6743739915897,220.0,273.0082705525135,221.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,58,S5069,Dabrafenib Mesylate,Raf,MAPK,Selleck  Chemicals
59,4342-03-4,Dacarbazine,88.23574250759083,34.02741605579763,150.0,122.26315856338846,177.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,59,S1221,Dacarbazine,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
60,1110813-31-4,"Dacomitinib (PF299804, PF299)",74.86056941038962,5.366330847509303,125.0,80.22690025789892,113.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,60,S2727,"Dacomitinib (PF299804, PF299)",EGFR,Protein Tyrosine Kinase,Selleck  Chemicals
61,302962-49-8,Dasatinib,27.13274808481444,6.34202736523827,26.0,33.47477545005271,27.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,61,S1021,Dasatinib,"Bcr-Abl,c-Kit,Src",Angiogenesis,Selleck  Chemicals
62,854001-07-3,Dasatinib hydrochloride,39.87778384764904,3.5978809091255535,33.0,43.47566475677459,32.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,62,S5254,Dasatinib hydrochloride,Abl/Src,Kinase,Selleck  Chemicals
63,23541-50-6,Daunorubicin HCl,58.27372860899722,7.277069861395208,76.0,65.55079847039242,66.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,63,S3035,Daunorubicin HCl,Topoisomerase,DNA Damage,Selleck  Chemicals
64,2353-33-5,Decitabine,95.65510144448817,6.281046332880209,165.0,101.93614777736838,147.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,64,S1200,Decitabine,DNA Methyltransferase,Epigenetics,Selleck  Chemicals
65,114977-28-5,Docetaxel,62.96926810056787,24.046853759861758,89.0,87.01612186042962,124.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,65,S1148,Docetaxel,Microtubule Associated,Cytoskeletal Signaling,Selleck  Chemicals
66,23214-92-8,Doxorubicin,71.22165520909546,9.660655769513935,118.0,80.8823109786094,115.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,66,E2516,Doxorubicin,Topoisomerase,DNA Damage/DNA Repair,Selleck  Chemicals
67,25316-40-9,Doxorubicin (Adriamycin) HCl,73.01081142886179,2.1343361325321197,120.5,75.14514756139391,98.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,36.5,Doxorubicin (Adriamycin),67,S1208,Doxorubicin (Adriamycin) HCl,Topoisomerase,DNA Damage,Selleck  Chemicals
68,1201438-56-3,"Duvelisib (IPI-145, INK1197)",49.124503070887826,3.4332765305644912,46.0,52.55777960145232,41.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,68,S7028,"Duvelisib (IPI-145, INK1197)",PI3K,Angiogenesis,Selleck  Chemicals
69,1446502-11-9,Enasidenib (AG-221),96.05812372807266,14.536638927283704,166.0,110.59476265535636,163.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,69,S8205,Enasidenib (AG-221),Dehydrogenase,Metabolism,Selleck  Chemicals
70,1650550-25-6,Enasidenib Mesylate,94.46932022722632,16.05239399130953,164.0,110.52171421853585,162.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,70,S4929,Enasidenib Mesylate,Dehydrogenase,Metabolism,Selleck  Chemicals
71,1269440-17-6,Encorafenib (LGX818),65.10384862537683,6.318689784975081,98.0,71.4225384103519,84.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,71,S7108,Encorafenib (LGX818),Raf,MAPK,Selleck  Chemicals
72,1229208-44-9,Entospletinib (GS-9973),56.776326827837416,0.9313675694616421,70.0,57.70769439729906,49.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,72,S7523,Entospletinib (GS-9973),Syk,Angiogenesis,Selleck  Chemicals
73,1108743-60-7,Entrectinib (RXDX-101),27.283020461551995,3.7985187146671002,27.0,31.081539176219096,24.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,73,S7998,Entrectinib (RXDX-101),"Trk receptor,ALK",Protein Tyrosine Kinase,Selleck  Chemicals
74,915087-33-1,Enzalutamide,96.97122918832918,46.312708944210435,168.0,143.28393813253962,197.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,74,HY-70002 ,Enzalutamide,Androgen Receptor,Endocrinology & Hormones,MedChemExpress
75,51-42-3,Epinephrine bitartrate,67.42088346270627,3.658861941483625,105.0,71.0797454041899,82.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,75,S2521,Epinephrine bitartrate,Adrenergic Receptor,GPCR & G Protein,Selleck  Chemicals
76,56390-09-1,Epirubicin HCl,69.14867937951797,13.924002388423718,112.0,83.07268176794169,118.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,76,S1223,Epirubicin HCl,Topoisomerase,DNA Damage,Selleck  Chemicals
77,1346242-81-6,Erdafitinib (JNJ-42756493),45.873847632374634,4.346381990821005,39.0,50.220229623195635,40.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,77,S8401,Erdafitinib (JNJ-42756493),FGFR,Angiogenesis,Selleck  Chemicals
78,441045-17-6,Eribulin mesylate,60.793990852966076,5.642991744385256,80.0,66.43698259735133,68.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,30.6,Eribulin,78,E7389,Eribulin mesylate,"Microtubule Associated,AChR",Cytoskeletal Signaling,Selleck  Chemicals
79,183321-74-6,Erlotinib,49.58105580101608,7.651823756949572,52.0,57.232879557965646,48.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,79,S7786,Erlotinib,EGFR,Protein Tyrosine Kinase,Selleck  Chemicals
80,183319-69-9,Erlotinib HCl (OSI-744),68.02578609819767,11.742536218898792,107.0,79.76832231709646,112.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,80,S1023,Erlotinib HCl (OSI-744),"Autophagy,EGFR",Protein Tyrosine Kinase,Selleck  Chemicals
81,52205-73-9,Estramustine phosphate sodium,132.96584643164095,15.04797798502743,205.0,148.0138244166684,201.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,81,S2441,Estramustine phosphate sodium,Microtubule Associated,Cytoskeletal Signaling,Selleck  Chemicals
82,33419-42-0,Etoposide,220.50360169222358,9.086173821350968,221.0,229.58977551357455,219.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,82,S1225,Etoposide,Topoisomerase,DNA Damage,Selleck  Chemicals
83,159351-69-6,Everolimus (RAD001),155.72141831717755,17.23730514654499,216.0,172.95872346372255,211.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,83,S1120,Everolimus (RAD001),mTOR,PI3K/Akt/mTOR,Selleck  Chemicals
84,107868-30-4,Exemestane,146.49295542032442,38.94655266601446,213.0,185.4395080863389,216.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,84,S1196,Exemestane,Aromatase,Endocrinology & Hormones,Selleck  Chemicals
85,104227-87-4,Famciclovir,64.96131515759782,15.306239121873173,97.0,80.267554279471,114.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,85,S2467,Famciclovir,Anti-infection,Microbiology,Selleck  Chemicals
86,21679-14-1,Fludarabine,57.72489931777467,3.3946108012653546,74.0,61.11951011904003,55.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,86,S1491,Fludarabine,"DNA/RNA Synthesis,STAT",JAK/STAT,Selleck  Chemicals
87,75607-67-9,Fludarabine Phosphate,64.04659967222693,11.627050169603468,95.0,75.6736498418304,99.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,87,S1229,Fludarabine Phosphate,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
88,51-21-8,"Fluorouracil (5-Fluoracil, 5-FU)",113.15665773125147,56.14320379098751,192.0,169.29986152223898,210.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,88,S1209,"Fluorouracil (5-Fluoracil, 5-FU)",DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
89,13311-84-7,Flutamide,121.65334823980788,9.756965177289636,200.0,131.4103134170975,187.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,89,S1908,Flutamide,Androgen Receptor,Endocrinology & Hormones,Selleck  Chemicals
90,849217-64-7,Foretinib (GSK1363089),2.150851828795748,1.9310660246719102,2.0,4.081917853467658,2.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,1493.0,Foretinib ,90,S1111,Foretinib (GSK1363089),"c-Met,VEGFR",Protein Tyrosine Kinase,Selleck  Chemicals
91,901119-35-5,Fostamatinib (R788),17.9855932311054,4.065402157204012,18.0,22.050995388309413,14.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,1615.0,Fostamatinib,91,S2625,Fostamatinib (R788),Syk,Angiogenesis,Selleck  Chemicals
92,129453-61-8,Fulvestrant,152.123537408052,27.624407658201406,215.0,179.7479450662534,214.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,92,S1191,Fulvestrant,Estrogen/progestogen Receptor,Endocrinology & Hormones,Selleck  Chemicals
93,184475-35-2,Gefitinib (ZD1839),41.46329068895861,4.980117642574902,36.0,46.44340833153351,34.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,93,S1025,Gefitinib (ZD1839),EGFR,Protein Tyrosine Kinase,Selleck  Chemicals
94,184475-55-6,Gefitinib hydrochloride,98.92527487327811,0.21914531046156505,171.0,99.14442018373968,143.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,94,S5098,Gefitinib hydrochloride,EGFR,Protein Tyrosine Kinase,Selleck  Chemicals
95,95058-81-4,Gemcitabine,54.39126954886737,13.761386302135625,61.0,68.15265585100299,73.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,95,S1714,Gemcitabine,"Autophagy,DNA/RNA Synthesis",DNA Damage,Selleck  Chemicals
96,122111-03-9,Gemcitabine HCl,63.8802873086331,7.761396412180368,92.0,71.64168372081346,85.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,71.1,Gemcitabine,96,S1149,Gemcitabine HCl,"DNA/RNA Synthesis,Autophagy",DNA Damage,Selleck  Chemicals
97,1254053-43-4,Gilteritinib (ASP2215),7.9982331409344125,0.8400570234359938,8.0,8.838290164370406,6.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,15.1,Gilteritinib,97,S7754,Gilteritinib (ASP2215),"FLT3,TAM Receptor",Protein Tyrosine Kinase,Selleck  Chemicals
98,145781-92-6,Goserelin Acetate,91.20040267950802,3.7072081686414435,156.0,94.90761084814946,135.5,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,98,P1089,Goserelin Acetate,Others,Others,Selleck  Chemicals
99,26833-87-4,Homoharringtonine,46.202565598066975,0.803532805025732,40.0,47.00609840309271,35.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,99,S9015,Homoharringtonine,STAT,IL-6/JAK1/STAT3 signal pathway,Selleck  Chemicals
100,127-07-1,Hydroxyurea,46.82962153646791,0.5081752696505042,41.0,47.33779680611842,37.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,100,S1896,Hydroxyurea,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
101,936563-96-1,Ibrutinib (PCI-32765),104.33473505011875,35.85684702653945,179.5,140.1915820766582,196.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,101,S2680,Ibrutinib (PCI-32765),BTK,Angiogenesis,Selleck  Chemicals
102,870281-82-6,"Idelalisib (CAL-101, GS-1101)",112.85175256946115,8.435709476198362,190.0,121.28746204565951,176.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,102,S2226,"Idelalisib (CAL-101, GS-1101)",PI3K,PI3K/Akt/mTOR,Selleck  Chemicals
103,3778-73-2,Ifosfamide,143.42357679163538,24.69731810501448,210.0,168.12089489664987,208.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,653.0,Ifosfamide,103,S1302,Ifosfamide,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
104,152459-95-5,Imatinib (STI571),53.31393797720831,6.545297473098515,59.0,59.85923545030683,52.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,104,S2475,Imatinib (STI571),PDGFR,Protein Tyrosine Kinase,Selleck  Chemicals
105,220127-57-1,Imatinib Mesylate (STI571),73.80356484951655,35.12507463824273,122.0,108.92863948775928,159.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,105,S1026,Imatinib Mesylate (STI571),"Bcr-Abl,c-Kit,PDGFR",Protein Tyrosine Kinase,Selleck  Chemicals
106,99011-02-6,Imiquimod,49.38017259975964,14.883619002181176,50.0,64.26379160194081,63.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,106,S1211,Imiquimod,Immunology & Inflammation related,Immunology & Inflammation,Selleck  Chemicals
