peak	hg18_coords	classification	gene_id	gene_symbol	peak_exon_gene_symbol	differentially_expressed_cancer_type
55	chr1:1284397-1284612_+	intron				
57	chr1:1287344-1287560_+	promoter				
61	chr1:1326867-1327476_+	coding	NR_015434	LOC148413	LOC148413	
62	chr1:1348420-1348445_+	downstream	BC127906			EWS_GIST_
63	chr1:1355402-1355544_+	Gencode_lnc	BC041939			
64	chr1:1365030-1366018_+	coding	NM_022834	VWA1	VWA1	HN_NPC_Prostate_
65	chr1:1367827-1368102_+	coding	NM_022834	VWA1	VWA1	
67	chr1:1421193-1421443_+	coding	NM_031921	ATAD3B	ATAD3B	
68	chr1:1459704-1459851_+	coding	NM_018188	ATAD3A	ATAD3A	NPC_
71	chr1:1495683-1495795_+	intron				
73	chr1:1527767-1528064_+	Rinn	uc001agf.1			ESS_
74	chr1:1542295-1542466_+	ref_known_Gencode_nc	AK123400			
75	chr1:1549994-1550118_+	coding	NM_080875	MIB2	MIB2	
76	chr1:1550148-1550424_+	coding	NM_080875	MIB2	MIB2	
78	chr1:1555527-1555828_+	coding	NM_080875	MIB2	MIB2	NPC_ESS_
82	chr1:1813770-1813997_+	coding	uc001aig.1			GIST_
83	chr1:1838443-1838570_+	coding	NM_138705	CALML6	CALML6	NPC_
84	chr1:1951804-1952032_+	coding	NM_000815	GABRD	GABRD	ESS_
85	chr1:2022060-2022301_+	all_mrna	AB007974	PRKCZ	PRKCZ	
87	chr1:2106398-2106826_+	coding	NM_002744	PRKCZ	PRKCZ	
89	chr1:2114227-2114542_+	downstream	uc001aiz.1			
91	chr1:2129866-2130127_+	intron				
92	chr1:2141782-2141993_+	novel_intergenic				EWS_
93	chr1:2201271-2201376_+	all_mrna	AB007977			NPC_
94	chr1:2217294-2217398_+	intron	NM_003036	SKI		MLS_
95	chr1:2229446-2229662_+	coding	NM_003036	SKI	SKI	
96	chr1:2229755-2230166_+	coding	NM_003036	SKI	SKI	
97	chr1:2230625-2230957_+	coding	NM_003036	SKI	SKI	
98	chr1:2231148-2231488_+	coding	NM_003036	SKI	SKI	HN_EWS_MLS_
101	chr1:2313529-2313774_+	intron	NM_007033	RER1		
102	chr1:2323507-2323617_+	coding	NM_007033	RER1	RER1	
103	chr1:2324288-2325199_+	coding	NM_007033	RER1	RER1	HN_
104	chr1:2325551-2325852_+	coding	NM_007033	RER1	RER1	
105	chr1:2325887-2326749_+	coding	NM_007033	RER1	RER1	HN_
106	chr1:2347114-2347484_+	Rinn	AK122591	PLCH2	PLCH2	Bladder_Prostate_
108	chr1:2426321-2426825_+	coding	NM_014638	PLCH2	PLCH2	Bladder_SS_
109	chr1:2426866-2427025_+	downstream	AK122591	PLCH2		
110	chr1:2468463-2468926_+	downstream				NPC_GIST_
112	chr1:2486610-2486813_+	Gencode_lnc	AK128532			NPC_
113	chr1:2510681-2510875_+	coding	NM_152371	C1orf93	C1orf93	GIST_
115	chr1:2512177-2512646_+	coding	NM_152371	C1orf93	C1orf93	
116	chr1:3155745-3155953_+	intron	NM_199454	PRDM16		
117	chr1:3167315-3167537_+	intron	NM_199454	PRDM16		
118	chr1:3180262-3180387_+	intron	NM_199454	PRDM16		
121	chr1:3386962-3387512_+	coding	NM_014448	ARHGEF16	ARHGEF16	Bladder_NPC_GIST_
125	chr1:3536131-3536529_+	coding	NM_182752	TPRG1L	TPRG1L	
127	chr1:3640052-3640306_+	coding	NM_005427	TP73	TP73	NPC_GIST_
129	chr1:3681708-3681884_+	coding	NM_001163724	LOC388588	LOC388588	Prostate_
130	chr1:3682147-3682383_+	coding	NM_001163724	LOC388588	LOC388588	
131	chr1:3682901-3683101_+	downstream	NM_001163724	LOC388588		
134	chr1:3688389-3688575_+	intron				
135	chr1:3693999-3694122_+	intron				
136	chr1:3791494-3791887_+	coding	NM_004402	DFFB	DFFB	NPC_GIST_
138	chr1:4742743-4742918_+	coding	NM_018836	AJAP1	AJAP1	
139	chr1:4743516-4743687_+	coding	NM_018836	AJAP1	AJAP1	
140	chr1:4752248-4752431_+	all_mrna	BC037321			SS_
141	chr1:5983047-5983286_+	intron	uc009vlv.1	KCNAB2		NPC_
143	chr1:6083371-6083816_+	coding	AK124696	KCNAB2	KCNAB2	GIST_
145	chr1:6198754-6199023_+	intron	NM_207396	RNF207		
146	chr1:6203064-6203432_+	coding	NM_207396	RNF207	RNF207	
147	chr1:6203758-6204241_+	coding	NM_207396	RNF207	RNF207	
150	chr1:6228959-6229168_+	downstream	uc009vly.1	HES3		EWS_
154	chr1:6442643-6443604_+	coding	NM_031475	ESPN	ESPN	ESS_GIST_SS_
158	chr1:6562150-6562371_+	coding	NM_177539	TAS1R1	TAS1R1	
159	chr1:6571556-6571903_+	coding	NM_005341	ZBTB48	ZBTB48	HN_
161	chr1:6606227-6606646_+	coding	NM_153812	PHF13	PHF13	
162	chr1:6615977-6616200_+	coding	uc001aoc.2	THAP3	THAP3	HN_
163	chr1:6616783-6617114_+	coding	NM_138350	THAP3	THAP3	
164	chr1:6617957-6618212_+	coding	NM_138350	THAP3	THAP3	
165	chr1:6826965-6827026_+	intron	NM_015215	CAMTA1		
166	chr1:6832038-6832248_+	intron	NM_015215	CAMTA1		
167	chr1:6854534-6854691_+	coding	uc001aoh.2	CAMTA1	CAMTA1	
168	chr1:6870429-6870733_+	coding	AF086286			
169	chr1:6870754-6870834_+	coding	AF086286			NPC_
170	chr1:7352707-7352859_+	Gencode_lnc	NM_015215	CAMTA1		
171	chr1:7741598-7741674_+	intron	NM_015215	CAMTA1		ESS_
172	chr1:7750251-7750531_+	coding	NM_015215	CAMTA1	CAMTA1	
173	chr1:7750590-7750846_+	coding	NM_015215	CAMTA1	CAMTA1	
174	chr1:7752111-7752329_+	coding	NM_015215	CAMTA1	CAMTA1	
176	chr1:7763411-7764055_+	coding	NM_004781	VAMP3	VAMP3	NPC_
178	chr1:7827293-7827815_+	coding	NM_016831	PER3	PER3	GIST_MLS_
179	chr1:7967563-7967966_+	coding	NM_007262	PARK7	PARK7	
181	chr1:8009130-8009290_+	promoter				
182	chr1:8326534-8326854_+	coding	NM_001080397	SLC45A1	SLC45A1	ESS_
186	chr1:8392635-8392820_+	intron				MLS_
192	chr1:9174239-9174524_+	novel_intergenic				Bladder_
193	chr1:9174551-9174710_+	novel_intergenic				Bladder_NPC_
194	chr1:9219208-9219235_+	intron	NM_004285	H6PD		NPC_
195	chr1:9248846-9249040_+	coding	NM_004285	H6PD	H6PD	
196	chr1:9249937-9250603_+	coding	NM_004285	H6PD	H6PD	
197	chr1:9253864-9253959_+	coding	NM_004285	H6PD	H6PD	GIST_
199	chr1:9350094-9350640_+	coding	NM_025106	SPSB1	SPSB1	
200	chr1:9351780-9352156_+	coding	NM_025106	SPSB1	SPSB1	
201	chr1:9565173-9565392_+	coding	NM_032315	SLC25A33	SLC25A33	NPC_GIST_
202	chr1:9587151-9587787_+	coding	NM_001010866	TMEM201	TMEM201	
203	chr1:9597060-9597498_+	coding	NM_001130924	TMEM201	TMEM201	HN_ESS_
204	chr1:9711193-9711623_+	coding	NM_005026	PIK3CD	PIK3CD	HN_NPC_GIST_
205	chr1:9711658-9712287_+	coding	NM_005026	PIK3CD	PIK3CD	
211	chr1:9998424-9998642_+	coding	NM_052960	RBP7	RBP7	MLS_
212	chr1:10162540-10162854_+	coding	NM_001105562	UBE4B	UBE4B	
213	chr1:10163016-10163286_+	coding	NM_001105562	UBE4B	UBE4B	NPC_
214	chr1:10163471-10163879_+	coding	NM_001105562	UBE4B	UBE4B	MLS_
217	chr1:10289184-10289357_+	coding	NM_183416	KIF1B	KIF1B	MLS_
218	chr1:10290970-10291217_+	coding	NM_183416	KIF1B	KIF1B	HN_
219	chr1:10363920-10364224_+	coding	NM_015074	KIF1B	KIF1B	
220	chr1:10402443-10402720_+	coding	NM_002631	PGD	PGD	
221	chr1:10402765-10403015_+	coding	NM_002631	PGD	PGD	
222	chr1:10403050-10403133_+	downstream	AK296889			
223	chr1:10424908-10425130_+	coding	NM_199295	APITD1	APITD1	Bladder_
224	chr1:10425210-10425433_+	coding	NM_199295	APITD1	APITD1	
225	chr1:10434036-10434283_+	coding	NM_001302	CORT	CORT	EWS_
228	chr1:10603578-10603817_+	intron	NM_004565	PEX14		NPC_
229	chr1:10612842-10613378_+	coding	NM_004565	PEX14	PEX14	NPC_
230	chr1:10615625-10615820_+	downstream	uc009vmw.1	PEX14		
233	chr1:11007929-11008115_+	coding	NM_007375	TARDBP	TARDBP	GIST_
234	chr1:11012873-11013150_+	downstream	CR611899			GIST_
239	chr1:11268332-11268927_+	coding	NM_013319	UBIAD1	UBIAD1	
240	chr1:11270708-11271067_+	coding	NM_013319	UBIAD1	UBIAD1	
241	chr1:11380636-11380756_+	novel_intergenic				
242	chr1:11519910-11520200_+	coding	NM_020780	PTCHD2	PTCHD2	SS_
244	chr1:11644468-11644911_+	coding	NM_183413	FBXO44	FBXO44	HN_EWS_
245	chr1:11656258-11656650_+	coding	NM_018438	FBXO6	FBXO6	NPC_
247	chr1:11708226-11708475_+	all_mrna	uc001ass.1			EWS_
248	chr1:11732719-11733392_+	coding	NM_001040197	AGTRAP	AGTRAP	
249	chr1:11771889-11772201_+	coding	uc001asz.2			GIST_
251	chr1:11825358-11825764_+	coding	NM_001286	CLCN6	CLCN6	
252	chr1:11830181-11830710_+	Gencode_lnc	NM_001286	CLCN6		
253	chr1:11863263-11863322_+	novel_intergenic				
255	chr1:11957292-11958175_+	coding	NM_000302	PLOD1	PLOD1	NPC_ESS_
257	chr1:11995463-11996155_+	coding	NM_014874	MFN2	MFN2	HN_Bladder_
258	chr1:12013900-12014022_+	coding	NM_021933	MIIP	MIIP	
259	chr1:12014323-12014669_+	coding	NM_021933	MIIP	MIIP	NPC_GIST_
260	chr1:12015028-12015179_+	downstream	FJ618905			
261	chr1:12126557-12126823_+	coding	NM_001243	TNFRSF8	TNFRSF8	ESS_
263	chr1:12186105-12186276_+	intron	NM_001066	TNFRSF1B		
264	chr1:12190555-12191046_+	coding	NM_001066	TNFRSF1B	TNFRSF1B	
265	chr1:12191285-12191476_+	coding	NM_001066	TNFRSF1B	TNFRSF1B	
266	chr1:12191591-12191854_+	coding	NM_001066	TNFRSF1B	TNFRSF1B	NPC_GIST_
267	chr1:12415645-12415889_+	intron	NM_015378	VPS13D		NPC_MLS_
270	chr1:12485028-12485272_+	intron	NM_015378	VPS13D		
271	chr1:12490926-12491055_+	all_mrna	AK095438			NPC_
273	chr1:12491795-12492066_+	coding	NM_015378	VPS13D	VPS13D	GIST_
274	chr1:12492424-12492981_+	coding	NM_015378	VPS13D	VPS13D	
275	chr1:12494117-12494664_+	coding	NM_015378	VPS13D	VPS13D	GIST_
281	chr1:13814965-13815579_+	coding	NM_198389	PDPN	PDPN	HN_Skin_
282	chr1:13816821-13817018_+	coding	NM_198389	PDPN	PDPN	Skin_
283	chr1:13954980-13955042_+	intron	NM_012231	PRDM2		NPC_
284	chr1:13979487-13979942_+	coding	NM_012231	PRDM2	PRDM2	
285	chr1:13986472-13986710_+	coding	NM_001007257	PRDM2	PRDM2	Bladder_
286	chr1:13986757-13986945_+	coding	NM_001007257	PRDM2	PRDM2	
287	chr1:13986967-13987146_+	coding	NM_001007257	PRDM2	PRDM2	
288	chr1:14022359-14022570_+	coding	NM_012231	PRDM2	PRDM2	EWS_
289	chr1:14022852-14023101_+	coding	NM_012231	PRDM2	PRDM2	
290	chr1:14023857-14024144_+	coding	NM_012231	PRDM2	PRDM2	
291	chr1:14221375-14221552_+	novel_intergenic				NPC_
294	chr1:14592685-14592816_+	novel_intergenic				GIST_
296	chr1:14696238-14696403_+	novel_intergenic				NPC_
297	chr1:14799527-14799736_+	intron	NM_201628	KAZ		
298	chr1:14864768-14865005_+	intron	NM_201628	KAZ		GIST_MLS_SS_
299	chr1:14895935-14896095_+	intron	NM_201628	KAZ		GIST_MLS_
300	chr1:14910257-14910301_+	intron	NM_201628	KAZ		
301	chr1:14912597-14912737_+	all_mrna	AK126906			GIST_MLS_SS_
302	chr1:14912781-14912830_+	all_mrna	AK126906			
304	chr1:14944053-14944321_+	intron	NM_201628	KAZ		GIST_SS_
305	chr1:14953919-14954037_+	intron	NM_201628	KAZ		
306	chr1:14965342-14965537_+	intron	NM_201628	KAZ		MLS_
307	chr1:14975796-14975898_+	intron	NM_201628	KAZ		MLS_
309	chr1:14988564-14988830_+	intron	NM_201628	KAZ		NPC_
310	chr1:15103170-15103305_+	intron	NM_201628	KAZ		GIST_
312	chr1:15243678-15243752_+	intron	NM_201628	KAZ		
313	chr1:15259239-15259390_+	coding	NM_201628	KAZ	KAZ	
315	chr1:15265352-15265625_+	coding	NM_015209	KAZ	KAZ	GIST_
316	chr1:15316780-15317114_+	coding	NM_201628	KAZ	KAZ	MLS_
317	chr1:15396791-15397025_+	intron	NM_018022	TMEM51		
318	chr1:15419091-15419445_+	coding	NM_018022	TMEM51	TMEM51	Bladder_
319	chr1:15419474-15419548_+	coding	NM_018022	TMEM51	TMEM51	Bladder_
322	chr1:15627658-15628219_+	coding	NM_024329	EFHD2	EFHD2	HN_NPC_
323	chr1:15628495-15629398_+	coding	NM_024329	EFHD2	EFHD2	Bladder_NPC_
324	chr1:15644686-15644807_+	coding	NM_007272	CTRC	CTRC	
325	chr1:15769900-15770076_+	coding	NM_015291	DNAJC16	DNAJC16	Bladder_
326	chr1:15770538-15770847_+	coding	NM_015291	DNAJC16	DNAJC16	Bladder_GIST_
327	chr1:15847679-15847840_+	intron	NM_032341	DDI2		
328	chr1:15860908-15861091_+	downstream	AK314753			GIST_
329	chr1:15867994-15868082_+	all_mrna	uc001awz.1			Bladder_
331	chr1:15924399-15924603_+	coding	NM_015164	PLEKHM2	PLEKHM2	
332	chr1:15933162-15933828_+	coding	NM_015164	PLEKHM2	PLEKHM2	NPC_
333	chr1:15940128-15940453_+	coding	NM_207348	SLC25A34	SLC25A34	SS_
334	chr1:15985011-15985452_+	coding	NM_017556	FBLIM1	FBLIM1	NPC_
335	chr1:15985558-15985660_+	coding	NM_017556	FBLIM1	FBLIM1	HN_GIST_
336	chr1:16027660-16027744_+	ref_known_Gencode_nc				MLS_
338	chr1:16139191-16139550_+	coding	NM_015001	SPEN	SPEN	GIST_
340	chr1:16205473-16205753_+	coding	NM_178840	C1orf64	C1orf64	Breast_
344	chr1:16583219-16583328_+	intron	NM_015609	C1orf144		NPC_
345	chr1:16594174-16594284_+	coding	NM_015609	C1orf144	C1orf144	
346	chr1:16594410-16594520_+	coding	NM_015609	C1orf144	C1orf144	
347	chr1:16595093-16595339_+	coding	NM_015609	C1orf144	C1orf144	
348	chr1:16595367-16595450_+	coding	NM_015609	C1orf144	C1orf144	NPC_
350	chr1:16596948-16597134_+	coding	NM_015609	C1orf144	C1orf144	
351	chr1:16640305-16640677_+	ref_known_Gencode_nc	NM_018090	NECAP2		
352	chr1:16657901-16658283_+	coding	NM_018090	NECAP2	NECAP2	
353	chr1:16658632-16659147_+	coding	NM_018090	NECAP2	NECAP2	NPC_
355	chr1:16849182-16849255_+	ref_known_Gencode_nc	NR_027504	MST1P2	MST1P2	
356	chr1:17104289-17104452_+	intron	uc009voy.1	CROCC		MLS_
357	chr1:17169706-17170022_+	coding	NM_014675	CROCC	CROCC	
358	chr1:17171548-17172036_+	coding	NM_014675	CROCC	CROCC	HN_
362	chr1:17444820-17445064_+	coding	NM_013358	PADI1	PADI1	HN_LungSCC_
363	chr1:17483047-17483291_+	coding	NM_016233	PADI3	PADI3	Bladder_NPC_
365	chr1:17737541-17737759_+	intron	uc009vpd.1	ARHGEF10L		
367	chr1:17779857-17780105_+	coding	uc009vpd.1	ARHGEF10L	ARHGEF10L	GIST_
369	chr1:17889788-17890045_+	intron	NM_018125	ARHGEF10L		
370	chr1:17896358-17896933_+	coding	NM_018125	ARHGEF10L	ARHGEF10L	Bladder_GIST_
371	chr1:18314694-18314831_+	all_mrna	AB007966			
372	chr1:18553249-18553469_+	intron	NM_032880	IGSF21		
373	chr1:18577331-18577540_+	coding	NM_032880	IGSF21	IGSF21	EWS_
374	chr1:18684629-18684809_+	coding	NM_152375	KLHDC7A	KLHDC7A	Bladder_
375	chr1:18829930-18830169_+	coding	NM_013945	PAX7	PAX7	EWS_
376	chr1:18839952-18840194_+	intron	NM_013945	PAX7		EWS_
377	chr1:18843851-18844098_+	intron	NM_013945	PAX7		EWS_
379	chr1:18894032-18894277_+	intron	NM_013945	PAX7		EWS_
381	chr1:18947538-18947946_+	coding	NM_001135254	PAX7	PAX7	EWS_
385	chr1:19412452-19412775_+	all_mrna	AK096098			
386	chr1:19457811-19458047_+	coding	NM_016183	MRTO4	MRTO4	HN_NPC_GIST_
387	chr1:19458348-19458437_+	coding	NM_016183	MRTO4	MRTO4	GIST_
388	chr1:19458624-19459010_+	coding	NM_016183	MRTO4	MRTO4	GIST_
389	chr1:19459129-19459297_+	coding	NM_016183	MRTO4	MRTO4	NPC_GIST_
392	chr1:19527630-19528044_+	coding	NM_001040126	PQLC2	PQLC2	
397	chr1:19807440-19807629_+	ref_known_Gencode_nc	BC072682			MLS_
398	chr1:19825645-19825692_+	coding	NM_001032363	C1orf151	C1orf151	
399	chr1:19828733-19828884_+	coding	AK096240	C1orf151	C1orf151	NPC_
400	chr1:19849589-19849861_+	intron	NM_005380	NBL1		
401	chr1:19854092-19854255_+	coding	NM_005380	NBL1	NBL1	
402	chr1:19855931-19856664_+	coding	NM_005380	NBL1	NBL1	GIST_
403	chr1:19856688-19857546_+	coding	NM_005380	NBL1	NBL1	GIST_
404	chr1:19879802-19880020_+	all_mrna	AF007141			ESS_
406	chr1:20111633-20112000_+	coding	NM_015207	OTUD3	OTUD3	
408	chr1:20342912-20343135_+	ref_known_Gencode_nc	BX647458			Bladder_
409	chr1:20349023-20349448_+	coding	NM_022819	PLA2G2F	PLA2G2F	HN_Bladder_
411	chr1:20684870-20685081_+	downstream	AF116637	CAMK2N1		
415	chr1:20707337-20707539_+	promoter				
416	chr1:20753778-20754077_+	coding	NM_207334	FAM43B	FAM43B	ESS_
417	chr1:20817530-20817963_+	coding	NM_001785	CDA	CDA	Skin_
418	chr1:20849510-20850567_+	coding	NM_032409	PINK1	PINK1	HN_NPC_
428	chr1:21631237-21631286_+	promoter				HN_NPC_
429	chr1:21764661-21764893_+	intron	NM_001127501	ALPL		MLS_
430	chr1:21776687-21777469_+	coding	NM_001127501	ALPL	ALPL	
433	chr1:22021310-22022554_+	coding	NM_001013693	LDLRAD2	LDLRAD2	
434	chr1:22230123-22230286_+	Bartel	NR_023919	HSPC157	HSPC157	NPC_
435	chr1:22261549-22261674_+	intron	NM_001791	CDC42		NPC_GIST_
436	chr1:22291871-22291973_+	coding	NM_001791	CDC42	CDC42	HN_Bladder_
437	chr1:22356192-22356359_+	novel_intergenic				
438	chr1:22383573-22383772_+	novel_intergenic				NPC_
442	chr1:22726833-22727109_+	coding	NM_001083621	ZBTB40	ZBTB40	
443	chr1:22727165-22727494_+	coding	NM_001083621	ZBTB40	ZBTB40	Bladder_
444	chr1:22729482-22729795_+	coding	NM_001083621	ZBTB40	ZBTB40	
445	chr1:22802425-22802643_+	coding	NM_020526	EPHA8	EPHA8	ESS_
446	chr1:22837918-22838738_+	coding	NM_015991	C1QA	C1QA	
447	chr1:22846303-22847175_+	coding	NM_001114101	C1QC	C1QC	
448	chr1:22859891-22860728_+	coding	NM_000491	C1QB	C1QB	
449	chr1:23112548-23112831_+	coding	NM_004442	EPHB2	EPHB2	
450	chr1:23113379-23113592_+	coding	NM_004442	EPHB2	EPHB2	
452	chr1:23113961-23114384_+	coding	NM_004442	EPHB2	EPHB2	
453	chr1:23120321-23120555_+	all_mrna	AK025975			
454	chr1:23282652-23282747_+	coding	NM_015013	KDM1A	KDM1A	Bladder_NPC_GIST_
456	chr1:23570581-23570912_+	coding	NM_138479	C1orf213	C1orf213	EWS_
461	chr1:23891683-23891813_+	coding	NM_000975	RPL11	RPL11	
463	chr1:23893777-23893847_+	coding	NM_000975	RPL11	RPL11	
464	chr1:23894757-23894968_+	coding	NM_000975	RPL11	RPL11	GIST_MLS_
465	chr1:23895213-23895479_+	coding	NM_000975	RPL11	RPL11	NPC_GIST_MLS_
466	chr1:23901951-23902115_+	downstream				
467	chr1:23902138-23902216_+	downstream				NPC_
468	chr1:23919774-23920033_+	novel_intergenic				ESS_
469	chr1:23958652-23958963_+	coding	NM_003198	TCEB3	TCEB3	
470	chr1:23960933-23961115_+	coding	NM_003198	TCEB3	TCEB3	GIST_
471	chr1:23986472-23986715_+	coding	NM_020362	C1orf128	C1orf128	
472	chr1:23987068-23987289_+	coding	NM_020362	C1orf128	C1orf128	NPC_GIST_
473	chr1:23994509-23994598_+	coding	NM_007260	LYPLA2	LYPLA2	
477	chr1:24162388-24162601_+	coding	NM_017761	PNRC2	PNRC2	Bladder_NPC_
480	chr1:24554219-24554377_+	coding	NM_021180	GRHL3	GRHL3	HN_Bladder_
481	chr1:24665149-24665366_+	coding	uc001bjg.1	NIPAL3	NIPAL3	
482	chr1:24668133-24668384_+	coding	NM_020448	NIPAL3	NIPAL3	
483	chr1:24671537-24672035_+	coding	NM_020448	NIPAL3	NIPAL3	Bladder_
486	chr1:24735895-24736073_+	coding	BC035854	RCAN3	RCAN3	
487	chr1:24739800-24740094_+	downstream	AF086431			
488	chr1:24755875-24756213_+	intron	NM_001010980	C1orf130		LungAdeno_
489	chr1:24954536-24954572_+	intron	NM_013943	CLIC4		
490	chr1:25043250-25043288_+	coding	NM_013943	CLIC4	CLIC4	
495	chr1:25559779-25560190_+	coding	NM_014313	TMEM50A	TMEM50A	HN_NPC_GIST_
496	chr1:25560239-25560573_+	coding	NM_014313	TMEM50A	TMEM50A	
497	chr1:25561160-25561439_+	coding	NM_014313	TMEM50A	TMEM50A	GIST_
498	chr1:25643981-25644108_+	intron	NM_018202	TMEM57		NPC_
499	chr1:25674428-25674498_+	intron	NM_018202	TMEM57		NPC_
500	chr1:25690493-25690638_+	coding	NM_018202	TMEM57	TMEM57	
501	chr1:25697321-25697821_+	coding	NM_018202	TMEM57	TMEM57	NPC_
502	chr1:25698224-25698493_+	coding	NM_018202	TMEM57	TMEM57	
503	chr1:25699039-25699262_+	coding	NM_018202	TMEM57	TMEM57	
504	chr1:25766652-25767027_+	coding	NM_015627	LDLRAP1	LDLRAP1	
505	chr1:25767646-25767944_+	coding	NM_015627	LDLRAP1	LDLRAP1	GIST_
507	chr1:25789243-25789397_+	Rinn	AF318353	MAN1C1		
508	chr1:25983302-25983508_+	coding	NM_020379	MAN1C1	MAN1C1	
509	chr1:25984745-25984986_+	all_mrna	AB209275	MAN1C1	MAN1C1	
510	chr1:25985118-25985276_+	all_mrna	AB209275	MAN1C1	MAN1C1	
511	chr1:26015168-26016278_+	coding	NM_206926	SEPN1	SEPN1	
512	chr1:26016728-26017280_+	coding	NM_206926	SEPN1	SEPN1	HN_NPC_
514	chr1:26031672-26031996_+	coding	NM_019557	FAM54B	FAM54B	
518	chr1:26234705-26234889_+	coding	NM_004455	EXTL1	EXTL1	ESS_
519	chr1:26235261-26235502_+	coding	NM_004455	EXTL1	EXTL1	
520	chr1:26324371-26324604_+	coding	NM_152835	PDIK1L	PDIK1L	Bladder_GIST_
521	chr1:26361461-26361685_+	coding	NM_024869	GRRP1	GRRP1	
522	chr1:26362816-26363036_+	downstream	NM_024869	GRRP1		
523	chr1:26369651-26369938_+	coding	NM_015871	ZNF593	ZNF593	HN_NPC_GIST_
524	chr1:26388355-26388938_+	coding	NM_006314	CNKSR1	CNKSR1	Breast_GIST_
525	chr1:26477663-26477867_+	coding	NM_022778	CCDC21	CCDC21	MLS_
526	chr1:26479118-26479258_+	coding	NM_031286	SH3BGRL3	SH3BGRL3	Skin_
527	chr1:26479843-26479900_+	coding	NM_031286	SH3BGRL3	SH3BGRL3	
528	chr1:26479924-26479987_+	coding	NM_031286	SH3BGRL3	SH3BGRL3	Skin_
529	chr1:26480047-26480660_+	coding	NM_031286	SH3BGRL3	SH3BGRL3	
531	chr1:26519243-26519577_+	coding	NM_001803	CD52	CD52	NPC_
534	chr1:26667974-26668476_+	coding	NM_024887	DHDDS	DHDDS	GIST_
535	chr1:26668666-26668998_+	coding	NM_024887	DHDDS	DHDDS	
536	chr1:26669506-26669731_+	coding	NM_024887	DHDDS	DHDDS	
537	chr1:26669752-26670466_+	coding	NM_024887	DHDDS	DHDDS	MLS_
538	chr1:26675569-26675696_+	coding	NM_005517	HMGN2	HMGN2	NPC_
540	chr1:26773489-26774092_+	coding	NM_001006665	RPS6KA1	RPS6KA1	NPC_
542	chr1:26930225-26930661_+	coding	NM_139135	ARID1A	ARID1A	
543	chr1:26938887-26939051_+	intron	NM_139135	ARID1A		NPC_
544	chr1:26946516-26946629_+	intron	NM_139135	ARID1A		
546	chr1:26979537-26979982_+	coding	NM_139135	ARID1A	ARID1A	
547	chr1:26980009-26980225_+	coding	NM_139135	ARID1A	ARID1A	NPC_GIST_
548	chr1:26980339-26980543_+	coding	NM_139135	ARID1A	ARID1A	
