^SAMPLE = GSM281777
!Sample_title = 293-tet-On-EWS/NOR1 without doxycycline
!Sample_geo_accession = GSM281777
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-EWS/NOR1 cells, doxycycline untreated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-EWS/NOR1 cells were cultured without doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = without doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by EWS/NOR1 overexpression, we compared expression profiles between EWS/NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281777/suppl/GSM281777.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = EWS/NOR1 without doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200642_at	8095.5	P	0.000244
200643_at	557.1	P	0.000244
200644_at	2033.2	P	0.000244
200645_at	2589.2	P	0.000244
200646_s_at	136.6	P	0.00415
200647_x_at	5537.8	P	0.000244
200648_s_at	689.6	P	0.000244
200649_at	193	P	0.000732
200650_s_at	6799.2	P	0.000244
200651_at	14536.5	P	0.000244
200652_at	2046.6	P	0.000244
200653_s_at	1509.3	P	0.000244
200654_at	2406.5	P	0.018555
200655_s_at	2266.7	P	0.000244
200656_s_at	1369.2	P	0.000244
200657_at	7336.1	P	0.000244
200658_s_at	2942.5	P	0.000244
200659_s_at	826.1	P	0.000244
200660_at	312	P	0.010742
200661_at	299.7	P	0.001953
200662_s_at	6395.4	P	0.000244
200663_at	2390.3	P	0.000244
200664_s_at	342.1	P	0.001953
200665_s_at	396.5	P	0.001953
200666_s_at	676.7	P	0.000244
200667_at	1214.5	P	0.000244
200668_s_at	2818.3	P	0.000244
200669_s_at	1526.1	P	0.000244
200670_at	682.8	P	0.000244
200671_s_at	139.7	P	0.018555
200672_x_at	246.9	P	0.000244
200673_at	2874.8	P	0.000244
200674_s_at	9862.7	P	0.000244
200675_at	1810.2	P	0.000732
200676_s_at	245.5	P	0.000244
200677_at	2124.6	P	0.000244
200678_x_at	408.6	P	0.001953
200679_x_at	3124.5	P	0.000244
200680_x_at	6527.6	P	0.000244
200681_at	5795.4	P	0.000244
200682_s_at	3850.4	P	0.000244
200683_s_at	1353.3	P	0.000244
200684_s_at	750.8	P	0.000244
200685_at	668.7	P	0.000244
200686_s_at	6156.4	P	0.000244
200687_s_at	1539.8	P	0.000244
200688_at	238.5	P	0.005859
200689_x_at	9962.4	P	0.000244
200690_at	665.9	P	0.000244
200691_s_at	2919.6	P	0.000244
200692_s_at	1802.2	P	0.000244
200693_at	5296.8	P	0.000244
200694_s_at	1600.2	P	0.000244
200695_at	892.7	P	0.000244
200696_s_at	123.3	P	0.008057
200697_at	767.8	P	0.000244
200698_at	1813.5	P	0.000244
200699_at	1023.4	P	0.000244
200700_s_at	1148.9	P	0.000244
200701_at	1543.6	P	0.000244
200702_s_at	794.3	P	0.000244
200703_at	3688	P	0.000244
200704_at	299	P	0.000244
200705_s_at	9175	P	0.000244
200706_s_at	290.8	P	0.000732
200707_at	384.4	P	0.000244
200708_at	2212.9	P	0.000244
200709_at	1842.5	P	0.000244
200710_at	304.4	P	0.000244
200711_s_at	1619.1	P	0.000244
200712_s_at	783.7	P	0.000244
200713_s_at	1747.8	P	0.000244
200714_x_at	665.6	P	0.000244
200715_x_at	6998.8	P	0.000244
200716_x_at	12597.6	P	0.000244
200717_x_at	13421.6	P	0.000244
200718_s_at	8405.5	P	0.000244
200719_at	212.7	P	0.000244
200720_s_at	550	P	0.000244
200721_s_at	523.8	P	0.000732
200722_s_at	921	P	0.000244
200723_s_at	2936.6	P	0.000244
200724_at	15.6	A	0.149658
200725_x_at	7565.4	P	0.000244
200726_at	5278.6	P	0.000244
200727_s_at	462.1	P	0.000732
200728_at	2147.3	P	0.000244
200729_s_at	2275.2	P	0.000244
200730_s_at	634.6	P	0.000244
200731_s_at	697.3	P	0.000244
200732_s_at	1118.6	P	0.000244
200733_s_at	2935.3	P	0.000244
200734_s_at	404	P	0.000244
200735_x_at	11666	P	0.000244
200736_s_at	1422.5	P	0.000244
200737_at	1308.8	P	0.000244
200738_s_at	4652.7	P	0.000244
200739_s_at	234.2	P	0.000244
200740_s_at	1831.4	P	0.000244
200741_s_at	12083.7	P	0.000244
200742_s_at	130.7	P	0.000244
200743_s_at	317.7	P	0.000244
200744_s_at	1032	P	0.000244
200745_s_at	1146.5	P	0.000244
200746_s_at	1543	P	0.000244
200747_s_at	175.8	P	0.00293
200748_s_at	2639.1	P	0.000244
200749_at	2883	P	0.000244
200750_s_at	8121.2	P	0.000244
200751_s_at	4321.7	P	0.000244
200752_s_at	68.4	P	0.018555
200753_x_at	2181.7	P	0.000244
200754_x_at	4310.8	P	0.000244
200755_s_at	577.9	P	0.000244
200756_x_at	429.8	P	0.000244
200757_s_at	776.5	P	0.000244
200758_s_at	271.7	P	0.001953
200759_x_at	475.9	P	0.000244
200760_s_at	784.2	P	0.000244
200761_s_at	971.5	P	0.000244
200762_at	974.8	P	0.000244
200763_s_at	13840.6	P	0.000244
200764_s_at	898.1	P	0.000244
200765_x_at	1396.4	P	0.000244
200766_at	80.1	P	0.001953
200767_s_at	196.8	P	0.000244
200768_s_at	2080.8	P	0.000244
200769_s_at	494	P	0.000244
200770_s_at	402.8	P	0.000244
200771_at	1197.7	P	0.000244
200772_x_at	7136.2	P	0.000244
200773_x_at	5774.3	P	0.000244
200774_at	3943.4	P	0.000244
200775_s_at	6148.9	P	0.000244
200776_s_at	2242.8	P	0.000244
200777_s_at	3087	P	0.000244
200778_s_at	1926.6	P	0.000244
200779_at	5943.7	P	0.000244
200780_x_at	5419.7	P	0.000244
200781_s_at	10605.4	P	0.000244
200782_at	1922.5	P	0.000244
200783_s_at	899	P	0.000244
200784_s_at	3.4	A	0.98584
200785_s_at	10.4	A	0.567627
200786_at	4193.1	P	0.000244
200787_s_at	273.8	P	0.000244
200788_s_at	804.9	P	0.000244
200789_at	1051.3	P	0.00415
200790_at	5092	P	0.000244
200791_s_at	1186.9	P	0.000244
200792_at	7687.9	P	0.000244
200793_s_at	1109.7	P	0.000244
200794_x_at	2625.9	P	0.000244
200795_at	1.4	A	0.633789
200796_s_at	154.8	P	0.00293
200797_s_at	1756.5	P	0.000244
200798_x_at	1408.5	P	0.000244
200799_at	8758.6	P	0.000244
200800_s_at	6133.1	P	0.000244
200801_x_at	11759.2	P	0.000244
200802_at	1391.2	P	0.000244
200803_s_at	3442.4	P	0.000244
200804_at	3882.4	P	0.000244
200805_at	799.1	P	0.000244
200806_s_at	7299.3	P	0.000244
200807_s_at	12441.6	P	0.000244
200808_s_at	222	P	0.000732
200809_x_at	8446.1	P	0.000244
200810_s_at	1053.5	P	0.000244
200811_at	403	P	0.001953
200812_at	5861.5	P	0.000244
200813_s_at	392.1	P	0.000732
200814_at	856.3	P	0.000244
200815_s_at	565.8	P	0.000244
200816_s_at	796.2	P	0.000244
200817_x_at	15537.2	P	0.000244
200818_at	6168.8	P	0.000244
200819_s_at	13276.7	P	0.000244
200820_at	4547.2	P	0.000244
200821_at	1393	P	0.000732
200822_x_at	3924.4	P	0.000244
200823_x_at	7890.5	P	0.000244
200824_at	1276.4	P	0.000244
200825_s_at	471.5	P	0.000244
200826_at	8288	P	0.000244
200827_at	183.8	P	0.001221
200828_s_at	3329.2	P	0.000244
200829_x_at	2441	P	0.000244
200830_at	1862.5	P	0.000244
200831_s_at	689.4	P	0.000244
200832_s_at	2307.1	P	0.000244
200833_s_at	2804.3	P	0.000244
200834_s_at	10127.2	P	0.000244
200835_s_at	46.2	A	0.246094
200836_s_at	141.1	A	0.067627
200837_at	2048.3	P	0.000244
200838_at	214.5	P	0.000244
200839_s_at	428.3	P	0.000244
200840_at	7695.1	P	0.000244
200841_s_at	493	P	0.000244
200842_s_at	2060	P	0.000244
200843_s_at	957.9	P	0.000244
200844_s_at	3560.4	P	0.000244
200845_s_at	3732.3	P	0.000244
200846_s_at	1341.1	P	0.000244
200847_s_at	2197.5	P	0.000244
200848_at	414.7	P	0.000244
200849_s_at	526.1	P	0.000244
200850_s_at	1136.7	P	0.000244
200851_s_at	1579.3	P	0.000244
200852_x_at	715.7	P	0.00293
200853_at	8035.9	P	0.000244
200854_at	382.3	P	0.000244
200855_at	147.2	P	0.000244
200856_x_at	155.7	P	0.000244
200857_s_at	301.6	P	0.001221
200858_s_at	10869.3	P	0.000244
200859_x_at	1510.9	P	0.000732
200860_s_at	1810.3	P	0.000244
200861_at	435.4	P	0.000732
200862_at	988.3	P	0.000244
200863_s_at	2568.4	P	0.000244
200864_s_at	814.4	P	0.000244
200865_at	1	A	0.80542
200866_s_at	1046.1	P	0.000244
200867_at	644.7	P	0.000244
200868_s_at	601.5	P	0.000732
200869_at	13320.4	P	0.000244
200870_at	4853.6	P	0.000244
200871_s_at	1543.9	P	0.000244
200872_at	1713	P	0.000244
200873_s_at	7716.4	P	0.000244
200874_s_at	461.6	P	0.000244
200875_s_at	3296.6	P	0.000244
200876_s_at	5145.1	P	0.000732
200877_at	7086.6	P	0.000244
200878_at	314.5	P	0.000244
200879_s_at	2	A	0.398926
200880_at	2724.9	P	0.000244
200881_s_at	4801.6	P	0.000244
200882_s_at	2601.9	P	0.000244
200883_at	2362.7	P	0.000244
200884_at	3621.6	P	0.000244
200885_at	849.5	P	0.001953
200886_s_at	6233.1	P	0.000244
200887_s_at	530.7	P	0.000244
200888_s_at	9659.9	P	0.000244
200889_s_at	659.3	P	0.000244
200890_s_at	430.7	P	0.000244
200891_s_at	1697.3	P	0.000244
200892_s_at	2393.6	P	0.000244
200893_at	4230.6	P	0.000244
200894_s_at	997.6	P	0.000244
200895_s_at	2242.4	P	0.000244
200896_x_at	1323.3	P	0.000244
200897_s_at	1193.2	P	0.000244
200898_s_at	338.7	P	0.000244
200899_s_at	1166.1	P	0.000244
200900_s_at	565.6	P	0.000244
200901_s_at	649	P	0.000244
200902_at	3845.1	P	0.000244
200903_s_at	1501.7	P	0.000244
200904_at	143.6	P	0.000244
200905_x_at	786.1	P	0.000244
200906_s_at	174.9	P	0.000244
200907_s_at	782.9	P	0.000244
200908_s_at	92.3	P	0.001953
200909_s_at	9121	P	0.000244
200910_at	5751.9	P	0.000244
200911_s_at	514.7	P	0.005859
200912_s_at	3318.7	P	0.000244
200913_at	585.2	P	0.000244
200914_x_at	991.1	P	0.000244
200915_x_at	2813	P	0.000244
200916_at	3731.8	P	0.000244
200917_s_at	146.6	P	0.018555
200918_s_at	630.7	P	0.000732
200919_at	529.3	P	0.008057
200920_s_at	812.8	P	0.000244
200921_s_at	1560	P	0.000244
200922_at	657.5	P	0.000244
200923_at	1067.1	P	0.001953
200924_s_at	615.4	P	0.000244
200925_at	6748.4	P	0.000244
200926_at	15104	P	0.000244
200927_s_at	800.8	P	0.000244
200928_s_at	36.2	P	0.000244
200929_at	1453.2	P	0.000244
200930_s_at	22.2	A	0.219482
200931_s_at	1563.9	P	0.000244
200932_s_at	1225.4	P	0.000244
200933_x_at	14958.7	P	0.000244
200934_at	4887.1	P	0.000244
200935_at	112.6	P	0.000732
200936_at	11648.7	P	0.000244
200937_s_at	11841.3	P	0.000244
200938_s_at	5.5	A	0.567627
200939_s_at	13.1	A	0.149658
200940_s_at	225.8	P	0.000244
200941_at	1874	P	0.000244
200942_s_at	2786	P	0.000244
200943_at	6276.5	P	0.000244
200944_s_at	5439.8	P	0.000244
200945_s_at	1092.5	P	0.000244
200946_x_at	623.8	P	0.000244
200947_s_at	810.6	P	0.000244
200948_at	1193.6	P	0.000244
200949_x_at	6322.5	P	0.000244
200950_at	1866.6	P	0.000244
200951_s_at	212.5	P	0.00293
200952_s_at	109.1	P	0.000244
200953_s_at	2057.7	P	0.000244
200954_at	778.1	A	0.067627
200955_at	1298.4	P	0.000244
200956_s_at	1468.8	P	0.000244
200957_s_at	1462.2	P	0.000244
200958_s_at	2716.8	P	0.000244
200959_at	1536.4	P	0.000244
200960_x_at	2938	P	0.001953
200961_at	1779.4	P	0.000244
200962_at	546.6	P	0.000244
200963_x_at	13482.9	P	0.000244
200964_at	2968.5	P	0.000244
200965_s_at	578.4	P	0.000244
200966_x_at	6100.7	P	0.000244
200967_at	3729.9	P	0.000244
200968_s_at	1738.1	P	0.000244
200969_at	664.2	P	0.000244
200970_s_at	556.5	P	0.00293
200971_s_at	1324.6	P	0.000244
200972_at	4257.9	P	0.000244
200973_s_at	2455.1	P	0.000244
200974_at	222.3	P	0.000244
200975_at	2372.1	P	0.000244
200976_s_at	1246.1	P	0.000244
200977_s_at	1733.1	P	0.000244
200978_at	3758.7	P	0.000244
200979_at	397.3	P	0.000244
200980_s_at	2078.2	P	0.000244
200981_x_at	5313.8	P	0.000244
200982_s_at	163.3	P	0.000244
200983_x_at	566.1	P	0.000244
200984_s_at	542.3	P	0.000244
200985_s_at	561.5	P	0.000244
200986_at	6.3	A	0.149658
200987_x_at	852.7	P	0.000244
200988_s_at	144.4	P	0.000244
200989_at	3881.4	P	0.000244
200990_at	2223	P	0.000732
200991_s_at	1203	P	0.000732
200992_at	1398.9	P	0.000244
200993_at	1578.6	P	0.000244
200994_at	1489.4	P	0.000244
200995_at	786.1	P	0.000732
200996_at	2666.8	P	0.000244
200997_at	1586.1	P	0.000244
200998_s_at	760.9	P	0.000244
200999_s_at	1739	P	0.000244
201000_at	746.5	P	0.001953
201001_s_at	653.1	P	0.000244
201002_s_at	997	P	0.000244
201003_x_at	894.2	P	0.000244
201004_at	2296.6	P	0.000244
201005_at	772	P	0.000244
201006_at	53	A	0.080566
201007_at	1069.3	P	0.000244
201008_s_at	177.1	P	0.000732
201009_s_at	144.5	P	0.00415
201010_s_at	155.3	P	0.000244
201011_at	997.5	P	0.000244
201012_at	1273.9	P	0.000244
201013_s_at	3170.1	P	0.000244
201014_s_at	2742.4	P	0.000244
201015_s_at	121.1	P	0.000244
201016_at	2862.6	P	0.000244
201017_at	1841.9	P	0.000244
201018_at	2179.9	P	0.000244
201019_s_at	4878.1	P	0.000244
201020_at	862.4	P	0.000244
201021_s_at	2054.4	P	0.000244
201022_s_at	2379.9	P	0.000244
201023_at	1704.2	P	0.000244
201024_x_at	1372.4	P	0.000244
201025_at	383.9	P	0.000244
201026_at	260.1	P	0.00293
201027_s_at	796.5	P	0.000244
201028_s_at	22.6	P	0.037598
201029_s_at	41.5	P	0.018555
201030_x_at	9770	P	0.000244
201031_s_at	5012.6	P	0.000244
201032_at	362.5	P	0.000732
201033_x_at	10903.1	P	0.000244
201034_at	1341.8	P	0.000244
201035_s_at	311.8	P	0.001953
201036_s_at	766.9	P	0.000244
201037_at	1221	P	0.000244
201038_s_at	992.9	P	0.000732
201039_s_at	826.2	P	0.000244
201040_at	133	P	0.005859
201041_s_at	932.3	P	0.000244
201042_at	25.5	A	0.129639
201043_s_at	709.5	P	0.000244
201044_x_at	57.5	P	0.005859
201045_s_at	21.1	A	0.366211
201046_s_at	666.3	P	0.00293
