^SAMPLE = GSM281776
!Sample_title = 293-tet-On-NOR1 with doxycycline
!Sample_geo_accession = GSM281776
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-NOR1 cells, doxycycline treated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-NOR1 cells were cultured with doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = with doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by NOR1 overexpression, we compared expression profiles between NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281776/suppl/GSM281776.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = NOR1 plus doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200000_s_at	1937.3	P	0.000244
200001_at	2194.7	P	0.000244
200002_at	9848.2	P	0.000244
200003_s_at	14010.2	P	0.000244
200004_at	5991	P	0.000244
200005_at	6017.4	P	0.000244
200006_at	6387.5	P	0.000244
200007_at	4265.6	P	0.000244
200008_s_at	1942.6	P	0.000244
200009_at	4242.5	P	0.000244
200010_at	9975	P	0.000244
200011_s_at	646.1	P	0.000244
200012_x_at	8442.8	P	0.000244
200013_at	11938.5	P	0.000244
200014_s_at	4067.7	P	0.000244
200015_s_at	4449.5	P	0.000244
200016_x_at	11824.7	P	0.000244
200017_at	12989.1	P	0.000244
200018_at	12489.1	P	0.000244
200019_s_at	6030.3	P	0.000244
200020_at	2165.1	P	0.000244
200021_at	5146.4	P	0.001953
200022_at	12945	P	0.000244
200023_s_at	4338.7	P	0.000244
200024_at	9377.6	P	0.000244
200025_s_at	13117.8	P	0.000244
200026_at	8833	P	0.000244
200027_at	4498.7	P	0.000244
200028_s_at	2205.3	P	0.000244
200029_at	10797.3	P	0.000244
200030_s_at	6350.8	P	0.000244
200031_s_at	15349	P	0.000244
200032_s_at	11675.2	P	0.000244
200033_at	4951.6	P	0.000244
200034_s_at	11451.7	P	0.000244
200035_at	285.3	P	0.008057
200036_s_at	7792.3	P	0.000244
200037_s_at	6525.4	P	0.000244
200038_s_at	13960.6	P	0.000244
200039_s_at	3441.2	P	0.000244
200040_at	3484.3	P	0.000244
200041_s_at	5261.6	P	0.000244
200042_at	1904.7	P	0.000244
200043_at	6247.7	P	0.000244
200044_at	3956.4	P	0.000244
200045_at	850.2	P	0.000244
200046_at	2258.6	P	0.000244
200047_s_at	3712.4	P	0.000244
200048_s_at	4824.1	P	0.000244
200049_at	698.2	P	0.000244
200050_at	5490.9	P	0.000244
200051_at	277.8	P	0.000244
200052_s_at	2837	P	0.000244
200053_at	429.6	P	0.000244
200054_at	337.5	P	0.000244
200055_at	663.9	P	0.000244
200056_s_at	1269.1	P	0.000244
200057_s_at	6922.7	P	0.000244
200058_s_at	2988	P	0.000244
200059_s_at	3885.8	P	0.000244
200060_s_at	4160.9	P	0.000244
200061_s_at	11483.1	P	0.000244
200062_s_at	9179.1	P	0.000244
200063_s_at	9796.3	P	0.000244
200064_at	6801	P	0.000244
200065_s_at	4907.2	P	0.000244
200066_at	955.9	P	0.000244
200067_x_at	2403.2	P	0.000244
200068_s_at	3677.5	P	0.000244
200069_at	465	P	0.000244
200070_at	207.2	P	0.010742
200071_at	2701.3	P	0.000244
200072_s_at	4488.8	P	0.000244
200073_s_at	4423	P	0.000244
200074_s_at	5415.8	P	0.000244
200075_s_at	1155.8	P	0.000244
200076_s_at	597.1	P	0.000244
200077_s_at	9686.6	P	0.000244
200078_s_at	1739	P	0.000244
200079_s_at	2525.7	P	0.000244
200080_s_at	9795.8	P	0.000244
200081_s_at	12159.3	P	0.000244
200082_s_at	11071.2	P	0.000244
200083_at	1235.8	P	0.000244
200084_at	2573.7	P	0.000244
200085_s_at	4091.9	P	0.000244
200086_s_at	4593.5	P	0.000244
200087_s_at	4993.9	P	0.000244
200088_x_at	11526.8	P	0.000244
200089_s_at	12096.5	P	0.000244
200090_at	2457.7	P	0.000244
200091_s_at	8295.5	P	0.000244
200092_s_at	13608.4	P	0.000244
200093_s_at	4971	P	0.000244
200094_s_at	11098.7	P	0.000244
200095_x_at	14420.6	P	0.000244
200096_s_at	1524.2	P	0.000244
200097_s_at	4579.3	P	0.000244
200098_s_at	2513.7	P	0.000244
200099_s_at	13610.1	P	0.000244
200593_s_at	2402.9	P	0.000244
200594_x_at	5439	P	0.000244
200595_s_at	5030.9	P	0.000244
200596_s_at	1800.3	P	0.000244
200597_at	397.4	P	0.000244
200598_s_at	1232	P	0.000244
200599_s_at	3748.2	P	0.000244
200600_at	478.2	P	0.000244
200601_at	1196.6	P	0.000244
200602_at	875.6	P	0.000244
200603_at	4027.1	P	0.000244
200604_s_at	992.5	P	0.000244
200605_s_at	2583.4	P	0.000244
200606_at	2028.6	P	0.000244
200607_s_at	1144.1	P	0.000244
200608_s_at	3231.1	P	0.000244
200609_s_at	950.3	P	0.005859
200610_s_at	5909.6	P	0.000244
200611_s_at	826.2	P	0.000244
200612_s_at	719.3	P	0.000732
200613_at	2595.8	P	0.000244
200614_at	5207.2	P	0.000244
200615_s_at	697.3	P	0.000244
200616_s_at	645	P	0.00415
200617_at	267.5	P	0.000244
200618_at	656.3	P	0.000244
200619_at	935.9	P	0.01416
200620_at	2062.3	P	0.000244
200621_at	369.1	P	0.000732
200622_x_at	341.8	P	0.000244
200623_s_at	260.7	P	0.000244
200624_s_at	4035.1	P	0.000244
200625_s_at	1322.2	P	0.000244
200626_s_at	5820.3	P	0.000244
200627_at	8121.6	P	0.000244
200628_s_at	661.8	P	0.010742
200629_at	920.5	P	0.000244
200630_x_at	3956.2	P	0.000244
200631_s_at	3679.2	P	0.000244
200632_s_at	473.8	P	0.000244
200633_at	11650.9	P	0.000244
200634_at	4298.3	P	0.000244
200635_s_at	168.5	P	0.000732
200636_s_at	495.8	P	0.001221
200637_s_at	119.1	P	0.000244
200638_s_at	3434.1	P	0.000244
200639_s_at	2673.3	P	0.000244
200640_at	3624	P	0.000244
200641_s_at	1807.7	P	0.000244
200642_at	7321.3	P	0.000244
200643_at	575.5	P	0.000732
200644_at	2236.2	P	0.000732
200645_at	2907.4	P	0.000244
200646_s_at	156.2	P	0.000732
200647_x_at	6074.3	P	0.000244
200648_s_at	697.3	P	0.000244
200649_at	197.1	P	0.000244
200650_s_at	5521.6	P	0.000244
200651_at	13297.3	P	0.000244
200652_at	1598.2	P	0.000244
200653_s_at	1479.9	P	0.000244
200654_at	2329.6	P	0.037598
200655_s_at	2061.8	P	0.000244
200656_s_at	1464.2	P	0.000244
200657_at	6792.1	P	0.000244
200658_s_at	1992.1	P	0.000244
200659_s_at	445.2	P	0.000244
200660_at	486.5	P	0.000244
200661_at	203.1	P	0.00415
200662_s_at	6074.6	P	0.000244
200663_at	2264.6	P	0.000244
200664_s_at	273.1	P	0.005859
200665_s_at	390	P	0.001953
200666_s_at	541	P	0.000244
200667_at	1334.8	P	0.000244
200668_s_at	3008.4	P	0.000244
200669_s_at	1710.4	P	0.000244
200670_at	2061	P	0.000244
200671_s_at	117.8	P	0.018555
200672_x_at	257	P	0.000244
200673_at	2802.4	P	0.000244
200674_s_at	9732.8	P	0.000244
200675_at	1500.5	P	0.000244
200676_s_at	234.1	P	0.000244
200677_at	1917	P	0.000244
200678_x_at	405.5	P	0.00293
200679_x_at	2869.1	P	0.000244
200680_x_at	6028.3	P	0.000244
200681_at	6006.9	P	0.000244
200682_s_at	3193.6	P	0.000244
200683_s_at	1072.8	P	0.000244
200684_s_at	586.9	P	0.000244
200685_at	618.9	P	0.000244
200686_s_at	6116.7	P	0.000244
200687_s_at	1527.1	P	0.000244
200688_at	280.8	P	0.00415
200689_x_at	9867.3	P	0.000244
200690_at	609.5	P	0.000244
200691_s_at	2857.7	P	0.000244
200692_s_at	1819.3	P	0.000244
200693_at	5040.6	P	0.000244
200694_s_at	1524.2	P	0.000244
200695_at	719.2	P	0.000244
200696_s_at	154.6	P	0.005859
200697_at	903.5	P	0.000244
200698_at	1873.6	P	0.000244
200699_at	961.7	P	0.000244
200700_s_at	1049.2	P	0.000244
200701_at	1593.7	P	0.000244
200702_s_at	586	P	0.000244
200703_at	3612.2	P	0.000244
200704_at	380.7	P	0.000244
200705_s_at	9912.9	P	0.000244
200706_s_at	350.2	P	0.000244
200707_at	475	P	0.000244
200708_at	2306.8	P	0.000244
200709_at	1643	P	0.000244
200710_at	644.6	P	0.000244
200711_s_at	1338.7	P	0.000244
200712_s_at	680.3	P	0.000244
200713_s_at	1472.8	P	0.000244
200714_x_at	803.2	P	0.000244
200715_x_at	8354.8	P	0.000244
200716_x_at	13948	P	0.000244
200717_x_at	12869.2	P	0.000244
200718_s_at	7704.3	P	0.000244
200719_at	194	P	0.000244
200720_s_at	600.7	P	0.000244
200721_s_at	570.9	P	0.000732
200722_s_at	1081	P	0.000244
200723_s_at	3039.6	P	0.000244
200724_at	21.4	A	0.095215
200725_x_at	8180.2	P	0.000244
200726_at	5207.8	P	0.000244
200727_s_at	482.9	P	0.000732
200728_at	2369.8	P	0.000244
200729_s_at	2295.3	P	0.000244
200730_s_at	559.3	P	0.000244
200731_s_at	528.1	P	0.000244
200732_s_at	951.5	P	0.000244
200733_s_at	2865.3	P	0.000244
200734_s_at	513.8	P	0.000244
200735_x_at	11296.7	P	0.000244
200736_s_at	1637.2	P	0.000244
200737_at	1116.9	P	0.000732
200738_s_at	4380.5	P	0.000244
200739_s_at	374.4	P	0.000244
200740_s_at	2502.6	P	0.000244
200741_s_at	11802.9	P	0.000244
200742_s_at	161.1	P	0.000244
200743_s_at	369.5	P	0.000244
200744_s_at	960.4	P	0.000244
200745_s_at	1185.4	P	0.000244
200746_s_at	1532.4	P	0.000732
200747_s_at	205.4	P	0.00415
200748_s_at	2923.6	P	0.000244
200749_at	2767.8	P	0.000244
200750_s_at	6996.4	P	0.000244
200751_s_at	4454.6	P	0.000244
200752_s_at	55.1	P	0.030273
200753_x_at	2603.3	P	0.000244
200754_x_at	4657.4	P	0.000244
200755_s_at	593.7	P	0.000244
200756_x_at	363.4	P	0.000244
200757_s_at	618.7	P	0.000732
200758_s_at	399.6	P	0.000732
200759_x_at	563.9	P	0.000244
200760_s_at	1197	P	0.000244
200761_s_at	1651.8	P	0.000244
200762_at	838.2	P	0.000244
200763_s_at	13532.2	P	0.000244
200764_s_at	1556.1	P	0.000244
200765_x_at	2743.7	P	0.000244
200766_at	93.7	P	0.000732
200767_s_at	169.3	P	0.000244
200768_s_at	1807.5	P	0.000244
200769_s_at	443.5	P	0.000244
200770_s_at	330	P	0.000244
200771_at	1151.6	P	0.000244
200772_x_at	6131.7	P	0.000244
200773_x_at	5374.8	P	0.000244
200774_at	3420.7	P	0.000244
200775_s_at	5591.5	P	0.000244
200776_s_at	2241.6	P	0.000244
200777_s_at	2676.2	P	0.000244
200778_s_at	1833.9	P	0.000244
200779_at	7001.5	P	0.000244
200780_x_at	5455.9	P	0.000244
200781_s_at	10477.5	P	0.000244
200782_at	2064	P	0.000244
200783_s_at	755.1	P	0.000244
200784_s_at	4.6	A	0.969727
200785_s_at	25.4	A	0.303711
200786_at	3336.7	P	0.000244
200787_s_at	307.1	P	0.000244
200788_s_at	906.9	P	0.000244
200789_at	1030.7	P	0.00415
200790_at	4092.3	P	0.000244
200791_s_at	1045.5	P	0.000244
200792_at	6698.6	P	0.000244
200793_s_at	945.1	P	0.000732
200794_x_at	2120	P	0.000244
200795_at	1.2	A	0.943848
200796_s_at	126	P	0.005859
200797_s_at	1615	P	0.000244
200798_x_at	1288.5	P	0.000244
200799_at	6493.1	P	0.000244
200800_s_at	3744.8	P	0.000244
200801_x_at	11854	P	0.000244
200802_at	2501.2	P	0.000244
200803_s_at	3585.9	P	0.000244
200804_at	3545.5	P	0.000244
200805_at	758.2	P	0.000244
200806_s_at	6461.2	P	0.000244
200807_s_at	11271	P	0.000244
200808_s_at	162.5	P	0.000732
200809_x_at	9239.4	P	0.000244
200810_s_at	1491.2	P	0.000244
200811_at	594.7	P	0.00415
200812_at	5519.9	P	0.000244
200813_s_at	452.9	P	0.000732
200814_at	705.9	P	0.000244
200815_s_at	657.2	P	0.000244
200816_s_at	868.3	P	0.000732
200817_x_at	15482.2	P	0.000244
200818_at	5317.7	P	0.000244
200819_s_at	12645.5	P	0.000244
200820_at	4064.3	P	0.000244
200821_at	1261.3	P	0.000244
200822_x_at	3917.6	P	0.000244
200823_x_at	7304.1	P	0.000244
200824_at	656.9	P	0.000244
200825_s_at	532.3	P	0.000244
200826_at	6373.7	P	0.000244
200827_at	135.9	P	0.001221
200828_s_at	3898	P	0.000244
200829_x_at	2775.9	P	0.000244
200830_at	1512.5	P	0.000244
200831_s_at	710.6	P	0.000244
200832_s_at	2561.3	P	0.000244
200833_s_at	2785.2	P	0.000244
200834_s_at	11130.8	P	0.000244
200835_s_at	95.2	A	0.149658
200836_s_at	157	A	0.067627
200837_at	1805.2	P	0.000244
200838_at	295.8	P	0.001953
200839_s_at	498.5	P	0.000244
200840_at	6673.5	P	0.000244
200841_s_at	499.8	P	0.000244
200842_s_at	2101.6	P	0.000244
200843_s_at	1105.7	P	0.000244
200844_s_at	3241	P	0.000244
200845_s_at	2989.2	P	0.000244
200846_s_at	1370.8	P	0.000244
200847_s_at	1757.7	P	0.000244
200848_at	703	P	0.000244
200849_s_at	886.8	P	0.000244
200850_s_at	2041.8	P	0.000244
200851_s_at	1651	P	0.000244
200852_x_at	847.3	P	0.00415
200853_at	7017.4	P	0.000244
200854_at	415.5	P	0.000732
200855_at	216.2	P	0.000244
200856_x_at	173.8	P	0.000244
200857_s_at	330.6	P	0.001221
200858_s_at	11158.3	P	0.000244
200859_x_at	480.4	P	0.000732
200860_s_at	1965.9	P	0.000244
200861_at	515.3	P	0.000732
200862_at	635.2	P	0.000244
200863_s_at	2528	P	0.000244
200864_s_at	928.2	P	0.000244
200865_at	0.8	A	0.969727
200866_s_at	1277.7	P	0.000244
200867_at	678.8	P	0.000244
200868_s_at	730.4	P	0.001221
200869_at	12678	P	0.000244
200870_at	4951.4	P	0.000244
200871_s_at	2211.4	P	0.000244
200872_at	1287	P	0.000244
200873_s_at	7102.8	P	0.000244
200874_s_at	769.2	P	0.000244
200875_s_at	3542.5	P	0.000244
200876_s_at	4087.2	P	0.000244
200877_at	6915	P	0.000244
200878_at	355.7	P	0.000244
200879_s_at	3.8	A	0.567627
200880_at	1824.3	P	0.000244
200881_s_at	3410.9	P	0.000244
200882_s_at	2483.8	P	0.000244
200883_at	2087	P	0.000244
200884_at	3951.4	P	0.000244
200885_at	953	P	0.00293
200886_s_at	5961	P	0.000244
200887_s_at	732.5	P	0.000244
200888_s_at	9089.3	P	0.000244
200889_s_at	522.1	P	0.000244
200890_s_at	376.1	P	0.000244
200891_s_at	1408.7	P	0.000244
200892_s_at	2852.9	P	0.000244
200893_at	4644.6	P	0.000244
200894_s_at	697.6	P	0.000244
200895_s_at	1669.5	P	0.000732
200896_x_at	1320	P	0.000244
200897_s_at	1475.3	P	0.000244
200898_s_at	515.5	P	0.000244
200899_s_at	1652.3	P	0.000244
200900_s_at	503.9	P	0.000244
200901_s_at	642.6	P	0.000244
200902_at	3334.2	P	0.000244
200903_s_at	1311.2	P	0.000244
200904_at	183.3	P	0.000244
200905_x_at	977.8	P	0.000244
200906_s_at	170	P	0.000244
200907_s_at	956.7	P	0.000244
200908_s_at	101.8	P	0.010742
200909_s_at	8479.1	P	0.000244
200910_at	4843.8	P	0.000244
200911_s_at	482	P	0.01416
200912_s_at	4286.2	P	0.000244
200913_at	840.9	P	0.000244
200914_x_at	1319.4	P	0.000244
200915_x_at	3250.8	P	0.000244
200916_at	1865.6	P	0.000244
200917_s_at	89	P	0.046143
200918_s_at	665.9	P	0.001953
200919_at	788.2	P	0.00415
200920_s_at	1215	P	0.000244
200921_s_at	2275	P	0.000244
200922_at	568.6	P	0.000244
200923_at	1342.6	P	0.001221
200924_s_at	1499.5	P	0.000244
200925_at	6756.5	P	0.000244
200926_at	15462.9	P	0.000244
200927_s_at	792.3	P	0.000244
200928_s_at	21.1	P	0.001953
200929_at	1220.3	P	0.000244
200930_s_at	13.7	A	0.5
200931_s_at	2034.1	P	0.000244
200932_s_at	1500.3	P	0.000244
200933_x_at	14869.7	P	0.000244
200934_at	5377.8	P	0.000244
200935_at	133.5	P	0.000244
200936_at	14186.6	P	0.000244
200937_s_at	11624.7	P	0.000244
200938_s_at	6.7	A	0.303711
200939_s_at	32.3	A	0.095215
200940_s_at	272.8	P	0.000244
200941_at	1610.2	P	0.000244
200942_s_at	2304.8	P	0.000244
200943_at	6702.5	P	0.000244
200944_s_at	6081.4	P	0.000244
200945_s_at	1190.3	P	0.000244
200946_x_at	816.1	P	0.000244
200947_s_at	1176.7	P	0.000244
200948_at	1325.2	P	0.000244
200949_x_at	6101.2	P	0.000244
200950_at	1691.3	P	0.000244
200951_s_at	244.3	P	0.00415
200952_s_at	78.6	P	0.000244
200953_s_at	1736.9	P	0.000244
200954_at	902.6	A	0.080566
200955_at	1529.6	P	0.000244
200956_s_at	1474.7	P	0.000244
200957_s_at	1412.6	P	0.000244
200958_s_at	3378.2	P	0.000244
200959_at	1179.8	P	0.000244
200960_x_at	3003.7	P	0.001953
200961_at	2103.7	P	0.000244
200962_at	751.2	P	0.000732
200963_x_at	14043.2	P	0.000244
200964_at	3116.8	P	0.000244
200965_s_at	997.1	P	0.000244
200966_x_at	6107.6	P	0.000244
200967_at	3131.1	P	0.000244
200968_s_at	1309.7	P	0.000244
200969_at	645.1	P	0.000244
200970_s_at	672.1	P	0.00293
200971_s_at	1350.3	P	0.000244
200972_at	3607.8	P	0.000244
200973_s_at	1865.3	P	0.000244
200974_at	1325.5	P	0.000244
200975_at	2143.2	P	0.000244
200976_s_at	1402.5	P	0.000244
200977_s_at	1845.5	P	0.000244
200978_at	3914.6	P	0.000244
200979_at	469	P	0.000244
200980_s_at	2011.2	P	0.000244
200981_x_at	5290.5	P	0.000244
200982_s_at	256	P	0.000244
200983_x_at	718.7	P	0.000244
200984_s_at	728.2	P	0.000244
200985_s_at	721.9	P	0.000244
200986_at	7.4	A	0.432373
200987_x_at	600.5	P	0.000244
200988_s_at	99.9	P	0.000244
200989_at	3935.8	P	0.000244
200990_at	2120.2	P	0.000732
200991_s_at	1105.1	P	0.000732
200992_at	1164.9	P	0.000244
200993_at	1361	P	0.000244
200994_at	1120.3	P	0.000244
200995_at	554.4	P	0.001221
200996_at	2718.3	P	0.000244
200997_at	2030.1	P	0.000244
200998_s_at	659.8	P	0.000244
200999_s_at	1580.5	P	0.000244
201000_at	1288.1	P	0.001221
201001_s_at	605	P	0.000244
201002_s_at	953.5	P	0.000244
201003_x_at	945.3	P	0.000244
201004_at	2454.5	P	0.000244
201005_at	888.3	P	0.000732
201006_at	78.5	P	0.037598
201007_at	1302.6	P	0.000244
201008_s_at	217.4	P	0.00293
201009_s_at	236	P	0.005859
201010_s_at	227.6	P	0.000244
201011_at	867.5	P	0.000244
201012_at	534.2	P	0.000244
201013_s_at	2404.7	P	0.000244
201014_s_at	1979	P	0.000244
201015_s_at	343.7	P	0.000244
201016_at	2038.2	P	0.000244
201017_at	1360.1	P	0.000244
201018_at	1875	P	0.000244
201019_s_at	3887.1	P	0.000244
201020_at	803.7	P	0.000244
201021_s_at	1973	P	0.000244
201022_s_at	2147.4	P	0.000244
201023_at	2038.3	P	0.000244
201024_x_at	1190.1	P	0.000244
201025_at	361.1	P	0.000244
201026_at	253.9	P	0.01416
201027_s_at	633.5	P	0.000732
201028_s_at	327.5	P	0.001221
201029_s_at	778.9	P	0.000244
201030_x_at	8624.5	P	0.000244
201031_s_at	6029	P	0.000244
201032_at	376.2	P	0.000732
201033_x_at	11003.4	P	0.000244
201034_at	2332	P	0.000244
201035_s_at	414	P	0.001221
201036_s_at	955.9	P	0.000244
201037_at	1158.5	P	0.000244
201038_s_at	858.9	P	0.000732
201039_s_at	733.1	P	0.000244
201040_at	107.6	P	0.010742
201041_s_at	848.6	P	0.000244
201042_at	25	A	0.303711
201043_s_at	414.5	P	0.000244
201044_x_at	48.2	P	0.046143
201045_s_at	19.8	A	0.5
201046_s_at	783.2	P	0.00415
201047_x_at	770.9	P	0.000244
201048_x_at	98.2	P	0.046143
201049_s_at	12295.6	P	0.000244
