^SAMPLE = GSM281775
!Sample_title = 293-tet-On-NOR1 without doxycycline
!Sample_geo_accession = GSM281775
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-NOR1 cells, doxycycline untreated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-NOR1 cells were cultured without doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = without doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by NOR1 overexpression, we compared expression profiles between NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281775/suppl/GSM281775.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = NOR1 minus dox
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-HUMGAPDH/M33197_3_at	12238.2	P	0.000044
AFFX-HSAC07/X00351_5_at	8427.5	P	0.000044
AFFX-HSAC07/X00351_M_at	9183.3	P	0.000044
AFFX-HSAC07/X00351_3_at	11961.7	P	0.000044
AFFX-M27830_5_at	1374.7	P	0.000044
AFFX-M27830_M_at	1996.9	P	0.002023
AFFX-M27830_3_at	18.4	A	0.544587
AFFX-hum_alu_at	15829.8	P	0
1007_s_at	425.3	P	0.000805
1053_at	1094.3	P	0.000219
117_at	29.8	P	0.02786
121_at	130.1	P	0.021866
1255_g_at	12.6	A	0.284747
1294_at	27	A	0.302547
1316_at	32	P	0.005636
1320_at	48.5	A	0.081337
1405_i_at	0.7	A	0.96798
1431_at	16.8	P	0.013092
1438_at	17.8	A	0.250724
1487_at	242	P	0.017001
1494_f_at	30.5	A	0.107301
1598_g_at	212.5	P	0.011447
160020_at	62.2	M	0.060419
1729_at	95.9	P	0.001354
1773_at	159.5	P	0.014937
177_at	37.5	P	0.000959
179_at	128.9	A	0.107301
1861_at	107	P	0.001602
200000_s_at	2072.5	P	0.000244
200001_at	2682.2	P	0.000244
200002_at	10282.3	P	0.000244
200003_s_at	14292	P	0.000244
200004_at	6400.5	P	0.000244
200005_at	5842.7	P	0.000244
200006_at	7905.8	P	0.000244
200007_at	5228.3	P	0.000244
200008_s_at	2154.1	P	0.000244
200009_at	4559.9	P	0.000244
200010_at	10972.5	P	0.000244
200011_s_at	660.4	P	0.000244
200012_x_at	9655	P	0.000244
200013_at	12864	P	0.000244
200014_s_at	4235	P	0.000244
200015_s_at	5130.3	P	0.000732
200016_x_at	13003	P	0.000244
200017_at	13037.5	P	0.000244
200018_at	14488.7	P	0.000244
200019_s_at	7629.6	P	0.000244
200020_at	2531.1	P	0.000244
200021_at	6501.1	P	0.00293
200022_at	14438.6	P	0.000244
200023_s_at	4952.5	P	0.000244
200024_at	9333.6	P	0.000244
200025_s_at	13727.1	P	0.000244
200026_at	10360.2	P	0.000244
200027_at	4097.7	P	0.000244
200028_s_at	2621.2	P	0.000244
200029_at	11174.2	P	0.000244
200030_s_at	6702.8	P	0.000244
200031_s_at	16535.9	P	0.000244
200032_s_at	12347	P	0.000244
200033_at	5388.3	P	0.000244
200034_s_at	12295.5	P	0.000244
200035_at	363.1	P	0.008057
200036_s_at	7196	P	0.000244
200037_s_at	6610.7	P	0.000244
200038_s_at	15147.9	P	0.000244
200039_s_at	4130.8	P	0.000244
200040_at	3864.5	P	0.000244
200041_s_at	5909.5	P	0.000244
200042_at	2134.5	P	0.000244
200043_at	6972.5	P	0.000244
200044_at	4357.6	P	0.000244
200045_at	1060	P	0.000244
200046_at	2860.4	P	0.000244
200047_s_at	4201.7	P	0.000244
200048_s_at	5074	P	0.000244
200049_at	439.4	P	0.000244
200050_at	6196.7	P	0.000244
200051_at	277.4	P	0.000732
200052_s_at	3470.5	P	0.000244
200053_at	489.2	P	0.000244
200054_at	316.7	P	0.000244
200055_at	904.6	P	0.000244
200056_s_at	1446	P	0.000244
200057_s_at	7355.5	P	0.000244
200058_s_at	2979.6	P	0.000244
200059_s_at	4455.6	P	0.000244
200060_s_at	4988.8	P	0.000244
200061_s_at	12150.6	P	0.000244
200062_s_at	10017.2	P	0.000244
200063_s_at	10470.8	P	0.000244
200064_at	8207.7	P	0.000244
200065_s_at	5400.8	P	0.000244
200066_at	901.3	P	0.000244
200067_x_at	2149.1	P	0.000244
200068_s_at	4096.6	P	0.000244
200069_at	511.8	P	0.000244
200070_at	211.1	P	0.010742
200071_at	2853.9	P	0.000244
200072_s_at	5173	P	0.000244
200073_s_at	4347.2	P	0.000244
200074_s_at	6204.2	P	0.000244
200075_s_at	1339.4	P	0.000244
200076_s_at	593.9	P	0.000244
200077_s_at	9396.8	P	0.000244
200078_s_at	2202.5	P	0.000244
200079_s_at	3011.2	P	0.000244
200080_s_at	10488.2	P	0.000244
200081_s_at	12631.9	P	0.000244
200082_s_at	11685.9	P	0.000244
200083_at	1579.4	P	0.000244
200084_at	2512.9	P	0.000244
200085_s_at	4880.7	P	0.000244
200086_s_at	4925.2	P	0.000244
200087_s_at	5443.6	P	0.000244
200088_x_at	11266.1	P	0.000244
200089_s_at	12180.1	P	0.000244
200090_at	2271.5	P	0.000244
200091_s_at	9393.6	P	0.000244
200092_s_at	14598.3	P	0.000244
200093_s_at	5759.2	P	0.000244
200094_s_at	11801.7	P	0.000244
200095_x_at	15249.6	P	0.000244
200096_s_at	1857.9	P	0.000244
200097_s_at	4901.1	P	0.000244
200098_s_at	2908.6	P	0.000244
200099_s_at	14216.2	P	0.000244
200593_s_at	2988.1	P	0.000244
200594_x_at	5981.3	P	0.000244
200595_s_at	5633.7	P	0.000244
200596_s_at	1933	P	0.000244
200597_at	407.3	P	0.000244
200598_s_at	1365.5	P	0.000244
200599_s_at	3959.7	P	0.000244
200600_at	728.3	P	0.000244
200601_at	1388.6	P	0.000244
200602_at	860.8	P	0.000244
200603_at	3914.6	P	0.000244
200604_s_at	820.7	P	0.000244
200605_s_at	1984.6	P	0.000244
200606_at	2363.8	P	0.000244
200607_s_at	1040.7	P	0.000732
200608_s_at	3033.1	P	0.000244
200609_s_at	1281.2	P	0.000244
200610_s_at	6801.4	P	0.000244
200611_s_at	1028.1	P	0.000244
200612_s_at	742.2	P	0.000244
200613_at	2322	P	0.000244
200614_at	4795.6	P	0.000244
200615_s_at	583	P	0.000244
200616_s_at	521.9	P	0.000732
200617_at	378.3	P	0.000732
200618_at	796.3	P	0.001221
200619_at	1088.5	P	0.00415
200620_at	2021.7	P	0.000244
200621_at	367	P	0.000732
200622_x_at	390.7	P	0.000732
200623_s_at	356.7	P	0.000244
200624_s_at	3427.7	P	0.000244
200625_s_at	1671.3	P	0.000244
200626_s_at	4786.8	P	0.000244
200627_at	9078.5	P	0.000244
200628_s_at	448.5	P	0.023926
200629_at	584.4	P	0.000244
200630_x_at	4445.9	P	0.000244
200631_s_at	4054.9	P	0.000244
200632_s_at	894.9	P	0.000244
200633_at	12786.2	P	0.000244
200634_at	5280.9	P	0.000244
200635_s_at	238.3	P	0.000732
200636_s_at	613.3	P	0.000244
200637_s_at	150.5	P	0.000244
200638_s_at	3654.6	P	0.000244
200639_s_at	2782	P	0.000244
200640_at	3447.4	P	0.000244
200641_s_at	1963	P	0.000244
200642_at	8543.4	P	0.000244
200643_at	639.3	P	0.000244
200644_at	2419.9	P	0.000244
200645_at	3133.4	P	0.000244
200646_s_at	178.8	P	0.000732
200647_x_at	6002.1	P	0.000244
200648_s_at	1086.9	P	0.000244
200649_at	245.2	P	0.000244
200650_s_at	7495.2	P	0.000244
200651_at	14523.4	P	0.000244
200652_at	2463	P	0.000244
200653_s_at	1591.7	P	0.000244
200654_at	2711	P	0.01416
200655_s_at	2601.7	P	0.000244
200656_s_at	1504.8	P	0.000244
200657_at	7871.6	P	0.000244
200658_s_at	2923	P	0.000244
200659_s_at	840.5	P	0.000244
200660_at	524.3	P	0.00415
200661_at	338.1	P	0.001953
200662_s_at	6661.3	P	0.000244
200663_at	2914.2	P	0.000244
200664_s_at	462.8	P	0.001221
200665_s_at	372.2	P	0.001953
200666_s_at	930.1	P	0.000244
200667_at	1219.7	P	0.000244
200668_s_at	2829	P	0.000244
200669_s_at	1637.3	P	0.000244
200670_at	833.9	P	0.000244
200671_s_at	80.2	P	0.037598
200672_x_at	197.8	P	0.000244
200673_at	3143.4	P	0.000244
200674_s_at	10917.9	P	0.000244
200675_at	2150.8	P	0.000244
200676_s_at	386.5	P	0.000244
200677_at	2040.2	P	0.000244
200678_x_at	528	P	0.00293
200679_x_at	3915.9	P	0.000244
200680_x_at	7295.6	P	0.000244
200681_at	6760.5	P	0.000244
200682_s_at	4184.7	P	0.000244
200683_s_at	1393.4	P	0.000244
200684_s_at	811.3	P	0.000244
200685_at	660.7	P	0.000244
200686_s_at	5157.3	P	0.000244
200687_s_at	1436.6	P	0.000244
200688_at	280.8	P	0.00415
200689_x_at	10475.1	P	0.000244
200690_at	775.3	P	0.000244
200691_s_at	3123.5	P	0.000244
200692_s_at	2078.5	P	0.000244
200693_at	5615.9	P	0.000244
200694_s_at	1594	P	0.000244
200695_at	887.7	P	0.000244
200696_s_at	161.4	P	0.008057
200697_at	1100.2	P	0.000244
200698_at	2095.5	P	0.000244
200699_at	1105.3	P	0.000244
200700_s_at	1210	P	0.000244
200701_at	1763.1	P	0.000244
200702_s_at	695.9	P	0.000244
200703_at	3404.8	P	0.000244
200704_at	482.6	P	0.000244
200705_s_at	9365.7	P	0.000244
200706_s_at	486.8	P	0.000244
200707_at	507.4	P	0.000244
200708_at	2389.5	P	0.000244
200709_at	1776.1	P	0.000244
200710_at	400.8	P	0.000244
200711_s_at	1820.5	P	0.000244
200712_s_at	825.3	P	0.000244
200713_s_at	1820.2	P	0.000244
200714_x_at	795.3	P	0.000244
200715_x_at	8121.2	P	0.000244
200716_x_at	13714.8	P	0.000244
200717_x_at	14398.1	P	0.000244
200718_s_at	8689.3	P	0.000244
200719_at	267.8	P	0.000244
200720_s_at	725.8	P	0.000244
200721_s_at	690.8	P	0.000244
200722_s_at	902.6	P	0.000244
200723_s_at	3283.9	P	0.000244
200724_at	26.4	A	0.067627
200725_x_at	7732.7	P	0.000244
200726_at	5349.5	P	0.000244
200727_s_at	512.9	P	0.000732
200728_at	2492.2	P	0.000244
200729_s_at	2483.3	P	0.000244
200730_s_at	741.1	P	0.000244
200731_s_at	864.6	P	0.000244
200732_s_at	1330.9	P	0.000244
200733_s_at	3941.3	P	0.000244
200734_s_at	508.5	P	0.000244
200735_x_at	12456.2	P	0.000244
200736_s_at	1755.4	P	0.000244
200737_at	1464.9	P	0.000732
200738_s_at	5213.9	P	0.000244
200739_s_at	282.2	P	0.000244
200740_s_at	1998.2	P	0.000244
200741_s_at	12558.1	P	0.000244
200742_s_at	157.1	P	0.000244
200743_s_at	354.2	P	0.000244
200744_s_at	1078.8	P	0.000244
200745_s_at	1362.4	P	0.000244
200746_s_at	1618.4	P	0.000732
200747_s_at	239.6	P	0.00293
200748_s_at	3135.1	P	0.000244
200749_at	2999.1	P	0.000244
200750_s_at	8385.7	P	0.000244
200751_s_at	4314	P	0.000244
200752_s_at	102	P	0.023926
200753_x_at	2247.8	P	0.000244
200754_x_at	4566	P	0.000244
200755_s_at	719.6	P	0.000244
200756_x_at	475.4	P	0.000244
200757_s_at	722	P	0.000732
200758_s_at	387.7	P	0.000732
200759_x_at	612.2	P	0.000244
200760_s_at	830.3	P	0.000244
200761_s_at	1104.2	P	0.000244
200762_at	1041.1	P	0.000244
200763_s_at	14377.9	P	0.000244
200764_s_at	859.8	P	0.000244
200765_x_at	1419.8	P	0.000244
200766_at	100.8	P	0.005859
200767_s_at	175.7	P	0.000244
200768_s_at	2317.1	P	0.000244
200769_s_at	506.5	P	0.000244
200770_s_at	362.1	P	0.000244
200771_at	1143.2	P	0.000244
200772_x_at	8138.6	P	0.000244
200773_x_at	6410.6	P	0.000244
200774_at	3497.4	P	0.000244
200775_s_at	5884.9	P	0.000244
200776_s_at	2659.3	P	0.000244
200777_s_at	3325.9	P	0.000244
200778_s_at	2033.5	P	0.000244
200779_at	6639.8	P	0.000244
200780_x_at	5560	P	0.000244
200781_s_at	11343.9	P	0.000244
200782_at	2174	P	0.000244
200783_s_at	1133.9	P	0.000244
200784_s_at	2.4	A	0.989258
200785_s_at	10.6	A	0.432373
200786_at	4124.7	P	0.000244
200787_s_at	283.5	P	0.000244
200788_s_at	761.2	P	0.000244
200789_at	1298.4	P	0.005859
200790_at	4982.8	P	0.000244
200791_s_at	1152.5	P	0.000244
200792_at	7292	P	0.000244
200793_s_at	1125.8	P	0.000244
200794_x_at	2762.5	P	0.000244
200795_at	2	A	0.533936
200796_s_at	148.8	P	0.00293
200797_s_at	1690.5	P	0.000244
200798_x_at	1500.5	P	0.000244
200799_at	9703.2	P	0.000244
200800_s_at	7723.6	P	0.000244
200801_x_at	13215.6	P	0.000244
200802_at	1645.8	P	0.000244
200803_s_at	3853.3	P	0.000244
200804_at	3879.1	P	0.000244
200805_at	817	P	0.000244
200806_s_at	6852.8	P	0.000244
200807_s_at	12734.2	P	0.000244
200808_s_at	210.4	P	0.000732
200809_x_at	9291.7	P	0.000244
200810_s_at	1273.7	P	0.000244
200811_at	616.3	P	0.001953
200812_at	6196.6	P	0.000244
200813_s_at	324.4	P	0.000732
200814_at	907.1	P	0.000244
200815_s_at	546.4	P	0.000244
200816_s_at	836.2	P	0.000244
200817_x_at	16351	P	0.000244
200818_at	6507.5	P	0.000244
200819_s_at	14192.3	P	0.000244
200820_at	4961.5	P	0.000244
200821_at	1507.6	P	0.000732
200822_x_at	4267.9	P	0.000244
200823_x_at	8638.9	P	0.000244
200824_at	890.2	P	0.000244
200825_s_at	550	P	0.000244
200826_at	8593.6	P	0.000244
200827_at	228.3	P	0.001221
200828_s_at	3413	P	0.000244
200829_x_at	2517.8	P	0.000244
200830_at	1892.6	P	0.000244
200831_s_at	879.5	P	0.000244
200832_s_at	2862.6	P	0.000244
200833_s_at	2750.7	P	0.000244
200834_s_at	10220.1	P	0.000244
200835_s_at	58.4	A	0.246094
200836_s_at	159.5	M	0.056152
200837_at	2417.8	P	0.000244
200838_at	314.3	P	0.000244
200839_s_at	594.4	P	0.000244
200840_at	7680.5	P	0.000244
200841_s_at	467	P	0.000244
200842_s_at	1984.2	P	0.000244
200843_s_at	1006.3	P	0.000244
200844_s_at	3557.2	P	0.000244
200845_s_at	3369.4	P	0.000244
200846_s_at	1761.2	P	0.000244
200847_s_at	2263.2	P	0.000244
200848_at	436.5	P	0.000244
200849_s_at	659.4	P	0.000244
200850_s_at	1336.1	P	0.000244
200851_s_at	1625.2	P	0.000244
200852_x_at	920.2	P	0.00293
200853_at	9218.4	P	0.000244
200854_at	404.3	P	0.000244
200855_at	177.3	P	0.001221
200856_x_at	186.9	P	0.000244
200857_s_at	296.6	P	0.001221
200858_s_at	11289	P	0.000244
200859_x_at	1126.9	P	0.000732
200860_s_at	1852.7	P	0.000244
200861_at	443.3	P	0.001221
200862_at	1022.3	P	0.000244
200863_s_at	2921.2	P	0.000244
200864_s_at	954.3	P	0.000244
200865_at	0.4	A	0.904785
200866_s_at	1317.2	P	0.000244
200867_at	655.7	P	0.000244
200868_s_at	650	P	0.001953
200869_at	13933.4	P	0.000244
200870_at	4817.5	P	0.000244
200871_s_at	2216.2	P	0.000244
200872_at	2009.1	P	0.000244
200873_s_at	7916.3	P	0.000244
200874_s_at	563.7	P	0.000244
200875_s_at	3535.5	P	0.000244
200876_s_at	5032.7	P	0.000732
200877_at	7712.2	P	0.000244
200878_at	340.1	P	0.000244
200879_s_at	3.4	A	0.567627
200880_at	2642	P	0.000244
200881_s_at	4418.3	P	0.000244
200882_s_at	2636.9	P	0.000244
200883_at	2428.3	P	0.000244
200884_at	4212.8	P	0.000244
200885_at	1036.7	P	0.00293
200886_s_at	7278.9	P	0.000244
200887_s_at	660	P	0.000244
200888_s_at	10066.5	P	0.000244
200889_s_at	768.2	P	0.000244
200890_s_at	506.3	P	0.000244
200891_s_at	2207.5	P	0.000244
200892_s_at	2428.6	P	0.000244
200893_at	4151.3	P	0.000244
200894_s_at	995.9	P	0.000244
200895_s_at	2335.6	P	0.000244
200896_x_at	1713.5	P	0.000244
200897_s_at	1149.8	P	0.000244
200898_s_at	381.6	P	0.000244
200899_s_at	1380.7	P	0.000244
200900_s_at	576.1	P	0.000244
200901_s_at	737.5	P	0.000244
200902_at	3719.1	P	0.000244
200903_s_at	1672.3	P	0.000244
200904_at	173.1	P	0.000244
200905_x_at	1030.2	P	0.000244
200906_s_at	146.2	P	0.000244
200907_s_at	675.2	P	0.000244
200908_s_at	151.9	P	0.008057
200909_s_at	10130.4	P	0.000244
200910_at	5922.5	P	0.000244
200911_s_at	505.5	P	0.008057
200912_s_at	3287.9	P	0.000244
200913_at	797.3	P	0.000244
200914_x_at	1140.8	P	0.000244
200915_x_at	2951.7	P	0.000244
200916_at	3566.6	P	0.000244
200917_s_at	167.4	P	0.037598
200918_s_at	731.4	P	0.000732
200919_at	565.2	P	0.008057
200920_s_at	1020.3	P	0.000244
200921_s_at	1960.5	P	0.000244
200922_at	802.8	P	0.000244
200923_at	1691.3	P	0.001953
200924_s_at	712.8	P	0.000244
200925_at	7597.3	P	0.000244
200926_at	14996	P	0.000244
200927_s_at	788.4	P	0.000244
200928_s_at	32.3	P	0.001953
200929_at	1312.9	P	0.000244
200930_s_at	4.9	A	0.633789
200931_s_at	1956.4	P	0.000244
200932_s_at	1429.8	P	0.000244
200933_x_at	16425.6	P	0.000244
200934_at	5327.7	P	0.000244
200935_at	135.1	P	0.000244
200936_at	14366.5	P	0.000244
200937_s_at	12176.4	P	0.000244
200938_s_at	0.6	A	0.888428
200939_s_at	24.4	A	0.111572
200940_s_at	198.3	P	0.000244
200941_at	2103.7	P	0.000244
200942_s_at	3048.4	P	0.000244
200943_at	6287.9	P	0.000244
200944_s_at	6069.2	P	0.000244
200945_s_at	1117.4	P	0.000244
200946_x_at	815.6	P	0.000244
200947_s_at	1031.6	P	0.000244
200948_at	1427.7	P	0.000244
200949_x_at	6572.9	P	0.000244
200950_at	2040.4	P	0.000244
200951_s_at	146.2	P	0.005859
200952_s_at	89.8	P	0.000244
200953_s_at	1690.2	P	0.000244
200954_at	986.9	P	0.046143
200955_at	1447.9	P	0.000244
200956_s_at	1338.6	P	0.000244
200957_s_at	1260.7	P	0.000244
200958_s_at	3193.1	P	0.000244
200959_at	1798.8	P	0.000244
200960_x_at	2920.7	P	0.001953
200961_at	2088.7	P	0.000244
200962_at	839.2	P	0.000732
200963_x_at	15660.9	P	0.000244
200964_at	3884.4	P	0.000244
200965_s_at	708.7	P	0.000244
200966_x_at	6483.7	P	0.000244
200967_at	3935.9	P	0.000244
200968_s_at	1630.5	P	0.000244
200969_at	705	P	0.000244
200970_s_at	605.8	P	0.00293
200971_s_at	1323.5	P	0.000244
200972_at	4047.8	P	0.000244
200973_s_at	2279	P	0.000244
200974_at	335.1	P	0.000244
200975_at	2595.9	P	0.000244
200976_s_at	1309.9	P	0.000244
200977_s_at	1669.2	P	0.000244
200978_at	4109.5	P	0.000244
200979_at	475.8	P	0.000244
200980_s_at	2177.1	P	0.000244
200981_x_at	5295.2	P	0.000244
200982_s_at	242.2	P	0.000244
200983_x_at	705	P	0.000244
200984_s_at	592.5	P	0.000244
200985_s_at	610.4	P	0.000244
200986_at	1.8	A	0.72583
200987_x_at	794.4	P	0.000244
200988_s_at	160.3	P	0.000244
200989_at	3598	P	0.000244
200990_at	2157.9	P	0.000732
200991_s_at	1129.7	P	0.000732
200992_at	1176.8	P	0.000244
200993_at	1521.2	P	0.000244
200994_at	1466.8	P	0.000244
200995_at	774.2	P	0.000732
200996_at	3135.8	P	0.000244
200997_at	1638.6	P	0.000244
200998_s_at	789.3	P	0.000244
200999_s_at	1708.7	P	0.000244
201000_at	711.2	P	0.005859
201001_s_at	714.7	P	0.000244
201002_s_at	1121.3	P	0.000244
201003_x_at	892	P	0.000244
201004_at	2800.8	P	0.000244
201005_at	1158.3	P	0.000244
201006_at	88.2	P	0.01416
201007_at	1466.5	P	0.000244
201008_s_at	177.9	P	0.00415
201009_s_at	264.4	P	0.001953
201010_s_at	223.3	P	0.000244
201011_at	1176.4	P	0.000244
201012_at	1037.3	P	0.000244
201013_s_at	3144.4	P	0.000244
201014_s_at	2569.5	P	0.000244
201015_s_at	209.6	P	0.000244
201016_at	2716.8	P	0.000244
201017_at	2013.7	P	0.000244
201018_at	2492.1	P	0.000244
201019_s_at	4756	P	0.000244
201020_at	872.8	P	0.000244
201021_s_at	2373.6	P	0.000244
201022_s_at	2539	P	0.000244
201023_at	1906.9	P	0.000244
201024_x_at	1418	P	0.000244
201025_at	441.5	P	0.000244
201026_at	321.3	P	0.001953
201027_s_at	882.2	P	0.000244
201028_s_at	544.9	P	0.000244
201029_s_at	940.5	P	0.000244
201030_x_at	9660.5	P	0.000244
201031_s_at	6053.6	P	0.000244
201032_at	431.6	P	0.000732
201033_x_at	11567.5	P	0.000244
201034_at	1918.2	P	0.000244
201035_s_at	379.1	P	0.000732
201036_s_at	1034.3	P	0.000244
201037_at	1790.7	P	0.000244
201038_s_at	1191	P	0.000244
201039_s_at	792.5	P	0.000244
201040_at	157.2	P	0.00293
201041_s_at	906.9	P	0.000244
201042_at	23.6	A	0.171387
201043_s_at	822.9	P	0.000244
201044_x_at	42.6	P	0.046143
201045_s_at	27.1	A	0.398926
201046_s_at	708.5	P	0.00415
201047_x_at	742.3	P	0.000244
