nct	om_title	group_title	evaluable_n	era	family	trial_conditions	n_trial_conditions	n_disease_keys	n_disease_keys_lenient	disease_status	disease_specificity	attributed_key	disease_value	disease_basis	trial_phases	phase_status	phase_value	phase_group_hint	registry_arm_label	registry_arm_type	arm_match_quality	n_arms_registered	registry_has_control_arm	control_status	control_basis	control_flag	producer_control_arm_candidate	group_description	registry_arm_description
NCT00600340	Unconfirmed Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	261	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 15 mg/kg i.v., day 1, every 3 weeks, Capecitabine 1000 mg/m² twice-daily, days 1-14, every 3 weeks	
NCT00600340	Unconfirmed Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	270	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 10 mg/kg intravenous (i.v.), days 1 and 15, every 4 weeks, Paclitaxel 90 mg/m2, days 1, 8 and 15, every 4 weeks	
NCT00600340	Unconfirmed Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	249	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 15 mg/kg i.v., day 1, every 3 weeks, Capecitabine 1000 mg/m² twice-daily, days 1-14, every 3 weeks	
NCT00600340	Unconfirmed Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	255	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 10 mg/kg intravenous (i.v.), days 1 and 15, every 4 weeks, Paclitaxel 90 mg/m2, days 1, 8 and 15, every 4 weeks	
NCT00601003	Best Radiological Response in Participants Using the RECIST Criteria	Nifurtimox	76	1999_2009	bor	Neuroblastoma ; Medulloblastoma	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2		Nifurtimox	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Nifurtimox' type=EXPERIMENTAL (EXACT match)		False	Nifurtimox: 30mg/kg/day PO divided into TID dosing q day  Cyclophosphamide: 250 mg/m2/dose in normal saline, IV, infused over 30 minutes on days 1-5 of each cycle.  Topotecan: 0.75mg/m2/dose, in normal saline, IV, infused over 30 minutes on days 1-5 of each cycle.	
NCT00654238	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	Sorafenib	1	1999_2009	bor	Metastatic Differentiated Thyroid Cancer ; Metastatic Poorly Differentiated Thyroid Cancer ; Metastatic Anaplastic Thyroid Cancer ; Metastatic Medullary Thyroid Cancer	4	4	4	MIXED	UNASSIGNABLE			4 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2				NONE	1	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 1 arm group(s)		False	This is a single arm study.  sorafenib: 400mg PO BID daily	
NCT00756509	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	Nilotinib	41	1999_2009	bor	Gastrointestinal Stromal Tumors	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	gastrointestinal stromal	Gastrointestinal Stromal Tumors	trial lists exactly one condition	PHASE4	TRIAL_SINGLE	PHASE4		nilotinib	EXPERIMENTAL	NORMALIZED	1	False	NOT_CONTROL	registry arm 'nilotinib' type=EXPERIMENTAL (NORMALIZED match)		False	Participants who received 400 mg bid of nilotinib	nilotinib
NCT00836888	Best Overall Response	ONO-4538 10mg/kg Cohorts	6	1999_2009	bor	Malignant Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Cohort	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort' (type=EXPERIMENTAL); not group-supported		False	Administer ONO-4538 10mg/kg as an intravenous infusion over ≥1 hour	
NCT00836888	Best Overall Response	ONO-4538 1mg/kg Cohorts	3	1999_2009	bor	Malignant Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Cohort	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort' (type=EXPERIMENTAL); not group-supported		False	Administer ONO-4538 1mg/kg as an intravenous infusion over ≥1 hour	
NCT00836888	Best Overall Response	ONO-4538 20mg/kg Cohorts	3	1999_2009	bor	Malignant Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Cohort	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort' (type=EXPERIMENTAL); not group-supported		False	Administer ONO-4538 20mg/kg as an intravenous infusion over ≥1 hour	
NCT00836888	Best Overall Response	ONO-4538 3mg/kg Cohorts	5	1999_2009	bor	Malignant Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Cohort	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort' (type=EXPERIMENTAL); not group-supported		False	Administer ONO-4538 3mg/kg as an intravenous infusion over ≥1 hour	
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	Alemtuzumab and Rituximab	30	1999_2009	bor	Leukemia	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	leukemia	Leukemia	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Alemtuzumab and Rituximab	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Alemtuzumab and Rituximab' type=EXPERIMENTAL (EXACT match)		False	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	Alemtuzumab and Rituximab	30	1999_2009	bor	Leukemia	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	leukemia	Leukemia	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Alemtuzumab and Rituximab	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Alemtuzumab and Rituximab' type=EXPERIMENTAL (EXACT match)		False	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 1 - Dose Level 1	4	1999_2009	bor	Central Nervous System Tumors	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	central nervous system	Central Nervous System Tumors	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Dose Level 1	EXPERIMENTAL	CONTAINMENT	5	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Dose Level 1' (type=EXPERIMENTAL); not group-supported		False	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	Bevacizmuab 10 mg/kg IV Irinotecan 125 mg/m\^2 IV Temozolomide 125 mg/m\^2 PO
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 2 - Dose Level 0	6	1999_2009	bor	Central Nervous System Tumors	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	central nervous system	Central Nervous System Tumors	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Dose Level 0	EXPERIMENTAL	CONTAINMENT	5	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Dose Level 0' (type=EXPERIMENTAL); not group-supported		False	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 75 mg/m\^2 PO days 1-5 28 day cycle	Bevacizmuab 10 mg/kg IV Irinotecan 125 mg/m\^2 IV Temozolomide 75 mg/m\^2 PO
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 3 - Dose Level 1	3	1999_2009	bor	Central Nervous System Tumors	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	central nervous system	Central Nervous System Tumors	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Dose Level 1	EXPERIMENTAL	CONTAINMENT	5	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Dose Level 1' (type=EXPERIMENTAL); not group-supported		False	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	Bevacizmuab 10 mg/kg IV Irinotecan 125 mg/m\^2 IV Temozolomide 125 mg/m\^2 PO
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 4 - Dose Level 2	5	1999_2009	bor	Central Nervous System Tumors	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	central nervous system	Central Nervous System Tumors	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Dose Level 2	EXPERIMENTAL	CONTAINMENT	5	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Dose Level 2' (type=EXPERIMENTAL); not group-supported		False	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 175 mg/m\^2 PO days 1-5 28 day cycle	Bevacizmuab 10 mg/kg IV Irinotecan 125 mg/m\^2 IV Temozolomide 175 mg/m\^2 PO
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 5 - Dose Level 1	3	1999_2009	bor	Central Nervous System Tumors	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	central nervous system	Central Nervous System Tumors	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Dose Level 1	EXPERIMENTAL	CONTAINMENT	5	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Dose Level 1' (type=EXPERIMENTAL); not group-supported		False	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	Bevacizmuab 10 mg/kg IV Irinotecan 125 mg/m\^2 IV Temozolomide 125 mg/m\^2 PO
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS+ Group	57	1999_2009	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		GSK2132231A GS+ Group	EXPERIMENTAL	EXACT	3	False	NOT_CONTROL	registry arm 'GSK2132231A GS+ Group' type=EXPERIMENTAL (EXACT match)		False	Patients with the pre-specified gene signature (GS), who received intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	Patients with the pre-specified gene signature (GS), who received intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS- Group	45	1999_2009	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		GSK2132231A GS- Group	EXPERIMENTAL	EXACT	3	False	NOT_CONTROL	registry arm 'GSK2132231A GS- Group' type=EXPERIMENTAL (EXACT match)		False	Patients without the pre-specified gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	Patients without the pre-specified gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS-unknown Group	2	1999_2009	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		GSK2132231A GS-unknown Group	EXPERIMENTAL	EXACT	3	False	NOT_CONTROL	registry arm 'GSK2132231A GS-unknown Group' type=EXPERIMENTAL (EXACT match)		False	Patients with unknown gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE\_A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	Patients with unknown gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE\_A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 1: Lenvatinib: 12 mg	5	1999_2009	bor	Hepatocellular Carcinoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	hepatocellular	Hepatocellular Carcinoma	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1	Lenvatinib	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Lenvatinib' (type=EXPERIMENTAL); not group-supported		False	Participants with CP scores of 5 or 6 received a starting dose of 12 mg (three 4 mg tablets) lenvatinib orally QD in a 28-day treatment cycle in the dose-escalation scheme (group 1) on an empty stomach or at least 1 hour after eating until the tolerated dose was achieved.	
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 2: Lenvatinib: 12 mg	5	1999_2009	bor	Hepatocellular Carcinoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	hepatocellular	Hepatocellular Carcinoma	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1	Lenvatinib	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Lenvatinib' (type=EXPERIMENTAL); not group-supported		False	Participants with CP scores of 7 or 8 received 12 mg (three 4 mg tablets) lenvatinib orally QD in a 28-day treatment cycle in the dose-determination scheme (group 2) on an empty stomach or at least 1 hour after eating.	
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group 2: Lenvatinib: 8 mg	6	1999_2009	bor	Hepatocellular Carcinoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	hepatocellular	Hepatocellular Carcinoma	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1	Lenvatinib	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Lenvatinib' (type=EXPERIMENTAL); not group-supported		False	Participants with CP scores of 7 or 8 received 8 mg (two 4 mg tablets) lenvatinib orally QD in a 28-day treatment cycle which was the lowest dose at which tolerability was confirmed in group1, was used as the starting dose in the dose-determination scheme (group 2) on an empty stomach or at least 1 hour after eating.	
NCT00946153	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	Phase 1: Group1: Lenvatinib: 16 mg	3	1999_2009	bor	Hepatocellular Carcinoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	hepatocellular	Hepatocellular Carcinoma	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1	Lenvatinib	EXPERIMENTAL	CONTAINMENT	1	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Lenvatinib' (type=EXPERIMENTAL); not group-supported		False	Participants with CP scores of 5 or 6 received 16 mg (four 4 mg tablets) lenvatinib orally QD in a 28-day treatment cycle in the dose-escalation scheme (group 1) on an empty stomach or at least 1 hour after eating.	
NCT01648764	Number of Participants With Best Overall Response (BOR)	100 mg LY - Arm A Dose Escalation	5	1999_2009	bor	Malignant Solid Tumor ; Solid Tumor ; Metastatic Tumor	3	2	2	GROUP_SPECIFIC	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	group/arm/outcome text names exactly one of the trial conditions	PHASE1	TRIAL_SINGLE	PHASE1	Dose Escalation			NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	100 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.	
NCT01648764	Number of Participants With Best Overall Response (BOR)	40 mg LY - Arm A Dose Escalation	3	1999_2009	bor	Malignant Solid Tumor ; Solid Tumor ; Metastatic Tumor	3	2	2	GROUP_SPECIFIC	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	group/arm/outcome text names exactly one of the trial conditions	PHASE1	TRIAL_SINGLE	PHASE1	Dose Escalation			NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	40 milligrams (mg) LY2334737 (LY) administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.	
NCT01648764	Number of Participants With Best Overall Response (BOR)	40 mg LY - Arm B Dose Escalation	3	1999_2009	bor	Malignant Solid Tumor ; Solid Tumor ; Metastatic Tumor	3	2	2	GROUP_SPECIFIC	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	group/arm/outcome text names exactly one of the trial conditions	PHASE1	TRIAL_SINGLE	PHASE1	Dose Escalation			NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	40 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.	
NCT01648764	Number of Participants With Best Overall Response (BOR)	50 mg LY - Arm A Dose Escalation	3	1999_2009	bor	Malignant Solid Tumor ; Solid Tumor ; Metastatic Tumor	3	2	2	GROUP_SPECIFIC	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	group/arm/outcome text names exactly one of the trial conditions	PHASE1	TRIAL_SINGLE	PHASE1	Dose Escalation			NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	50 mg LY2334737 administered orally every other day for 21 days followed by 7 days without study drug (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.	
NCT01648764	Number of Participants With Best Overall Response (BOR)	50 mg LY - Arm B Dose Escalation	3	1999_2009	bor	Malignant Solid Tumor ; Solid Tumor ; Metastatic Tumor	3	2	2	GROUP_SPECIFIC	NOT_A_DISEASE_UMBRELLA	solid	Malignant Solid Tumor	group/arm/outcome text names exactly one of the trial conditions	PHASE1	TRIAL_SINGLE	PHASE1	Dose Escalation			NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	50 mg LY2334737 administered orally every day for 7 days followed by 7 days without study drug then repeated (28-day treatment cycle). Participants could have received additional treatment cycles until discontinuation criterion was met.	
