classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
unsupported	cross_class	True	NCT00654238	ctg_results_bor_1999_2009	bor	0	To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	From date of randomization until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 60 months	Responses were calculated by total enrolled to each group by histologic subtype.	OG000	Sorafenib	4	0;1;2;3	Differentiated | Poorly Differenitated | Medullary | Anaplastic	0	0	0	1	1	55	55	-54	Complete Response | Complete Response | Complete Response | Complete Response | Partial response | Partial response | Partial response | Partial response | Stable Disease | Stable Disease | Stable Disease | Stable Disease | Progressive Disease | Progressive Disease | Progressive Disease | Progressive Disease	Not Evaluable for Response | Not Evaluable for Response | Not Evaluable for Response | Not Evaluable for Response	cross-class overwrite with conflicting values for PD,PR,SD (last class wins) ; cells drawn from 4 different classes (Differentiated; Poorly Differenitated; Medullary; Anaplastic)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00654238] :: outcomeMeasures[0] :: groups[OG000]
valid	none	False	NCT00756509	ctg_results_bor_1999_2009	bor	0	Proportion of Participants With Best Overall Response at Month 6 (Core Phase) Determined According to the RECIST v1.0.	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	from baseline to month 6, core phase	The intent-to-treat (ITT) population consisted of all participants who received at least one dose of the study drug and had at least one post-baseline assessment of the primary efficacy variable (asse	OG000	Nilotinib	1	0	<untitled>	0	14	21	6	41	41	41	0	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)	Unknown (UNK)	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00756509] :: outcomeMeasures[0] :: groups[OG000]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG000	40 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	1	2	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG000]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG001	50 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	2	1	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG001]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG002	60 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	2	1	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG002]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG003	70 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	0	3	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG003]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG004	80 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	1	2	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG004]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG005	90 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	0	2	2	5	5	-3	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 2 != reported denominator 5 (difference -3)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG005]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG006	100 mg LY - Arm A Dose Escalation	1	0	<untitled>	0	0	1	4	5	9	9	-4	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 5 != reported denominator 9 (difference -4)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG006]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG007	40 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	0	3	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG007]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG008	50 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	1	2	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG008]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG009	60 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	2	3	5	7	7	-2	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 5 != reported denominator 7 (difference -2)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG009]
valid	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG010	70 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	1	2	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG010]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG011	80 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	0	3	3	9	9	-6	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 3 != reported denominator 9 (difference -6)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG011]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG012	90 mg LY - Arm B Dose Escalation	1	0	<untitled>	0	0	0	4	4	7	7	-3	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 4 != reported denominator 7 (difference -3)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG012]
unsupported	none	False	NCT01648764	ctg_results_bor_1999_2009	bor	5	Number of Participants With Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline to measured disease progression up to 33 weeks	All participants who received at least 1 dose of study drug.	OG013	90 mg LY - Arm A Dose Confirmation	1	0	<untitled>	0	0	0	10	10	12	12	-2	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unknown	sum of cells 10 != reported denominator 12 (difference -2)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT01648764] :: outcomeMeasures[5] :: groups[OG013]
valid	none	False	NCT00301067	ctg_results_bor_1999_2009	bor	2	Tumor Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	At baseline and every 8 weeks during treatment for a maximum of 12 cycles where one cycle equals 28 days.	Cohort results for this outcome measure are combined as the objective was to determine the tumor response of patients with this drug combination (dose was irrelevant)	OG000	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	1	0	<untitled>	0	2	1	17	20	20	20	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00301067] :: outcomeMeasures[2] :: groups[OG000]
valid	none	False	NCT00183820	ctg_results_bor_1999_2009	bor	0	Tumor Response	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	From start of study drug until the date of first documented progression or date of death from any cause, whichever came first, assessed every 6 weeks, through study completion, up to 9 years	1 patient was inevaluable.	OG000	Paclitaxel, Gemcitabine, and Oxaliplatin	1	0	<untitled>	2	7	15	5	29	29	29	0	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00183820] :: outcomeMeasures[0] :: groups[OG000]
valid	none	False	NCT00389805	ctg_results_bor_1999_2009	bor	6	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to 36 months	All patients for whom response evaluation measurements were recorded at baseline and after 2 cycles.	OG000	Arm A	1	0	<untitled>	0	1	7	7	15	15	15	0	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG000]
valid	none	False	NCT00389805	ctg_results_bor_1999_2009	bor	6	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to 36 months	All patients for whom response evaluation measurements were recorded at baseline and after 2 cycles.	OG001	Arm B	1	0	<untitled>	0	1	6	5	12	12	12	0	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG001]
unsupported	none	False	NCT00946153	ctg_results_bor_1999_2009	bor	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 8 weeks (approximately up to 18.4 months)	Efficacy analysis set (EAS) included all participants who received at least 1 dose of lenvatinib, and had at least 1 postbaseline efficacy evaluation.	OG000	Phase 1: Group 1: Lenvatinib: 12 mg	1	0	<untitled>	0	1	2	2	5	6	6	-1	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG000]
valid	none	False	NCT00946153	ctg_results_bor_1999_2009	bor	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 8 weeks (approximately up to 18.4 months)	Efficacy analysis set (EAS) included all participants who received at least 1 dose of lenvatinib, and had at least 1 postbaseline efficacy evaluation.	OG001	Phase 1: Group1: Lenvatinib: 16 mg	1	0	<untitled>	0	1	2	0	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG001]
valid	none	False	NCT00946153	ctg_results_bor_1999_2009	bor	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 8 weeks (approximately up to 18.4 months)	Efficacy analysis set (EAS) included all participants who received at least 1 dose of lenvatinib, and had at least 1 postbaseline efficacy evaluation.	OG002	Phase 1: Group 2: Lenvatinib: 8 mg	1	0	<untitled>	0	1	4	1	6	6	6	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG002]
valid	none	False	NCT00946153	ctg_results_bor_1999_2009	bor	2	Phase 1: Best Overall Response (BOR) of Lenvatinib by Investigator Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 8 weeks (approximately up to 18.4 months)	Efficacy analysis set (EAS) included all participants who received at least 1 dose of lenvatinib, and had at least 1 postbaseline efficacy evaluation.	OG003	Phase 1: Group 2: Lenvatinib: 12 mg	1	0	<untitled>	0	0	2	3	5	5	5	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG003]
valid	none	False	NCT00066222	ctg_results_bor_1999_2009	bor	5	Tumor Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	From the start of treatment to 2 months following the completion of chemotherapy	Eligible patients who started study treatment and were observed for at least 2 months post-treatment	OG000	Radiation Therapy + Chemotherapy	1	0	<untitled>	29	28	7	4	68	68	68	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00066222] :: outcomeMeasures[5] :: groups[OG000]
valid	none	False	NCT00601003	ctg_results_bor_1999_2009	bor	1	Best Radiological Response in Participants Using the RECIST Criteria	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	2 years		OG000	Nifurtimox	1	0	<untitled>	7	11	35	23	76	76	76	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00601003] :: outcomeMeasures[1] :: groups[OG000]
valid	none	False	NCT00836888	ctg_results_bor_1999_2009	bor	4	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	up to study completion, every 4 weeks in principle		OG000	ONO-4538 1mg/kg Cohorts	1	0	<untitled>	0	1	0	2	3	3	3	0	CR | PR | SD | PD	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG000]
valid	none	False	NCT00836888	ctg_results_bor_1999_2009	bor	4	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	up to study completion, every 4 weeks in principle		OG001	ONO-4538 3mg/kg Cohorts	1	0	<untitled>	1	0	1	3	5	5	5	0	CR | PR | SD | PD	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG001]
valid	none	False	NCT00836888	ctg_results_bor_1999_2009	bor	4	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	up to study completion, every 4 weeks in principle		OG002	ONO-4538 10mg/kg Cohorts	1	0	<untitled>	0	1	2	3	6	6	6	0	CR | PR | SD | PD	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG002]
valid	none	False	NCT00836888	ctg_results_bor_1999_2009	bor	4	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	up to study completion, every 4 weeks in principle		OG003	ONO-4538 20mg/kg Cohorts	1	0	<untitled>	0	0	0	3	3	3	3	0	CR | PR | SD | PD	Unknown	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG003]
valid	none	False	NCT00298896	ctg_results_bor_1999_2009	bor	1	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	upto 6 months	Efficacy Analysis Set	OG000	SNS-595	1	0	<untitled>	1	2	13	31	47	47	47	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00298896] :: outcomeMeasures[1] :: groups[OG000]
unsupported	none	False	NCT00600340	ctg_results_bor_1999_2009	bor	3	Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Intent-to-Treat population	OG000	Bevacizumab Plus Paclitaxel	1	0	<untitled>	10	115	127	18	270	285	285	-15	Complete response | Partial response | Stable disease | Progressive disease	Not evaluable	sum of cells 270 != reported denominator 285 (difference -15)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG000]
unsupported	none	False	NCT00600340	ctg_results_bor_1999_2009	bor	3	Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Intent-to-Treat population	OG001	Bevacizumab Plus Capecitabine	1	0	<untitled>	2	74	138	47	261	279	279	-18	Complete response | Partial response | Stable disease | Progressive disease	Not evaluable	sum of cells 261 != reported denominator 279 (difference -18)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG001]
unsupported	none	False	NCT00600340	ctg_results_bor_1999_2009	bor	4	Best Overall Response (PP Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Per protocol population	OG000	Bevacizumab Plus Paclitaxel	1	0	<untitled>	10	111	117	17	255	266	266	-11	Complete response | Partial response | Stable disease | Progressive disease	Not evaluable	sum of cells 255 != reported denominator 266 (difference -11)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG000]
unsupported	none	False	NCT00600340	ctg_results_bor_1999_2009	bor	4	Best Overall Response (PP Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Per protocol population	OG001	Bevacizumab Plus Capecitabine	1	0	<untitled>	2	72	130	45	249	265	265	-16	Complete response | Partial response | Stable disease | Progressive disease	Not evaluable	sum of cells 249 != reported denominator 265 (difference -16)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG001]
unsupported	none	False	NCT00600340	ctg_results_bor_1999_2009	bor	5	Unconfirmed Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	ITT population	OG000	Bevacizumab Plus Paclitaxel	1	0	<untitled>	16	147	89	18	270	285	285	-15	Complete response | Partial response | Stable disease | Progressive disease	Not evaluable	sum of cells 270 != reported denominator 285 (difference -15)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[5] :: groups[OG000]
