classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG009	BI 836826 200 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	2	4	6	7	7	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 6 != reported denominator 7 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG009]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG000	BI 836826 1 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	1	0	1	1	1	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG000]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG001	BI 836826 3 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	1	2	3	4	4	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 3 != reported denominator 4 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG001]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG002	BI 836826 9 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	1	2	3	3	3	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG002]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG003	BI 836826 25 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	0	4	4	4	4	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG003]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG004	BI 836826 50 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	3	2	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG004]
unsupported	within_class	True	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG005	BI 836826 50mg iv (Korean Patients)	1	0	<untitled>	0	0	1	5	6	7	7	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	cross-class overwrite with conflicting values for CR (last class wins)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG005]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG006	BI 836826 100 mg iv (Caucasian Patients)	1	0	<untitled>	0	2	1	2	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG006]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG007	BI 836826 100 mg iv (Korean Patients)	1	0	<untitled>	0	0	0	4	4	4	4	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG007]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG008	BI 836826 150 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	0	5	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG008]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	4	Best Overall Response Based on Imaging Data	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Computed tomography (CT) scan performed at screening, at Week 13, and at Week 25.	Treated set	OG009	BI 836826 200 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	2	4	6	7	7	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 6 != reported denominator 7 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG009]
unsupported	none	False	NCT01478321	ctg_results_bor_2010_2013	bor	4	Response of Patients With Recurrent High Grade Malignant Gliomas Treated With Concurrent Radiation, Temozolomide, and Bevacizumab Followed by Adjuvant Temozolomide and Bevacizumab	POST_HOC	COUNT_OF_PARTICIPANTS	Participants	Every 8 weeks from the start of study treatment. Median time from beginning of initial radiation treatment was 25.3 months (range 8.1-82.4 months)		OG000	Treatment (Radiation, Chemotherapy, Monoclonal Antibody)	1	0	<untitled>	3	10	28	9	50	54	54	-4	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	sum of cells 50 != reported denominator 54 (difference -4)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01478321] :: outcomeMeasures[4] :: groups[OG000]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG000	20050118: Ganitumab 20 mg/kg	1	0	<untitled>	0	0	2	0	2	2	2	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG000]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG001	20050171: Conatumumab 0.45 mg/kg	1	0	<untitled>	1	0	0	0	1	1	1	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG001]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG002	20060295: Conatumumab 3 mg/kg	1	0	<untitled>	0	0	1	0	1	1	1	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG002]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG003	20060340: Conatumumab 5 mg/kg	1	0	<untitled>	1	0	0	0	1	1	1	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG003]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG004	20060464: Conatumumab 2 mg/kg + mFOLFOX6 + Bevacizumab	1	0	<untitled>	1	1	0	0	2	2	2	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG004]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG005	20060464: Conatumumab 10 mg/kg + mFOLFOX6 ± Bevacizumab	1	0	<untitled>	0	1	2	0	3	3	3	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG005]
valid	none	False	NCT01327612	ctg_results_bor_2010_2013	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Approximately every 6 months until end of treatment; median duration of treatment with conatumumab was 1190.5 days and 1163.0 days for ganitumab.	Participants who received at least one dose of conatumumab or ganitumab.	OG006	20070411: Conatumumab 15 mg/kg + Ganitumab 18 mg/kg	1	0	<untitled>	0	1	1	0	2	2	2	0	Complete response | Partial response | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01327612] :: outcomeMeasures[5] :: groups[OG006]
unsupported	none	False	NCT01832727	ctg_results_bor_2010_2013	bor	3	Best Overall Response in Phase 2 as Assessed by Investigator	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Screening: Day 14 to Day -1; During study: Day 1 up to 13.16 months	Safety Population	OG000	Phase 2 300 mg 2/7 Schedule	1	0	<untitled>	1	9	2	1	13	18	18	-5	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)	Stringent Complete Response (sCR) | Near Complete Response (nCR) | Very Good Partial Response (VGPR) | Minimal Response (MR) | Not Evaluable (NE) | Unknown	sum of cells 13 != reported denominator 18 (difference -5)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01832727] :: outcomeMeasures[3] :: groups[OG000]
valid	none	False	NCT01796171	ctg_results_bor_2010_2013	bor	1	Part A, Phase IIa	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	5 years	Per-protocol analysis set: participants receiving Betalutin who had adequate tumour assessments at baseline, and after ≥12 weeks (unless disease progression occurred), and no major protocol deviations	OG000	40/15 With FL	1	0	<untitled>	7	5	3	3	18	18	18	0	Complete remission | Partial remission | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01796171] :: outcomeMeasures[1] :: groups[OG000]
valid	none	False	NCT01796171	ctg_results_bor_2010_2013	bor	1	Part A, Phase IIa	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	5 years	Per-protocol analysis set: participants receiving Betalutin who had adequate tumour assessments at baseline, and after ≥12 weeks (unless disease progression occurred), and no major protocol deviations	OG001	100/20 With FL	1	0	<untitled>	2	6	1	0	9	9	9	0	Complete remission | Partial remission | Stable disease | Progressive disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01796171] :: outcomeMeasures[1] :: groups[OG001]
unsupported	none	False	NCT01853644	ctg_results_bor_2010_2013	bor	4	Overall Best Response of Patients With Platinum-resistant Ovarian Cancer to Treatment With Single Agent Tivozanib	POST_HOC	COUNT_OF_PARTICIPANTS	Participants	Time taken to reach first best response. Range 1-4 cycles (1 cycle = 28 days)		OG000	Treatment (Tivozanib)	1	0	<untitled>	0	4	14	6	24	30	30	-6	CR | PR | SD | PD	Not Evaluable	sum of cells 24 != reported denominator 30 (difference -6)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01853644] :: outcomeMeasures[4] :: groups[OG000]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG000	P1B: OMP-59R5 5mg/kg + ETO + CIS	1	0	<untitled>	0	3	0	0	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG000]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG001	P1B: OMP-59R5 7.5 mg/kg + ETO + CIS	1	0	<untitled>	0	2	1	0	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG001]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG002	P1B: OMP-59R5 10 mg/kg + ETO + CIS	1	0	<untitled>	0	4	1	0	5	5	5	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG002]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG003	P1B: OMP-59R5 12.5 mg/kg + ETO + CIS	1	0	<untitled>	0	2	1	0	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG003]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG004	P1B: OMP-59R5 15 mg/kg + ETO + CIS	1	0	<untitled>	0	5	0	1	6	6	6	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG004]
valid	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	1	Phase 1b: Overall Response (Response Evaluable Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression.		OG005	P1B: OMP-59R5 15mg/kg + ETO + CARB	1	0	<untitled>	0	4	1	1	6	6	6	0	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluated | Missing	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[1] :: groups[OG005]
unsupported	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	3	Phase 2: Best Overall Tumor Response Based on Investigator Assessment (ITT Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression		OG000	P2: Placebo + CIS or CARB	1	0	<untitled>	2	49	10	4	65	72	72	-7	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable | No Post-Baseline Tumor Assessment Collected	sum of cells 65 != reported denominator 72 (difference -7)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[3] :: groups[OG000]
unsupported	none	False	NCT01859741	ctg_results_bor_2010_2013	bor	3	Phase 2: Best Overall Tumor Response Based on Investigator Assessment (ITT Population)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 1 year in absence of unacceptable toxicity or disease progression		OG001	P2: OMP-59R5 15 mg/kg + ETO and CIS or CARB	1	0	<untitled>	1	49	9	2	61	73	73	-12	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable | No Post-Baseline Tumor Assessment Collected	sum of cells 61 != reported denominator 73 (difference -12)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[3] :: groups[OG001]
valid	none	False	NCT01325207	ctg_results_bor_2010_2013	bor	1	Best Response to IT Trastuzumab: Radiological, Cytological and Clinical in Treatment With Intrathecal Trastuzumab for Patients With Leptomeningeal Metastases in HER2+ Breast Cancer.	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Baseline then at 4 weeks, 8 weeks and then every 8 weeks +/- 3 days, until disease progression or toxicity,range of cycles completed 1-22 cycles where 1 cycle = 28 days.	All patients were assessed for response. Patients unable to be assessed were determined to have progressive disease and counted. Cohort results for this outcome measure were analysed combined and at t	OG000	Treatment With Trastuzumab	1	0	<untitled>	0	6	18	10	34	34	34	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01325207] :: outcomeMeasures[1] :: groups[OG000]
