nct	gnorm	gtitle	om	type	title	tf	denom	itt	pp	con	unc	cen	inv	n_candidates	distinct_om	distinct_timeframes	distinct_denoms	resolved_by	pooled_label	payloads
NCT00086957	dose level 2 - docetaxel 60 mg/m^2	Dose Level 2 - Docetaxel 60 mg/m^2	3	SECONDARY	Objective Response Rate	After 3 cycles of treatment, up to 2 years.	29	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00087139	ixabepilone - no prior chemo	Ixabepilone - no Prior Chemo	1	SECONDARY	Proportion of Patients With Measurable Disease Response (Best Overall Response)	Every 8 weeks during treatment; then every 3 months if <2 years from study entry; then every 6 months if 2-5 years from study entry	22	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00087139	ixabepilone - prior taxane	Ixabepilone - Prior Taxane	1	SECONDARY	Proportion of Patients With Measurable Disease Response (Best Overall Response)	Every 8 weeks during treatment; then every 3 months if <2 years from study entry; then every 6 months if 2-5 years from study entry	25	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00087139	ixabepilone - two prior chemo	Ixabepilone - Two Prior Chemo	1	SECONDARY	Proportion of Patients With Measurable Disease Response (Best Overall Response)	Every 8 weeks during treatment; then every 3 months if <2 years from study entry; then every 6 months if 2-5 years from study entry	24	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00088530	comparator group	Comparator Group	3	SECONDARY	Overall Response Rate (ORR) Lasting at Least 4 Months	approximately 24 months	70	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00088530	experimental group	Experimental Group	3	SECONDARY	Overall Response Rate (ORR) Lasting at Least 4 Months	approximately 24 months	70	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00089635	panitumumab	Panitumumab	3	SECONDARY	Time to Initial Objective Response	From enrollment until the data cut-off date of 22 December 2006. The median follow-up time was 36 weeks.	7	False	True	False	False	True	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00089999	lapatinib 1500 mg qd	Lapatinib 1500 mg QD	0	PRIMARY	Number of Participants With a Best Overall Response (OR) of Confirmed Complete Response (CR) or Partial Response (PR), as Assessed by the Independent Review Committee (IRC)	From the date of the first dose of investigational product to the first documented evidence of a confirmed CR or PR (up to Study Week 103)	69	True	False	True	False	True	False	2	2	1	1	f	False	ctg_results_bor_1999_2009
NCT00089999	lapatinib 500 mg bid	Lapatinib 500 mg BID	0	PRIMARY	Number of Participants With a Best Overall Response (OR) of Confirmed Complete Response (CR) or Partial Response (PR), as Assessed by the Independent Review Committee (IRC)	From the date of the first dose of investigational product to the first documented evidence of a confirmed CR or PR (up to Study Week 103)	69	True	False	True	False	True	False	2	2	1	1	f	False	ctg_results_bor_1999_2009
NCT00090363	placebo	Placebo	3	SECONDARY	Objective Response Rate (ORR)	For patients with measurable disease at baseline, Response Evaluation Criteria in Solid Tumours (RECIST) scans were 12-weekly from randomisation. 'Initial analysis' results are given - the most recent formal analysis (data cut-off 10th April 2006).	51	False	False	True	False	False	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00090363	zd4054 10 mg	ZD4054 10 mg	3	SECONDARY	Objective Response Rate (ORR)	For patients with measurable disease at baseline, Response Evaluation Criteria in Solid Tumours (RECIST) scans were 12-weekly from randomisation. 'Initial analysis' results are given - the most recent formal analysis (data cut-off 10th April 2006).	44	False	False	True	False	False	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00090363	zd4054 15 mg	ZD4054 15 mg	3	SECONDARY	Objective Response Rate (ORR)	For patients with measurable disease at baseline, Response Evaluation Criteria in Solid Tumours (RECIST) scans were 12-weekly from randomisation. 'Initial analysis' results are given - the most recent formal analysis (data cut-off 10th April 2006).	41	False	False	True	False	False	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00093041	zalatumumab 0.15 mg/kg	Zalatumumab 0.15 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	4	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093041	zalutumumab 0.5 mg/kg	Zalutumumab 0.5 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	4	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093041	zalutumumab 1 mg/kg	Zalutumumab 1 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	5	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093041	zalutumumab 2 mg/kg	Zalutumumab 2 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	4	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093041	zalutumumab 4 mg/kg	Zalutumumab 4 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	4	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093041	zalutumumab 8 mg/kg	Zalutumumab 8 mg/kg	1	SECONDARY	Overall Response (OR), Classification	8 weeks	7	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093964	cilengitide 2000 mg	Cilengitide 2000 mg	1	SECONDARY	Percentage of Subjects With Overall Response Rate	From the start of treatment up to 6 years	40	True	True	True	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00093964	cilengitide 500 milligrams (mg)	Cilengitide 500 Milligrams (mg)	1	SECONDARY	Percentage of Subjects With Overall Response Rate	From the start of treatment up to 6 years	40	True	True	True	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00094497	edp-m	EDP-M	3	SECONDARY	Best Overall Response Rate	every 8 weeks up to 5 years	151	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00094497	sz-m	Sz-M	3	SECONDARY	Best Overall Response Rate	every 8 weeks up to 5 years	153	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00094653	gp100	gp100	10	SECONDARY	Disease Control Rate (DCR)	Up to week 24	136	True	False	False	False	False	False	3	3	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00094653	ipilimumab monotherapy	Ipilimumab Monotherapy	10	SECONDARY	Disease Control Rate (DCR)	Up to week 24	137	True	False	False	False	False	False	3	3	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00094653	ipilimumab plus gp100	Ipilimumab Plus gp100	10	SECONDARY	Disease Control Rate (DCR)	Up to week 24	403	True	False	False	False	False	False	3	3	2	1	a-d	False	ctg_results_bor_1999_2009
