nct	selected_cohorts	sum_selected_denominators	registered_enrollment	enrollment_type	excess
NCT01088984	3	86	43	ACTUAL	43
NCT03729596	11	184	143	ACTUAL	41
NCT00243074	2	94	54	ACTUAL	40
NCT02592707	5	80	40	ACTUAL	40
NCT00633594	4	78	39	ACTUAL	39
NCT01271725	2	113	74	ACTUAL	39
NCT03400176	9	78	39	ACTUAL	39
NCT01693562	9	1060	1022	ACTUAL	38
NCT03363893	22	161	124	ACTUAL	37
NCT05228470	3	76	39	ACTUAL	37
NCT01227889	3	287	251	ACTUAL	36
NCT02759835	4	73	37	ACTUAL	36
NCT02844439	3	75	40	ACTUAL	35
NCT04677595	6	70	36	ACTUAL	34
NCT00400803	4	70	38	ACTUAL	32
NCT02551991	6	88	56	ACTUAL	32
NCT00606008	3	60	30	ACTUAL	30
NCT01077518	3	376	346	ACTUAL	30
NCT02996110	5	212	182	ACTUAL	30
NCT02228096	3	104	75	ACTUAL	29
NCT02370238	4	222	194	ACTUAL	28
NCT02494570	2	62	34	ACTUAL	28
NCT01696032	5	147	120	ACTUAL	27
NCT01981850	11	151	125	ACTUAL	26
NCT02048371	9	157	131	ACTUAL	26
NCT00623766	3	123	99	ACTUAL	24
NCT01420081	5	91	67	ACTUAL	24
NCT01199055	5	39	16	ACTUAL	23
NCT01055067	2	48	27	ACTUAL	21
NCT02047344	5	52	31	ACTUAL	21
NCT02527434	8	85	64	ACTUAL	21
NCT03776812	4	199	178	ACTUAL	21
NCT02762981	4	105	85	ACTUAL	20
NCT03176277	5	62	42	ACTUAL	20
NCT01199068	5	34	15	ACTUAL	19
NCT04895735	5	64	45	ACTUAL	19
NCT00598975	3	36	18	ACTUAL	18
NCT02296125	4	692	674	ACTUAL	18
NCT03274804	2	38	20	ACTUAL	18
NCT02984995	3	54	37	ACTUAL	17
NCT00792467	2	40	24	ACTUAL	16
NCT02616393	4	52	36	ACTUAL	16
NCT02895360	5	59	43	ACTUAL	16
NCT01595009	4	261	246	ACTUAL	15
NCT01336634	4	191	177	ACTUAL	14
NCT02750514	5	309	295	ACTUAL	14
NCT01615029	6	58	45	ACTUAL	13
NCT01519414	3	90	78	ACTUAL	12
NCT02564900	15	304	292	ACTUAL	12
NCT00918203	3	148	137	ACTUAL	11
NCT02185690	4	24	13	ACTUAL	11
NCT01325428	2	36	26	ACTUAL	10
NCT01465659	2	39	29	ACTUAL	10
NCT01661270	2	342	332	ACTUAL	10
NCT02748564	4	20	10	ACTUAL	10
NCT04216316	3	22	12	ACTUAL	10
NCT00700258	5	1528	1520	ACTUAL	8
NCT03773107	5	20	12	ACTUAL	8
NCT00756509	1	41	34	ACTUAL	7
NCT00885755	2	39	33	ACTUAL	6
NCT00928642	2	14	8	ACTUAL	6
NCT01223027	2	570	564	ACTUAL	6
NCT03126110	18	151	145	ACTUAL	6
NCT04577963	5	58	52	ACTUAL	6
NCT02935634	12	195	190	ACTUAL	5
NCT03512353	3	12	7	ACTUAL	5
NCT01993719	4	37	33	ACTUAL	4
NCT02500121	3	112	108	ACTUAL	4
NCT03523572	6	90	86	ACTUAL	4
NCT01232296	2	165	162	ACTUAL	3
NCT03446040	3	95	92	ACTUAL	3
NCT04033432	2	17	14	ACTUAL	3
NCT00229723	7	226	224	ACTUAL	2
NCT01023308	2	768	767	ACTUAL	1
NCT01577758	2	42	41	ACTUAL	1
NCT01597388	9	100	99	ACTUAL	1
NCT01852292	2	158	157	ACTUAL	1
NCT00004888	2	84	84	ACTUAL	0
NCT00054353	2	16	16	ACTUAL	0
NCT00069108	2	627	627	ACTUAL	0
NCT00073957	1	25	25	ACTUAL	0
NCT00075218	2	361	361	ACTUAL	0
NCT00075504	2	33	33	ACTUAL	0
NCT00077857	2	470	470	ACTUAL	0
NCT00080301	2	752	752	ACTUAL	0
NCT00085410	1	20	20	ACTUAL	0
NCT00088530	2	140	140	ACTUAL	0
NCT00089999	2	138	138	ACTUAL	0
NCT00093041	6	28	28	ACTUAL	0
NCT00094497	2	304	304	ACTUAL	0
NCT00096941	1	3	3	ACTUAL	0
NCT00102804	2	663	663	ACTUAL	0
NCT00113607	2	672	672	ACTUAL	0
NCT00115765	4	1053	1053	ACTUAL	0
NCT00121251	1	17	17	ACTUAL	0
NCT00121719	12	82	82	ACTUAL	0
NCT00122460	2	442	442	ACTUAL	0
NCT00126594	2	80	80	ACTUAL	0
NCT00129376	1	63	63	ACTUAL	0
NCT00184093	1	35	35	ACTUAL	0
NCT00191854	3	147	147	ACTUAL	0
NCT00226811	1	78	78	ACTUAL	0
NCT00227617	1	36	36	ACTUAL	0
NCT00244764	1	225	225	ACTUAL	0
NCT00247676	1	37	37	ACTUAL	0
NCT00250926	1	23	23	ACTUAL	0
NCT00254540	2	51	51	ACTUAL	0
NCT00256698	2	514	514	ACTUAL	0
NCT00268346	2	58	58	ACTUAL	0
NCT00272987	3	63	63	ACTUAL	0
NCT00274469	2	205	205	ACTUAL	0
NCT00281528	3	208	208	ACTUAL	0
NCT00281658	2	444	444	ACTUAL	0
NCT00284154	1	51	51	ACTUAL	0
NCT00289016	1	50	50	ACTUAL	0
NCT00301067	1	20	20	ACTUAL	0
NCT00305448	3	143	143	ACTUAL	0
NCT00305942	1	61	61	ACTUAL	0
NCT00309140	1	23	23	ACTUAL	0
NCT00324259	2	66	66	ACTUAL	0
NCT00328198	1	86	86	ACTUAL	0
NCT00332163	2	95	95	ACTUAL	0
NCT00334282	2	435	435	ACTUAL	0
NCT00343291	2	121	121	ACTUAL	0
NCT00356811	1	57	57	ACTUAL	0
NCT00363051	2	160	160	ACTUAL	0
NCT00380718	1	33	33	ACTUAL	0
NCT00382733	5	26	26	ACTUAL	0
NCT00383292	3	130	130	ACTUAL	0
NCT00387127	2	67	67	ACTUAL	0
NCT00387348	3	24	24	ACTUAL	0
NCT00387764	1	80	80	ACTUAL	0
NCT00398320	1	40	40	ACTUAL	0
NCT00403403	2	102	102	ACTUAL	0
NCT00407563	1	48	48	ACTUAL	0
NCT00408499	1	64	64	ACTUAL	0
NCT00410124	2	416	416	ACTUAL	0
NCT00410904	2	60	60	ACTUAL	0
NCT00412061	2	429	429	ACTUAL	0
NCT00415194	2	795	795	ACTUAL	0
NCT00419159	2	199	199	ACTUAL	0
NCT00421889	9	80	80	ACTUAL	0
NCT00424047	2	351	351	ACTUAL	0
NCT00428922	1	26	26	ACTUAL	0
NCT00435409	2	442	442	ACTUAL	0
NCT00439517	2	302	302	ACTUAL	0
NCT00441337	4	39	39	ACTUAL	0
NCT00444535	1	52	52	ACTUAL	0
NCT00444678	1	36	36	ACTUAL	0
NCT00447005	1	12	12	ACTUAL	0
NCT00447330	1	60	60	ACTUAL	0
NCT00448279	2	58	58	ACTUAL	0
NCT00457691	2	768	768	ACTUAL	0
NCT00459862	1	34	34	ACTUAL	0
NCT00461045	1	15	15	ACTUAL	0
NCT00461708	2	153	153	ACTUAL	0
NCT00471328	2	248	248	ACTUAL	0
NCT00471497	3	846	846	ACTUAL	0
NCT00473590	2	102	102	ACTUAL	0
NCT00477464	1	51	51	ACTUAL	0
NCT00484939	2	280	280	ACTUAL	0
NCT00490646	2	50	50	ACTUAL	0
NCT00492206	1	40	40	ACTUAL	0
NCT00493636	2	160	160	ACTUAL	0
NCT00494221	3	172	172	ACTUAL	0
NCT00500903	1	87	87	ACTUAL	0
NCT00508001	3	67	67	ACTUAL	0
NCT00508274	1	52	52	ACTUAL	0
NCT00510068	2	410	410	ACTUAL	0
NCT00515697	1	39	39	ACTUAL	0
NCT00527735	3	334	334	ACTUAL	0
NCT00531284	19	184	184	ACTUAL	0
NCT00531960	2	124	124	ACTUAL	0
NCT00532129	1	100	100	ACTUAL	0
NCT00533429	2	40	40	ACTUAL	0
NCT00534417	1	41	41	ACTUAL	0
NCT00553644	1	53	53	ACTUAL	0
NCT00556322	2	424	424	ACTUAL	0
NCT00567879	6	56	56	ACTUAL	0
NCT00570713	2	155	155	ACTUAL	0
NCT00576199	1	30	30	ACTUAL	0
NCT00577382	2	52	52	ACTUAL	0
NCT00586924	6	49	49	ACTUAL	0
NCT00600015	2	166	166	ACTUAL	0
NCT00600340	2	564	564	ACTUAL	0
NCT00605267	2	197	197	ACTUAL	0
NCT00605722	1	51	51	ACTUAL	0
NCT00606307	1	29	29	ACTUAL	0
NCT00610857	1	37	37	ACTUAL	0
NCT00611325	2	56	56	ACTUAL	0
NCT00617591	1	57	57	ACTUAL	0
NCT00631410	2	12	12	ACTUAL	0
NCT00633464	2	79	79	ACTUAL	0
NCT00656136	2	585	585	ACTUAL	0
NCT00659360	1	17	17	ACTUAL	0
NCT00659438	2	95	95	ACTUAL	0
NCT00667251	2	652	652	ACTUAL	0
NCT00668863	1	71	71	ACTUAL	0
NCT00674973	2	207	207	ACTUAL	0
NCT00676650	2	873	873	ACTUAL	0
NCT00676663	2	130	130	ACTUAL	0
NCT00678535	2	904	904	ACTUAL	0
NCT00686959	2	598	598	ACTUAL	0
NCT00687297	2	162	162	ACTUAL	0
NCT00688623	1	73	73	ACTUAL	0
NCT00688753	1	92	92	ACTUAL	0
NCT00689936	3	1623	1623	ACTUAL	0
NCT00693992	2	210	210	ACTUAL	0
NCT00698451	1	54	54	ACTUAL	0
NCT00703326	2	1144	1144	ACTUAL	0
NCT00703664	3	65	65	ACTUAL	0
NCT00705016	3	184	184	ACTUAL	0
NCT00706095	3	18	18	ACTUAL	0
NCT00707655	2	8	8	ACTUAL	0
NCT00709618	1	44	44	ACTUAL	0
NCT00715403	7	41	41	ACTUAL	0
NCT00719264	2	365	365	ACTUAL	0
NCT00721513	1	20	20	ACTUAL	0
NCT00725764	1	14	14	ACTUAL	0
NCT00726323	2	74	74	ACTUAL	0
NCT00726752	1	6	6	ACTUAL	0
NCT00728949	2	93	93	ACTUAL	0
NCT00737529	1	134	134	ACTUAL	0
NCT00738699	2	415	415	ACTUAL	0
NCT00748189	2	447	447	ACTUAL	0
NCT00751036	2	94	94	ACTUAL	0
NCT00753545	2	265	265	ACTUAL	0
NCT00753688	2	369	369	ACTUAL	0
NCT00753714	2	124	124	ACTUAL	0
NCT00754650	1	2	2	ACTUAL	0
NCT00760929	3	171	171	ACTUAL	0
NCT00761280	2	27	27	ACTUAL	0
NCT00768144	1	36	36	ACTUAL	0
NCT00769067	2	188	188	ACTUAL	0
NCT00770588	2	296	296	ACTUAL	0
NCT00777049	2	54	54	ACTUAL	0
NCT00777179	2	117	117	ACTUAL	0
NCT00777335	2	4	4	ACTUAL	0
NCT00778102	2	80	80	ACTUAL	0
NCT00778817	1	20	20	ACTUAL	0
NCT00784303	2	117	117	ACTUAL	0
NCT00785538	4	24	24	ACTUAL	0
NCT00798096	1	18	18	ACTUAL	0
NCT00800202	2	91	91	ACTUAL	0
NCT00804908	3	346	346	ACTUAL	0
NCT00811135	1	88	88	ACTUAL	0
NCT00818441	2	119	119	ACTUAL	0
NCT00824265	2	365	365	ACTUAL	0
NCT00836888	4	17	17	ACTUAL	0
NCT00844649	2	861	861	ACTUAL	0
NCT00848926	1	102	102	ACTUAL	0
NCT00849667	3	1100	1100	ACTUAL	0
NCT00853307	2	31	31	ACTUAL	0
NCT00854308	2	137	137	ACTUAL	0
NCT00856375	2	83	83	ACTUAL	0
NCT00860015	1	12	12	ACTUAL	0
NCT00863655	2	724	724	ACTUAL	0
NCT00865709	2	198	198	ACTUAL	0
NCT00866047	1	58	58	ACTUAL	0
NCT00866281	2	22	22	ACTUAL	0
NCT00875667	2	254	254	ACTUAL	0
NCT00876395	2	719	719	ACTUAL	0
NCT00878800	2	41	41	ACTUAL	0
NCT00879333	2	656	656	ACTUAL	0
NCT00879684	7	34	34	ACTUAL	0
NCT00880581	1	30	30	ACTUAL	0
NCT00883779	2	451	451	ACTUAL	0
NCT00886782	3	11	11	ACTUAL	0
NCT00903175	2	471	471	ACTUAL	0
NCT00906698	6	55	55	ACTUAL	0
NCT00910091	2	73	73	ACTUAL	0
NCT00910910	2	450	450	ACTUAL	0
NCT00915603	2	113	113	ACTUAL	0
NCT00917384	2	355	355	ACTUAL	0
NCT00932893	2	347	347	ACTUAL	0
NCT00945191	1	24	24	ACTUAL	0
NCT00946270	3	70	70	ACTUAL	0
NCT00949702	1	132	132	ACTUAL	0
NCT00949910	1	6586	6586	ACTUAL	0
NCT00950742	2	18	18	ACTUAL	0
NCT00952692	1	12	12	ACTUAL	0
NCT00958477	4	26	26	ACTUAL	0
NCT00958724	1	6	6	ACTUAL	0
NCT00960063	3	4	4	ACTUAL	0
NCT00967616	2	100	100	ACTUAL	0
NCT00968968	2	37	37	ACTUAL	0
NCT00969553	9	59	59	ACTUAL	0
NCT00969761	12	61	61	ACTUAL	0
NCT00971867	1	11	11	ACTUAL	0
NCT00971932	1	33	33	ACTUAL	0
NCT00988208	2	1059	1059	ACTUAL	0
NCT00988858	1	55	55	ACTUAL	0
NCT01000025	2	720	720	ACTUAL	0
NCT01000285	1	18	18	ACTUAL	0
NCT01001299	1	25	25	ACTUAL	0
NCT01004172	1	38	38	ACTUAL	0
NCT01006252	2	336	336	ACTUAL	0
NCT01007032	4	21	21	ACTUAL	0
NCT01007942	2	569	569	ACTUAL	0
NCT01014936	3	149	149	ACTUAL	0
NCT01015118	2	1366	1366	ACTUAL	0
NCT01018563	2	3	3	ACTUAL	0
NCT01022853	5	30	30	ACTUAL	0
NCT01022996	1	57	57	ACTUAL	0
NCT01023958	1	50	50	ACTUAL	0
NCT01024036	2	79	79	ACTUAL	0
NCT01025284	2	64	64	ACTUAL	0
NCT01028222	2	55	55	ACTUAL	0
NCT01032070	2	25	25	ACTUAL	0
NCT01035229	2	546	546	ACTUAL	0
NCT01039519	1	27	27	ACTUAL	0
NCT01047475	2	72	72	ACTUAL	0
NCT01051063	2	17	17	ACTUAL	0
NCT01059630	2	413	413	ACTUAL	0
NCT01080391	2	792	792	ACTUAL	0
NCT01084876	2	475	475	ACTUAL	0
NCT01089595	2	5	5	ACTUAL	0
NCT01098266	2	400	400	ACTUAL	0
NCT01102426	2	255	255	ACTUAL	0
NCT01104155	2	123	123	ACTUAL	0
NCT01107665	1	60	60	ACTUAL	0
NCT01111461	1	133	133	ACTUAL	0
NCT01121393	2	364	364	ACTUAL	0
NCT01121562	1	12	12	ACTUAL	0
NCT01122901	2	47	47	ACTUAL	0
NCT01125800	2	76	76	ACTUAL	0
NCT01127178	2	12	12	ACTUAL	0
NCT01128842	1	7	7	ACTUAL	0
NCT01136967	2	182	182	ACTUAL	0
NCT01137604	4	151	151	ACTUAL	0
NCT01140347	2	565	565	ACTUAL	0
NCT01147822	2	367	367	ACTUAL	0
NCT01151852	2	81	81	ACTUAL	0
NCT01154140	2	343	343	ACTUAL	0
NCT01158404	8	35	35	ACTUAL	0
NCT01158534	1	17	17	ACTUAL	0
NCT01160744	4	280	280	ACTUAL	0
NCT01164891	1	7	7	ACTUAL	0
NCT01165216	2	15	15	ACTUAL	0
NCT01168973	2	1253	1253	ACTUAL	0
NCT01170663	2	665	665	ACTUAL	0
NCT01175980	1	30	30	ACTUAL	0
NCT01177397	12	226	226	ACTUAL	0
NCT01183780	2	1072	1072	ACTUAL	0
NCT01188876	1	50	50	ACTUAL	0
NCT01198158	2	77	77	ACTUAL	0
NCT01202877	3	54	54	ACTUAL	0
NCT01206816	7	57	57	ACTUAL	0
NCT01213472	1	33	33	ACTUAL	0
NCT01218516	2	130	130	ACTUAL	0
NCT01232556	2	338	338	ACTUAL	0
NCT01234337	2	537	537	ACTUAL	0
NCT01239797	2	646	646	ACTUAL	0
NCT01247922	1	4	4	ACTUAL	0
NCT01253564	1	24	24	ACTUAL	0
NCT01256359	2	83	83	ACTUAL	0
NCT01260688	2	22	22	ACTUAL	0
NCT01268150	1	56	56	ACTUAL	0
NCT01269346	1	52	52	ACTUAL	0
NCT01271712	2	199	199	ACTUAL	0
NCT01275222	6	117	117	ACTUAL	0
NCT01288911	2	375	375	ACTUAL	0
NCT01288989	5	44	44	ACTUAL	0
NCT01289028	1	125	125	ACTUAL	0
NCT01289522	1	54	54	ACTUAL	0
NCT01296555	1	674	674	ACTUAL	0
NCT01296932	9	37	37	ACTUAL	0
NCT01297244	2	105	105	ACTUAL	0
NCT01297491	2	63	63	ACTUAL	0
NCT01302392	2	315	315	ACTUAL	0
NCT01311687	2	455	455	ACTUAL	0
NCT01313663	2	20	20	ACTUAL	0
NCT01316263	2	21	21	ACTUAL	0
NCT01316692	1	12	12	ACTUAL	0
NCT01317420	13	64	64	ACTUAL	0
NCT01317615	1	49	49	ACTUAL	0
NCT01320085	3	183	183	ACTUAL	0
NCT01321554	2	392	392	ACTUAL	0
NCT01324947	1	74	74	ACTUAL	0
NCT01325701	2	78	78	ACTUAL	0
NCT01327053	4	230	230	ACTUAL	0
NCT01327612	7	12	12	ACTUAL	0
NCT01327885	2	452	452	ACTUAL	0
NCT01328951	2	643	643	ACTUAL	0
NCT01338792	1	47	47	ACTUAL	0
NCT01341457	2	17	17	ACTUAL	0
NCT01342172	1	9	9	ACTUAL	0
NCT01345682	2	483	483	ACTUAL	0
NCT01349933	1	21	21	ACTUAL	0
NCT01354431	3	168	168	ACTUAL	0
NCT01360554	2	878	878	ACTUAL	0
NCT01368276	2	31	31	ACTUAL	0
NCT01374451	2	160	160	ACTUAL	0
NCT01378962	1	50	50	ACTUAL	0
NCT01378975	2	146	146	ACTUAL	0
NCT01379534	2	53	53	ACTUAL	0
NCT01387555	2	129	129	ACTUAL	0
NCT01388790	1	40	40	ACTUAL	0
NCT01393990	18	89	89	ACTUAL	0
NCT01403948	10	48	48	ACTUAL	0
NCT01406574	1	23	23	ACTUAL	0
NCT01416389	2	39	39	ACTUAL	0
NCT01421017	3	31	31	ACTUAL	0
NCT01427933	2	141	141	ACTUAL	0
NCT01453153	3	28	28	ACTUAL	0
NCT01453205	3	187	187	ACTUAL	0
NCT01454934	2	540	540	ACTUAL	0
NCT01466660	2	319	319	ACTUAL	0
NCT01474239	2	91	91	ACTUAL	0
NCT01478594	2	265	265	ACTUAL	0
NCT01496313	2	81	81	ACTUAL	0
NCT01505530	3	125	125	ACTUAL	0
NCT01512745	2	267	267	ACTUAL	0
NCT01512758	2	36	36	ACTUAL	0
NCT01519323	1	6	6	ACTUAL	0
NCT01519427	1	2	2	ACTUAL	0
NCT01523587	2	795	795	ACTUAL	0
NCT01524783	2	302	302	ACTUAL	0
NCT01524978	11	208	208	ACTUAL	0
NCT01524991	1	36	36	ACTUAL	0
NCT01528345	2	97	97	ACTUAL	0
NCT01529112	2	135	135	ACTUAL	0
NCT01539512	2	220	220	ACTUAL	0
NCT01539824	1	12	12	ACTUAL	0
NCT01543698	15	189	189	ACTUAL	0
NCT01544179	2	265	265	ACTUAL	0
NCT01551693	2	3	3	ACTUAL	0
NCT01558661	1	33	33	ACTUAL	0
NCT01562028	2	109	109	ACTUAL	0
NCT01563055	1	10	10	ACTUAL	0
NCT01563354	3	124	124	ACTUAL	0
NCT01564537	2	722	722	ACTUAL	0
NCT01568866	2	929	929	ACTUAL	0
NCT01569295	2	416	416	ACTUAL	0
NCT01586195	1	31	31	ACTUAL	0
NCT01596621	1	102	102	ACTUAL	0
NCT01602224	3	220	220	ACTUAL	0
NCT01605396	2	80	80	ACTUAL	0
NCT01609543	1	62	62	ACTUAL	0
NCT01610284	2	1147	1147	ACTUAL	0
NCT01611090	2	578	578	ACTUAL	0
NCT01611558	1	40	40	ACTUAL	0
NCT01612546	1	10	10	ACTUAL	0
NCT01625286	7	148	148	ACTUAL	0
NCT01633060	2	432	432	ACTUAL	0
NCT01639001	2	207	207	ACTUAL	0
NCT01639352	1	20	20	ACTUAL	0
NCT01642004	2	272	272	ACTUAL	0
NCT01646021	2	280	280	ACTUAL	0
NCT01646203	3	14	14	ACTUAL	0
NCT01648764	14	73	73	ACTUAL	0
NCT01649180	1	3	3	ACTUAL	0
NCT01649271	2	13	13	ACTUAL	0
NCT01657799	3	307	307	ACTUAL	0
NCT01658436	1	31	31	ACTUAL	0
NCT01658878	15	657	657	ACTUAL	0
NCT01659021	2	261	261	ACTUAL	0
NCT01659255	7	90	90	ACTUAL	0
NCT01668784	2	821	821	ACTUAL	0
NCT01673867	2	582	582	ACTUAL	0
NCT01674062	2	95	95	ACTUAL	0
NCT01682135	3	28	28	ACTUAL	0
NCT01685060	1	140	140	ACTUAL	0
NCT01685138	1	124	124	ACTUAL	0
NCT01693068	2	194	194	ACTUAL	0
NCT01693614	3	72	72	ACTUAL	0
NCT01693822	1	65	65	ACTUAL	0
NCT01695772	1	50	50	ACTUAL	0
NCT01708174	3	22	22	ACTUAL	0
NCT01714739	7	337	337	ACTUAL	0
NCT01718743	1	64	64	ACTUAL	0
NCT01719380	10	156	156	ACTUAL	0
NCT01721603	1	2	2	ACTUAL	0
NCT01721746	2	405	405	ACTUAL	0
NCT01721759	1	117	117	ACTUAL	0
NCT01721772	2	418	418	ACTUAL	0
NCT01721876	2	666	666	ACTUAL	0
NCT01722292	5	26	26	ACTUAL	0
NCT01728623	3	51	51	ACTUAL	0
NCT01733238	1	13	13	ACTUAL	0
NCT01739309	1	28	28	ACTUAL	0
NCT01740297	3	217	217	ACTUAL	0
NCT01740427	2	666	666	ACTUAL	0
NCT01744249	2	256	256	ACTUAL	0
NCT01744340	2	23	23	ACTUAL	0
NCT01750918	11	166	166	ACTUAL	0
NCT01755975	5	49	49	ACTUAL	0
NCT01761240	5	27	27	ACTUAL	0
NCT01761266	2	954	954	ACTUAL	0
NCT01763164	2	402	402	ACTUAL	0
NCT01774344	2	573	573	ACTUAL	0
NCT01774721	2	452	452	ACTUAL	0
NCT01776840	2	523	523	ACTUAL	0
NCT01783444	3	309	309	ACTUAL	0
NCT01794520	7	117	117	ACTUAL	0
NCT01797120	2	131	131	ACTUAL	0
NCT01801358	7	38	38	ACTUAL	0
NCT01805037	1	20	20	ACTUAL	0
NCT01808326	1	5	5	ACTUAL	0
NCT01809210	7	55	55	ACTUAL	0
NCT01812005	2	14	14	ACTUAL	0
NCT01818752	2	955	955	ACTUAL	0
NCT01829113	2	155	155	ACTUAL	0
NCT01829711	1	80	80	ACTUAL	0
NCT01830621	2	282	282	ACTUAL	0
NCT01832506	3	12	12	ACTUAL	0
NCT01833546	4	20	20	ACTUAL	0
NCT01836029	2	195	195	ACTUAL	0
NCT01838642	1	3	3	ACTUAL	0
NCT01843374	2	571	571	ACTUAL	0
NCT01844505	3	945	945	ACTUAL	0
NCT01844817	2	132	132	ACTUAL	0
NCT01850524	2	705	705	ACTUAL	0
NCT01856478	2	340	340	ACTUAL	0
NCT01865747	2	658	658	ACTUAL	0
NCT01866410	1	37	37	ACTUAL	0
NCT01870726	7	43	43	ACTUAL	0
NCT01873833	1	10	10	ACTUAL	0
NCT01874288	5	24	24	ACTUAL	0
NCT01877083	1	25	25	ACTUAL	0
NCT01890746	2	148	148	ACTUAL	0
NCT01891344	8	491	491	ACTUAL	0
NCT01891669	10	26	26	ACTUAL	0
NCT01896479	2	247	247	ACTUAL	0
NCT01896505	3	54	54	ACTUAL	0
NCT01896531	2	153	153	ACTUAL	0
NCT01908426	2	707	707	ACTUAL	0
